ogc_fid,nom_cours_eau,date_observation,commentaire,desc_etat_glace,longueur_embacle,unite_mesure_longueur_embacle,municipalite,source,cap_certitude,cap_type_evenement,cap_severite,cap_etat,cap_portee,cap_urgence,imprecision,coordonnee_x,coordonnee_y,date_creation
"999952",Rivière des Prairies,1994/04/20,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Laval,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Aucune,-73.676071,45.557535,Inconnue
"999951",Rivière Saint-Pierre,1994/04/20,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Sayabec,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Aucune,-67.697606,48.549659,Inconnue
"999950",Rivière Saint-Jean,1994/04/19,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,L'Anse-Saint-Jean,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Modérée,Actuel,Public,Passée,Aucune,-70.201683,48.235375,Inconnue
"999949",Rivière Saint-Jean,1994/04/19,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,L'Anse-Saint-Jean,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Mineure,Actuel,Public,Passée,Localisation,-70.39702,48.162352,Inconnue
"999948",Rivière Saguenay,1994/04/19,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Sacré-Coeur,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Aucune,-69.73062,48.135971,Inconnue
"999947",Rivière Montmorency,1994/04/19,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),"1500",Inconnue,Québec,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Localisation,-71.193884,46.926595,Inconnue
"999946",Rivière Saint-Anne,1994/04/19,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Saint-Raymond,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Aucune,-71.851603,46.890146,Inconnue
"999945",Rivière Daaquam,1994/04/18,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Saint-Camille-de-Lellis,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Importante,Actuel,Public,Passée,Aucune,-70.175803,46.513615,Inconnue
"999944",Rivière Beaurivage,1994/04/15,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Lévis,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Aucune,-71.321349,46.64419,Inconnue
"999943",Rivière Saint-Jean,1994/04/18,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Longue-Pointe-de-Mingan,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Modérée,Actuel,Public,Passée,Aucune,-64.31386,50.30048,Inconnue
"999942",Rivière Etchemin,1994/04/14,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Saint-Henri,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Modérée,Actuel,Public,Passée,Localisation,-71.077313,46.694705,Inconnue
"999941",Rivière Lorette,1994/04/14,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Québec,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Aucune,-71.375122,46.817152,Inconnue
"999940",Rivière Etchemin,1994/04/14,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),"2000",Inconnue,Saint-Henri,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Modérée,Actuel,Public,Passée,Aucune,-71.067301,46.69118,Inconnue
"999939",Rivière Chaudière,1994/04/14,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Beauceville,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Aucune,-70.749836,46.19809,Inconnue
"999938",Rivière Chaudière,1994/04/14,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Lévis,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Aucune,-71.244598,46.647228,Inconnue
"999937",Rivière Beaurivage,1994/04/11,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Saint-Gilles,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Aucune,-71.361073,46.588529,Inconnue
"999936",Rivière Eaton,1994/04/07,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Cookshire-Eaton,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Aucune,-71.623074,45.414348,Inconnue
"999935",Rivière Delisle,1994/04/06,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Coteau-du-Lac,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Localisation,-74.177319,45.28953,Inconnue
"999934",Rivière Chaudière,1994/04/06,"Le Soleil, avril 1994, À Saint-Georges, les glaces s'ébranlent sur la Chaudière,Luce Dallaire",Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Saint-Georges,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Aucune,-70.688011,46.126583,Inconnue
"999933",Rivière Restigouche,1994/04/26,"50 résidants, commerces et inSaintitutions ont été ravagés, écoles. Le Soleil, Québec,26-04-1994 Plus de 15 millions $ de dégâts: Matapédia va se protéger contre les inondations, Gilles Gagné",Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Importante,Actuel,Public,Passée,Aucune,-66.923306,47.982499,1994-04-17
"999932",Rivière Rimouski,1994/04/19,"Québec, Le Soleil, mardi 19 avril 1994, Six chalets endommagés à rimouski, Ernie Wells et Henri Michaud",Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Rimouski,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Modérée,Actuel,Public,Passée,Aucune,-68.535294,48.333983,Inconnue
"999931",Rivière Matapédia,1994/04/18,"La Presse, Montréal, lundi, 18 avril 1994",Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Aucune,-66.922938,47.982588,Inconnue
"999930",Rivière Montmorency,1994/04/17,"Journal du Québec, 17 avril 1994, Les <<victimes>> observent et espèrent pour le mieux",Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Sainte-Brigitte-de-Laval,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Aucune,-71.19287,46.938405,Inconnue
"999929",Rivière Chaudière,1995/03/22,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Beauceville,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Aucune,-70.810379,46.244262,Inconnue
"999928",Rivière Chaudière,1995/03/31,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),"3000",Inconnue,Beauceville,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Aucune,-70.821999,46.24843,1995-03-20
"999927",Rivière Chaudière,1995/03/17,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Saint-Georges,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Aucune,-70.674964,46.119861,1995-03-16
"999926",Rivière Etchemin,1995/03/22,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),"1500",Inconnue,Lévis,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Aucune,-71.127317,46.721564,Inconnue
"999925",Rivière Etchemin,1994/04/14,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Saint-Henri,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Aucune,-71.067625,46.691447,Inconnue
"999924",Rivière Etchemin,1994/04/14,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Saint-Malachie,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Aucune,-70.822849,46.555567,Inconnue
"999923",Rivière Montmorency,1994/04/16,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Québec,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Localisation,-71.193644,46.936655,Inconnue
"999922",Rivière Humqui,1994/04/16,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Matapédia,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Aucune,-66.962647,47.982535,Inconnue
"999921",Rivière Sainte-Anne,0036/09/14,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Beaupré,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Aucune,-70.886563,47.050101,Inconnue
"999920",Rivière Saint-François,1994/04/12,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Sherbrooke,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Aucune,-71.847778,45.368356,Inconnue
"999919",Rivière Chaudière,1994/04/13,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),"3000",Inconnue,Scott,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Localisation,-71.08222,46.498883,Inconnue
"999918",Rivière Chaudière,1994/04/13,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Beauceville,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Aucune,-70.750328,46.198024,Inconnue
"999917",Rivière Montmorency,1994/04/16,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Québec,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Localisation,-71.170988,46.910083,Inconnue
"999916",Rivière montmorency,1994/04/17,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Québec,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Localisation,-71.193811,46.927317,Inconnue
"999915",Rivière Montmorency,1994/04/11,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Québec,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Modérée,Actuel,Public,Passée,Localisation,-71.186553,46.922045,Inconnue
"999914",Rivière Noire,1994/04/16,,Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Sainte-Lucie-de-Beauregard,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Modérée,Actuel,Public,Passée,Aucune,-70.026857,46.735266,Inconnue
"999913",Rivière Yamaska,1994/01/18,"Journal de Québec, La crue des eaux: La situation se Saintabilise, 1995-01-18",Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Yamaska,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Modérée,Actuel,Public,Passée,Aucune,-72.913482,46.01404,1994-01-17
"999912",Rivière Montmorency,1995/01/17,"Journal de Québec, mardi 17 janvier 1995, Un secteur évacué à Beauport, ML",Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Sainte-Brigitte-de-Laval,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Aucune,-71.205056,46.963136,1995-01-16
"999911",Rivière aux Chiens,1995/01/17,"Journal de Québec,Mardi 17 janvier 1995, Et tous ces inconvénients en un jour: Inondations, Pluies abondantes, Verglas, Embâcles, Glaces noire, Marie-France Bornais",Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),"250",Inconnue,Sainte-Anne-de-Beaupré,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Aucune,-70.962179,47.008095,1995-01-16
"999910",Rivière Montmorency,1995/01/17,"Le Soleil, 1995-01-17,Des riverins refusent d'évacuer, Michèle Laferriere",Embâcle (morceaux de glace empilés qui entravent ou bloquent la circulation de l'eau),,Inconnue,Mont-Valin,Historique des embâcles répertoriés au MSP (1985-2014),Observé,Glace,Normale,Actuel,Public,Passée,Aucune,-71.19408,49.93387,1995-01-16
