OBJECTID,MUNICIPALITE,NOM,TYPE,ADRESSE,WEB,COURRIEL,INFORMATIO,A_INFO_PHO,PHONE_A,B_INFO_PHO,PHONE_B,TYPE_SITE,XNAD83MTM6,YNAD83MTM6,GEOM
11,10043,Les Tennis de Rimouski,"Centres culturels, de loisirs, récréatifs et sportifs","416, avenue Rouleau",http://www.tennisrimouski.com,info@tennisrimouski.com,6 terrains intérieurs.; 4 terrains extérieurs.,Informations :,418 724-6149,ou :,418 724-6155,Parc et équipement,229592.5424,5367080.4915,Point
12,10043,Centre des congrès de Rimouski,"Centres culturels, de loisirs, récréatifs et sportifs","225, boulevard René-Lepage Est",https://hotelrimouski.com/,hotelrim@hotelrimouski.com, , ,418-725-5000, , ,Attrait touristique et point d'intérêt,229278.2401,5369299.7804,Point
13,10043,Centre communautaire Terrasse Arthur-Buies,"Centres culturels, de loisirs, récréatifs et sportifs","387, rue des Passereaux",http://www.ville.rimouski.qc.ca/fr/citoyens/nav/sports/equipements/centres.html#3, ,1 salle polyvalente d’une capacité d’environ 130 personnes avec services audiovisuels  disponibles sur demande.; Salle de réunion pouvant accueillir 12 à 15 personnes.; 1 patinoire extérieure asphaltée et éclairée.; 2 terrains de tennis éclai,Réservation de salle :,418 724-8096,Patinoire:,418 724-3122,Centre communautaire,228839.9987,5366258.8019,Point
14,10043,Centre communautaire Sainte-Odile,"Centres culturels, de loisirs, récréatifs et sportifs","505, rue des Écarts",http://www.ville.rimouski.qc.ca/fr/citoyens/nav/sports/equipements/centres.html#3, ,1 salle polyvalente d’une capacité de 220 personnes pouvant être divisée en deux plus petites salles de capacités respectives de 60 et 160 personnes.; Services audiovisuels disponibles en location.; Accès Internet sans fil Z.A.P. Bas Saint-Laurent,Réservation de salle :,418 318-2117,Patinoire:,418 724-3272,Centre communautaire,227453.2611,5366440.8924,Point
15,10043,Centre communautaire Saint-Robert,"Centres culturels, de loisirs, récréatifs et sportifs","358, avenue Sirois",http://www.ville.rimouski.qc.ca/fr/citoyens/nav/sports/equipements/centres.html#3, ,1 salle polyvalente d’une capacité de 145 personnes.; Accès Internet sans fil de Z.A.P. Bas-Saint-Laurent.; 1 salle additionnelle  d’une capacité d’environ 60 personnes.; 1 terrain de balle éclairé.; 1 patinoire extérieure asphaltée et écla,Réservation de salle :,418 723-3276,Patinoire / Piscine:,418 724-3268,Centre communautaire,228853.5566,5367114.0611,Point
16,10043,Centre communautaire Sainte-Agnès Sud,"Centres culturels, de loisirs, récréatifs et sportifs","305, rue Elzéar-Sasseville",http://www.ville.rimouski.qc.ca/fr/citoyens/nav/sports/equipements/centres.html#3, ,1 salle polyvalente d’une capacité de 170 personnes.; 1 Salle d’un capacité de 45 personnes.; Accès Internet sans fil de Z.A.P. Bas-Saint-Laurent.; 1 pavillon pour les utilisateurs de la patinoire.; 1 patinoire extérieure asphaltée et éclairée,Réservation de salle :,418 724-4353,Patinoire:,418 724-3282,Centre communautaire,230461.0075,5369256.4335,Point
17,10043,Pavillon polyvalent,"Centres culturels, de loisirs, récréatifs et sportifs","313, avenue de la Cathédrale", , ,"Capacité d’accueil de 500 personnes.; Superficie de glace de 80 par 182 pieds.<br/><br/><u>Patinage libre (pour tous)</u> :; Gratuit les mercredis de 13 h 15 à 14 h 15.<br/><br/><u>Patinage libre gratuit (50 ans et plus)</u>:; Les lundis, de 13 h 30",Horaire des activités :,418 724-3217,Administration :,418 724-3229,Parc et équipement,229269.7946,5367981.2712,Point
18,10043,Palais de justice,"Bureaux d’arrondissement, les points de service et les hôtels de ville","183, avenue de la Cathédrale",http://www.justice.gouv.qc.ca/francais/joindre/palais/rimou.htm, , , ,418-727-3852, , ,Services publics et sociaux,228883.0664,5368430.3589,Point
19,10043,Bureau de poste,"Bureaux d’arrondissement, les points de service et les hôtels de ville","136, rue Saint-Germain Ouest", , , , ,1-800-267-1177, , ,Services publics et sociaux,228304.2839,5368327.5541,Point
20,10043,Maison Lamontagne,"Centres culturels, de loisirs, récréatifs et sportifs","707, boulevard du Rivage",http://www.maisonlamontagne.com,maisonlamontagne@globetrotter.net, ,En saison,418 722-4038,Hors-saison et administration,418 722-3879,Attrait touristique et point d'intérêt,231248.8124,5372205.81,Point
21,10043,Édifice communautaire Adhémar-Saint-Laurent,"Centres culturels, de loisirs, récréatifs et sportifs","25, 3e Avenue",http://www.ville.rimouski.qc.ca/fr/citoyens/nav/sports/equipements/centres.html#3, ,1 gymnase servant de salle d’une capacité d’accueil d’environ 235 personnes.; Accès Internet sans fil de Z.A.P. Bas-Saint-Laurent.; 1 local jeunesse avec tables de jeux récréatifs.; 1 gymnase.; 1 terrain de balle éclairé.; 2 terrains de socce,Réservation de salles :,418 724-6417,Patinoire:,418 724 6417,Centre communautaire,230851.4414,5371617.0429,Point
22,10043,Édifice Louis-Joseph-Moreault,"Bureaux d’arrondissement, les points de service et les hôtels de ville", ,BANQ, , , , , , ,Attrait touristique et point d'intérêt,229638.0086,5369698.4834,Point
23,10043,Édifice administratif et garage (Pointe-au-Père),"Bureaux d’arrondissement, les points de service et les hôtels de ville","315, avenue Thomas-Dionne", , , , , , , ,Service / Édifice municipal,233979.1825,5375141.0938,Point
24,10043,Maison des jeunes de Pointe-au-Père,"Centres culturels, de loisirs, récréatifs et sportifs","311, avenue Thomas-Dionne", ,mdjpointo@hotmail.com, ,Informations :,418 724-7172, , ,Services publics et sociaux,233949.1889,5375228.942,Point
25,10043,Caserne de pompiers 64,"Bureaux d’arrondissement, les points de service et les hôtels de ville","620, boulevard Sainte-Anne", ,incendie@ville.rimouski.qc.ca, , , , , ,Service / Édifice municipal,232728.2919,5374181.9606,Point
26,10043,Centre communautaire Pointe-au-Père,"Centres culturels, de loisirs, récréatifs et sportifs","400, avenue J.-Roger-Lebel",http://www.ville.rimouski.qc.ca/fr/citoyens/nav/sports/equipements/centres.html#3, ,1 salle polyvalente d’une capacité d’environ 80 personnes.; 1 salle communautaire d’une capacité d’environ 160 personnes.; Accès Internet sans fil de Z.A.P. Bas Saint Laurent.; 1 terrain de balle éclairé.; 2 terrains de soccer senior.; 6 ter,Réservation et renseignements :,418 723 4018,Patinoire:,418 723-4018,Centre communautaire,234177.1023,5374444.2931,Point
27,10043,Phare de Pointe-au-Père,"Centres culturels, de loisirs, récréatifs et sportifs","1000, rue du Phare",http://www.shmp.qc.ca/, , , ,418-724-6214, , ,Attrait touristique et point d'intérêt,233217.5669,5375884.1146,Point
28,10043,Site historique maritime de la Pointe-au-Père,"Centres culturels, de loisirs, récréatifs et sportifs", ,http://www.shmp.qc.ca, ,200 ans d'histoire maritime.; Visite audioguidée du sous-marin Ononlaga.; visite du Musée Empress of Ireland avec exposition et projection multimédia.; visite du Phare.<br/><br/><u>Horaire</u> :<br/>  Du 6 juin au 4 octobre 2015;  tous les jours de 9,Informations :,418 724-6214, , ,Attrait touristique et point d'intérêt,233232.5964,5375857.3393,Point
29,10043,Kiosque d'information sur les marais salants,"Bureaux d’arrondissement, les points de service et les hôtels de ville",rue Marconi,http://www.ec.gc.ca/ap-pa/default.asp?lang=Fr&n=E18DCC08-1, , , , , , ,Attrait touristique et point d'intérêt,233219.5881,5375476.815,Point
30,10043,Maison Souvenance,"Centres culturels, de loisirs, récréatifs et sportifs","509, route des Pionniers", ,cbrisso@globetrotter.net,Exposition permanente de la maquette du village de Sainte-Blandine dans les années 1925 et autres expositions de photos et d’objets anciens.<br/><br/><u>Horaire</u>:;  du 21 juin au 1er septembre 2015;  de 10 h à 17 h du mercredi au dimanche<br/><br/,Informations :,418 735-2181,ou,418 735-0093,Attrait touristique et point d'intérêt,233354.9109,5359524.2027,Point
31,10043,Centre communautaire Nazareth,"Centres culturels, de loisirs, récréatifs et sportifs","455, rue Cartier",http://www.ville.rimouski.qc.ca/fr/citoyens/nav/sports/equipements/centres.html, ,1 salle polyvalente d’une capacité de 115 personnes.; 1 salle de réunion pouvant accueillir 12 personnes.; Accès Internet sans fil de Z.A.P. Bas-Saint-Laurent.; système de son disponible en location.; 1 local jeunesse avec tables de jeux récréati,Réservation de salle:,418 724-8802,Patinoire / Pataugeoire:,418 721-0229,Centre communautaire,227007.2985,5367503.0122,Point
32,10043,Maison des jeunes de Rimouski,"Centres culturels, de loisirs, récréatifs et sportifs","169, rue Sainte-Anne",https://www.facebook.com/mdj.rimouski/,maison.jeunes.rimouski@cgocable.ca,"Lieu de rencontre pour les jeunes âgés entre 11 et 17 ans<br/><br/><u>Horaire</u> :; Mardi, mercredi et jeudi : 18 h à 22 h.; Vendredi : 19 h à 23 h.; Samedi : 13 h à 16 h et 19 h à 23 h.",Informations :,418 722-7525, , ,Services publics et sociaux,228500.2161,5367914.373,Point
33,10043,Édifice municipal des travaux publics,"Bureaux d’arrondissement, les points de service et les hôtels de ville","475, 2e Rue Est", ,travaux.publics@ville.rimouski.qc.ca, ,Informations:,418 724-3144, , ,Service / Édifice municipal,231260.9389,5369536.196,Point
34,10043,Édifice Claire-L'Heureux-Dubé,"Centres culturels, de loisirs, récréatifs et sportifs","77, 2e Rue Ouest", , , , , , , ,Service / Édifice municipal,229375.9699,5367599.3632,Point
35,10043,Salle DESJARDINS-TELUS,"Centres culturels, de loisirs, récréatifs et sportifs","25, rue Saint Germain Ouest", , ,Salle de spectacle ultramoderne de plus de 900 sièges.; Spect’Art Rimouski en assure la gestion de la diffusion,Billetterie :,418 724-0800,"Location et tarification, poste 2 ou 5:",418 725-4990,Service / Édifice municipal,228722.6162,5368498.9248,Point
36,10043,Promenade de la mer,"Centres culturels, de loisirs, récréatifs et sportifs",boulevard René-Lepage, , , , , , , ,Attrait touristique et point d'intérêt,228707.318,5368663.7097,Point
37,10043,Centre jeunesse du Bas-Saint-Laurent,"Centres culturels, de loisirs, récréatifs et sportifs", , ,"404, avenue Ross", , , , , ,Services publics et sociaux,228946.04,5366554.7996,Point
38,10043,Écocentre - Lieu d'enfouissement technique,"Bureaux d’arrondissement, les points de service et les hôtels de ville","835, chemin Victor-Gauvin",http://www.ville.rimouski.qc.ca/fr/citoyens/nav/environnement/LET.html, , , , , , ,Service / Édifice municipal,225672.3836,5363584.7639,Point
39,10043,Caserne de pompiers 58,"Bureaux d’arrondissement, les points de service et les hôtels de ville","149, rue Sainte-Cécile-du-Bic",incendie@ville.rimouski.qc.ca, , , , , , ,Service / Édifice municipal,215015.8184,5360005.8009,Point
40,10043,Caserne de pompiers 63,"Bureaux d’arrondissement, les points de service et les hôtels de ville","11, rue Saint-Laurent Ouest", ,incendie@ville.rimouski.qc.ca, , , , , ,Service / Édifice municipal,229273.7947,5368046.7681,Point
41,10043,Marina et havre du Bic,"Centres culturels, de loisirs, récréatifs et sportifs",route 132 Ouest,http://marinas.com/view/marina/12552_Marina_Parc_Du_Bic_Le_Bic_QC_Canada, , , , , , ,Attrait touristique et point d'intérêt,214157.3277,5360144.5657,Point
42,10043,Théâtre du Bic,"Centres culturels, de loisirs, récréatifs et sportifs","50, route du Golf-du-Bic",http://theatredubic.com/,info@theatredubic.com,Salle d’une capacité de 196 places;,Informations :,418 736-4141, , ,Attrait touristique et point d'intérêt,215425.6249,5360221.2929,Point
43,10043,Garage municipal du Bic,"Bureaux d’arrondissement, les points de service et les hôtels de ville","149, rue Sainte-Cécile-du-Bic", , , , , , , ,Service / Édifice municipal,215034.3476,5359986.1031,Point
44,10043,Bureau de poste du Bic,"Bureaux d’arrondissement, les points de service et les hôtels de ville","141, rue Sainte-Cécile-du-Bic", , , , ,418-736-4988, , ,Services publics et sociaux,215183.7619,5359967.0458,Point
45,10043,Centre de loisirs Curé-Soucy,"Centres culturels, de loisirs, récréatifs et sportifs","29, place de l’Église",http://www.ville.rimouski.qc.ca/fr/citoyens/nav/sports/equipements/centres.html#3,caroline.hebert@ville.rimouski.qc.ca,1 salle polyvalente d’une capacité d’environ 225 personnes.; 2 salles d’environ 12 et 45 personnes.; Accès Internet sans fil de Z.A.P. Bas-Saint-Laurent.,Réservation et renseignements,418 736-4833, , ,Parc et équipement,215577.8307,5359893.8801,Point
46,10043,Centre administratif Émile-Gagnon,"Bureaux d’arrondissement, les points de service et les hôtels de ville","79, rue Sainte-Cécile-du-Bic", , , , , , , ,Service / Édifice municipal,216025.387,5360348.4962,Point
47,10043,Maison des jeunes du Bic,"Centres culturels, de loisirs, récréatifs et sportifs","145, rue Louis-Joseph-Plante",http://www.lebic.net/bmaisonjeunes.html,mdjbic@globetrotter.net,"Lieu de rencontre pour les jeunes âgés entre 12 et 17 ans.<br/><br/><u>Horaire</u> :; Mardi, mercredi et jeudi : 18 h 30 à 21 h.; Vendredi : 18 h à 22 h.; Samedi : selon les activités.",Informations :,418 736-4056, , ,Services publics et sociaux,215151.16,5359955.3146,Point
48,10043,Complexe sportif Valois-Doucet,"Centres culturels, de loisirs, récréatifs et sportifs","2645, route 132 Est", , ,Capacité de 500 personnes.; glace naturelle accessible de la mi octobre à la fin mars.; Possibilité de louer la salle d’une capacité de 100 à 150 personnes.; Patinage libre (pour tous).; 1 terrain de balle molle.; 1 grand terrain de soccer à 11 j,Informations :,418 736-5208, , ,Parc et équipement,216832.7658,5360381.9082,Point
49,10043,Pavillon Saint-Germain,"Centres culturels, de loisirs, récréatifs et sportifs","275, de la Cathédrale", , ,Piscine extérieure d’une capacité d’accueil de 280 baigneurs.; Pataugeoire pour enfants.,Ligne info-piscines :,418 724-5368, , ,Parc et équipement,229162.8762,5368143.6097,Point
50,10043,Centre culturel de Rimouski,"Centres culturels, de loisirs, récréatifs et sportifs","22, rue Sainte Marie", , ,"Jouxté à la Salle DESJARDINS-TELUS, le centre accueil les activités des organismes des arts de la scène et du patrimoine ;",Informations :,418 724-3157, , ,Service / Édifice municipal,228757.3283,5368458.5731,Point
51,10043,Édifice administratif et garage (Rimouski-Est),"Bureaux d’arrondissement, les points de service et les hôtels de ville", , , , , , , , ,Service / Édifice municipal,229968.5263,5371304.5232,Point
52,10043,Garage municipal (Sainte-Odile),"Bureaux d’arrondissement, les points de service et les hôtels de ville", , , , , , , , ,Service / Édifice municipal,229041.9323,5361560.492,Point
53,10043,Centre communautaire Saint-Pie-X,"Centres culturels, de loisirs, récréatifs et sportifs","280, boulevard Arthur-Buies Est",http://www.ville.rimouski.qc.ca/fr/citoyens/nav/sports/equipements/centres.html#3, ,1 salle polyvalente d’une capacité d’environ 260 personnes.; Accès Internet sans fil de Z.A.P. Bas-Saint-Laurent.; 1 salle pouvant accueillir 160 personnes.; 1 salle pouvant accueillir 100 personnes.; 1 salle de réunion.; 1 patinoire extérieure a,Réservation de salle :,581 624-2287, , ,Centre communautaire,230549.2903,5368454.9984,Point
54,10043,Sous-marin Onondaga,"Centres culturels, de loisirs, récréatifs et sportifs","1000, rue du Phare",http://www.shmp.qc.ca/,info@shmp.qc.ca, , ,418-724-6214, , ,Attrait touristique et point d'intérêt,233070.6255,5375837.874,Point
55,10043,Centre communautaire Sainte-Agnès Nord,"Centres culturels, de loisirs, récréatifs et sportifs","129, rue Talbot",http://www.ville.rimouski.qc.ca/fr/citoyens/nav/sports/equipements/centres.html#3, ,1 salle polyvalente d’une capacité de 145 personnes.; 1 salle d’une capacité de 60 personnes.; 1 salle de réunion pouvant accueillir 12 personnes.; Accès Internet sans fil de Z.A.P. Bas-Saint-Laurent.; 1 terrain de balle éclairé.; 1 patinoire e,Réservation de salle(messagerie vocale):,418 318-2578,Patinoire:,418 724-3275,Centre communautaire,229745.1357,5369569.4324,Point
56,10043,Service des loisirs et Service de l'urbanisme,"Bureaux d’arrondissement, les points de service et les hôtels de ville","186, de la Cathédrale", ,loisirs@ville.rimouski.qc.ca, ,Informations :,418 724-3157, , ,Service / Édifice municipal,228966.9178,5368432.1963,Point
57,10043,Centre communautaire Sainte-Blandine,"Centres culturels, de loisirs, récréatifs et sportifs","19, rue du Pavillon",http://www.ville.rimouski.qc.ca/fr/citoyens/nav/sports/equipements/centres.html#3, ,1 salle polyvalente d’une capacité totale d’environ 300 personnes.; Accès Internet sans fil de Z.A.P. Bas-Saint-Laurent.; Une salle pouvant accueillir environ 75 personnes.; Une salle pouvant accueillir environ 225 personnes.; 1 local jeunesse avec,Réservation et renseignements :,418 735 2752,Patinoire:,418 735-2824,Centre communautaire,233766.0087,5358378.9786,Point
58,10043,Garage municipal (Sainte-Blandine),"Bureaux d’arrondissement, les points de service et les hôtels de ville", , , , , , , , ,Service / Édifice municipal,233777.81,5358397.255,Point
59,10043,Caserne de pompiers 62 et édifice administratif,"Bureaux d’arrondissement, les points de service et les hôtels de ville","3, rue du Collège", ,incendie@ville.rimouski.qc.ca, , , , , ,Service / Édifice municipal,233697.2785,5358473.506,Point
60,10043,Complexe sportif Guillaume-Leblanc,"Centres culturels, de loisirs, récréatifs et sportifs","115, rue Mercier", , ,Sur une superficie de plus de 2 000 000 pi2.; 2 terrains de balle éclairés.; 1 terrain de baseball éclairé.; 10 terrains de soccer.; 1 terrain de soccer football en gazon synthétique.; 1 piste d’athlétisme.; 1 terrain de football drapeau.; 1 terr,Informations :,418 724-3228,ou :,418 724-3229,Parc et équipement,229598.6477,5367362.4265,Point
61,10043,Parc canin,"Centres culturels, de loisirs, récréatifs et sportifs",Intersection de l’avenue Rouleau et du boulevard Arthur-Buies,http://www.ville.rimouski.qc.ca/fr/citoyens/nav/sports/equipements/canin.html, ,Adjacent au complexe sportif Guillaume-Leblanc.; Superficie de 1 775 m2.;  enclos permettant aux animaux de compagnie de courir et de jouer sans laisse.<br/><br/> <u>Horaire</u> :; De 7 h à 23 h, , , , ,Parc et équipement,229672.3975,5367016.6684,Point
62,10043,Parc de planches à roulettes,"Centres culturels, de loisirs, récréatifs et sportifs",Intersection de l’avenue Rouleau et du boulevard Arthur-Buies, , , ,Informations:,418 724-3157, , ,Parc et équipement,229677.1748,5367067.1288,Point
63,10043,Terrain de basketball,"Centres culturels, de loisirs, récréatifs et sportifs", , , ,Adjacent au complexe sportif Guillaume-Leblanc.; Le port du casque est obligatoire.; L’équipement complet de protection est fortement conseillé., , , , ,Parc et équipement,229648.2123,5367046.8252,Point
64,10043,Parc Lepage,"Centres culturels, de loisirs, récréatifs et sportifs","383, rue de la Seigneuresse",http://www.ville.rimouski.qc.ca/fr/citoyens/nav/sports/equipements/Parc_Lepage.html, , ,Renseignements (été) :,418 724-3167,Renseignements (hiver) :,418 724-3157,Parc et équipement,229261.2499,5367022.3415,Point
65,10043,Parc Beauséjour,"Centres culturels, de loisirs, récréatifs et sportifs","400, boulevard de la Rivière", , ,Parc aménagé le long de la rivière rimouski offrant de nombreuses possibilités en terme d’activités de loisirs et de plein-air et ce 4 saisons et pour tous les âges;,Réservations et informations :,418 724-3167, , ,Parc et équipement,227937.9338,5366986.5116,Point
66,10043,Île Saint-Barnabé,"Centres culturels, de loisirs, récréatifs et sportifs","Marina de Rimouski: 1, route du Quai",http://www.ilestbarnabe.com/,info@ilestbarnabe.com,Billetterie (20 juin au 7 septembre 2015);,Sans frais (Canada et États-Unis) :,1-800-746-6875,Téléphone hors-saison :,418 723-2322,Parc et équipement,225681.6254,5370782.6765,Point
67,10043,Parc de la gare,"Centres culturels, de loisirs, récréatifs et sportifs",Intersection de l'avenue de la Cathédrale et de la rue de l'Évêché Est,https://www.facebook.com/March%C3%A9-public-de-Rimouski-219887481371169/, ,Marché public; Aire de repos avec gazébo; Mobiliers de parcs; Terrain de pétanque, , , , ,Parc et équipement,229106.3216,5368324.9133,Point
68,10043,Place du 6 mai 1950,"Centres culturels, de loisirs, récréatifs et sportifs",Au coin de la rue Saint-Germain Ouest et de la rue des Marguilliers, , ,Place publique de détente;, , , , ,Parc et équipement,228745.2345,5368544.6241,Point
69,10043,Galerie d'art Léonard-Parent,"Centres culturels, de loisirs, récréatifs et sportifs","186, avenue de la Cathédrale",http://www.ville.rimouski.qc.ca/fr/citoyens/nav/sports/galerieleonardparent.html, ,<u>Horaire</u>:; Lundi au mercredi : 8 h 30 à 16 h; Jeudi et vendredi : 8 h 30 à 20 h; Samedi : 12 h à 17 h; Dimanche : 12 h à 16 h,Informations :,418 724-3157, , ,Attrait touristique et point d'intérêt,228958.2902,5368431.2067,Point
70,10043,Parc du Mont Saint-Louis,"Centres culturels, de loisirs, récréatifs et sportifs","À partir du stationnement de l'école primaire du Mont-Saint-Louis au 136, rue de la Grotte", , ,Sentiers.; Points d’observation.; Croix du Mont Saint-Louis., , , , ,Parc et équipement,215252.0604,5359786.0428,Point
71,10043,Piscine Pierre-Harvey,"Centres culturels, de loisirs, récréatifs et sportifs","250, boulevard Arthur-Buies Ouest", , ,Bassin avec un capacité d’accueil de 200 baigneurs;,Informations :,418 724-3480, , ,Parc et équipement,229325.698,5366832.051,Point
72,10043,Bibliothèque Lisette-Morin,"Bureaux d’arrondissement, les points de service et les hôtels de ville","110, rue de l’Évêché Est",http://www.ville.rimouski.qc.ca/fr/citoyens/nav/bibliotheques/lisettemorin.html?iddoc=140574,bibliotheque.lisette-morin@ville.rimouski.qc.ca, , ,418-724-3164, , ,Services / Édifices municipaux,229309.8382,5368656.0711,Point
73,10043,Bibliothèque de Pointe-au-Père,"Bureaux d’arrondissement, les points de service et les hôtels de ville","315, avenue Thomas-Dionne",http://www.ville.rimouski.qc.ca/fr/citoyens/nav/bibliotheques/pointeaupere.html?iddoc=140575,"bibliotheque.pointe-au-pere@ville.rimouski.qc.ca 
", , ,418-722-4748, , ,Services / Édifices municipaux,233959.8623,5375170.0527,Point
74,10043,Bibliothèque Pascal-Parent,"Bureaux d’arrondissement, les points de service et les hôtels de ville","22, rue Lévesque",http://www.ville.rimouski.qc.ca/fr/citoyens/nav/bibliotheques/pascalparent.html?iddoc=140576,bibliotheque.pascal-parent@ville.rimouski.qc.ca, , ,418-735-5055, , ,Services / Édifices municipaux,233579.2568,5358377.2493,Point
75,10043,Bibliothèque Le Bic,"Bureaux d’arrondissement, les points de service et les hôtels de ville","149, rue de Sainte-Cécile-du-Bic
",http://www.ville.rimouski.qc.ca/fr/citoyens/nav/bibliotheques/bic.html?iddoc=172988,bibliotheque.bic@ville.rimouski.qc.ca, , ,418-736-5325, , ,Services / Édifices municipaux,215022.8804,5360011.3802,Point
76,10043,Pavillon d'éducation physique et des sports,"Centres culturels, de loisirs, récréatifs et sportifs","60, rue de l'Évêché Ouest",https://www4.cegep-rimouski.qc.ca/sportsvie/pepsaccueil/,pepsriki@cegep-rimouski.qc.ca, , ,418-723-1880, , ,Attrait touristique et point d'intérêt,228822.1719,5368334.8298,Point
77,10043,Parc de la Chute,"Centres culturels, de loisirs, récréatifs et sportifs",route du Golf-du-Bic, , , , , , , ,Parc et équipement,215517.1613,5360225.0012,Point
78,10043,Parc Flori-Jeux,"Centres culturels, de loisirs, récréatifs et sportifs","315, rue Thomas-Dionne", , , , , , , ,Parc et équipement,234015.1477,5375209.4162,Point
79,10043,Parc Frontenac,"Centres culturels, de loisirs, récréatifs et sportifs",Rue Frontenac, , , , , , , ,Parc et équipement,232470.4587,5361886.4423,Point
80,10043,Parc Place Jalna,"Centres culturels, de loisirs, récréatifs et sportifs",Accès par la rue Vigno, , , , , , , ,Parc et équipement,228623.3277,5361772.9473,Point
81,10043,Parc Pointe-à-Pouliot,"Centres culturels, de loisirs, récréatifs et sportifs",rue du Fleuve, , , , , , , ,Parc et équipement,231355.3864,5373095.7773,Point
82,10043,Sentiers du littoral et de la rivière Rimouski,"Centres culturels, de loisirs, récréatifs et sportifs",Rimouski,http://www.rimouskiweb.com/espverts/description.html, , , , , , ,Parc et équipement,225238.2387,5367404.0581,Point
83,10043,Complexe sportif Desjardins,"Centres culturels, de loisirs, récréatifs et sportifs","150, 2e Rue Est",https://www.piscinesrimouski.com/complexe-sportif-desjardins.html, , ,Ligne info-piscines,418 724-5368, , ,Parc et équipement,229901.579936,5368315.91216,Point
