,Liste des bons de commandes approuvés pour le mois de novembre  2021,,,,,
,,,,,,"1 703,60 $"
"Cousineau, Simon",1504718,11/26/21,Givesco Inc.,,Bois de construction,"552,27 $"
,1502987,11/17/21,Liftow Ltee.,,Service - Formation en développement organisationnel et technique,"267,72 $"
,1504722,11/26/21,Produits Sany,1048199,Équipement d'entretien manuel,"322,78 $"
,1503868,11/23/21,Uline Canada Corp,,Armoire de rangement,"497,26 $"
,,,,,,"1 640,03 $"
"Desjardins, Steve",1454002,11/17/21,Les Industries Poly Inc.,,Service - Reprographie,"3 149,62 $"
,,,,,,"3 149,62 $"
"Gaudreault, Guylaine",1501139,11/08/21,Allegion Canada Inc,,Ingénieur civil -  Structure de bâtiment,"4 005,27 $"
,1502511,11/15/21,Brault Et Martineau,,Électroménager,"3 964,33 $"
,1502512,11/15/21,Simco Technologies Inc.,,Ingénieur civil -  Structure de bâtiment,"1 934,92 $"
,1499815,11/01/21,Vincent Ergonomie Inc.,,Conseiller en ergonomie,"9 685,62 $"
,,,,,,"19 590,14 $"
"Gaudreault, Sonia",1501795,11/10/21,De Grace Technologie,,Caméras de surveillance,"10 336,02 $"
,1502999,11/17/21,Groupe De Sécurité Garda Senc,,Service - Agence de sécurité,"19 976,81 $"
,1503164,11/18/21,L. S. M. Son & Lumieres Inc.,,Équipement de scène,"11 312,41 $"
,1503657,11/22/21,L. S. M. Son & Lumieres Inc.,,Équipement de scène,"17 795,37 $"
,,,,,,"59 420,61 $"
"Gauthier, Stéphane",1500574,11/03/21,Brault & Bouthillier Ltee,,Matériel artistique,"296,55 $"
,1495838,11/09/21,Quincaillerie Notre-Dame De St-Henri Inc.,,Appareil d'entretien,"277,17 $"
,1503986,11/23/21,Stahls Canada,,"Guide, brochure et affiche","153,78 $"
,,,,,,"727,50 $"
"Hardy, Danielle",1501772,11/10/21,Affichage SST,,Service - Impression,"719,16 $"
,1504429,11/25/21,Clinique De Médecine Industrielle Et Préventive Du Québec Inc.,,Médecin,"1 726,52 $"
,1504198,11/24/21,Les Consultants MHD,,Conseiller en santé et sécurité,"2 519,70 $"
,,,,,,"4 965,38 $"
"Hooper, Chantal",1503256,11/18/21,Acklands - Grainger Inc.,,Équipement contre les chutes,"1 208,51 $"
,1502980,11/17/21,Albert Viau Division Emco Corporation,,Produits de branchement,"1 512,24 $"
,1500235,11/02/21,Ferronnerie Bronx,,Fournitures horticoles,"5 532,84 $"
,1475485,11/16/21,Gfl Environnemental Inc.,1408749,Location - Toilette chimique,"141,73 $"
,1464602,11/15/21,Pépinière A. Mucci Inc.,,Produits horticoles,"1 705,00 $"
,1453648,11/01/21,Quincaillerie Notre-Dame De St-Henri Inc.,,Accessoires et pièces de remplacement pour machinerie et équipement industriel,"1 574,81 $"
,1501639,11/10/21,Solutions Alternatives Environnement Inc,,Service - Formation en développement organisationnel et technique,"866,15 $"
,,,,,,"12 541,28 $"
"Léger, April",1504226,11/24/21,1-800-Got-Junk,,Service - Nettoyage industriel,"1 381,64 $"
,1503983,11/23/21,9193-5718 Québec Inc.,,Produits de plastique,"474,54 $"
,,,,,,"1 856,18 $"
"Limperis, Apostolos Mario",1503662,11/22/21,Azur Impression Enr,,Équipement de sport,"203,57 $"
,1501908,11/11/21,Cimco  Réfrigération,,Réparation/Entretien - Équipement de sport et terrain de jeux,"1 876,63 $"
,1502489,11/15/21,Collège Jean-De-Brébeuf,,Service - Organisation d'activités sportives,"2 036,27 $"
,1497581,11/09/21,Lavage De Vitres Future Inc.,,Service - Nettoyage industriel,"472,44 $"
,1488654,11/25/21,Produits Sany,,Distributeur de produit nettoyant,"16,67 $"
,1503246,11/18/21,Produits Sany,,Distributeur de produit nettoyant,"222,08 $"
,1503382,11/19/21,Produits Sany,1048199,Produits d'entretien ménager,"812,93 $"
,1503383,11/19/21,Produits Sany,,Distributeur de produit nettoyant,"684,72 $"
,1504567,11/26/21,Produits Sany,,Distributeur de produit nettoyant,"423,43 $"
,1504731,11/26/21,Produits Sany,,Distributeur de produit nettoyant,"18,55 $"
,1501032,11/05/21,Tenaquip Limited,,Équipement et fourniture pour terrain de jeux,"152,23 $"
,1502808,11/17/21,Tenaquip Limited,,Armoires de rangement,"655,50 $"
,,,,,,"7 575,02 $"
"Plante, Stéphane",1501700,11/10/21,Accès Décor Com,,Décors lumineux,"14 860,98 $"
,1503801,11/23/21,Arbres de Noël ASJ,,Décorations,"2 645,68 $"
,1500510,11/03/21,HEC Montréal,,Service - Formation en santé et sécurité,"1 779,54 $"
,1503543,11/22/21,Imprimerie F.L. Chicoine,,Service - Impression,"15 422,66 $"
,1500479,11/03/21,Ism Art & Design,,Décors lumineux,"37 584,08 $"
,1501140,11/08/21,Octave Acoustique Inc.,,Services professionnels-expertise en acoustique,"22 194,36 $"
,1468678,11/24/21,"Paquette & Associés, Huissiers De Justice S.E.N.C.R.L.",,Huissier de justice,"9 973,81 $"
,1503523,11/22/21,Publication 9417,,Service - Impression,"1 487,67 $"
,1501990,11/11/21,Service Au Fil Des Saisons Inc.,,Produits horticoles,"1 784,79 $"
,1504190,11/24/21,Signel Services Inc,,Poteau et fût pour signalisation lumineuse et éclairage urbain,"206,83 $"
,1503516,11/22/21,Tabasko Communications Inc.,,"Service - Rédaction, révision","1 448,83 $"
,,,,,,"109 389,23 $"
"Poliseno, Martin",1504225,11/24/21,Coop De Solidarite Jardinons,,Couvre-sol,"251,97 $"
,1500153,11/02/21,Dufresne Standard & Special  Inc.,,Produits de branchement,"141,73 $"
,1501364,11/09/21,,,Produits de branchement,"47,25 $"
,1500902,11/05/21,Ferronnerie Bronx,,Accessoires et pièces de remplacement pour outil,"4 349,00 $"
,1504197,11/24/21,,,Accessoires de charpente et de clôture,"891,34 $"
,1501348,11/09/21,Gestion Para-Medical Inc.,1474127,Fournitures et matériel médical,"240,10 $"
,1504537,11/26/21,Location Gamma Inc.,,Appareil et système de chauffage,"99,74 $"
,1500855,11/04/21,Novafor Équipement Inc.,,Vêtements de travail,"1 800,43 $"
,1502076,11/11/21,Novafor Équipement Inc.,,Équipement de sécurité,"430,87 $"
,1502653,11/16/21,Novafor Équipement Inc.,,Vêtements de travail,"503,94 $"
,1504200,11/24/21,Novafor Équipement Inc.,,Équipement de sécurité,"485,58 $"
,1502615,11/16/21,Outillages Express,,Accessoires et pièces de remplacement pour machinerie et équipement industriel,"1 723,85 $"
,1504539,11/26/21,Outillages Express,,Outils manuels,"535,44 $"
,1500243,11/02/21,Produits Sany,1048199,Produits d'entretien ménager,"43,34 $"
,1454355,11/04/21,Sécurité Landry Inc,,Équipement sécurité,"557,21 $"
,1501330,11/09/21,Sécurité Landry Inc,,Vêtements de travail,"207,34 $"
,1501372,11/09/21,Tenaquip Limited,,Équipement de protection,"548,66 $"
,1502657,11/16/21,Tenaquip Limited,,Équipement de protection,"354,26 $"
,1503351,11/19/21,Trauma-Secours Inc.,,Service - Formation en santé et sécurité,"918,64 $"
,1500255,11/02/21,Vermeer Canada Inc.,,Équipement sécurité,"180,16 $"
,1464610,11/02/21,Vortex Structures Aquatiques Internationales Inc,,Réparation/Entretien - Équipement de sport et terrain de jeux,"4 514,46 $"
,,,,,,"18 825,31 $"
"Reeves, Geneviève",1501585,11/10/21,COMAQ,,Service - Formation en développement organisationnel et technique,"440,95 $"
,1501584,11/10/21,Iap2 Canada,,Service - Formation en informatique,"187,50 $"
,1501994,11/11/21,Montréal Stencil Inc,,"Articles, accessoires et équipement de bureau","107,13 $"
,,,,,,"735,58 $"
"Rico, Roseline",1503465,11/19/21,9028-6733 Québec Inc.,,Matériel de finition,"2 516,62 $"
,1499910,11/01/21,Ample Man Danse,,Service - Artiste de la scène,"6 443,64 $"
,1503456,11/19/21,Boo! Design Inc.,,Service - Impression,"4 309,74 $"
,1501347,11/09/21,Compugen Inc.,1469292,Ordinateur et accessoire,"388,45 $"
,1501797,11/10/21,De Grace Technologie,,"Entrepreneur en intercommunication, téléphonie et surveillance","4 073,51 $"
,1503165,11/18/21,Entreprises Sign Max Inc.,,Matériel artistique,"150,12 $"
,1501786,11/10/21,Les Cordages Barry Ltée,,Équipement de scène,"7 518,49 $"
,1500573,11/03/21,Location D'Outils Simplex S.E.C.,,Réparation/Entretien - Équipement de scène,"2 377,97 $"
,1502492,11/15/21,Location D'Outils Simplex S.E.C.,,Réparation/Entretien - Équipement de scène,"513,13 $"
,1501794,11/10/21,Location Sauvageau Inc.,,"Location - Automobile, camionnette et fourgonnette","98,69 $"
,1504916,11/29/21,Location Sauvageau Inc.,,"Location - Automobile, camionnette et fourgonnette","118,58 $"
,1502129,11/12/21,Machines à Coudre Penelope,,"Articles, accessoires et équipement de bureau","607,88 $"
,1503459,11/19/21,Mp Reproductions Inc.,,"Service - Infographie, graphisme","2 100,02 $"
,1501790,11/10/21,XYZ Technologie Culturelle Inc.,,Équipement de scène,"3 025,57 $"
,1503462,11/19/21,XYZ Technologie Culturelle Inc.,,Équipement de scène,"120,74 $"
,1503659,11/22/21,XYZ Technologie Culturelle Inc.,,Équipement de scène,"536,76 $"
,1503455,11/19/21,Yannick Turcotte,,Service - Artiste de la scène,"4 724,44 $"
,,,,,,"39 624,35 $"
"Stingaciu, Irinel-Maria",1503460,11/19/21,ABRA Electronics,,Accessoires et pièces de remplacement pour équipement technique,"1 477,20 $"
,1501780,11/10/21,Henry's Enterprises Inc.,,Appareil électronique,"617,91 $"
,1501775,11/10/21,Moog Audio,,Appareil électronique,"253,78 $"
,,,,,,"2 348,89 $"
"St-Laurent, Sonia",1502486,11/15/21,Aquam Spécialiste Aquatique Inc.,,Accessoires de sport,"383,11 $"
,1502488,11/15/21,Aquam Spécialiste Aquatique Inc.,,Location - Équipement de sport,"750,24 $"
,1503457,11/19/21,Caissy Inc.,,"Matériel pour loisir, jeu","3 757,49 $"
,1500974,11/05/21,Dépôt Alimentaire  NDG,,"Service - Installation, gestion, entretien","5 000,00 $"
,1500867,11/05/21,Distribution Sports Loisirs G.P. Inc.,,Équipement de sport,"4 960,14 $"
,1504231,11/24/21,Huss Sports Ltd,,Accessoires de sport,"3 603,91 $"
,1504714,11/26/21,Huss Sports Ltd,,Accessoires de sport,"3 370,53 $"
,1504230,11/24/21,Le Groupe Sports Inter Plus Inc.,,Équipement de sport,"3 321,76 $"
,1500925,11/05/21,Les Installations Sportives Agora Inc.,,Réparation/Entretien - Équipement de sport et terrain de jeux,"7 201,09 $"
,1466484,11/24/21,Location Sauvageau Inc.,,"Location - Automobile, camionnette et fourgonnette","4 757,20 $"
,1503461,11/19/21,Produits Sany,,Distributeur de produit nettoyant,"4 944,91 $"
,1503464,11/19/21,Produits Sany,,Distributeur de produit nettoyant,"4 832,02 $"
,1503665,11/22/21,Produtech Plus Inc.,,Accessoires et fournitures de décoration,"6 168,02 $"
,1503666,11/22/21,Produtech Plus Inc.,,Accessoires et fournitures de décoration,"503,94 $"
,1500979,11/05/21,Société Environnementale Côte-Des-Neiges,,"Service - Installation, gestion, entretien","4 565,66 $"
,1504233,11/24/21,Tenaquip Limited,,"Articles, accessoires et équipement de bureau","6 266,44 $"
,,,,,,"64 386,46 $"
"Trottier, Pascal",1503824,11/23/21,Ceriu,,Frais - Inscription pour colloque,"1 154,86 $"
,1504307,11/25/21,École Nationale D'Administration Publique,,Service - Formation en développement interpersonnel/relationnel,"1 100,00 $"
,,,,,,"2 254,86 $"
"Turnblom, Sylvain",1502958,11/17/21,Albert Viau Division Emco Corporation,,Produits électriques,"1 392,29 $"
,1503841,11/23/21,Bf-Tech Inc.,,Produits de branchement,"1 055,45 $"
,1503960,11/23/21,Quincaillerie Notre-Dame De St-Henri Inc.,,Agrégat ensaché,"860,59 $"
,1504353,11/25/21,Services Sauvetage Technique Inc.,,Fournitures et matériel médical,"2 115,50 $"
,1501816,11/10/21,SPI Santé Sécurité Inc.,,Équipement de protection,"585,20 $"
,1500824,11/04/21,St-Germain Égouts Et Aqueducs Inc.,1277188,Produits de branchement,"4 312,47 $"
,,,,,,"10 321,50 $"
TOTAL,,,,,,"458 360,26 $"
