,Liste des bons de commandes approuvés pour le mois de décembre  2021,,,,,
"Cousineau, Simon",1508054,12/15/21,Addison Électronique Montréal,,Composante électronique,"151,06 $"
,1505807,12/03/21,Dufresne Standard & Special  Inc.,,"Matériel de fixation, clou, vis","248,82 $"
,1506202,12/06/21,Entreprises Forlini,,Vêtements de travail,"516,59 $"
,1508484,12/16/21,Entreprises Forlini,,Accessoires vestimentaires,"104,94 $"
,1505971,12/03/21,Produits Sany,1048199,Distributeur de produit nettoyant,"144,46 $"
,1508625,12/17/21,Produits Sany,1048199,Produits d'hygiène corporelle,"363,31 $"
,1508634,12/17/21,Tenaquip Limited,,"Articles, accessoires et équipement de bureau","203,15 $"
,,,,,,"1 732,33 $"
"Desjardins, Steve",1507989,12/14/21,Compugen Inc.,,Ordinateur et accessoire,"2 607,31 $"
,,,,,,"2 607,31 $"
"Gaudreault, Guylaine",1477391,12/17/21,Édifice 5160 Décarie Inc.,,"Frais - Transport en commun, taxi, stationnement","265,62 $"
,1506234,12/06/21,Geomog Inc.,,Arpenteur-géomètre,"5 228,38 $"
,1505356,12/01/21,Solotech Inc,,Appareil électronique,"552,23 $"
,1492712,12/15/21,Totalmed Solutions Santé Inc.,,Médecin,"5 564,34 $"
,,,,,,"11 610,57 $"
"Gaudreault, Sonia",1507411,12/10/21,Conceptions Snotech Inc.,,Réparation/Entretien - Équipement de sport et terrain de jeux,"22 708,79 $"
,1501795,12/08/21,De Grace Technologie,,"Entrepreneur en intercommunication, téléphonie et surveillance","10 818,96 $"
,1502999,12/14/21,Groupe De Sécurité Garda ,1268954,"Service - Agence de sécurité, gardiennage","19 976,81 $"
,1453574,12/17/21,La Compagnie De Location D'Autos Enterprise Canada.,,"Location - Automobile, camionnette et fourgonnette","12 388,53 $"
,1507185,12/09/21,Les Installations Sportives Agora Inc.,,Réparation/Entretien - Équipement de sport et terrain de jeux,"12 565,95 $"
,,,,,,"78 459,04 $"
"Gauthier, Stéphane",1502129,12/08/21,Machines à Coudre Pénélope,,"Articles, accessoires et équipement de bureau","608,92 $"
,,,,,,"608,92 $"
"Hardy, Danielle",1508187,12/15/21,Logikergo,,Médecin,"3 194,77 $"
,1505910,12/03/21,Médigestal Inc.,,Conseiller en santé et sécurité,"1 574,81 $"
,,,,,,"4 769,58 $"
"Hooper, Chantal",1458169,12/17/21,Apsam Association Paritaire Santé & Sécurité Affaires Municipales,,Service - Formation en développement organisationnel et technique,"700,00 $"
,1507261,12/10/21,Aqua-Mécanique Inc.,,Outil pneumatique,"4 889,68 $"
,1507291,12/10/21,Drain M.P.R.,,"Service - Déglaçage, nettoyage et désobstruction de conduites","6 299,25 $"
,1507430,12/10/21,Entreprises Forlini,,Vêtements de travail,"484,79 $"
,1509100,12/21/21,Les Consultants Verret Inc.,,Service - Formation en développement interpersonnel/relationnel,"1 892,40 $"
,,,,,,"14 266,12 $"
"Limperis, Apostolos Mario",1505989,12/03/21,Aquatechno Spécialistes Aquatiques Inc.,,Traitement de l'eau,"503,94 $"
,1479705,12/14/21,Boo! Design Inc.,,Service - Impression,"241,48 $"
,1505832,12/03/21,Produits Sany,1048199,Distributeur de produit nettoyant,"298,06 $"
,1506828,12/08/21,Produits Sany,1048199,Produits d'entretien ménager,"353,42 $"
,1506848,12/08/21,Produits Sany,1048199,Distributeur de produit nettoyant,"637,86 $"
,,,,,,"2 034,76 $"
"Plante, Stéphane",1508573,12/17/21,Accès Décor.Com,,Décors lumineux,"5 774,31 $"
,1505898,12/21/21,Duoson Multimédia Inc,,Service - Production multimédia,"6 632,69 $"
,1469704,12/02/21,Fnx-Innov Inc.,,Service - Analyse et essai en laboratoire,"419,95 $"
,1505340,12/01/21,Infravert,,Réaménagement de la terrasse de la Place Guy-Viau,"11 391,41 $"
,1508340,12/16/21,Pierre Alarie,,"Service - Déblaiement, chargement, transport de la neige et épandage d'abrasif (Contrat)","4 000,00 $"
,1508329,12/16/21,Rejean Beaudry,,"Service - Déblaiement, chargement, transport de la neige et épandage d'abrasif (Contrat)","4 000,00 $"
,1509111,12/21/21,Rotisserie St-Hubert,,Achat de 220 cartes cadeau de 25$ chacunes à la demande de Benoit Varin.,"5 500,00 $"
,1506095,12/06/21,Société Environnementale Côte-Des-Neiges,,Service - Entreposage,"712,87 $"
,1454429,12/17/21,Tabasko Communications Inc.,,"Service - Infographie, graphisme","1 102,37 $"
,1508601,12/17/21,Tessier Récréo-Parc Inc.,,Ingénieur civil -  Structure de bâtiment,"4 446,22 $"
,,,,,,"43 979,82 $"
"Poliseno, Martin",1507849,12/14/21,Dufresne Standard & Spécial  Inc.,,"Matériel de fixation, clou, vis","376,38 $"
,1505818,12/03/21,Ferronnerie Bronx,,Outils manuels,"278,48 $"
,1506760,12/08/21,Ferronnerie Bronx,,Accessoires de charpente et de clôture,"1 316,54 $"
,1508064,12/15/21,Inolec,,"Huile, graisse et lubrifiant","462,62 $"
,1505888,12/03/21,Jean Guglia & Fils Enr.,,Accessoires et pièces de remplacement pour outil,"319,64 $"
,1505834,12/03/21,Novafor Équipement Inc.,,Équipement contre les chutes,"453,76 $"
,1505873,12/03/21,Novafor Équipement Inc.,,Équipement contre les chutes,"1 702,19 $"
,1506103,12/06/21,Novafor Équipement Inc.,,Accessoires et pièces de remplacement pour outil,"285,46 $"
,1508612,12/17/21,Novafor Équipement Inc.,,Équipement sécurité,"661,54 $"
,1505786,12/03/21,Outillages Express,,Outils manuels,"612,97 $"
,1506141,12/06/21,Outillages Express,,Accessoires et pièces de remplacement pour outil,"279,69 $"
,1506153,12/06/21,Produits Sany,1048199,Équipement d'entretien manuel,"119,69 $"
,1508020,12/14/21,Produits Sany,1048199,Produits de papier,"245,07 $"
,1508581,12/17/21,Signel Services Inc,,Signalisation routière,"552,32 $"
,1507859,12/14/21,Tenaquip Limited,,Mobilier pour espace public et jardin,"620,31 $"
,1507899,12/14/21,Tenaquip Limited,,Fournitures et matériel médical,"601,12 $"
,,,,,,"8 887,78 $"
"Rico, Roseline",1507677,12/13/21,Boo! Design Inc.,,Service - Impression,"4 262,50 $"
,1508509,12/16/21,Boo! Design Inc.,,Service - Impression,"3 322,86 $"
,1505695,12/02/21,Café Liegeois Canada Inc.,,Électroménager,"2 924,36 $"
,1506203,12/06/21,De Grace Technologie,,"Entrepreneur en intercommunication, téléphonie et surveillance","1 469,82 $"
,1507679,12/13/21,Groupe Api Inc.,,Bureau (Mobilier autoportant),"2 138,21 $"
,1506842,12/08/21,Groupe Icible Inc.,,Service - Impression,"8 923,94 $"
,1508511,12/16/21,Groupe Icible Inc.,,Scanneurs pour la lecture des codes QR de laissez-passer,"5 575,89 $"
,1457617,12/22/21,Lamcom Technologies Inc.,,Service - Impression,"2 670,00 $"
,1501794,12/14/21,Location Sauvageau Inc.,,"Carburant (essence, diesel, kérosène)","23,33 $"
,1504916,12/20/21,Location Sauvageau Inc.,,"Carburant (essence, diesel, kérosène)","37,22 $"
,1507674,12/13/21,Magasins Best Buy Ltée,,Appareil électronique,"1 786,44 $"
,1508929,12/20/21,Monsieur Macarons Inc.,,Appareil électronique,"799,69 $"
,1508503,12/16/21,Mtl Bboying,,"Service - Formation, animation d'atelier","5 000,00 $"
,1506479,12/07/21,Prisma-Scène Inc.,,Réparation/Entretien - Équipement de scène,"3 391,10 $"
,1452908,12/01/21,R.M. Leduc & Cie Inc.,,"Articles, accessoires et équipement de bureau","5 325,09 $"
,1497574,12/14/21,Solotech Inc,,Service - Transport de colis (Frais de transport),"21,00 $"
,,,,,,"47 671,45 $"
"Stingaciu, Irinel-Maria",1452892,12/02/21,Biblio Rpl Léee,,Articles de papeterie,"2 660,12 $"
,,,,,,"2 660,12 $"
"St-Laurent, Sonia",1502486,12/13/21,Aquam Specialiste Aquatique Inc.,,Accessoires de sport,"411,72 $"
,1454595,12/14/21,Cimco  Réfrigération,,Entrepreneur en réfrigération,"2 004,01 $"
,1481578,12/20/21,Lavo,,Traitement de l'eau,"391,08 $"
,1452280,12/21/21,Telus Communications  Inc.,1408829,Appareil de communication,"15 748,12 $"
,,,,,,"18 554,93 $"
"Trottier, Pascal",1508569,12/17/21,Compugen Inc.,,Ordinateur et accessoire,"776,91 $"
,1507433,12/10/21,Montréal Stencil Inc,,"Articles, accessoires et équipement de bureau","23,94 $"
,,,,,,"800,85 $"
"Turnblom, Sylvain",1503256,12/20/21,Acklands - Grainger Inc.,,Équipement contre les chutes,"826,78 $"
,1506813,12/08/21,Équipements Pro Béton,,Accessoires et pièces de remplacement pour outil,"304,46 $"
,1508505,12/16/21,Inolec,,Accessoires et pièces de remplacement pour outil,"292,35 $"
,1483062,12/14/21,Location Gamma Inc.,,Outils électriques,"2 975,34 $"
,1508626,12/17/21,Location Gamma Inc.,,Accessoires et pièces de remplacement pour outil,"588,98 $"
,1449145,12/06/21,Regard Sécurité,1255847,Équipement de protection,"89,00 $"
,1505451,12/01/21,Tech Vac Environnement Inc.,,Service - Machinerie avec opérateur,"1 301,01 $"
,1507552,12/13/21,Tech Vac Environnement Inc.,,Service - Machinerie avec opérateur,"1 286,10 $"
,,,,,,"7 664,02 $"
TOTAL,,,,,,"304 910,44 $"
