VILLE DE MONTRÉAL  ,,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,,
Listes des bons de commandes approuvés pour mai 2021,,,,,,
,,,,,,
,,,,,,
Dernier Approbateur,Numéro bon ,Date ,Nom fournisseur,Numéro de,Description,Montant de 
,1473281,2021-05-18,,,Équipement de scène,"1 049,87 $"
,1472459,2021-05-12,Solotech Inc,,Équipement de scène,"667,72 $"
,1473854,2021-05-19,Store Urbain,,Accessoires et fourniture de décoration,"4 514,46 $"
,1475029,2021-05-27,Techno-Gestass Ltee,,Articles de papeterie,"158,24 $"
,1472935,2021-05-14,Uline Canada Corp,,"Articles, accessoires et équipement de bureau","553,30 $"
,,,,,,"12 629,56 $"
"St-Laurent, Sonia",1475186,2021-05-27,Systemes Canadien Kronos Inc,,Logiciel et progiciel,"6 889,28 $"
,,,,,,"6 889,28 $"
"Turnblom, Sylvain",1474161,2021-05-20,Inolec,,Accessoires et pièces de remplacement pour outil,"304,46 $"
,1473959,2021-05-20,Quincaillerie Notre-Dame De St-Henri Inc.,,Outils manuels,"229,92 $"
,1449145,2021-05-01,Regard Securite,1255847,Équipement de protection,"877,00 $"
,1473998,2021-05-20,Stelem (Canada) Inc.,,Produits de branchement,"206,83 $"
,1473450,2021-05-18,St-Germain Egouts Et Aqueducs Inc.,1191511,"Puisard, chambre de vanne, trou d'homme et regard","766,40 $"
,1473559,2021-05-18,Tenaquip Limited,,Équipement de protection,"1 114,13 $"
,,,,,,"3 498,74 $"
TOTAL,,,,,,"511 034,59$"
