VILLE DE MONTRÉAL  ,,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,,
Listes des bons de commandes approuvés pour juin 2021,,,,,,
,,,,,,
,,,,,,
Dernier Approbateur,Numéro bon ,Date ,Nom fournisseur,Numéro de,Description,Montant de 
,1479034,2021-06-16,Les Expertises Jacques Desnoyers Inc.,,Médecin,"6 299,25 $"
,1478978,2021-06-17,Lifeworks (Canada) Ltd.,,Service - Formation en développement interpersonnel/relationnel,"2 960,65 $"
,,,,,,"34 266,29 $"
"Gaudreault, Sonia",1453574,2021-06-15,Discount Location D'Autos Et Camions,,"Location - Automobile, camionnette et fourgonnette","11 177,00 $"
,1479529,2021-06-18,Motorola Solutions Canada Inc,887030,Appareil électronique,"9 398,39 $"
,1474324,2021-06-11,Solutions Trexo Inc.,,Peinture - résidentielle et industrielle,"15 748,12 $"
,,,,,,"36 323,51 $"
"Gauthier, Stéphane",1477022,2021-06-07,Uline Canada Corp,,Matériel artistique,"363,00 $"
,1478444,2021-06-14,,,Matériel artistique,"249,87 $"
,,,,,,"612,87 $"
"Hardy, Danielle",1456828,2021-06-01,Centre Patronal De Santé Et Sécurité Du Travail Du Quebec (C P S S T Q ),,Service - Formation en santé et sécurité,"524,94 $"
,1475830,2021-06-01,Les Consultants Olympe Inc.,1353377,Conseiller en ergonomie,"367,46 $"
,,,,,,"892,40 $"
"Hooper, Chantal",1479328,2021-06-17,3289419 Canada (Collins),,Vêtements de travail,"238,12 $"
,1478243,2021-06-11,Acklands - Grainger Inc.,,Service - Formation en santé et sécurité,"1 761,48 $"
,1475849,2021-06-01,Albert Viau Division Emco Corporation,,Produits de branchement,"544,68 $"
,1478758,2021-06-15,Arbo-Design Inc.,,"Service - Abattage, émondage, élagage","629,92 $"
,1479399,2021-06-18,Centre De Services Scolaire De Montreal,,Service - Formation en développement organisationnel et technique,"4 994,73 $"
,1479310,2021-06-17,Équipements Pro Beton,,Accessoires et pièces de remplacement pour outil,"345,83 $"
,1475485,2021-06-11,Gfl Environnemental Inc.,1408749,Location - Toilette chimique,"3 212,62 $"
,1480147,2021-06-22,Groupe Arbo-Ressources Inc.,,"Service - Extermination, fumigation","6 294,00 $"
,1477460,2021-06-09,Les Jardins Michel Corbeil Inc.,,Produits horticoles,"8 837,32 $"
,1478155,2021-06-11,Location Gamma Inc.,,Outils manuels,"146,27 $"
,1479721,2021-06-21,Novafor Equipement Inc.,,Équipement contre les chutes,"7 202,34 $"
,1464602,2021-06-08,Pépinière A. Mucci Inc.,,Produits horticoles,"3 788,21 $"
,1477639,2021-06-09,Pépinière Vert Foret,,Produits horticoles,"7 334,69 $"
,1471802,2021-06-15,Ppg Revetements Architecturaux Canada Inc.,,Accessoires et fournitures de peinture,"586,43 $"
,1449150,2021-06-09,Regard Securite,,Équipement de protection,"233,00 $"
,1476479,2021-06-03,Stelem (Canada) Inc.,,Produits électriques,"131,23 $"
,1478435,2021-06-14,Transelec / Common Inc.,,Produits de branchement,"1 480,32 $"
,1478496,2021-06-14,United Rentals Du Canada,,Équipement sécurité,"6 486,57 $"
,,,,,,"54 247,76 $"
"Limperis, Apostolos Mario",1478094,2021-06-11,Aquam Specialiste Aquatique Inc.,,Équipement d'entretien manuel,"817,43 $"
,1477026,2021-06-07,Aquatechno Specialistes Aquatiques Inc.,,Traitement de l'eau,"2 687,68 $"
,1479705,2021-06-21,Boo! Design Inc.,,Service - Impression,"929,15 $"
,1481368,2021-06-29,,,Service - Impression,"225,73 $"
,1478706,2021-06-15,Chaussures Belmont Inc,1431934,Vêtements de travail,"181,48 $"
,1480599,2021-06-23,,1431934,Vêtements de travail,"90,74 $"
,1477068,2021-06-07,Détection Radex Inc.,,Entrepreneur en petits ouvrages de béton,"671,92 $"
,1476148,2021-06-02,G & L Thivierge Inc,,Entrepreneur en petits ouvrages de béton,"1 391,08 $"
,1479366,2021-06-18,Lavo,,Traitement de l'eau,"354,33 $"
,1473209,2021-06-18,L'Empreinte Imprimerie Inc.,,Service - Impression,"1 742,79 $"
,1477285,2021-06-08,Produits Sany,1048199,Produits de papier,"1 359,09 $"
,1477508,2021-06-09,,1048199,Produits d'hygiène corporelle,"173,27 $"
,1478114,2021-06-11,,1048199,Produits d'entretien ménager,"624,11 $"
,1478125,2021-06-11,,1048199,Équipement d'entretien manuel,"885,10 $"
,1480598,2021-06-23,,1048199,Produits d'entretien ménager,"267,79 $"
,1480597,2021-06-23,Quincaillerie Securite Canada (Qsc),1203411,Équipement sécurité,"43,28 $"
,1479032,2021-06-16,Tabasko Communications Inc.,,Service - Impression,"1 748,04 $"
,,,,,,"14 193,01 $"
"Plante, Stéphane",1476462,2021-06-03,9118-3210 Québec Inc.,,Entrepreneur en petits bâtiments,"22 538,72 $"
,1476463,2021-06-03,,,Entrepreneur en petits bâtiments,"22 645,74 $"
,1477171,2021-06-08,Conteneurs Experts S.D. Inc.,,Réservoir et contenant de stockage,"19 426,10 $"
,1479061,2021-06-16,Distributeur Tapico Ltee,,Entrepreneur en bâtiments de tout genre,"27 769,19 $"
,1476492,2021-06-03,Enseignes Barbo Inc.,,Entrepreneur en ouvrages métalliques,"1 254,60 $"
,1478745,2021-06-15,Imprime-Emploi,1376718,Service - Impression,"4 072,18 $"
,1478629,2021-06-15,Lamcom Technologies Inc.,,Service - Impression,"2 353,40 $"
,1479493,2021-06-18,Les Medailles Lanaudière,1222533,Service - Recensement et délivrance de licences,"314,96 $"
,1476387,2021-06-03,"Monette Barakett, S.E.N.C.",,Avocat,"26 456,85 $"
,1478252,2021-06-11,Plomberie Denis Paradis Inc,,Entrepreneur en plomberie,"225,72 $"
,1476502,2021-06-03,Prevention Cote-Des-Neiges Notre-Dame-De-Grace,,Service - Aménagement paysager,"792,00 $"
,1480444,2021-06-23,Sigmum Inc.,,Conseiller en planification stratégique,"40 420,19 $"
,1477464,2021-06-09,Six Creativelab,,Conseiller publicitaire,"1 753,82 $"
,1477624,2021-06-18,Société Canadienne Des Postes,,"Service - Postal, messagerie","11 548,62 $"
,1479872,2021-06-21,Solotech Inc,,Entrepreneur en travaux de finition,"926,51 $"
,1476545,2021-06-03,Solution Groupe Dc Inc,,"Clôture, barricade","5 732,89 $"
,1481250,2021-06-29,Telar Construction Inc.,,Ingénieur civil - Structure de bâtiment,"1 574,81 $"
,,,,,,"189 806,30 $"
TOTAL,,,,,,"426 727,25 $"
