VILLE DE MONTRÉAL  ,,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,,
Listes des bons de commandes approuvés pour juillet 2021,,,,,,
,,,,,,
,,,,,,
Dernier Approbateur,Numéro bon ,Date ,Nom fournisseur,Numéro de,Description,Montant de 
"Limperis, Apostolos Mario",1485044,2021-07-22,Aquam Specialiste Aquatique Inc.,,Produits d'entretien ménager,"2 062,72 $"
,1482897,2021-07-09,Distribution Sports Loisirs - Installation Inc.,,Équipement et fourniture pour terrain de jeux,"165,83 $"
,1478114,2021-07-23,Produits Sany,,Produits d'entretien ménager,"33,34 $"
,1478125,2021-07-23,,,Produits d'entretien ménager,"17,64 $"
,1484605,2021-07-20,,1048199,Produits de papier,"373,00 $"
,1484740,2021-07-21,,,Équipement d'entretien manuel,"122,40 $"
,1479032,2021-07-30,Tabasko Communications Inc.,,Service - Impression,"31,50 $"
,,,,,,"2 806,43 $"
"Plante, Stéphane",1477171,2021-07-29,Conteneurs Experts Inc.,,Réservoir et contenant de stockage,"2 262,89 $"
,1485117,2021-07-26,Espaces Temps Montreal,,Conseiller en communications,"15 590,64 $"
,1484796,2021-07-21,Groupe Sanyvan Inc.,,Service - Inspection de conduites,"40 177,87 $"
,1478745,2021-07-21,Imprime-Emploi,1376718,Service - Impression,"4 092,48 $"
,1475932,2021-07-27,Lamcom Technologies Inc.,,Service - Impression,"1 049,87 $"
,1482942,2021-07-09,,,Service - Impression,"359,48 $"
,1482896,2021-07-09,Multi-Surfaces - F. Giguere Inc,,Réparation/Entretien - Équipement de sport et terrain de jeux,"43 806,25 $"
,1482245,2021-07-06,R&D Ergo Ltd.,,Chaise et fauteuil ergonomique,"32 270,91 $"
,1477624,2021-07-21,Société Canadienne Des Postes,,"Service - Postal, messagerie","4 753,12 $"
,1454429,2021-07-28,Tabasko Communications Inc.,,"Service - Infographie, graphisme","5 249,37 $"
,1452727,2021-07-23,Telus Communications Inc.,1408829,Appareil de communication,"1 259,85 $"
,1452729,2021-07-23,,1408829,Appareil de communication,"1 574,81 $"
,1485580,2021-07-27,Trafic Innovation Inc.,,Mobilier pour protection et sécurité,"1 985,10 $"
,,,,,,"154 432,64 $"
"Poliseno, Martin",1483669,2021-07-14,Groupe Sani-Tech Inc.,,"Crochet, goupille, manille et poulie","167,98 $"
,1483973,2021-07-15,Quincaillerie Notre-Dame De St-Henri Inc.,,"Matériel de fixation, clou, vis","296,00 $"
,1482125,2021-07-06,Teris Services D'Approvisionnement Inc.,,Gazon,"1 078,70 $"
,,,,,,"1 542,68 $"
"Reeves, Geneviève",1459885,2021-07-05,Duoson Multimedia Inc,,Service - Diffusion,"6 088,85 $"
,1477738,2021-07-15,Société Canadienne Des Postes,,"Service - Postal, messagerie","1 049,87 $"
,,,,,,"7 138,72 $"
"Rico, Roseline",1484174,2021-07-16,3512762 Canada Inc.,,Meuble,"3 942,28 $"
,1482900,2021-07-09,Addison Electronique Montreal,,Appareil électronique,"168,18 $"
,1482491,2021-07-07,Compugen Inc.,,Ordinateur et accessoire,"406,41 $"
,1475076,2021-07-14,Kotmo Inc.,,Vêtements de travail,"157,48 $"
,1485939,2021-07-29,Le Groupe Blh Inc.,,"Articles, accessoires et équipement de bureau","1 406,83 $"
,1483607,2021-07-14,Les Impressions Plastimax,,Service - Impression,"1 481,11 $"
,1484808,2021-07-21,Magasins Best Buy Ltée,,Électroménager,"1 574,80 $"
,1457620,2021-07-23,Peauseidon Eau De Source Naturelle,,Breuvage et nourriture,"130,25 $"
,1482216,2021-07-06,Vincent Ergonomie Inc.,,Service - Formation en santé et sécurité,"2 645,68 $"
,,,,,,"11 913,02 $"
"St-Laurent, Sonia",1483605,2021-07-14,Aesl Instrumentation Inc.,,Réparation/Entretien - Équipement de sport et terrain de jeux,"295,00 $"
,1483603,2021-07-14,Aquatechno Specialistes Aquatiques Inc.,,Réparation/Entretien - Équipement de sport et terrain de jeux,"1 134,65 $"
,1479285,2021-07-14,Hypertec Systemes Inc,1469336,Ordinateur et accessoire,"1 192,87 $"
,1466484,2021-07-30,Location Sauvageau Inc.,,Service - Transport automobile,"512,70 $"
,1482908,2021-07-09,Services D'Entretien Alphanet Inc.,,Service - Entretien d'immeuble,"1 511,82 $"
,,,,,,"4 647,04 $"
"Turnblom, Sylvain",1482978,2021-07-09,9181-0309 Québec Inc.,,Outils à batterie,"600,51 $"
,1482349,2021-07-07,Albert Viau Division Emco Corporation,,"Adhésif, colle","849,33 $"
,1486103,2021-07-30,Stelem (Canada) Inc.,,Réparation de conduit d'aqueduc,"343,83 $"
,,,,,,"1 793,67 $"
TOTAL,,,,,,"312 898,97 $"
