VILLE DE MONTRÉAL  ,,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,,
Listes des bons de commandes approuvés pour avril 2021,,,,,,
,,,,,,
,,,,,,
Dernier Approbateur,Numéro bon ,Date ,Nom fournisseur,Numéro de,Description,Montant de 
,1457271,2021-04-23,Emondage St-Germain & Freres Ltee,,"Service - Abattage, émondage, élagage","1 259,85 $"
,,,,,,"1 425,73 $"
"Gaudreault, Guylaine",1466533,2021-04-12,Confidentiel Dechiquetage De Documents Inc.,,Service - Destruction de documents,"481,16 $"
,1466889,2021-04-15,Hypertec Systemes Inc,1410870,Ordinateur et accessoire,"1 431,44 $"
,,,,,,"1 912,60 $"
"Gaudreault, Sonia",1466001,2021-04-07,Alliance Quebecoise Du Loisir Public,,Service - Formation en développement organisationnel et technique,"519,69 $"
,1465987,2021-04-07,Association Des Bibliotheques Publiques Du Quebec,,Frais - Adhésion et cotisation,"2 651,90 $"
,1466607,2021-04-09,Brault & Bouthillier Ltee,,Matériel artistique,"395,54 $"
,,,,,,"3 567,13 $"
"Hardy, Danielle",1467676,2021-04-15,"Francois G. Fortier, Avocat-Arbitre",,Avocat,"2 624,69 $"
,,,,,,"2 624,69 $"
"Hooper, Chantal",1469684,2021-04-29,3289419 Canada (Collins),,Vêtements de travail,"220,57 $"
,1469082,2021-04-26,Addison Electronique Montreal,,Composante électronique,"41,97 $"
,1469671,2021-04-29,Bmr Detail S.E.C.,,Bois de construction,"1 516,51 $"
,1469020,2021-04-26,Groupe Bissonnette Inc.,,Produits d'entretien ménager,"758,43 $"
,1469303,2021-04-27,J.A. Larue Inc,,"Matériel de fixation, clou, vis","1 468,78 $"
,1469279,2021-04-27,Les Mousses De L'Estrie Inc.,,Fournitures horticoles,"10 891,41 $"
,1469474,2021-04-28,Les Pavages Ceka Inc.,,Entrepreneur en routes et canalisation,"8 218,20 $"
,1454821,2021-04-22,Multi-Pressions L.C. Inc.,,Réparation/Entretien - Appareil d'entretien,"209,97 $"
,1469199,2021-04-27,Produits Sany,,Produits d'entretien ménager,"205,71 $"
,1449435,2021-04-26,Regard Securite,,Équipement de protection,"170,00 $"
,1469034,2021-04-26,St-Germain Egouts Et Aqueducs Inc.,1277188,"Puisard, chambre de vanne, trou d'homme et regard","17 518,84 $"
,1469039,2021-04-26,,1277188,"Puisard, chambre de vanne, trou d'homme et regard","7 061,30 $"
,1469325,2021-04-27,Tessier Recreo-Parc Inc.,,Réparation/Entretien - Équipement de sport et terrain de jeux,"9 499,27 $"
,,,,,,"57 780,96 $"
"Limperis, Apostolos Mario",1469037,2021-04-26,Aquatechno Specialistes Aquatiques Inc.,,"Produits de décontamination, traitement des odeurs","1 100,27 $"
,1466399,2021-04-08,Cimco Refrigeration,,Réparation/Entretien - Équipement de sport et terrain de jeux,"3 276,49 $"
,1468177,2021-04-20,Dallaire Medical Inc.,,Fournitures et matériel médical,"1 522,32 $"
,1466393,2021-04-08,Le Groupe Bellon Prestige Inc.,,Service - Entreposage,"2 233,08 $"
,1464441,2021-04-27,Produits Sany,1048199,Produits de papier,"105,46 $"
,,,,,,"8 237,62 $"
"Plante, Stéphane",1465423,2021-04-09,9118-3210 Quebec Inc.,,Mobilier pour espace public et jardin,"45 635,66 $"
,1465993,2021-04-13,Balai Le Permanent Inc.,,"Service - Balayage, nettoyage de voies publiques","34 771,86 $"
,1468673,2021-04-22,Bouthillette Parizeau Inc.,,Ingénieur télécommunication,"27 165,52 $"
,1466542,2021-04-09,Confidentiel Dechiquetage De Documents Inc,1339456,Service - Destruction de documents,"312,34 $"
,1466856,2021-04-12,Cooperative De L'Universite Laval,,Ordinateur et accessoire,"717,62 $"
,1465442,2021-04-09,Creations Taraxacum Inc.,,Service - Aménagement paysager,"16 152,33 $"
,1456014,2021-04-15,Duoson Multimedia Inc,,Service - Production multimédia,"8 399,00 $"
,1469704,2021-04-29,Fnx-Innov Inc.,,Service - Analyse et essai en laboratoire,"1 207,36 $"
,1459870,2021-04-12,Global Inspect Inc.,,Inspecteur en bâtiment,"8 797,94 $"
,1466201,2021-04-08,Jean-Guy Lavallee,,"Service - Balayage, nettoyage de voies publiques","34 318,31 $"
,1468658,2021-04-22,Les Services Exp Inc.,,Architecte,"35 958,22 $"
,1468076,2021-04-19,"Paris, Ladouceur & Associes Inc.",1438947,Évaluateur agréé,"10 498,75 $"
,1456005,2021-04-15,P.Laplante & Associes Inc.,,Conseiller en relation de travail,"2 624,69 $"
,1468977,2021-04-23,Projet Paysage Inc.,,Équipement et fourniture pour terrain de jeux,"22 275,72 $"
,1455959,2021-04-12,Solution Groupe Dc Inc,,"Clôture, barricade","552,87 $"
,1466026,2021-04-07,Transport Gilbert Hamelin Inc.,,"Service - Balayage, nettoyage de voies publiques","30 236,40 $"
,,,,,,"279 624,59 $"
"Poliseno, Martin",1469274,2021-04-27,Aiglon Indigo,,"Graine, semence, bulbe et bouture","1 913,38 $"
,1467030,2021-04-13,Bmr Detail S.E.C.,,"Pile, batterie","827,79 $"
,1468204,2021-04-20,,,Équipement d'entretien manuel,"83,92 $"
,1469048,2021-04-26,,,Équipement sécurité,"143,81 $"
,1466739,2021-04-12,Gfl Environnemental Inc.,1408749,Location - Toilette chimique,"1 984,26 $"
,1460642,2021-04-27,Jean Guglia & Fils Enr.,,Service - Transport de colis (Frais de transport),"24,09 $"
,1467015,2021-04-13,,,Accessoires et pièces de remplacement pour outil,"1 554,93 $"
,1466869,2021-04-12,Novafor Equipement Inc.,,Vêtements de travail,"1 600,67 $"
,1469625,2021-04-29,Portes Unies St-Michel (Pusm) Inc.,,Portes et fenêtres,"540,05 $"
,1467223,2021-04-14,Produits Sany,1048199,Produits d'hygiène corporelle,"254,40 $"
,1469538,2021-04-28,Sciage De Beton St-Leonard Ltee,,Équipement sécurité,"1 125,46 $"
,1469461,2021-04-28,Securite Landry Inc,,Accessoires vestimentaires,"485,41 $"
,1469553,2021-04-28,Solutions Alternatives Environnement Inc,,Service - Formation en développement organisationnel et technique,"519,69 $"
,,,,,,"11 057,86 $"
"Reeves, Geneviève",1469263,2021-04-27,Compugen Inc.,1410852,Ordinateur et accessoire,"352,75 $"
,1451247,2021-04-15,Mediaqmi Inc.,,Service - Placement média d'avis public,"1 574,81 $"
,,,,,,"1 927,56 $"
"Rico, Roseline",1469960,2021-04-30,Piano Esmonde White,,Réparation/Entretien - Équipement de scène,"1 049,87 $"
,,,,,,"1 049,87 $"
"St-Laurent, Sonia",1469547,2021-04-28,Cong.Chevra Kadisha Bnai J.,,"Service - Installation, gestion, entretien","4 600,00 $"
,1466484,2021-04-09,Location Sauvageau Inc.,,"Location - Automobile, camionnette et fourgonnette","5 127,59 $"
,1463753,2021-04-26,Seve Formation Canada,,"Frais - Inscription pour colloque, conférence, séminaire et congrès","1 790,00 $"
,,,,,,"11 517,59 $"
"Turnblom, Sylvain",1465681,2021-04-01,Atelier D'Usinage Innova Precision 2014,,"Réparation/Entretien - Véhicule lourd, machinerie lourde et camion équipement spécialisé","2 556,55 $"
,1469045,2021-04-26,St-Germain Egouts Et Aqueducs Inc.,,"Puisard, chambre de vanne, trou d'homme et regard","389,63 $"
,1469956,2021-04-30,Texel Materiaux Techniques Inc.,,Recouvrement - toiture,"918,01 $"
,,,,,,"3 864,19 $"
TOTAL,,,,,,"545 250,99 $"
