VILLE DE MONTRÉAL  ,,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,,
Listes des bons de commandes approuvés pour mars 2021,,,,,,
,,,,,,
,,,,,,
Dernier Approbateur,Numéro bon ,Date ,Nom fournisseur,Numéro de,Description,Montant de 
,1462692,2021-03-16,Ecole Nationale D'Administration Publique,,Service - Formation en développement organisationnel et technique,"1 469,82 $"
,1462694,2021-03-16,Hypertec Systemes Inc,1410870,Ordinateur et accessoire,"238,57 $"
,1464653,2021-03-26,Les Couvre-Planchers Solathèque Inc.,,Entrepreneur en bâtiments de tout genre,"4 792,68 $"
,1464935,2021-03-29,Les Solutions De Rangement Prisma Inc.,,"Classeur, étagère et armoire de rangement","1 071,92 $"
,1463753,2021-03-22,Seve Formation Canada,,"Frais - Inscription pour colloque, conférence, séminaire et congrès","1 790,00 $"
,1463772,2021-03-22,Société Canadienne Des Postes,,"Service - Postal, messagerie","1 049,87 $"
,1462201,2021-03-12,Techno-Gestass Ltee,,Matériel pour communication graphique,"56,70 $"
,1464622,2021-03-26,Vie-Va Formation (Je) Inc.,,Service - Formation en développement organisationnel et technique,"1 163,26 $"
,,,,,,"11 695,75 $"
"Hardy, Danielle",1462632,2021-03-16,Denis Provençal Arbitrage Et Mediation Inc.,,Avocat,"456,70 $"
,1462759,2021-03-16,"Les Consultants MHD, Experts En Medecine Du Travail",,Conseiller en santé et sécurité au travail,"1 732,29 $"
,,,,,,"2 188,99 $"
"Hooper, Chantal",1460650,2021-03-02,BMR Détail S.E.C.,,Accessoires et pièces de remplacement pour outil,"232,95 $"
,1460646,2021-03-02,Novafor Equipement Inc.,,Équipement contre les chutes,"399,59 $"
,,,,,,"632,54 $"
"Limperis, Apostolos Mario",1464612,2021-03-26,2439-5584 Quebec Inc.,,Service - Nettoyage industriel,"1 013,13 $"
,1457731,2021-03-23,Produits Sany,1048199,Produits de nettoyage,"44,77 $"
,,,,,,"1 057,90 $"
"Morissette, Christian",1462162,2021-03-11,Aerochem Inc.,,Absorbant,"1 923,37 $"
,1461780,2021-03-10,Produits Sany,1048199,Produits d'entretien ménager,"102,93 $"
,1462163,2021-03-11,Produits Sany,1048199,Équipement d'entretien manuel,"746,30 $"
,1461763,2021-03-10,Quincaillerie Notre-Dame De St-Henri Inc.,,Accessoires et pièces de remplacement pour machinerie et équipement industriel,"314,86 $"
,1463805,2021-03-23,Tenaquip Limited,,Vêtements de travail,"3 424,46 $"
,,,,,,"6 511,92 $"
"Plante, Stéphane",1456080,2021-03-05,Boo! Design Inc.,,"Service - Infographie, graphisme","11 758,60 $"
,1457274,2021-03-20,Construction Di Paolo Inc,,Entrepreneur en travaux d'emplacement,"839,90 $"
,1465325,2021-03-31,Develotech Inc.,,Mobilier pour protection et sécurité,"20 997,50 $"
,1465326,2021-03-31,,,Mobilier pour protection et sécurité,"20 997,50 $"
,1437638,2021-03-20,Ism Art & Design,,Accessoires et fournitures de décoration,"4 306,07 $"
,1464654,2021-03-26,Jean-Claude Laurin,,Coaching de gestion,"1 889,77 $"
,1433868,2021-03-20,Leblanc Illuminations-Canada Inc.,,"Drapeau, bannière, fanion et décoration temporaire","2 596,08 $"
,1464710,2021-03-26,Les Plantations Letourneau (Pepiniere),,Produits horticoles,"17 087,77 $"
,1460583,2021-03-02,Les Serres Riel Inc,,Produits horticoles,"30 110,29 $"
,1465322,2021-03-31,Miovision Technologies Inc.,,"Service - Recherche, étude de marché","15 748,12 $"
,1461986,2021-03-11,Paysagement Belle,,"Rocaille Bloc de béton, pavé, pierre et brique","1 574,81 $"
,1464703,2021-03-26,Pépiniere Rougemont,,Enr Produits horticoles,"15 188,54 $"
,1464813,2021-03-29,Pépiniere Y. Yvon Auclair Et Fils,,Produits horticoles,"15 564,40 $"
,1463111,2021-03-24,Société Environnementale Côte-Des-Neiges,,Frais - Contribution à des organismes,"15 135,54 $"
,1454429,2021-03-06,Tabasko Communications Inc.,,"Service - Infographie, graphisme","11 044,65 $"
,,,,,,"184 839,54 $"
"Poliseno, Martin",1450020,2021-03-11,BMR Détail S.E.C.,,Service - Transport de colis (Frais de transport),"157,48 $"
,1461735,2021-03-10,,,Accessoires et pièces de remplacement pour machinerie et équipement industriel,"89,19 $"
,1462216,2021-03-12,,,Accessoires et pièces de remplacement pour machinerie et équipement industriel,"136,36 $"
,1463821,2021-03-22,,,Accessoires et pièces de remplacement pour outil,"509,62 $"
,1464842,2021-03-29,,,Équipement d'entretien manuel,"125,96 $"
,1464606,2021-03-26,Irriglobe Inc.,,Système d'irrigation et d'arrosage,"2 099,75 $"
,1464833,2021-03-29,Jean Guglia & Fils Enr.,,Accessoires et pièces de remplacement pour outil,"3 989,75 $"
,1464329,2021-03-25,Les Gestions M&D Picard Inc.,,Accessoires et pièces de remplacement pour machinerie et équipement industriel,"1 574,81 $"
,1464607,2021-03-26,Les Industries Simexco Inc,,Réparation/Entretien - Équipement de sport et terrain de jeux,"2 099,75 $"
,1464602,2021-03-30,Pépinière A. Mucci Inc.,,Produits horticoles,"2 372,72 $"
,,2021-03-26,,,Produits horticoles,"0,00 $"
,1462165,2021-03-11,P.R. Distribution Inc.,,Équipement de protection,"393,18 $"
,1464953,2021-03-29,Securite Landry Inc,,Équipement de protection,"315,31 $"
,1463369,2021-03-18,Société Internationale D'Arboriculture Québec Inc. (S.I.A.Q.),,"Frais - Inscription pour colloque, conférence, séminaire et congrès","834,65 $"
,1464608,2021-03-26,Tessier Recreo-Parc Inc.,,Réparation/Entretien - Équipement de sport et terrain de jeux,"2 099,75 $"
,1464610,2021-03-26,Vortex Structures Aquatiques Internationales Inc,,Réparation/Entretien - Équipement de sport et terrain de jeux,"4 199,50 $"
,,,,,,"20 997,78 $"
"Reeves, Geneviève",1459885,2021-03-05,Duoson Multimedia Inc,,Service - Diffusion,"839,06 $"
,,,,,,"839,06 $"
"St-Laurent, Sonia",1462204,2021-03-12,Hypertec Systemes Inc,,Ordinateur et accessoires,"187,93 $"
,,,,,,"187,93 $"
"Turnblom, Sylvain",1464351,2021-03-25,Atelier D'Usinage Innova Precision 2014,,Service - Inspection de véhicules,"629,92 $"
,1456021,2021-03-12,Olivier Montulet,,Service - Formation en développement organisationnel et technique,"2 099,75 $"
,1461751,2021-03-10,Quincaillerie Notre-Dame De St-Henri Inc.,,Outils manuels,"773,76 $"
,1453846,2021-03-26,Réno-Dépôt,,Accessoires et pièces de remplacement pour machinerie et équipement industriel,"1 049,87 $"
,,,,,,"4 553,30 $"
"Varin, Benoit",1462086,2021-03-11,Corporate Express Canada Inc. (Staples Avantage),,Appareil électronique,"339,24 $"
,,,,,,"339,24 $"
TOTAL,,,,,,"333 020,36 $"
