,Liste des bons de commandes approuvés pour le mois d'août 2021,,,,,
,1485120,03/08/21,Infoprd,,Conseiller en informatique,"1 574,81 $"
,1488262,18/08/21,Oburo,,Accessoires et fournitures de mobilier de bureau,"18 975,36 $"
,,,,,,"30 343,27 $"
"Gaudreault, Sonia",1487366,10/08/21,Association Skateparks Montréal,,Entrepreneur en travaux d'emplacement,"2 624,68 $"
,1443046,18/08/21,Sodem Inc.,,Réparation/Entretien - Équipement de sport et terrain de jeux,"1 392,13 $"
,,,,,,"4 016,81 $"
"Gauthier, Stéphane",1488852,20/08/21,Uline Canada Corp,,Accessoires et fournitures de mobilier de bureau,"519,60 $"
,,,,,,"519,60 $"
"Hooper, Chantal",1488667,19/08/21,9181-0309 Québec Inc.,,Outils manuels,"214,05 $"
,1487364,10/08/21,Bf-Tech Inc.,,Système d'échappement et antipollution pour matériel roulant,"617,10 $"
,1489586,27/08/21,Givesco Inc.,,"Ciment, mélange à béton ensaché","5 281,71 $"
,1488848,20/08/21,Produits Sany,1048199,Sacs à ordures et recyclage,"4 810,80 $"
,1489590,27/08/21,Quincaillerie Notre-Dame De St-Henri Inc.,,"Ciment, mélange à béton ensaché","237,27 $"
,1487977,13/08/21,Stelem (Canada) Inc.,,Outils manuels,"829,40 $"
,1489435,26/08/21,St-Germain Égouts Et Aqueducs Inc.,,Produits de branchement,"415,76 $"
,,,,,,"12 406,09 $"
"Limperis, Apostolos Mario",1483603,31/08/21,Aquatechno Spécialistes Aquatiques Inc.,,Réparation/Entretien - Équipement de sport et terrain de jeux,"143,31 $"
,1488854,20/08/21,,,Traitement de l'eau,"571,13 $"
,1479705,31/08/21,Boo! Design Inc.,,Service - Impression,"21,00 $"
,1488094,16/08/21,Chaussures Belmont Inc,1431934,Vêtements de travail,"90,74 $"
,1487578,11/08/21,Produits Sany,1048199,Produits de papier,"334,36 $"
,1487591,11/08/21,,,Équipement d'entretien manuel,"1 156,87 $"
,1487791,12/08/21,,,Distributeur de produit nettoyant,"1 279,81 $"
,1488341,17/08/21,,,Distributeur de produit nettoyant,"705,52 $"
,1488654,19/08/21,,,Produits d'entretien ménager,"214,11 $"
,1480597,26/08/21,Quincaillerie Sécurité Canada (Qsc),1203411,Équipement sécurité,"58,12 $"
,1487904,13/08/21,Ray-Net Inc.,,Service - Nettoyage industriel,"839,90 $"
,1479032,20/08/21,Tabasko Communications Inc.,,Service - Impression,"83,99 $"
,,,,,,"5 498,86 $"
"Plante, Stéphane",1456080,10/08/21,Boo! Design Inc.,,"Service - Infographie, graphisme","4 199,50 $"
,1475693,03/08/21,Groupe De Sécurité Garda Senc,,"Service - Agence de sécurité, gardiennage","11 501,80 $"
,1486491,03/08/21,Idées Et Solutions-Urbaines Inc.,,Mobilier pour propreté,"31 233,78 $"
,1458724,18/08/21,Iti Inc.,,Entrepreneur en électricité,"11 008,75 $"
,1488016,16/08/21,"Lefebvre, Brigitte",,Conseiller en relation de travail,"1 255,52 $"
,1458216,19/08/21,Montréal Stencil Inc,,"Articles, accessoires et équipement de bureau","161,05 $"
,1474048,03/08/21,Prévention Côte-Des-Neiges Notre-Dame-De-Grâce,,Peinture - résidentielle et industrielle,"4 700,00 $"
,1469950,10/08/21,Publication 9417,,Service - Impression,"1 434,27 $"
,1485123,05/08/21,Rouleaux De Papier & Rubans J.L. Inc.,,Articles de papeterie,"180,58 $"
,1477464,10/08/21,Six Creativelab,,Conseiller publicitaire,"484,52 $"
,1489113,24/08/21,Zarate + Lavigne Architectes Inc.,,Entrepreneur en plomberie,"19 496,18 $"
,,,,,,"85 655,95 $"
"Poliseno, Martin",1488819,20/08/21,Agri-Flex Inc.,,Accessoires et pièces de remplacement pour outil,"2 356,99 $"
,1487557,11/08/21,Atelier D'Usinage Innova Précision 2014,,Service - Inspection de véhicules,"314,96 $"
,1488950,23/08/21,Atelier D'Usinage Innova Précision 2014,,Équipement sécurité,"940,11 $"
,1486856,05/08/21,Distribution Sports Loisirs G.P. Inc.,,Équipement d'entretien manuel,"322,69 $"
,1480155,24/08/21,Entreprises D'Extermination Maheu Ltee,,"Service - Extermination, fumigation","2 099,75 $"
,1486820,05/08/21,Gestion D. Pressault Inc - Canadian Tire # 235,,Produits d'extermination et de fumigation,"262,21 $"
,1487558,11/08/21,Global Industrial Canada Inc,,Équipement de protection,"900,46 $"
,1488855,20/08/21,Jean Guglia & Fils Enr.,,Outils à batterie,"813,09 $"
,1489319,25/08/21,Multi-Pressions L.C. Inc.,,Accessoires et pièces de remplacement pour machinerie et équipement industriel,"340,27 $"
,1488624,19/08/21,Novafor Équipement Inc.,,Équipement sécurité,"1 931,77 $"
,1486877,05/08/21,Produits Sany,1048199,Produits d'entretien ménager,"127,62 $"
,1487353,10/08/21,S. Boudrias Horticole Inc.,,Produits horticoles,"566,93 $"
,1487375,10/08/21,Tenaquip Limited,,Distributeur de produit nettoyant,"726,30 $"
,,,,,,"11 703,15 $"
"Reeves, Geneviève",1451230,27/08/21,Les Traductions Terry Knowles Inc.,,"Service - Rédaction, révision","2 099,75 $"
,1451200,27/08/21,Wolters Kluwer Canada Ltee,,"Guide, brochure et affiche","1 124,42 $"
,,,,,,"3 224,17 $"
"Stingaciu, Irinel-Maria",1488847,20/08/21,Fabricville Co. Inc.,,Matériel artistique,"533,38 $"
,1487886,13/08/21,Groupe De Sécurité Garda Senc,,"Service - Agence de sécurité, gardiennage","242,14 $"
,1488851,20/08/21,Les Films Criterion Pictures,,"Frais - Permis, frais gouvernemantal","1 574,81 $"
,1475546,17/08/21,Location Sauvageau Inc.,,"Carburant (essence, diesel, kérosène)","92,66 $"
,1488135,16/08/21,Peauseidon Eau De Source Naturelle,,Breuvage et nourriture,"400,00 $"
,1452292,23/08/21,Vidéotron Ltee .,,"Service - Accès internet, ligne téléinformatique","10,50 $"
,1452340,23/08/21,Vidéotron Ltee .,,"Service - Accès internet, ligne téléinformatique","10,50 $"
,,,,,,"2 863,99 $"
"St-Laurent, Sonia",1487786,12/08/21,L.M.L. Paysagiste & Frères Inc.,,"Entrepreneur en isolation, étanchéité, couvertures et revêtement extérieur","6 299,25 $"
,,,,,,"6 299,25 $"
"Turnblom, Sylvain",1449145,05/08/21,Regard Sécurité,,Équipement de protection,"155,00 $"
,,,,,,"155,00 $"
TOTAL,,,,,,"205 059,66 $"
