organisme,type_cr,specialite_regroupement,niveau_classe,categorie,internes,vacants,externes
Agence du revenu du Qu̩bec,CRTI,Architecture d'int̩gration d'applications,Niveau expert (Exp.),Professionnel,5,0,0
Agence du revenu du Qu̩bec,CRTI,Architecture d'int̩gration technologique,Niveau ̩m̩rite (Em),Professionnel,5,0,0
Agence du revenu du Qu̩bec,CRTI,Architecture d'int̩gration technologique,Niveau expert (Exp.),Professionnel,4,0,0
Agence du revenu du Qu̩bec,CRTI,Architecture d'int̩gration technologique,Niveau standard (St),Professionnel,5,0,0
Agence du revenu du Qu̩bec,CRTI,Architecture fonctionnelle,Niveau expert (Exp.),Professionnel,45,0,0
Agence du revenu du Qu̩bec,CRTI,Architecture fonctionnelle,Niveau standard (St),Professionnel,22,0,0
Agence du revenu du Qu̩bec,CRTI,Architecture organique,Niveau ̩m̩rite (Em),Professionnel,3,0,0
Agence du revenu du Qu̩bec,CRTI,Architecture organique,Niveau expert (Exp.),Professionnel,25,0,0
Agence du revenu du Qu̩bec,CRTI,Architecture organique,Niveau expert chef d'̩quipe (Exp.C.E.),Professionnel,2,0,0
Agence du revenu du Qu̩bec,CRTI,Architecture organique,Niveau standard (St),Professionnel,34,0,0
Agence du revenu du Qu̩bec,CRTI,Conseil strat̩gique,Niveau expert (Exp.),Professionnel,4,0,0
Agence du revenu du Qu̩bec,CRTI,Gestion de projet,Niveau ̩m̩rite (Em),Professionnel,2,0,0
Agence du revenu du Qu̩bec,CRTI,Gestion de projet,Niveau expert (Exp.),Professionnel,18,0,0
Agence du revenu du Qu̩bec,CRTI,Gestion de projet,Niveau standard (St),Professionnel,8,0,0
Agence du revenu du Qu̩bec,CRTI,Gestion de projets (PCO) / Planification-suivi-contr̫le,Niveau standard (St),Professionnel,12,0,0
Agence du revenu du Qu̩bec,CRTI,Infrastructures technologiques & g̩n̩ral,Classe nominale (C.N.),Technicien,24,0,0
Agence du revenu du Qu̩bec,CRTI,Infrastructures technologiques & g̩n̩ral,Classe principale (C.P.),Technicien,1,0,0
Agence du revenu du Qu̩bec,CRTI,Infrastructures technologiques & g̩n̩ral,Niveau expert (Exp.),Professionnel,12,0,0
Agence du revenu du Qu̩bec,CRTI,Infrastructures technologiques & g̩n̩ral,Niveau standard (St),Professionnel,54,0,0
Agence du revenu du Qu̩bec,CRTI,Intelligence d'affaires,Niveau expert (Exp.),Professionnel,1,0,0
Agence du revenu du Qu̩bec,CRTI,Intelligence d'affaires,Niveau standard (St),Professionnel,1,0,0
Agence du revenu du Qu̩bec,CRTI,Pilotage,Niveau expert (Exp.),Professionnel,4,0,0
Agence du revenu du Qu̩bec,CRTI,Pilotage,Niveau standard (St),Professionnel,17,0,0
Agence du revenu du Qu̩bec,CRTI,Programmation,Classe nominale (C.N.),Technicien,40,0,0
Agence du revenu du Qu̩bec,CRTI,Programmation,Classe principale (C.P.),Technicien,3,0,0
Agence du revenu du Qu̩bec,CRTI,Secr̩tariat g̩n̩ral,0,Personnel de bureau,23,0,0
Agence du revenu du Qu̩bec,CRTI,S̩curit̩ de l'information,Classe nominale (C.N.),Technicien,6,0,0
Agence du revenu du Qu̩bec,CRTI,S̩curit̩ de l'information,Niveau expert (Exp.),Professionnel,2,0,0
Agence du revenu du Qu̩bec,CRTI,S̩curit̩ de l'information,Niveau standard (St),Professionnel,22,0,0
Agence du revenu du Qu̩bec,CRTI,Soutien aux utilisateurs,0,Personnel de bureau,3,0,0
Agence du revenu du Qu̩bec,CRTI,Soutien aux utilisateurs,Classe nominale (C.N.),Technicien,51,0,0
Agence du revenu du Qu̩bec,CRTI,Soutien aux utilisateurs,Classe principale (C.P.),Technicien,2,0,0
Agence du revenu du Qu̩bec,CRTI,Soutien de projet,Niveau expert (Exp.),Professionnel,4,0,0
Agence du revenu du Qu̩bec,CRTI,Soutien de projet,Niveau standard (St),Professionnel,8,0,0
Agence du revenu du Qu̩bec,CRTI,Technologie de l'information,0,Personnel d'encadrement,52,0,0
Agence du revenu du Qu̩bec,CRTI,T̩l̩communications,Classe nominale (C.N.),Technicien,5,0,0
Agence du revenu du Qu̩bec,CRTI,T̩l̩communications,Niveau standard (St),Professionnel,6,0,0
Agence du revenu du Qu̩bec,CRTI,Web et m̩dias sociaux,Classe nominale (C.N.),Technicien,3,0,0
Agence du revenu du Qu̩bec,CRTI,Web et m̩dias sociaux,Niveau expert (Exp.),Professionnel,2,0,0
Agence du revenu du Qu̩bec,CRTI,Web et m̩dias sociaux,Niveau expert chef d'̩quipe (Exp.C.E.),Professionnel,1,0,0
Agence du revenu du Qu̩bec,CRTI,Web et m̩dias sociaux,Niveau standard (St),Professionnel,22,0,0
Agence du revenu du Qu̩bec,CRTI,Administration de donn̩es,Niveau standard (St),Professionnel,0,5,0
Agence du revenu du Qu̩bec,CRTI,Administration g̩n̩rale,Niveau standard (St),Professionnel,0,4,0
Agence du revenu du Qu̩bec,CRTI,Analyse en d̩veloppement de syst̬me,Niveau standard (St),Professionnel,0,35,0
Agence du revenu du Qu̩bec,CRTI,Architecture d'affaires,Niveau standard (St),Professionnel,0,1,0
Agence du revenu du Qu̩bec,CRTI,Architecture de s̩curit̩,Niveau expert (Exp.),Professionnel,0,1,0
Agence du revenu du Qu̩bec,CRTI,Architecture d'entreprise,Niveau ̩m̩rite (Em),Professionnel,0,1,0
Agence du revenu du Qu̩bec,CRTI,Architecture d'infrastructures technologiques,Niveau ̩m̩rite (Em),Professionnel,0,1,0
Agence du revenu du Qu̩bec,CRTI,Architecture d'int̩gration technologique,Niveau standard (St),Professionnel,0,2,0
Agence du revenu du Qu̩bec,CRTI,Architecture fonctionnelle,Niveau expert (Exp.),Professionnel,0,2,0
Agence du revenu du Qu̩bec,CRTI,Architecture organique,Niveau expert (Exp.),Professionnel,0,1,0
Agence du revenu du Qu̩bec,CRTI,Architecture organique,Niveau standard (St),Professionnel,0,1,0
Agence du revenu du Qu̩bec,CRTI,Gestion de projet,Niveau expert (Exp.),Professionnel,0,1,0
Agence du revenu du Qu̩bec,CRTI,Gestion de projet,Niveau standard (St),Professionnel,0,1,0
Agence du revenu du Qu̩bec,CRTI,Infrastructures technologiques & g̩n̩ral,Niveau standard (St),Professionnel,0,1,0
Agence du revenu du Qu̩bec,CRTI,Intelligence d'affaires,Niveau standard (St),Professionnel,0,1,0
Agence du revenu du Qu̩bec,CRTI,Pilotage,Niveau standard (St),Professionnel,0,2,0
Agence du revenu du Qu̩bec,CRTI,Programmation,Classe nominale (C.N.),Technicien,0,1,0
Agence du revenu du Qu̩bec,CRTI,S̩curit̩ de l'information,Niveau standard (St),Professionnel,0,3,0
Agence du revenu du Qu̩bec,CRTI,Technologie de l'information,0,Personnel d'encadrement,0,7,0
Agence du revenu du Qu̩bec,Hors CRTI,Administration g̩n̩rale,0,Professionnel,0,0,3
Agence du revenu du Qu̩bec,Hors CRTI,Analyse d'affaires,0,Professionnel,0,0,26
Agence du revenu du Qu̩bec,Hors CRTI,Architecture d'affaires,0,Professionnel,0,0,5
Agence du revenu du Qu̩bec,Hors CRTI,Architecture de donn̩es et d'information,0,Professionnel,0,0,1
Agence du revenu du Qu̩bec,Hors CRTI,Architecture fonctionnelle,0,Professionnel,0,0,4
Agence du revenu du Qu̩bec,Hors CRTI,Architecture organique,0,Professionnel,0,0,1
Agence du revenu du Qu̩bec,Hors CRTI,Conseil strat̩gique,0,Professionnel,0,0,1
Agence du revenu du Qu̩bec,Hors CRTI,Gestion de projet,0,Professionnel,0,0,1
Agence du revenu du Qu̩bec,Hors CRTI,Gestion de projets (PCO) / Planification-suivi-contr̫le,0,Professionnel,0,0,1
Agence du revenu du Qu̩bec,Hors CRTI,Pilotage,0,Professionnel,0,0,3
Agence du revenu du Qu̩bec,Hors CRTI,Programmation,0,Professionnel,0,0,5
Agence du revenu du Qu̩bec,Hors CRTI,Administration g̩n̩rale,0,Personnel de bureau,3,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Administration g̩n̩rale,Classe nominale (C.N.),Technicien,4,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Administration g̩n̩rale,Niveau ̩m̩rite (Em),Professionnel,1,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Administration g̩n̩rale,Niveau expert (Exp.),Professionnel,2,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Administration g̩n̩rale,Niveau standard (St),Professionnel,9,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Analyse d'affaires,Classe nominale (C.N.),Technicien,4,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Analyse d'affaires,Classe principale (C.P.),Technicien,5,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Analyse d'affaires,Niveau ̩m̩rite chef d'̩quipe (Em.C.E.),Professionnel,1,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Analyse d'affaires,Niveau expert (Exp.),Professionnel,18,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Analyse d'affaires,Niveau expert chef d'̩quipe (Exp.C.E.),Professionnel,23,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Analyse d'affaires,Niveau standard (St),Professionnel,210,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Analyse en d̩veloppement de syst̬me,Niveau expert (Exp.),Professionnel,1,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Analyse en d̩veloppement de syst̬me,Niveau expert chef d'̩quipe (Exp.C.E.),Professionnel,1,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Analyse en d̩veloppement de syst̬me,Niveau standard (St),Professionnel,13,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Architecture d'affaires,Niveau ̩m̩rite (Em),Professionnel,7,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Architecture d'affaires,Niveau expert (Exp.),Professionnel,32,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Architecture d'affaires,Niveau expert chef d'̩quipe (Exp.C.E.),Professionnel,2,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Architecture d'affaires,Niveau standard (St),Professionnel,10,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Architecture de donn̩es et d'information,Niveau standard (St),Professionnel,1,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Architecture de processus,Niveau standard (St),Professionnel,3,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Architecture d'int̩gration technologique,Niveau ̩m̩rite (Em),Professionnel,1,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Architecture d'int̩gration technologique,Niveau expert (Exp.),Professionnel,1,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Architecture d'int̩gration technologique,Niveau expert chef d'̩quipe (Exp.C.E.),Professionnel,1,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Architecture fonctionnelle,Niveau expert (Exp.),Professionnel,1,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Architecture organique,Niveau expert (Exp.),Professionnel,1,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Conseil strat̩gique,Niveau ̩m̩rite (Em),Professionnel,1,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Conseil strat̩gique,Niveau expert (Exp.),Professionnel,1,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Conseil strat̩gique,Niveau expert chef d'̩quipe (Exp.C.E.),Professionnel,1,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Conseil strat̩gique,Niveau standard (St),Professionnel,1,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Formation TI,Niveau standard (St),Professionnel,2,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Gestion de projet,Niveau expert (Exp.),Professionnel,14,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Gestion de projet,Niveau expert chef d'̩quipe (Exp.C.E.),Professionnel,3,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Gestion de projet,Niveau standard (St),Professionnel,11,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Information de gestion,Niveau standard (St),Professionnel,2,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Infrastructures technologiques & g̩n̩ral,Classe nominale (C.N.),Technicien,5,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Infrastructures technologiques & g̩n̩ral,Classe principale (C.P.),Technicien,2,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Infrastructures technologiques & g̩n̩ral,Niveau standard (St),Professionnel,2,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Intelligence d'affaires,Classe nominale (C.N.),Technicien,1,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Intelligence d'affaires,Niveau expert (Exp.),Professionnel,1,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Intelligence d'affaires,Niveau standard (St),Professionnel,6,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Pilotage,Classe nominale (C.N.),Technicien,5,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Pilotage,Niveau ̩m̩rite (Em),Professionnel,1,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Pilotage,Niveau expert (Exp.),Professionnel,2,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Pilotage,Niveau expert chef d'̩quipe (Exp.C.E.),Professionnel,7,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Pilotage,Niveau standard (St),Professionnel,65,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Programmation,Classe nominale (C.N.),Technicien,4,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Programmation,Niveau expert (Exp.),Professionnel,2,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Programmation,Niveau expert chef d'̩quipe (Exp.C.E.),Professionnel,1,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Programmation,Niveau standard (St),Professionnel,24,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Secr̩tariat g̩n̩ral,0,Personnel de bureau,2,0,0
Agence du revenu du Qu̩bec,Hors CRTI,S̩curit̩ de l'information,Niveau expert (Exp.),Professionnel,1,0,0
Agence du revenu du Qu̩bec,Hors CRTI,S̩curit̩ de l'information,Niveau standard (St),Professionnel,4,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Soutien aux utilisateurs,Classe nominale (C.N.),Technicien,8,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Soutien aux utilisateurs,Classe principale (C.P.),Technicien,1,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Soutien aux utilisateurs,Niveau expert (Exp.),Professionnel,3,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Soutien aux utilisateurs,Niveau expert chef d'̩quipe (Exp.C.E.),Professionnel,2,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Soutien aux utilisateurs,Niveau standard (St),Professionnel,15,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Soutien de projet,Classe nominale (C.N.),Technicien,1,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Soutien de projet,Niveau expert (Exp.),Professionnel,4,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Soutien de projet,Niveau standard (St),Professionnel,5,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Technologie de l'information,0,Personnel d'encadrement,35,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Web et m̩dias sociaux,Classe nominale (C.N.),Technicien,1,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Web et m̩dias sociaux,Niveau standard (St),Professionnel,2,0,0
Agence du revenu du Qu̩bec,Hors CRTI,Administration g̩n̩rale,Niveau standard (St),Professionnel,0,1,0
Agence du revenu du Qu̩bec,Hors CRTI,Analyse d'affaires,Niveau standard (St),Professionnel,0,18,0
Agence du revenu du Qu̩bec,Hors CRTI,Analyse en d̩veloppement de syst̬me,Niveau standard (St),Professionnel,0,3,0
Agence du revenu du Qu̩bec,Hors CRTI,Architecture d'affaires,Niveau ̩m̩rite (Em),Professionnel,0,1,0
Agence du revenu du Qu̩bec,Hors CRTI,Architecture d'affaires,Niveau expert (Exp.),Professionnel,0,3,0
Agence du revenu du Qu̩bec,Hors CRTI,Architecture d'affaires,Niveau standard (St),Professionnel,0,4,0
Agence du revenu du Qu̩bec,Hors CRTI,Gestion de projet,Niveau expert (Exp.),Professionnel,0,1,0
Agence du revenu du Qu̩bec,Hors CRTI,Pilotage,Niveau standard (St),Professionnel,0,2,0
Agence du revenu du Qu̩bec,Hors CRTI,Programmation,Niveau standard (St),Professionnel,0,2,0
Agence du revenu du Qu̩bec,Hors CRTI,Soutien aux utilisateurs,Niveau standard (St),Professionnel,0,3,0
Agence du revenu du Qu̩bec,Hors CRTI,Technologie de l'information,0,Personnel d'encadrement,0,4,0
Autorit̩ des march̩s publics,CRTI,Administration g̩n̩rale,Niveau standard (St),Professionnel,1,0,0
Autorit̩ des march̩s publics,CRTI,Analyse d'affaires,Niveau standard (St),Professionnel,2,0,0
Autorit̩ des march̩s publics,CRTI,Architecture de donn̩es et d'information,Niveau standard (St),Professionnel,2,0,0
Autorit̩ des march̩s publics,CRTI,Architecture d'entreprise,Niveau standard (St),Professionnel,1,0,0
Autorit̩ des march̩s publics,CRTI,Gestion de projet,Niveau standard (St),Professionnel,1,0,0
Autorit̩ des march̩s publics,CRTI,Soutien aux utilisateurs,Classe nominale (C.N.),Technicien,2,0,0
Autorit̩ des march̩s publics,CRTI,Technologie de l'information,0,Personnel d'encadrement,1,0,0
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Analyse d'affaires,0,Professionnel,0,0,2
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Analyse en d̩veloppement de syst̬me,0,Professionnel,0,0,1
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Architecture d'int̩gration d'applications,0,Professionnel,0,0,1
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Architecture fonctionnelle,0,Professionnel,0,0,1
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Gestion de projet,0,Professionnel,0,0,1
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Programmation,0,Professionnel,0,0,5
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Soutien aux utilisateurs,0,Technicien,0,0,2
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Administration de donn̩es,Niveau expert (Exp.),Professionnel,1,0,0
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Administration de donn̩es,Niveau standard (St),Professionnel,1,0,0
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Administration g̩n̩rale,0,Personnel de bureau,1,0,0
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Analyse d'affaires,Niveau expert (Exp.),Professionnel,1,0,0
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Analyse d'affaires,Niveau standard (St),Professionnel,1,0,0
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Analyse en d̩veloppement de syst̬me,Niveau expert (Exp.),Professionnel,1,0,0
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Analyse en d̩veloppement de syst̬me,Niveau standard (St),Professionnel,16,0,0
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Architecture d'affaires,Niveau standard (St),Professionnel,1,0,0
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Architecture de donn̩es et d'information,Niveau expert (Exp.),Professionnel,1,0,0
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Architecture de r̩seaux / T̩l̩communications,Niveau expert (Exp.),Professionnel,1,0,0
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Architecture de s̩curit̩,Niveau expert (Exp.),Professionnel,1,0,0
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Architecture d'entreprise,Niveau expert (Exp.),Professionnel,1,0,0
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Architecture d'infrastructures technologiques,Niveau expert (Exp.),Professionnel,1,0,0
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Architecture d'int̩gration d'applications,Niveau expert (Exp.),Professionnel,1,0,0
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Architecture fonctionnelle,Niveau expert (Exp.),Professionnel,1,0,0
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Formation TI,Classe principale (C.P.),Technicien,1,0,0
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Gestion de projet,Niveau ̩m̩rite (Em),Professionnel,1,0,0
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Gestion de projet,Niveau expert (Exp.),Professionnel,1,0,0
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Gestion de projets (PCO) / Planification-suivi-contr̫le,Niveau standard (St),Professionnel,1,0,0
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Infrastructures technologiques & g̩n̩ral,Classe principale (C.P.),Technicien,1,0,0
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Infrastructures technologiques & g̩n̩ral,Niveau standard (St),Professionnel,6,0,0
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Programmation,Classe principale (C.P.),Technicien,1,0,0
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Soutien aux utilisateurs,Classe principale (C.P.),Technicien,5,0,0
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Technologie de l'information,0,Personnel d'encadrement,5,0,0
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,T̩l̩communications,Niveau standard (St),Professionnel,1,0,0
