Année,Secteur,N° de référence du GPC,Portée,Catégorie,Sous-catégorie,Activité,Description,CO2,CH4,N2O,Total en t éq.CO2,CO2(b),Qualité données,0
2018,Transport,II.5.1,1,Émissions provenant de la combustion de carburant pour les transports hors route dans la ville,Multiple,0,Biocarburants,0,0,3,3,128,M,0
2019,Transport,II.1.1,1,Émissions provenant de la combustion de carburant pour les transports routiers dans la ville,Multiple,Géographique / Territorial,0,0,0,0,3783920,0,H,0
2019,Transport,II.2.3,3,"Émissions provenant des déplacements transfrontaliers se produisant à l'extérieur de la ville, et pertes de T&D (transport et distribution) de la consommation d'énergie fournie par le réseau",Multiple,Géographique / Territorial,0,116072,165,13559,129795,0,L,0
2019,Transport,II.3.3,3,"Émissions provenant des déplacements transfrontaliers se produisant à l'extérieur de la ville, et pertes de T&D (transport et distribution) de la consommation d'énergie fournie par le réseau",Départs transfrontaliers,Géographique / Territorial,0,469682,1108,3823,474613,0,L,0
2019,Transport,II.4.3,3,"Émissions provenant des déplacements transfrontaliers se produisant à l'extérieur de la ville, et pertes de T&D (transport et distribution) de la consommation d'énergie fournie par le réseau",Tous les vols au départ,Géographique / Territorial,0,993800,601,8598,1002998,0,L,0
2019,Transport,II.5.1,1,Émissions provenant de la combustion de carburant pour les transports hors route dans la ville,Multiple,0,Essence (automobile),23544,1296,195,25034,0,M,0
2019,Transport,II.5.1,1,Émissions provenant de la combustion de carburant pour les transports hors route dans la ville,Multiple,0,Gazole,7644,5,19,7668,0,M,0
2019,Transport,II.5.1,1,Émissions provenant de la combustion de carburant pour les transports hors route dans la ville,Multiple,0,Éthanol,0,6,151,157,1158,M,0
2019,Transport,II.5.1,1,Émissions provenant de la combustion de carburant pour les transports hors route dans la ville,Multiple,0,Biocarburants,0,0,6,6,218,M,0
2020,Transport,II.1.1,1,Émissions provenant de la combustion de carburant pour les transports routiers dans la ville,Multiple,Géographique / Territorial,0,0,0,0,2526630,0,H,0
2020,Transport,II.2.3,3,"Émissions provenant des déplacements transfrontaliers se produisant à l'extérieur de la ville, et pertes de T&D (transport et distribution) de la consommation d'énergie fournie par le réseau",Multiple,Géographique / Territorial,0,107786,153,12570,120509,0,L,0
2020,Transport,II.3.3,3,"Émissions provenant des déplacements transfrontaliers se produisant à l'extérieur de la ville, et pertes de T&D (transport et distribution) de la consommation d'énergie fournie par le réseau",Départs transfrontaliers,Géographique / Territorial,0,386171,912,3020,390104,0,L,0
2020,Transport,II.4.3,3,"Émissions provenant des déplacements transfrontaliers se produisant à l'extérieur de la ville, et pertes de T&D (transport et distribution) de la consommation d'énergie fournie par le réseau",Tous les vols au départ,Géographique / Territorial,0,515639,422,4699,520761,0,L,0
2020,Transport,II.5.1,1,Émissions provenant de la combustion de carburant pour les transports hors route dans la ville,Multiple,0,Essence (automobile),18840,1037,156,20032,0,M,0
2020,Transport,II.5.1,1,Émissions provenant de la combustion de carburant pour les transports hors route dans la ville,Multiple,0,Gazole,6480,4,16,6501,0,M,0
2020,Transport,II.5.1,1,Émissions provenant de la combustion de carburant pour les transports hors route dans la ville,Multiple,0,Éthanol,0,5,121,126,927,M,0
2020,Transport,II.5.1,1,Émissions provenant de la combustion de carburant pour les transports hors route dans la ville,Multiple,0,Biocarburants,0,0,5,5,185,M,0
2021,Transport,II.1.1,1,Émissions provenant de la combustion de carburant pour les transports routiers dans la ville,Multiple,Géographique / Territorial,0,0,0,0,2989660,0,H,0
2021,Transport,II.2.3,3,"Émissions provenant des déplacements transfrontaliers se produisant à l'extérieur de la ville, et pertes de T&D (transport et distribution) de la consommation d'énergie fournie par le réseau",Multiple,Géographique / Territorial,0,105635,149,12298,118082,0,L,0
2021,Transport,II.3.3,3,"Émissions provenant des déplacements transfrontaliers se produisant à l'extérieur de la ville, et pertes de T&D (transport et distribution) de la consommation d'énergie fournie par le réseau",Départs transfrontaliers,Géographique / Territorial,0,415373,986,3359,419719,0,L,0
2021,Transport,II.4.3,3,"Émissions provenant des déplacements transfrontaliers se produisant à l'extérieur de la ville, et pertes de T&D (transport et distribution) de la consommation d'énergie fournie par le réseau",Tous les vols au départ,Géographique / Territorial,0,575760,474,5086,581319,0,L,0
2021,Transport,II.5.1,1,Émissions provenant de la combustion de carburant pour les transports hors route dans la ville,Multiple,0,Essence (automobile),20370,1121,168,21660,0,M,0
2021,Transport,II.5.1,1,Émissions provenant de la combustion de carburant pour les transports hors route dans la ville,Multiple,0,Gazole,7963,5,19,7988,0,M,0
2021,Transport,II.5.1,1,Émissions provenant de la combustion de carburant pour les transports hors route dans la ville,Multiple,0,Éthanol,0,5,131,136,1002,M,0
2021,Transport,II.5.1,1,Émissions provenant de la combustion de carburant pour les transports hors route dans la ville,Multiple,0,Biocarburants,0,2,6,8,227,M,0
2022,Transport,II.1.1,1,Émissions provenant de la combustion de carburant pour les transports routiers dans la ville,Multiple,Géographique / Territorial,0,0,0,0,3427800,0,H,0
2022,Transport,II.2.3,3,"Émissions provenant des déplacements transfrontaliers se produisant à l'extérieur de la ville, et pertes de T&D (transport et distribution) de la consommation d'énergie fournie par le réseau",Multiple,Géographique / Territorial,0,105226,149,12250,117624,0,L,0
2022,Transport,II.3.3,3,"Émissions provenant des déplacements transfrontaliers se produisant à l'extérieur de la ville, et pertes de T&D (transport et distribution) de la consommation d'énergie fournie par le réseau",Départs transfrontaliers,Géographique / Territorial,0,406109,964,3284,410357,0,L,0
2022,Transport,II.4.3,3,"Émissions provenant des déplacements transfrontaliers se produisant à l'extérieur de la ville, et pertes de T&D (transport et distribution) de la consommation d'énergie fournie par le réseau",Tous les vols au départ,Géographique / Territorial,0,697676,574,6163,704413,0,L,0
2022,Transport,II.5.1,1,Émissions provenant de la combustion de carburant pour les transports hors route dans la ville,Multiple,0,Essence (automobile),20946,1153,173,22272,0,M,0
2022,Transport,II.5.1,1,Émissions provenant de la combustion de carburant pour les transports hors route dans la ville,Multiple,0,Gazole,6625,5,16,6646,0,M,0
2022,Transport,II.5.1,1,Émissions provenant de la combustion de carburant pour les transports hors route dans la ville,Multiple,0,Éthanol,0,6,155,162,1190,M,0
2022,Transport,II.5.1,1,Émissions provenant de la combustion de carburant pour les transports hors route dans la ville,Multiple,0,Biocarburants,0,1,5,6,189,M,0
