id_rire,types,specific,generic,designation_date,history,history_source,former_name,borough_codes,borough_names,title,topic_codes,topic_names
"","banque","Alonzo, Anne-Marie","-","","(1951-2005)  Écrivaine d&#8217;origine égyptienne active à Montréal, Anne-Marie Alonzo se démarque notamment par ses écrits poétiques. L&#8217;&#339;uvre alonzienne jouit d&#8217;une réelle reconnaissance au sein du milieu littéraire québécois, comme en témoignent la réception du prix Nelligan (1985) et l&#8217;Ordre du Canada (1996).","Compilé par Gabriel Martin, 2016","","","","Anne-Marie Alonzo","83","Banque Toponym'Elles"
"","banque","Angelou, Maya","-","","(1928-2014)  Écrivaine et militante afro-américaine fort reconnues.","Compilé par Gabriel Martin, 2016","","","","Maya Angelou","83","Banque Toponym'Elles"
"","banque","Anning, Mary","-","","(1799-1847)  Paléontologue britannique, les importants fossiles qu&#8217;elle a découverts ont significativement contribué à la crédibilisation de la théorie de l&#8217;extinction des espèces.","Compilé par Gabriel Martin, 2016","","","","Mary Anning","83","Banque Toponym'Elles"
"","banque","Arcan, Nelly","-","","(1973-2009)  D&#8217;origines méganticoises, Nelly Arcan, de son vrai nom Isabelle Fortier, est considérée comme une grande écrivaine de sa génération. L&#8217;&#339;uvre arcanienne exprime, entre autres choses, la détresse de femmes angoissées par le culte de l&#8217;image corporelle véhiculée par les médias dans les sociétés hypermédiatisées, au début du 21e siècle.","Compilé par Gabriel Martin, 2016","","","","Nelly Arcand","83","Banque Toponym'Elles"
"","banque","Arendt, Hannah","-","","(1906-1975)  Théoricienne politique marquante du 20e siècle, ses réflexions sur le totalitarisme, la modernité et la culture enrichissent l&#8217;univers intellectuel de nombreux penseurs et penseuses contemporains.","Compilé par Gabriel Martin, 2016","","","","Hannah Arendt","83","Banque Toponym'Elles"
"","banque","Asivak, Kinuajuak","-","","(née en 1927, décédée en 2013)<br><br>Kinuajuak Asivak est l&#8217;une des principales pionnières de l&#8217;art inuit moderne. Bien que, dans la mémoire collective, l&#8217;art asivakien évoque essentiellement des imprimés de hiboux stylisés, il ne s&#8217;y restreint pas, abordant en fait une diversité de sujets animaliers au moyen de techniques assez variées, dont le dessin et la gravure. Révélée au grand public en 1963 par un film du cinéaste John Feeney, Asivak jouit d&#8217;une importante reconnaissance tout au long de sa carrière. Trois timbres canadiens émis en 1970, 1980 et 1993 reproduisent des &#339;uvres de l&#8217;artiste; en outre, la pièce de 25 ¢ d&#8217;avril 1999, tirée à 15 millions d&#8217;exemplaires, représente une de ses &#339;uvres. Bien qu&#8217;on orthographie son nom « Kenojuak Ashevak » en anglais, on préfère écrire « Kinuajuak Asivak » en français, graphie plus proche de la translittération de sa signature, «&nbsp;&#x146D;&#x14C4;&#x140A;&#x152A;&#x140A; &#x140A;&#x14EF;&#x1559;&nbsp;», présente sur l&#8217;étoile de l&#8217;Allée des célébrités canadiennes qui lui est dédiée.<br><br>SOURCES. &#8212; BOULANGER, Jean-Claude, Dictionnaire québécois d&#8217;aujourd&#8217;hui, Saint-Laurent, Québec, Dicorobert, 1993, section « Dictionnaire des noms propres », p. 164. &#8212; FEENEY, John, Eskimo Artist : Kenojuak, 1963, 19 min 49 s. &#8212; WALK, Ansgar, Kenojuak: the life of an Inuit artist, Manotick, : Penumbra Press, 1999, 248 p.","Compilé par Gabriel Martin, 2016","","","","Kinuajuak Asivak","83","Banque Toponym'Elles"
"","banque","Asuuna, Pitsiulak","-","","(1904-1983)  Artiste inuite dont les dessins représentent notamment le mode de vie inuit traditionnel.","Compilé par Gabriel Martin, 2016","","","","Pitsiulak Asuuna","83","Banque Toponym'Elles"
"","banque","Atallah, Christine","-","","(1965-2011)  Chanteuse née à Montréal, célèbre dans le milieu des musiques du monde; interprète la bande-son du chef-d&#8217;&#339;uvre cinématographique « Jésus de Montréal ».","Compilé par Gabriel Martin, 2016","","","","Christine Atallah","83","Banque Toponym'Elles"
"","banque","Atontinon, Marie-Barbe","-","","(1656-1691)  Entrée dans la Congrégation de Notre-Dame, elle est, avec Marie-Thérèse Gannensagouas, l&#8217;une des premières Amérindiennes à enseigner sous le régime français.","Compilé par Gabriel Martin, 2016","","","","Marie-Barbe Atontinon","83","Banque Toponym'Elles"
"","banque","Aylestock, Addie","-","","(1909-1998)  Première femme afro-canadienne à devenir ministre du culte au pays, elle est, par la même occasion, la première femme ordonnée de l&#8217;Église méthodiste épiscopalienne britannique.","Compilé par Gabriel Martin, 2016","","","","Addie Aylestock","83","Banque Toponym'Elles"
"","banque","Barber, Emma Gertrude","-","","(née vers 1820, décédée en 1898)<br><br>D&#8217;origine anglaise, Emma Gertrude Barber, seconde fille d&#8217;Elizabeth et Jonathan Barber, se fait connaitre au Québec, durant la seconde moitié du XIXe siècle, sous le nom de « Miss Barber ». Déménagée avec sa famille à Montréal au milieu des années 1830, elle consacre la majeure partie de sa vie active à aider les femmes dans le besoin. Dans les années 1870, elle met notamment sur pied un refuge pour femmes dans sa propre maison. En 1886, elle ouvre la Sheltering Home de Montréal, qui accueille sans discrimination toutes les femmes le nécessitant, y compris les plus socialement marginalisées, comme les prostituées, les mères célibataires (appelées « filles-mères » à l&#8217;époque), les anciennes prisonnières et les alcooliques. En plus de l&#8217;aide qu&#8217;elle apporte aux femmes de Montréal, elle s&#8217;implique aussi auprès des orphelins de Knowlton.<br><br>SOURCES. &#8212; [Anonyme], « The Sheltering Home. Open Door for Sad and Discouraged Women. », The Gazette, Montréal, 23 avril 1913, vol. 142, no 97, p. 7. &#8212; BIBLIOTHÈQUE ET ARCHIVES NATIONALES DU QUÉBEC, Sépultures non catholiques de la région de Montréal, 1767-1899, Centre d&#8217;archives de Montréal, CE 601, S109, Folio 15 V. &#8212; HARVEY, Janice, « Mademoiselle Barber &#8211; La relance du Sheltering Home » dans DARSIGNY, Maryse et autres, Ces femmes qui ont bâti Montréal, Montréal, Éditions du Remue-ménage, 1994, p. 111. &#8212; MCGUIRE, Susan. « A Fanciful Mind: Jonathan Barber&#8217;s Curious Odyssey in the Realm of the Self-Help Brain », Sherbrooke, Quebec Heritage News, mars-avril 2009, vol. 5, no 2, p. 25-27.","Compilé par Gabriel Martin, 2016","","","","Emma Gertrude Barber","83","Banque Toponym'Elles"
"","banque","Baker, Joséphine","-","","(1906-1975)  Populaire danseuse, elle est l&#8217;une des premières femmes noires à se prévaloir de sa célébrité pour faire progresser la lutte contre le racisme.","Compilé par Gabriel Martin, 2016","","","","Joséphine Baker","83","Banque Toponym'Elles"
"","banque","Archer, Violet","-","","Violet Archer (1913-2000). Née sous le nom de Balestreri, sa famille adopte le nom «Archer» en 1940. Compositrice de renommée internationale née à Montréal, elle est reconnue pour son &#339;uvre vaste et plurielle, puisant souvent dans le répertoire folklorique canadien. De 1940 à 1947, elle joue pour la Symphonie féminine de Montréal aux percussions, environ une décennie avant de composer son chef-d&#8217;&#339;uvre, « Piano Concerto » (1956). Elle est nommée membre de l&#8217;Ordre du Canada en 1983.","Compilé par Gabriel Martin, 2016","","","","Violet Archer","83","Banque Toponym'Elles"
"","banque","Basilières, Andrée","-","","(1915-2007)  Actrice née à Montréal, notamment connue pour avoir interprété le rôle d&#8217;Angélique dans le célèbre téléroman Les belles histoires des pays d&#8217;en haut.","Compilé par Gabriel Martin, 2016","","","","Andrée Basilières","83","Banque Toponym'Elles"
"","banque","Barry, James (Margaret Ann Bulkley)","-","","(naissance vers 1789, décès en 1865)<br><br>Ayant probablement vu le jour vers 1789, Margaret Ann Bulkley se fait connaitre à partir d&#8217;un jeune âge sous le nom de James Barry. Prodige, l&#8217;enfant entre à l&#8217;université vers l&#8217;âge de 10 ans et obtient un doctorat en médecine après quelques années d&#8217;étude seulement. Travaillant en chirurgie militaire au sein de l&#8217;armée britannique, Barry se démarque tant par son apparence, que par sa compétence et sa poigne de fer. Le brillant et intrigant personnage laisse sa marque à Montréal, où il arrive en 1857, pour y demeurer quelques années. Cette figure rapidement reconnue, qui fréquente une part du gratin montréalais, inspecte et évalue avec sérieux les installations militaires des environs, qu&#8217;elle recommande vertement d&#8217;améliorer, pour le bienêtre des troupes. À la mort de Barry, on découvre que celui que tous croyaient être un homme présente, en apparence, le corps d&#8217;une femme. Qu'en est-il réellement? On ne le sait guère. Plutôt que de continuer de parler de Barry au « il » ou au « elle », peut-être devrait-on commencer à en parler, en termes plus universaux, au « iel »?<br><br>SOURCES. &#8212; ABBOTT, Maude E., History of medicine in the province of Quebec, Montréal : McGill University, 1931, p. 74-75. &#8212; CHAMBERLAND, Line, « Dr James Barry (1795-1865) &#8211; Médecin militaire (sa véritable identité reste inconnue) » dans DARSIGNY, Maryse et autres, Ces femmes qui ont bâti Montréal, Montréal, Éditions du Remue-ménage, 1994, p. 95-96. &#8212; DU PREEZ, Hercules Michael , « Dr. James Barry: The early years revealed », South African Medical Journal, janvier 2008, vol. 98, no 1, p. 52&#8211;54. &#8212; KUBBA, A. K  « The Life, Work and Gender of Dr James Barry MD (1795-1865) » Proceedings of the Royal College of Physicians of Edinburgh, 2001, vol. 31, no 4, p. 352&#8211;356. &#8212; MCKENZIE, Troy, Women's Worth, Priceless : Written by a Man, for Women Empowerment, Bloomington, Trafford Publishing, 2014, p. 140-141. &#8212; SYDNEY BRANDON, « Barry, James (c.1799&#8211;1865) », Oxford Dictionary of National Biography, Oxford University Press, 2004.","Compilé par Gabriel Martin, 2016<br>Division du patrimoine, 2019","","","","James Barry (Margaret Ann Buckley)","83","Banque Toponym'Elles"
"","banque","Beauvoir, Simone de","-","","(1908-1986)  Théoricienne féministe marquante du 20e siècle, elle est notamment connue pour son essai fondateur « Le Deuxième Sexe » (1949). Il est à noter que le nom de Simone de Beauvoir pourrait être employé pour remplacer le spécifique de la rue Beauvoir, dont l&#8217;origine n&#8217;est pas connue.","Compilé par Gabriel Martin, 2016","","","","Simone de Beauvoir","83","Banque Toponym'Elles"
"","banque","Belles-S&#339;urs, Les","-","","Présentée pour la première fois en 1968 au grand public, la pièce Les Belles-S&#339;urs de Michel Tremblay s&#8217;impose rapidement comme un incontournable du théâtre québécois. Mettant en scène des ménagères de quartiers ouvriers de l&#8217;Est montréalais, l&#8217;&#339;uvre, qui glisse du comique au tragique, expose l&#8217;emmurement de ces femmes dans une société qu&#8217;elles sentent aliénante. Exploitant abondamment les ressources du français québécois de registre populaire, dont les sacres, la pièce attise à l&#8217;époque le débat langagier sur le « joual », variété de français qu&#8217;elle hisse au rang d&#8217;arsenal littéraire. Au demeurant, la pièce aura, mieux que toute devancière, rendu visibles les femmes issues des milieux sociaux défavorisés de Montréal, en dépeignant une part de leur réalité, avec leurs mots. Quelques toponymes de Montréal reprennent les noms d&#8217;&#339;uvres littéraires marquantes, comme le parc du Vaisseau-d&#8217;Or de l&#8217;arrondissement Mercier&#8211;Hochelaga-Maisonneuve, nommé d&#8217;après un poème de Nelligan.<br><br>SOURCES. &#8212; JUBINVILLE, Yves, Une étude de Les belles-s&#339;urs de Michel Tremblay, Montréal, Boréal, 1998, 114 p. &#8212; LE BLANC, Alonzo, « Les Belles-S&#339;urs, comédie dramatique de Michel Tremblay », Dictionnaire des &#339;uvres littéraires du Québec, tome 4, 1984, p. 92-98.","Compilé par Gabriel Martin, 2016","","","","Les Belles-S&#339;urs","83","Banque Toponym'Elles"
"","banque","Bégin, Catherine","-","","(1939-2013)  Comédienne, diplômée du Conservatoire d&#8217;art dramatique de Montréal, ayant marqué le monde du théâtre québécois. Elle a aussi interprété certains rôles dans des téléromans, dont « Des Dames de c&#339;ur ». En 1998, la Société Saint-Jean-Baptiste de Montréal lui remet le prix Victor-Morin des arts de la scène.","Compilé par Gabriel Martin, 2016","","","","Catherine Bégin","83","Banque Toponym'Elles"
"","banque","Bellingham, Lynda","-","","(1948-2014)  Actrice née à Montréal fort reconnue en Angleterre.","Compilé par Gabriel Martin, 2016","","","","Lynda Bellingham","83","Banque Toponym'Elles"
"","banque","Berd, Françoise","-","","(1923-2001)  En 1959, elle fonde, à Montréal, le théâtre de l&#8217;Égrégore.","Compilé par Gabriel Martin, 2016","","","","Françoise Berd","83","Banque Toponym'Elles"
"","banque","Bengle, Marie-Aveline","-","","(née en 1861, décédée en 1937)<br><br>Marie-Aveline Bengle, devenue mère Sainte-Anne-Marie, est une religieuse québécoise ayant significativement contribué à rendre accessible l&#8217;enseignement supérieur aux femmes de la province. Bien connue de la classe politique et du public de son époque, elle fréquente aussi certaines féministes illustres, dont Marie Gérin-Lajoie. En 1908, elle fonde le premier collège classique francophone pour femmes de l&#8217;histoire du Québec, l&#8217;École d&#8217;enseignement supérieur, renommée Collège Marguerite-Bourgeoys, en 1926. La même année, sous l&#8217;instigation de la s&#339;ur, l&#8217;Institut pédagogique de Montréal ouvre ses portes et contribue à son tour à la formation de femmes universitaires. Le politicien Athanase David, qui connaissait bien Bengle, s&#8217;est mémorablement exprimé en ces termes à son sujet : « Quelle femme! Si c&#8217;était un homme, il y a belle lurette qu&#8217;elle serait ministre! »<br><br>SOURCES. &#8212; GRAVEL, Claude, La féministe en robe noire : mère Sainte-Anne-Marie, Montréal, Libre expression, 2013, 223 p.","Compilé par Gabriel Martin, 2016","","","","Marie-Aveline Bengle","83","Banque Toponym'Elles"
"","banque","Bernardt, Sarah","-","","(1844-1923)  Surnommée « la divine », cette actrice française, venue de nombreuse fois à Montréal au cours de sa carrière, est l&#8217;une des plus grandes vedettes internationales du 19e siècle.","Compilé par Gabriel Martin, 2016","","","","Sarah Bernardt","83","Banque Toponym'Elles"
"","banque","Bernier, Gabrielle","-","","(1901-1976)  Dite la « Coco Chanel du Québec », cette couturière originaire de Chambly s&#8217;est imposée comme l&#8217;une des grandes modistes de Montréal au long de sa carrière, des années 1920 aux années 1960.","Compilé par Gabriel Martin, 2016","","","","Gabrielle Bernier","83","Banque Toponym'Elles"
"","banque","Bernier, Germaine","-","","(1903-1986)  Journaliste née à Montréal ayant notamment écrit pour le journal Le Devoir (1930-1970), elle est la première femme à se voir décerner le prix Olivar-Asselin (1962).","Compilé par Gabriel Martin, 2016","","","","Germaine Bernier","83","Banque Toponym'Elles"
"","banque","Bertrand, Marie-Andrée","-","","(1925-2011)  Criminologue et professeure émérite née à Montréal ayant notamment travaillé sur le droit pénal des femmes, elle est nommée officière de l&#8217;Ordre national du Québec en 2005.","Compilé par Gabriel Martin, 2016","","","","Marie-Andrée Bertrand","83","Banque Toponym'Elles"
"","banque","Binsse-Masse, Natacha","-","","(1976-2009)  Avocate militante de Montréal, elle s&#8217;est notamment engagée dans la défense du droit d&#8217;association et du droit à la liberté d&#8217;expression. Elle a notamment pris la défense des personnes socialement marginalisées. Elle a notamment travaillé comme avocate à la Clinique internationale de défense des droits humains de l&#8217;UQAM; elle s&#8217;est aussi impliquée dans le Réseau d&#8217;aide aux personnes seules et itinérantes de Montréal (RAPSIM).","Compilé par Gabriel Martin, 2016","","","","Natacha Binsse-Masse","83","Banque Toponym'Elles"
"","banque","Blondeau (Cotté), Angélique","-","","(1755-1837)  Fondatrice des Dames de la Charité « Ainsi, en 1827, à l&#8217;instigation d&#8217;Angélique Blondeau, veuve de Gabriel Cotté, marchand de fourrures, une quinzaine de femmes appartenant à des familles de la bourgeoisie francophone fondent les Dames de la charité. Au départ, celles-ci visitent les pauvres à domicile, leur distribuent de l&#8217;aide, ouvrent une soupe populaire et s&#8217;occupent de trouver du travail aux servantes sans emploi. Trois ans plus tard, elles accueillent également des femmes âgées sans ressources dans une maison prêtée par les Sulpiciens, auxquelles s&#8217;ajoutent bientôt des orphelins; en 1832, alors que sévit une terrible épidémie de choléra qui laisse de nombreux enfants sans famille, elles décident de se consacrer uniquement à cette cause et changent de nom pour celui de Dames de l&#8217;Asyle des orphelins catholiques romains. À partir de 1889, les S&#339;urs grises assurent la gestion interne de leur établissement qui, en 1916, prend officiellement le nom d&#8217;Orphelinat catholique. Émilie Tavernier-Gamelin, qui avait été active au sein des Dames de la charité, choisit pour sa part de continuer de s&#8217;occuper des femmes âgées et infirmes, »","Compilé par Gabriel Martin, 2016","","","","Angélique Blondeau (Cotté)","83","Banque Toponym'Elles"
"","banque","Bly, Nellie","-","","(1864-1922)  Globetrotteuse et journaliste états-unienne reconnue comme étant la première femme à avoir fait le tour complet du monde par ses propres moyens.","Compilé par Gabriel Martin, 2016","","","","Nellie Bly","83","Banque Toponym'Elles"
"","banque","Bordeleau, Émilie","-","","(1879-1946)  Institutrice originaire de Saint-Stanislas, reconnue dans son milieu comme une femme de tête, dont l&#8217;histoire a inspiré l&#8217;une des téléséries les plus populaires du début des années 1990.","Compilé par Gabriel Martin, 2016","","","","Émilie Bordeleau","83","Banque Toponym'Elles"
"","banque","Boucher-Rousseau, Yvette","-","","(1917-1988)  Cette militante syndicale participe à la création du Conseil du statut de la femme, alors qu&#8217;elle est présidente de la Fédération des femmes du Québec en 1973. En 1979 elle est nommée sénatrice.","Compilé par Gabriel Martin, 2016","","","","Yvette Boucher-Rousseau","83","Banque Toponym'Elles"
"","banque","Bourke-White, Margaret","-","","(1904-1971)  Photographe de presse états-unienne, elle est la première femme à voir ses photographies publiées dans le célèbre magazine Life. Elle est notamment connue pour ses photographies de guerres ainsi que ses photographies d&#8217;installations industrielles.","Compilé par Gabriel Martin, 2016","","","","Margaret Bourke-White","83","Banque Toponym'Elles"
"","banque","Bowen, Madge","-","","(Inconnue-Inconnue)  Cofondatrice, avec Ethel Stark, de la Symphonie féminine de Montréal.","Compilé par Gabriel Martin, 2016","","","","Madge Bowen","83","Banque Toponym'Elles"
"","banque","Brandeau, Esther","-","","(Vers 1718-Inconnue)  En 1738, alors qu&#8217;elle est âgée d&#8217;une vingtaine d&#8217;années, cette jeune juive arrive en pleine Nouvelle-France catholique déguisée en garçon. Y restant pendant environ une année, avant d&#8217;être déportée en France, la présence d&#8217;une personne jugée si singulière dans la colonie sème l&#8217;émoi et marque les annales.","Compilé par Gabriel Martin, 2016","","","","Esther Brandeau","83","Banque Toponym'Elles"
"","banque","Brant, Molly","-","","(vers 1736-1796)  Mohawk devenue loyaliste, dont l&#8217;autorité était reconnue tant par les Amérindiens que par les Blancs.","Compilé par Gabriel Martin, 2016","","","","Molly Brant","83","Banque Toponym'Elles"
"","banque","Brault, Cédia","-","","(1894-1972)  Chanteuse de grand talent très active à Montréal, où elle est décédée.","Compilé par Gabriel Martin, 2016","","","","Cédia Brault","83","Banque Toponym'Elles"
"","banque","Brazeau, Marie","-","","(1662-1735)  Marie Brazeau s&#8217;établit à Montréal en 1681, avec sa famille. En 1686, elle y cofonde, avec son mari, un cabaret illicite. Vivant alors une véritable saga tant sur les plans personnels que judiciaire, elle a servi de personnage principal à roman historique publié en 2001.","Compilé par Gabriel Martin, 2016","","","","Marie Brazeau","83","Banque Toponym'Elles"
"","banque","Brémont, Fannie","-","","(1885-1970)  Dans les années 1920, cette comédienne montréalaise devient l&#8217;une des premières artistes francophones du Québec à enregistrer des disques humoristiques. Au courant de sa carrière, elle joue aussi dans de nombreux radioromans et films. En outre, sur la scène théâtrale, elle participe aussi aux célèbres Fridolinades de Gratien Gélinas.","Compilé par Gabriel Martin, 2016","","","","Fannie Brémont","83","Banque Toponym'Elles"
"","banque","Bronstein, Naomi","-","","(1946-2010)  Humaniste née à Montréal s&#8217;étant illustré dans l&#8217;aide qu&#8217;elle a apportée à de nombreux enfants orphelins et malades.","Compilé par Gabriel Martin, 2016","","","","Naomi Bronstein","83","Banque Toponym'Elles"
"","banque","Brooks, Harriet","-","","(1876-1933)  Pionnière de la physique nucléaire ayant habité à Montréal, cette chercheuse associée à Rutherford (Nobel, 1902), est une précurseure de l&#8217;entrée des femmes en sciences au Canada.","Compilé par Gabriel Martin, 2016","","","","Harriet Brooks","83","Banque Toponym'Elles"
"","banque","Brott, Lotte","-","","(1922-1998)  Violoncelliste d&#8217;origine juive membre de l&#8217;Orchestre symphonique de Montréal, elle est l&#8217;instigatrice de la tenue de concerts estivaux sur le Mont-Royal. Elle est nommée chevalière de l&#8217;Ordre national du Québec en 1996.","Compilé par Gabriel Martin, 2016","","","","Lotte Brott","83","Banque Toponym'Elles"
"","banque","Brouard, Carmen","-","","(1909-2005)  Née à Port-au-Prince, cette compositrice s&#8217;installe à Montréal en 1977, où elle fonde la Société de recherche et de diffusion de la musique haïtienne (SRDMH). Le musicologue Claude Dauphin, principal connaisseur de l&#8217;&#339;uvre de Carmen Brouard, la qualifiera de « figure de proue de toute création musicale haïtienne de la seconde moitié du XXe siècle ».","Compilé par Gabriel Martin, 2016","","","","Carmen Brouard","83","Banque Toponym'Elles"
"","banque","Bruneau, Julie","-","","(1795-1862)  Épistolière, elle échange une importante correspondance avec son mari, Louis-Joseph Papineau, avec qui elle partage les idéaux patriotes. Elle est employée comme personnage principal dans la fiction à succès « Le roman de Julie Papineau ».","Compilé par Gabriel Martin, 2016","","","","Julie Bruneau","83","Banque Toponym'Elles"
"","banque","Brunet, Marguerite","-","","(1909-1989)  Bibliothécaire chevronnée, elle a vu son nom être donné à une bibliothèque de Montréal qui n&#8217;existe plus aujourd&#8217;hui.","Compilé par Gabriel Martin, 2016","","","","Marguerite Brunet","83","Banque Toponym'Elles"
"","banque","Burstyn, Irene","-","","(1916-2001)  Créatrice de mode d&#8217;origines polonaises, décédée à Montréal, on lui doit de populaires lignes de vêtements des années 1980 et 1990 destinés aux femmes.","Compilé par Gabriel Martin, 2016","","","","Irene Burstyn","83","Banque Toponym'Elles"
"","banque","Cabana, Laure","-","","(1910-1998)  Costumière qui s&#8217;est illustrée dans son domaine, elle a notamment réalisé des costumes pour les célèbres Fridolinades de Gratien Gélinas.","Compilé par Gabriel Martin, 2016","","","","Laure Cabana","83","Banque Toponym'Elles"
"","banque","Cadotte, Marie-Elmire","-","","(1848-1909)  Religieuse ayant occupé la fonction de supérieure provinciale des S&#339;urs du Bon-Pasteur d&#8217;Angers, une congrégation implantée à Montréal qui s&#8217;occupe des femmes délinquantes.","Compilé par Gabriel Martin, 2016","","","","Marie-Elmire Cadotte","83","Banque Toponym'Elles"
"","banque","Cadron, Rosalie","-","","(1794-1864)  Fondatrice des s&#339;urs de la Miséricorde, elle a notamment soutenu les mères monoparentales (dites « filles-mères », à l&#8217;époque).","Compilé par Gabriel Martin, 2016","","","","Rosalie Cadron","83","Banque Toponym'Elles"
"","banque","Caiserman-Roth, Ghitta","-","","(1923-2005)  Peintre née et décédée à Montréal, elle est reconnue pour la qualité de ses &#339;uvres, relevant d&#8217;un style expressionniste. En 2000, elle reçoit le Prix du Gouverneur général en Arts visuels.","Compilé par Gabriel Martin, 2016","","","","Ghitta Caiserman-Roth","83","Banque Toponym'Elles"
