FOURNISSEUR,RÉPARTITION,SERVICE,DIRECTION,NO DE DOSSIER,OBJET,NO DÉCISION,DATE SIGNATURE,MONTANT
"CANBEC CONSTRUCTION INC,,","69,32 % AGGLOMÉRATION. 18,68 % VILLE. 12 % ARRONDISSEMENTS",SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES,DIRECTION DES IMMEUBLES,1134512003,"EXERCER LES OPTIONS DE PROLONGATION PRÉVUES AUX CONTRATS POUR LE DÉNEIGEMENT D'ÉDIFICES VILLE ET SPVM AVEC LES FIRMES ""LES ENTREPRISES CANBEC CONSTRUCTION INC."", ""A SYS RÉALISATIONS"", ""LES ENTREPRISES MICHEL GAUTHIER INC."" (CE10 1717), POUR LA PÉRIODE COMPRISE ENTRE LES MOIS D’OCTOBRE À DÉCEMBRE 2013. AUTORISER À CETTE FIN UNE DÉPENSE DE 140 958,27 $, MAJORANT AINSI LE MONTANT TOTAL DES CONTRATS DE 1 074 046.71 $ À 1 215 005,00 $, TAXES INCLUSES.",CE13 1264,8/29/2013,39383.00
LES ENTREPRISES MICHEL GAUTHIER INC.,"69,32 % AGGLOMÉRATION. 18,68 % VILLE. 12 % ARRONDISSEMENTS",SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES,DIRECTION DES IMMEUBLES,1134512003,"EXERCER LES OPTIONS DE PROLONGATION PRÉVUES AUX CONTRATS POUR LE DÉNEIGEMENT D'ÉDIFICES VILLE ET SPVM AVEC LES FIRMES ""LES ENTREPRISES CANBEC CONSTRUCTION INC."", ""A SYS RÉALISATIONS"", ""LES ENTREPRISES MICHEL GAUTHIER INC."" (CE10 1717), POUR LA PÉRIODE COMPRISE ENTRE LES MOIS D’OCTOBRE À DÉCEMBRE 2013. AUTORISER À CETTE FIN UNE DÉPENSE DE 140 958,27 $, MAJORANT AINSI LE MONTANT TOTAL DES CONTRATS DE 1 074 046.71 $ À 1 215 005,00 $, TAXES INCLUSES.",CE13 1264,8/29/2013,56920.00
LES INDUSTRIES PAMILLIO INC.,ENTENTE CADRE RÉPARTITION SELON UTILISATION,SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES,DIRECTION DE L'APPROVISIONNEMENT,1136135007,"CONCLURE AVEC LES INDUSTRIES PAMILIO INC., UNE ENTENTE-CADRE D'UNE DURÉE DE SOIXANTE (60) MOIS, POUR LA FOURNITURE DE TUQUES POUR LES EMPLOYÉS DU SERVICE DE POLICE DE LA VILLE DE MONTRÉAL (SPVM) ET POUR LES AUTRES EMPLOYÉS DE LA VILLE DE MONTRÉAL, POUR UN MONTANT ESTIMÉ DE L'ENTENTE DE 180 568,24$, TAXES INCLUSES - APPEL D'OFFRES PUBLIC 13-12964 (7 SOUMISSIONNAIRES)",CE13 1265,8/28/2013,180568.00
FONDATION ESPACE POUR LA VIE,100 % VILLE,SERVICE DE LA QUALITÉ DE VIE,ESPACE POUR LA VIE,1133815002,ACCORDER CONFORMÉMENT À LA LOI UN CONTRAT DE GRÉ À GRÉ À LA FONDATION ESPACE POUR LA VIE POUR LA FOURNITURE DE LANTERNES CHINOISES FABRIQUÉES À SHANGHAI POUR UNE SOMME MAXIMALE DE 94 909 $ TAXES INCLUSES CONFORMÉMENT À LA SOUMISSION DU SOUS-TRAITANT CHINOIS EN DATE DU 8 FÉVRIER 2013. RATIFIER UNE DÉPENSE DE 44 683 $ DÉJÀ EFFECTUÉE DANS LE CADRE DE CE CONTRAT.,CE13 1266,8/28/2013,95000.00
MONTRÉAL CHRYSLER DODGE JEEP (LASALLE),100 % AGGLOMÉRATION,SERVICE DE POLICE DE LA VILLE DE MONTRÉAL,DIRECTION DES OPÉRATIONS - ACTIVITÉS DE SOUTIEN,1134472013,"AUTORISER UNE DÉPENSE DE 472 524,35 $, TAXES INCLUSES, POUR L'ACQUISITION DE DIX-SEPT VÉHICULES DODGE GRAND CARAVAN 2014, POUR LES BESOINS DU SERVICE DE POLICE, CONFORMÉMENT À L'ENTENTE-CADRE 693411 INTERVENUE ENTRE LA VILLE DE MONTRÉAL ET MONTRÉAL CHRYSLER DODGE JEEP (LASALLE) (CG11 0370) - ACHAT DE VÉHICULES IDENTIFIÉS",CE13 1267,8/28/2013,472524.00
G & S CONSULTANTS,"85,74 % VILLE. 9,12 % AGGLOMÉRATION. 5,14 % ARRONDISSEMENT DE VERDUN",ARRONDISSEMENT DE VERDUN,DIRECTION DU DÉVELOPPEMENT DU TERRITOIRE_DES ÉTUDES TECHNIQUES ET DES SERVICES AUX ENTREPRISES,1132183016,"ACCORDER UN CONTRAT DE SERVICES PROFESSIONNELS À G&S CONSULTANTS POUR LE CONTRÔLE DE MATÉRIAUX ET SURVEILLANCE QUALITATIVE ET QUANTITATIVE DES TRAVAUX OCTROYÉ EN 2013 DE RECONSTRUCTION DES RUES . ARRONDISSEMENT: VERDUN. - DÉPENSE TOTALE DE 317 951,87$, TAXES INCLUSES ( CONTRAT: 317 951,87$ + INCIDENCES: 0,00 $ ). APPEL D'OFFRES PUBLIC # S13-003 - 6 SOUMISSIONNAIRES ET APPROUVER UN PROJET DE CONVENTION À CETTE FIN.",CE13 1270,8/28/2013,317951.00
FAUTEUX BRUNO BUSSIÈRE LEEWARDEN,100 % AGGLOMÉRATION,SERVICE DES AFFAIRES JURIDIQUES ET DE L'ÉVALUATION FONCIÈRE,DIRECTION DES AFFAIRES CIVILES,1131804001,"DE RETENIR LES SERVICES PROFESSIONNELS DE M. GILLES BUSSIÈRE, DE LA FIRME FAUTEUX BRUNO BUSSIÈRE LEEWARDEN, À TITRE D'EXPERT COMPTABLE DANS LE DOSSIER OPPOSANT 1481874 ONTARIO INC. / 2917599 CANADA INC. (CENTRE BELL) C. VILLE DE MONTRÉAL DEVANT LE TRIBUNAL ADMINISTRATIF DU QUÉBEC POUR LES RÔLES TRIENNAUX 2011-2012-2013 ET 2014-2015-2016. / D'AUTORISER UNE DÉPENSE DE 200 000 $.",CE13 1271,8/28/2013,200000.00
"BEAUPRÉ, MICHAUD & ASSOCIÉS, ARCHITECTES",100 % AGGLOMÉRATION,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DES GRANDS PARCS ET DU VERDISSEMENT,1125915014,"ACCORDER UN CONTRAT DE SERVICES PROFESSIONNELS À BEAUPRÉ MICHAUD ET ASSOCIÉS, ARCHITECTES POUR RÉALISER LES PLANS ET DEVIS NÉCESSAIRES À LA RESTAURATION DU KIOSQUE DE MUSIQUE - PAVILLON MORDECAI-RICHLER POUR UNE SOMME MAXIMALE DE 57 753,37 $, TAXES INCLUSES - APPEL D'OFFRES SUR INVITATION NO 12-11819 (1 SOUMISSIONNAIRE) / APPROUVER UN PROJET DE CONVENTION À CETTE FIN.",CE13 1272,8/28/2013,57753.00
PROQUEST,100 % VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA CULTURE ET DU PATRIMOINE,1133315004,"ACCORDER, CONFORMÉMENT À LA LOI, UN CONTRAT DE GRÉ À GRÉ À PROQUEST, AFIN DE RENOUVELER, POUR UNE PÉRIODE DE TROIS ANS, L'ABONNEMENT À LA RESSOURCE NUMÉRIQUE NEWSPAPER DIRECT LIBRARY PRESS DISPLAY, POUR UNE SOMME MAXIMALE DE 73 814,11 $ US, TAXES INCLUSES/ APPROUVER UN PROJET DE CONVENTION À CETTE FIN.",CE13 1344,9/16/2013,73814.00
"SERVICE D'ENTRETIEN ALPHANET INC,","54,52 % AGGLOMÉRATION",SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES,DIRECTION DES IMMEUBLES,1134512002,"ACCORDER UN CONTRAT À SERVICE D'ENTRETIEN ALPHANET INC, POUR L'ENTRETIEN SANITAIRE DE CINQ BÂTIMENTS DU SPVM, D’UN CENTRE COMMUNAUTAIRE, D’UNE BIBLIOTHÈQUE ET D’UN CHALET DE PARC, POUR UNE SOMME MAXIMALE DE 314 502.80 $, TAXES INCLUSES - APPEL D'OFFRES PUBLIC 13803 - (4 SOUMISSIONNAIRES)",CE13 1345,9/10/2013,314503.00
PROCOVA INC.,100 % AGGLOMÉRATION,SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES,DIRECTION DES STRATÉGIES ET TRANSACTIONS IMMOBILIÈRES,1130749002,"ACCORDER UN CONTRAT À LA FIRME PROCOVA INC. POUR LES TRAVAUX DE MISE À NIVEAU DES PORTES ET QUINCAILLERIE À LA STATION DE POMPAGE MCTAVISH SITUÉE AU 855 AVENUE DU DR. PENFIELD, MONTRÉAL (0270) - DÉPENSE TOTALE DE 127 329,07 $, TAXES INCLUSES - APPEL D'OFFRES PUBLIC NO 5670 - (4 SOUMISSIONNAIRES).",CE13 1347,9/9/2013,118999.00
AMIOT-BERGERON ARCHITECTES,100 % VILLE,SERVICE DE LA QUALITÉ DE VIE,ESPACE POUR LA VIE,1136365002,"ACCORDER UN CONTRAT DE SERVICES PROFESSIONNELS À AMIOT-BERGERON ARCHITECTES POUR PRÉPARER LES DOCUMENTS ET ENCADRER TROIS CONCOURS POUR LA RÉALISATION DES TROIS PROJETS D'ENVERGURE D'ESPACE POUR LA VIE : MÉTAMORPHOSE DE L'INSECTARIUM, LE BIODÔME RENOUVELÉ ET LE PAVILLON DE VERRE AU JARDIN BOTANIQUE, POUR UNE SOMME MAXIMALE DE 73 353.50 $ (CONTRAT DE 66 685 $ + CONTINGENCES DE 6 668.50$) TAXES INCLUSES - APPEL D'OFFRES SUR INVITATION #13-12923 - QUATRE (4) SOUMISSIONNAIRES / APPROUVER LE PROJET DE CONVENTION À CETTE FIN",CE13 1349,9/12/2013,73353.00
CIM MAINTENANCE,100 % AGGLOMÉRATION,SERVICE DE L'EAU,DIRECTION DE L'ÉPURATION DES EAUX USÉES,1133438009,"ACCORDER, CONFORMÉMENT À LA LOI, UN CONTRAT DE GRÉ À GRÉ À LA COMPAGNIE CIM MAINTENANCE INC. POUR L'ACHAT DE 85 LICENCES ET LA CONFIGURATION DU LOGICIEL VISUAL PLANNER, AFIN DE PERMETTRE D'EFFECTUER DES TÂCHES DE GESTION DE MAINTENANCE, POUR UNE SOMME MAXIMALE DE 94 849,78 $, TAXES INCLUSES - FOURNISSEUR EXCLUSIF",CE13 1359,9/12/2013,94850.00
DESMARAIS & GAGNÉ INC.,100 % AGGLOMÉRATION,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA CULTURE ET DU PATRIMOINE,1133820006,"ACCORDER UN CONTRAT À DESMARAIS & GAGNÉ INC. POUR LA FABRICATION ET LA LIVRAISON DE 504 CLÔTURES EN ACIER GALVANISÉ PEINT ET DE 18 CHARIOTS DE MANUTENTION EN ACIER PEINT. DÉPENSES TOTALE DE 342 748,40 $, TAXES INCLUSES (CONTRAT : 332 765,44 $ + INCIDENCES : 9 982,96 $) - APPEL D'OFFRES PUBLIC QDS-BARRIÈRES, 6 SOUMISSIONS DÉPOSÉES, 5 CONFORMES.",CE13 1361,9/13/2013,332765.00
"SOCIÉTÉ LOGIQUE INC.,",100 % VILLE,"SERVICE DES INFRASTRUCTURES, DU TRANSPORT ET DE L'ENVIRONNEMENT",DIRECTION DES TRANSPORTS,1134728005,"ACCORDER, CONFORMÉMENT À LA LOI, UN CONTRAT DE SERVICES PROFESSIONNELS DE GRÉ À GRÉ À L'OBNL SOCIÉTÉ LOGIQUE POUR L'ÉLABORATION DES ASPECTS TECHNIQUES DU « FASCICULE 5 : AMÉNAGEMENTS PIÉTONS UNIVERSELLEMENT ACCESSIBLE DU GUIDE D'AMÉNAGEMENT DURABLE DES RUES DE MONTRÉAL », POUR UNE SOMME MAXIMALE DE 74 812 $, TAXES INCLUSES / APPROUVER UN PROJET DE CONVENTION À CETTE FIN.",CE13 1364,9/12/2013,74812.00
ÉLAGAGE PRESTIGE INC,100 % VILLE,SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES,DIRECTION DES SERVICES REGROUPÉS AUX ARRONDISSEMENTS,1134631001,"MAJORER L'ENTENTE-CADRE INTERVENUE ENTRE LA VILLE ET ÉLAGAGE PRESTIGE INC (CE13-0287) POUR LE SERVICE DE DÉCHIQUETAGE DES BRANCHES DE FEUILLUS PROVENANT DU DOMAINE PRIVÉ, DANS LE CADRE DES EFFORTS DE LUTTE À L'AGRILE DU FRÊNE, LA FAISANT PASSER DE 332 277,75 $, TAXES INCLUSES, À 432 742,91 $, TAXES INCLUSES / AUTORISER UNE DÉPENSE ADDITIONNELLE DE 100 465,16 $, TAXES INCLUSES",CE13 1384,9/25/2013,332277.00
CONSTRUCTION N.R.C.,73 % AGGLOMÉRATION. 27 % VILLE,"SERVICE DES INFRASTRUCTURES, DU TRANSPORT ET DE L'ENVIRONNEMENT",DIRECTION DES TRANSPORTS,1135309011,"ACCORDER UN CONTRAT D’UNE DURÉE DE 6 MOIS À CONSTRUCTION N.R.C. POUR LA RÉALISATION DE PROJETS DE SIGNALISATION LUMINEUSE DE 11 INTERSECTIONS SUR LE RÉSEAU ARTÉRIEL DE LA VILLE DE MONTRÉAL (ARRONDISSEMENTS VILLE-MARIE, ET CÔTE-DES-NEIGES - NOTRE-DAME-DE-GRÂCE) POUR UNE SOMME MAXIMALE DE 144 905,87$. APPEL D'OFFRES PUBLIC # 1135309011 ( 7 SOUMISSIONNAIRES)",CE13 1389,9/23/2013,144906.00
CUSSON-MORIN CONSTRUCTION INC.,100 % AGGLOMÉRATION,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DES GRANDS PARCS ET DU VERDISSEMENT,1131246008,"ACCORDER UN CONTRAT À CUSSON-MORIN CONSTRUCTION INC., POUR LA RÉFECTION D'UNE SECTION DE SENTIER DANS LE SECTEUR VAL-DES-BOIS AU PARC-NATURE DU BOIS-DE-L'ÎLE-BIZARD - DÉPENSE TOTALE DE 375 963,27 $, TAXES INCLUSES - APPEL D'OFFRES PUBLIC 13-6326 - (4 SOUMISSIONNAIRES CONFORMES ET 1 SOUMISSIONNAIRE NON CONFORME)",CE13 1391,9/24/2013,329792.00
LES CONSULTANTS S.M. INC,90 % VILLE. 10 % ARRONDISSEMENT DE ST-LAURENT,ARRONDISSEMENT DE SAINT-LAURENT,DIRECTION DES TRAVAUX PUBLICS,1134378020,"OCTROYER UN CONTRAT DE 339 851,74 $ À LES CONSULTANTS S.M. INC. POUR LA PRÉPARATION DES PLANS ET DEVIS ET SURVEILLANCE DES TRAVAUX DE RÉFECTION DES RÉSEAUX D'AQUEDUC ET D'ÉGOUTS, DE CHAUSSÉE, DE TROTTOIRS ET DE BORDURES SUR UNE PARTIE DES RUES DE LA SORBONNE, BARRÉ, ROCHON, SAINT-GERMAIN ET CREVIER - SOUMISSION 13-019.",CE13 1396,9/25/2013,339852.00
ARISTO (9200-6774 QUÉBEC INC).,100 % VILLE,SERVICE DE LA QUALITÉ DE VIE,ESPACE POUR LA VIE,1136406001,"CONCLURE AVEC L'ENTREPRISE ARISTO (9200-6774 QUÉBEC INC) UNE ENTENTE-CADRE VALIDE ENTRE LA SIGNATURE DE L'ENTENTE ET LE 30 NOVEMBRE 2013 POUR LA FOURNITURE ET LA LIVRAISON SUR DEMANDE DE SANDWICHS ET SALADES POUR LES RESTAURANTS DU JARDIN BOTANIQUE - APPEL D'OFFRES PUBLIC 13-13092 – 2 SOUMISSIONNAIRES - MONTANT ESTIMÉ À 344 010,95 $.",CE13 1459,9/25/2013,344010.00
LES ENTREPRISES DE CONSTRUCTION VENTEC INC.,100 % AGGLOMÉRATION,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DES GRANDS PARCS ET DU VERDISSEMENT,1131246007,"ACCORDER UN CONTRAT À LES ENTREPRISES DE CONSTRUCTION VENTEC INC., POUR LE RÉAMÉNAGEMENT DE SENTIERS ET D'ACCÈS AU PARC-NATURE DU BOIS-DE-L'ÎLE-BIZARD - DÉPENSE TOTALE DE 491 092,72 $, TAXES INCLUSES - APPEL D'OFFRES PUBLIC 13-6290 - (3 SOUMISSIONNAIRES CONFORMES).",CE13 1465,9/26/2013,446448.00
ATELIER DE SOUDURE RIVIÈRE-DU-LOUP,100 % AGGLOMÉRATION,SERVICE DE L'EAU,DIRECTION DE L'ÉPURATION DES EAUX USÉES,1133334020,"ACCORDER UN CONTRAT À ATELIER DE SOUDURE RIVIÈRE-DU-LOUP INC., POUR UNE SOMME MAXIMALE DE 249 497,99 $, TAXES INCLUSES, POUR LA FOURNITURE ET LA LIVRAISON DE BATARDEAUX ET LEURS ACCESSOIRES POUR LES STRUCTURES DE RÉGULATION DES INTERCEPTEURS NORD ET SUD - APPEL D'OFFRES 1913-AE - 5 SOUMISSIONS",CE13 1468,9/23/2013,249497.00
"PAQUETTE & ASSOCIÉS, S.E.N.C.R.L.","DÉPENSES MIXTES D'ACTIVITÉS D'ADMINISTRATION GÉNÉRALE 51,9 %",SERVICE DES FINANCES,DIRECTION SERVICES PARTAGÉS FINANCIERS,1135872003,"ACCORDER UN CONTRAT DE SERVICES PROFESSIONNELS À LA SOCIÉTÉ D'HUISSIERS PAQUETTE & ASSOCIÉS S.E.N.C.R.L., POUR LA SIGNIFICATION DE DIFFÉRENTS DOCUMENTS ET L'EXÉCUTION DE BREFS DE SAISIES POUR UNE SOMME MAXIMALE DE 450 000,00 $, TAXES INCLUSES, POUR UNE DURÉE APPROXIMATIVE DE 36 MOIS- APPEL D'OFFRES PUBLIC NO 13-12806 (4 SOUMISSIONNAIRES) / APPROUVER UN PROJET DE CONVENTION À CETTE FIN.",CE13 1473,9/25/2013,450000.00
