NUMEROTATION,TYPE_SOINS,REGION_RESIDENCE,NB_DEPARTS--REG_TRAITEMENT_01,NB_DEPARTS--REG_TRAITEMENT_02,NB_DEPARTS--REG_TRAITEMENT_03,NB_DEPARTS--REG_TRAITEMENT_04,NB_DEPARTS--REG_TRAITEMENT_05,NB_DEPARTS--REG_TRAITEMENT_06,NB_DEPARTS--REG_TRAITEMENT_07,NB_DEPARTS--REG_TRAITEMENT_08,NB_DEPARTS--REG_TRAITEMENT_09,NB_DEPARTS--REG_TRAITEMENT_10,NB_DEPARTS--REG_TRAITEMENT_11,NB_DEPARTS--REG_TRAITEMENT_12,NB_DEPARTS--REG_TRAITEMENT_13,NB_DEPARTS--REG_TRAITEMENT_14,NB_DEPARTS--REG_TRAITEMENT_15,NB_DEPARTS--REG_TRAITEMENT_16,NB_DEPARTS--REG_TRAITEMENT_17,NB_DEPARTS--REG_TRAITEMENT_18,NB_DEPARTS--TOT_ REG_RESIDENCE,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
22,Soins en chirurgie d'un jour,04 Mauricie et Centre-du-Québ,8,290,1086,23486,924,866,8,1,2,0,1,219,15,150,21,425,0,0,27502,Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
23,Soins en chirurgie d'un jour,05 Estrie,3,3,105,648,22165,795,2,4,0,1,1,324,7,11,11,549,0,0,24629,Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
24,Soins en chirurgie d'un jour,06 Montréal,2,9,76,34,90,70206,12,2,0,2,4,17,628,1001,399,1467,0,0,73949,Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
25,Soins en chirurgie d'un jour,07 Outaouais,2,0,28,5,18,607,14750,17,0,1,0,9,21,4,90,36,0,0,15588,Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
26,Soins en chirurgie d'un jour,08 Abitibi-Témiscamingue,0,1,11,3,6,413,253,7556,1,1,0,3,5,3,6,26,0,0,8288,Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
27,Soins en chirurgie d'un jour,09 Côte-Nord,20,198,673,3,3,44,2,2,4329,0,0,27,0,0,1,9,0,0,5311,Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
28,Soins en chirurgie d'un jour,10-17 ET 18,0,281,47,0,0,612,12,689,0,433,0,2,0,0,3,1,240,0,2320,Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
29,Soins en chirurgie d'un jour,11 Gaspésie-Îles-de-la-Madele,663,5,369,2,10,45,0,0,2,0,4372,27,3,1,1,13,0,0,5513,Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
30,Soins en chirurgie d'un jour,12 Chaudière-Appalaches,56,8,3863,176,305,71,1,4,3,0,1,15237,5,6,6,34,0,0,19776,Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
31,Soins en chirurgie d'un jour,13 Laval,2,1,18,6,10,8901,8,2,0,0,3,1,6613,208,711,151,0,0,16635,Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
32,Soins en chirurgie d'un jour,14 Lanaudière,6,12,55,213,32,6293,5,2,1,0,1,11,1047,14187,1249,274,0,0,23388,Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
33,Soins en chirurgie d'un jour,15 Laurentides,6,3,34,16,30,6564,264,12,2,0,2,5,1712,441,17106,196,0,0,26393,Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
34,Soins en chirurgie d'un jour,16 Montérégie,8,7,107,536,1241,17121,9,6,2,1,2,22,103,127,146,44809,0,0,64247,Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
35,Soins en chirurgie d'un jour,NON-ATTRIBUÉE,80,13,250,7,33,484,62,8,2,0,29,16,5,5,14,29,0,0,1037,Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
36,Soins en chirurgie d'un jour,TOTAL RÉGION DE TRAITEMENT,10700,15908,38783,25286,24930,113341,15396,8312,4352,440,4517,17298,10175,16159,19774,48073,240,0,373684,Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
37,Soins post-mortem,01 Bas-Saint-Laurent,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
38,Soins post-mortem,02 Saguenay-Lac-Saint-Jean,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
39,Soins post-mortem,03 Capitale-Nationale,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
40,Soins post-mortem,04 Mauricie et Centre-du-Québ,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
41,Soins post-mortem,06 Montréal,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,16,Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
42,Soins post-mortem,07 Outaouais,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
43,Soins post-mortem,08 Abitibi-Témiscamingue,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
44,Soins post-mortem,09 Côte-Nord,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
45,Soins post-mortem,12 Chaudière-Appalaches,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
46,Soins post-mortem,13 Laval,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
47,Soins post-mortem,14 Lanaudière,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
48,Soins post-mortem,15 Laurentides,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
49,Soins post-mortem,16 Montérégie,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,16,Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
50,Soins post-mortem,NON-ATTRIBUÉE,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
51,Soins post-mortem,TOTAL RÉGION DE TRAITEMENT,0,10,19,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,102,Titre du rapport « S13- Mobilité Interrégionale de la clientèle hospitalière - Répartition des départs selon la région de traitement et de la région de résidence»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
