NUMEROTATION,TYPE_SOINS,REGION_RESIDENCE,NB_DEPARTS--REG_TRAITEMENT_01,NB_DEPARTS--REG_TRAITEMENT_02,NB_DEPARTS--REG_TRAITEMENT_03,NB_DEPARTS--REG_TRAITEMENT_04,NB_DEPARTS--REG_TRAITEMENT_05,NB_DEPARTS--REG_TRAITEMENT_06,NB_DEPARTS--REG_TRAITEMENT_07,NB_DEPARTS--REG_TRAITEMENT_08,NB_DEPARTS--REG_TRAITEMENT_09,NB_DEPARTS--REG_TRAITEMENT_10,NB_DEPARTS--REG_TRAITEMENT_11,NB_DEPARTS--REG_TRAITEMENT_12,NB_DEPARTS--REG_TRAITEMENT_13,NB_DEPARTS--REG_TRAITEMENT_14,NB_DEPARTS--REG_TRAITEMENT_15,NB_DEPARTS--REG_TRAITEMENT_16,NB_DEPARTS--REG_TRAITEMENT_17,NB_DEPARTS--REG_TRAITEMENT_18,NB_DEPARTS--TOT_ REG_RESIDENCE,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
11,Soins physiques et psychiatriques de courte durée,11--Gaspésie - Îles-de-la-Madeleine,968,2,2069,10,14,190,1,0,17,0,10117,56,3,6,10,23,0,0,13486,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
12,Soins physiques et psychiatriques de courte durée,12--Chaudière-Appalaches,176,42,9891,141,391,194,2,5,21,1,4,30627,3,2,6,44,0,0,41550,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
13,Soins physiques et psychiatriques de courte durée,13--Laval,6,18,30,15,36,16504,10,5,2,1,11,14,17836,180,1055,152,0,1,35876,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
14,Soins physiques et psychiatriques de courte durée,14--Lanaudière,23,44,81,339,45,8678,9,13,5,0,13,18,3330,28644,2074,303,0,0,43619,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
15,Soins physiques et psychiatriques de courte durée,15--Laurentides,19,57,88,25,55,10403,119,20,12,1,15,14,4322,502,33648,225,0,0,49525,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
16,Soins physiques et psychiatriques de courte durée,16--Montérégie,44,88,245,669,2574,28395,28,17,22,6,37,48,189,207,125,105306,0,2,138002,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
17,Soins physiques et psychiatriques de courte durée,Non-Attribuée,69,47,950,65,149,2671,188,73,43,7,43,30,55,60,110,266,0,0,4826,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
18,Soins physiques et psychiatriques de courte durée,Total région de traitement,21261,32787,85114,48364,35628,241529,23881,16903,9203,1680,10338,32465,27652,31288,37919,109114,1655,617,767398,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
19,Soins en chirurgie d'un jour,01--Bas-Saint-Laurent,10346,1,592,8,7,59,1,0,4,0,50,238,2,2,7,10,0,,11327,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
20,Soins en chirurgie d'un jour,02--Saguenay - Lac-Saint-Jean,2,15383,828,4,7,127,3,1,5,4,0,27,2,2,6,10,0,,16411,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
21,Soins en chirurgie d'un jour,03--Capitale-Nationale,38,39,33482,105,30,124,3,1,6,0,8,1103,3,5,7,25,0,,34979,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
22,Soins en chirurgie d'un jour,04--Mauricie et Centre-du-Québec,11,170,1381,24211,448,1820,4,3,4,2,0,274,13,55,29,460,0,,28885,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
23,Soins en chirurgie d'un jour,05--Estrie,6,4,78,701,12484,417,4,2,0,0,1,438,7,3,13,366,0,,14524,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
24,Soins en chirurgie d'un jour,06--Montréal,9,16,87,50,50,69583,18,6,2,1,6,15,767,1063,390,1784,0,,73847,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
25,Soins en chirurgie d'un jour,07--Outaouais,1,3,29,23,6,588,17413,21,0,0,2,87,15,13,155,36,0,,18392,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
26,Soins en chirurgie d'un jour,08--Abitibi-Témiscamingue,2,3,15,3,9,347,20,7371,1,0,0,1,11,0,34,13,0,,7830,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
27,Soins en chirurgie d'un jour,09--Côte-Nord,43,231,588,5,5,55,1,0,4397,0,1,57,0,0,2,8,0,,5393,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
28,Soins en chirurgie d'un jour,10  17 et 18,1,227,41,0,4,430,2,541,0,484,0,7,0,0,9,1,271,,2018,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
29,Soins en chirurgie d'un jour,11--Gaspésie - Îles-de-la-Madeleine,557,2,408,7,7,106,0,0,2,0,3409,31,4,1,3,16,0,,4553,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
30,Soins en chirurgie d'un jour,12--Chaudière-Appalaches,148,4,4774,196,200,63,0,5,1,0,2,17312,3,3,4,17,0,,22732,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
31,Soins en chirurgie d'un jour,13--Laval,0,3,14,9,10,8961,4,1,1,0,0,4,6034,209,1215,151,0,,16616,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
32,Soins en chirurgie d'un jour,14--Lanaudière,5,5,67,174,18,6621,3,5,0,0,2,14,1498,11744,1489,349,0,,21994,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
33,Soins en chirurgie d'un jour,15--Laurentides,7,5,42,38,19,5943,126,11,0,1,1,17,2163,291,18613,241,0,,27518,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
34,Soins en chirurgie d'un jour,16--Montérégie,19,15,102,428,737,19298,17,7,1,0,3,40,161,147,178,50669,0,,71822,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
35,Soins en chirurgie d'un jour,Non-Attribuée,63,9,173,8,35,540,136,15,4,0,10,9,4,4,18,32,0,,1060,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
36,Soins en chirurgie d'un jour,Total région de traitement,11258,16120,42701,25970,14076,115082,17755,7990,4428,492,3495,19674,10687,13542,22172,54188,271,,379901,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
37,Soins post-mortem,01--Bas-Saint-Laurent,,,1,,,0,,,,,,,,,,,,,1,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
38,Soins post-mortem,02--Saguenay - Lac-Saint-Jean,,,1,,,1,,,,,,,,,,,,,2,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
39,Soins post-mortem,03--Capitale-Nationale,,,12,,,0,,,,,,,,,,,,,12,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
40,Soins post-mortem,04--Mauricie et Centre-du-Québec,,,0,,,9,,,,,,,,,,,,,9,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
41,Soins post-mortem,05--Estrie,,,0,,,1,,,,,,,,,,,,,1,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
42,Soins post-mortem,06--Montréal,,,1,,,13,,,,,,,,,,,,,14,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
43,Soins post-mortem,07--Outaouais,,,0,,,3,,,,,,,,,,,,,3,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
44,Soins post-mortem,08--Abitibi-Témiscamingue,,,0,,,2,,,,,,,,,,,,,2,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
45,Soins post-mortem,09--Côte-Nord,,,2,,,0,,,,,,,,,,,,,2,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
46,Soins post-mortem,11--Gaspésie - Îles-de-la-Madeleine,,,2,,,0,,,,,,,,,,,,,2,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
47,Soins post-mortem,12--Chaudière-Appalaches,,,9,,,0,,,,,,,,,,,,,9,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
48,Soins post-mortem,13--Laval,,,0,,,8,,,,,,,,,,,,,8,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
49,Soins post-mortem,14--Lanaudière,,,0,,,4,,,,,,,,,,,,,4,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
50,Soins post-mortem,15--Laurentides,,,0,,,5,,,,,,,,,,,,,5,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
51,Soins post-mortem,16--Montérégie,,,0,,,12,,,,,,,,,,,,,12,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
52,Soins post-mortem,Total région de traitement,,,28,,,58,,,,,,,,,,,,,86,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
