NUMEROTATION,TYPE_SOINS,REGION_RESIDENCE,NB_DEPARTS--REG_TRAITEMENT_01,NB_DEPARTS--REG_TRAITEMENT_02,NB_DEPARTS--REG_TRAITEMENT_03,NB_DEPARTS--REG_TRAITEMENT_04,NB_DEPARTS--REG_TRAITEMENT_05,NB_DEPARTS--REG_TRAITEMENT_06,NB_DEPARTS--REG_TRAITEMENT_07,NB_DEPARTS--REG_TRAITEMENT_08,NB_DEPARTS--REG_TRAITEMENT_09,NB_DEPARTS--REG_TRAITEMENT_10,NB_DEPARTS--REG_TRAITEMENT_11,NB_DEPARTS--REG_TRAITEMENT_12,NB_DEPARTS--REG_TRAITEMENT_13,NB_DEPARTS--REG_TRAITEMENT_14,NB_DEPARTS--REG_TRAITEMENT_15,NB_DEPARTS--REG_TRAITEMENT_16,NB_DEPARTS--REG_TRAITEMENT_17,NB_DEPARTS--REG_TRAITEMENT_18,NB_DEPARTS--TOT_ REG_RESIDENCE,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
16,Soins physiques et psychiatriques de courte durée,16--Montérégie,55,56,229,656,1875,27076,23,13,12,0,24,38,184,180,206,96852,2,2,127483,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
17,Soins physiques et psychiatriques de courte durée,Non-Attribuée,95,44,1017,104,202,3172,171,64,35,5,39,41,125,64,139,254,4,0,5575,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
18,Soins physiques et psychiatriques de courte durée,Total région de traitement,21956,32475,89324,52566,50090,247490,27054,16411,9348,1693,9937,32810,30038,36157,44997,100588,2628,788,806350,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
19,Soins en chirurgie d'un jour,01--Bas-Saint-Laurent,9751,5,560,4,16,60,0,0,8,0,112,216,0,7,2,12,0,,10753,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
20,Soins en chirurgie d'un jour,02--Saguenay - Lac-Saint-Jean,0,16286,772,4,13,84,2,3,4,4,0,32,1,1,2,4,0,,17212,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
21,Soins en chirurgie d'un jour,03--Capitale-Nationale,48,78,30566,163,55,134,10,2,9,0,2,1407,6,4,5,38,0,,32527,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
22,Soins en chirurgie d'un jour,04--Mauricie et Centre-du-Québec,3,179,1207,24872,649,731,7,4,1,0,0,230,12,82,17,333,0,,28327,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
23,Soins en chirurgie d'un jour,05--Estrie,5,3,110,681,22224,853,2,4,0,2,1,326,15,16,13,659,0,,24914,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
24,Soins en chirurgie d'un jour,06--Montréal,6,11,81,51,105,67500,33,8,2,2,2,21,684,1105,354,1478,0,,71443,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
25,Soins en chirurgie d'un jour,07--Outaouais,1,1,15,11,22,574,17661,19,1,0,1,15,13,12,136,34,0,,18516,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
26,Soins en chirurgie d'un jour,08--Abitibi-Témiscamingue,3,0,24,13,5,461,80,7517,0,3,0,1,7,5,8,7,0,,8134,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
27,Soins en chirurgie d'un jour,09--Côte-Nord,12,266,573,4,10,42,2,1,4529,0,1,23,1,0,1,6,0,,5471,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
28,Soins en chirurgie d'un jour,10  17 et 18,0,261,29,3,3,524,3,599,1,454,0,3,0,1,2,1,339,,2223,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
29,Soins en chirurgie d'un jour,11--Gaspésie - Îles-de-la-Madeleine,640,1,330,4,15,57,0,1,0,0,4058,34,2,1,3,10,0,,5156,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
30,Soins en chirurgie d'un jour,12--Chaudière-Appalaches,78,7,3946,152,279,96,2,2,3,0,1,17243,2,1,7,41,0,,21860,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
31,Soins en chirurgie d'un jour,13--Laval,3,2,13,10,25,8827,1,1,0,0,1,2,5740,229,865,151,0,,15870,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
32,Soins en chirurgie d'un jour,14--Lanaudière,4,7,47,252,37,6119,3,1,1,0,1,18,1209,14209,1312,355,0,,23575,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
33,Soins en chirurgie d'un jour,15--Laurentides,3,8,57,19,33,5985,223,10,1,0,3,11,1772,384,15788,202,0,,24499,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
34,Soins en chirurgie d'un jour,16--Montérégie,7,10,124,586,1440,16608,22,5,1,0,2,24,102,171,147,43951,0,,63200,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
35,Soins en chirurgie d'un jour,Non-Attribuée,87,9,227,8,33,466,80,4,4,0,14,21,8,4,14,37,0,,1016,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
36,Soins en chirurgie d'un jour,Total région de traitement,10651,17134,38681,26837,24964,109121,18131,8181,4565,465,4199,19627,9574,16232,18676,47319,339,,374696,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
37,Soins post-mortem,01--Bas-Saint-Laurent,,0,3,,,0,,,,,,,,,,,,,3,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
38,Soins post-mortem,02--Saguenay - Lac-Saint-Jean,,8,1,,,0,,,,,,,,,,,,,9,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
39,Soins post-mortem,03--Capitale-Nationale,,0,11,,,0,,,,,,,,,,,,,11,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
40,Soins post-mortem,04--Mauricie et Centre-du-Québec,,0,2,,,10,,,,,,,,,,,,,12,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
41,Soins post-mortem,06--Montréal,,0,0,,,26,,,,,,,,,,,,,26,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
42,Soins post-mortem,07--Outaouais,,0,0,,,9,,,,,,,,,,,,,9,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
43,Soins post-mortem,08--Abitibi-Témiscamingue,,0,1,,,1,,,,,,,,,,,,,2,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
44,Soins post-mortem,09--Côte-Nord,,0,3,,,0,,,,,,,,,,,,,3,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
45,Soins post-mortem,11--Gaspésie - Îles-de-la-Madeleine,,0,2,,,0,,,,,,,,,,,,,2,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
46,Soins post-mortem,12--Chaudière-Appalaches,,0,9,,,0,,,,,,,,,,,,,9,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
47,Soins post-mortem,13--Laval,,0,0,,,10,,,,,,,,,,,,,10,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
48,Soins post-mortem,14--Lanaudière,,0,0,,,6,,,,,,,,,,,,,6,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
49,Soins post-mortem,15--Laurentides,,0,0,,,20,,,,,,,,,,,,,20,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
50,Soins post-mortem,16--Montérégie,,0,0,,,10,,,,,,,,,,,,,10,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
51,Soins post-mortem,Total région de traitement,,8,32,,,92,,,,,,,,,,,,,132,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
