NUMEROTATION,TYPE_SOINS,REGION_RESIDENCE,NB_DEPARTS--REG_TRAITEMENT_01,NB_DEPARTS--REG_TRAITEMENT_02,NB_DEPARTS--REG_TRAITEMENT_03,NB_DEPARTS--REG_TRAITEMENT_04,NB_DEPARTS--REG_TRAITEMENT_05,NB_DEPARTS--REG_TRAITEMENT_06,NB_DEPARTS--REG_TRAITEMENT_07,NB_DEPARTS--REG_TRAITEMENT_08,NB_DEPARTS--REG_TRAITEMENT_09,NB_DEPARTS--REG_TRAITEMENT_10,NB_DEPARTS--REG_TRAITEMENT_11,NB_DEPARTS--REG_TRAITEMENT_12,NB_DEPARTS--REG_TRAITEMENT_13,NB_DEPARTS--REG_TRAITEMENT_14,NB_DEPARTS--REG_TRAITEMENT_15,NB_DEPARTS--REG_TRAITEMENT_16,NB_DEPARTS--REG_TRAITEMENT_17,NB_DEPARTS--REG_TRAITEMENT_18,NB_DEPARTS--TOT_ REG_RESIDENCE,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
11,Soins physiques et psychiatriques de courte durée,11--Gaspésie - Îles-de-la-Madeleine,743,3,2152,10,24,179,0,1,16,0,9784,50,4,5,5,26,0,0,13002,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
12,Soins physiques et psychiatriques de courte durée,12--Chaudière-Appalaches,174,27,9386,147,400,201,5,6,15,2,10,29870,5,7,13,34,0,0,40302,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
13,Soins physiques et psychiatriques de courte durée,13--Laval,12,16,41,24,15,16500,12,0,3,0,5,7,18538,211,1356,135,0,0,36875,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
14,Soins physiques et psychiatriques de courte durée,14--Lanaudière,10,35,103,411,28,8825,9,9,7,1,12,13,2983,29428,2225,278,0,0,44377,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
15,Soins physiques et psychiatriques de courte durée,15--Laurentides,8,39,84,25,39,10560,159,23,3,4,14,13,4353,535,38086,216,0,0,54161,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
16,Soins physiques et psychiatriques de courte durée,16--Montérégie,38,75,212,669,2783,28392,22,22,16,2,35,74,190,214,177,107881,0,0,140802,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
17,Soins physiques et psychiatriques de courte durée,Non-Attribuée,76,50,974,66,172,2917,193,77,54,1,39,47,115,45,109,263,6,8,5212,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
18,Soins physiques et psychiatriques de courte durée,Total région de traitement,20905,32238,87829,50208,36429,244952,25263,16942,8627,1718,10020,31839,28110,32271,42842,111582,2259,562,784596,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
19,Soins en chirurgie d'un jour,01--Bas-Saint-Laurent,10358,4,537,8,8,68,0,1,11,0,32,253,2,2,8,14,0,,11306,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
20,Soins en chirurgie d'un jour,02--Saguenay - Lac-Saint-Jean,1,17400,820,8,14,102,2,1,3,2,0,32,6,0,6,8,0,,18405,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
21,Soins en chirurgie d'un jour,03--Capitale-Nationale,38,56,33514,129,27,141,5,2,8,2,2,1427,9,5,9,28,0,,35402,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
22,Soins en chirurgie d'un jour,04--Mauricie et Centre-du-Québec,6,243,1329,25026,506,768,4,5,1,0,3,247,15,95,20,452,0,,28720,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
23,Soins en chirurgie d'un jour,05--Estrie,5,6,82,720,13647,391,0,1,1,2,0,450,3,4,5,411,0,,15728,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
24,Soins en chirurgie d'un jour,06--Montréal,10,9,93,64,55,71009,18,4,1,0,1,24,814,1071,467,1509,0,,75149,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
25,Soins en chirurgie d'un jour,07--Outaouais,3,4,28,21,9,608,18415,14,0,0,0,57,11,7,134,36,0,,19347,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
26,Soins en chirurgie d'un jour,08--Abitibi-Témiscamingue,1,0,27,5,12,404,67,7893,0,1,0,1,5,7,33,14,0,,8470,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
27,Soins en chirurgie d'un jour,09--Côte-Nord,35,299,636,8,9,58,1,1,4562,0,2,57,0,1,0,6,0,,5675,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
28,Soins en chirurgie d'un jour,10  17 et 18,1,280,39,1,1,492,3,566,1,502,0,4,1,0,0,1,329,,2221,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
29,Soins en chirurgie d'un jour,11--Gaspésie - Îles-de-la-Madeleine,549,0,320,8,6,77,1,0,3,0,3548,15,4,2,3,10,0,,4546,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
30,Soins en chirurgie d'un jour,12--Chaudière-Appalaches,164,12,4525,153,185,76,2,1,1,0,0,17700,3,4,7,13,0,,22846,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
31,Soins en chirurgie d'un jour,13--Laval,2,4,18,14,12,9286,2,1,0,0,1,2,6418,199,1369,146,0,,17474,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
32,Soins en chirurgie d'un jour,14--Lanaudière,10,3,49,195,17,6479,8,3,0,0,1,10,1615,12327,1426,360,0,,22503,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
33,Soins en chirurgie d'un jour,15--Laurentides,4,6,42,24,23,6101,208,17,0,1,2,15,2318,370,18904,189,0,,28224,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
34,Soins en chirurgie d'un jour,16--Montérégie,6,11,130,565,796,19502,26,5,0,0,4,43,175,175,166,49452,0,,71056,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
35,Soins en chirurgie d'un jour,Non-Attribuée,48,8,166,8,45,489,185,11,1,0,7,24,7,0,13,31,0,,1043,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
36,Soins en chirurgie d'un jour,Total région de traitement,11241,18345,42355,26957,15372,116051,18947,8526,4593,510,3603,20361,11406,14269,22570,52680,329,,388115,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
37,Soins post-mortem,01--Bas-Saint-Laurent,,,4,,,0,,,,,,,,,,,,,4,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
38,Soins post-mortem,02--Saguenay - Lac-Saint-Jean,,,2,,,0,,,,,,,,,,,,,2,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
39,Soins post-mortem,03--Capitale-Nationale,,,9,,,0,,,,,,,,,,,,,9,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
40,Soins post-mortem,04--Mauricie et Centre-du-Québec,,,3,,,15,,,,,,,,,,,,,18,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
41,Soins post-mortem,06--Montréal,,,0,,,13,,,,,,,,,,,,,13,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
42,Soins post-mortem,07--Outaouais,,,0,,,6,,,,,,,,,,,,,6,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
43,Soins post-mortem,08--Abitibi-Témiscamingue,,,0,,,2,,,,,,,,,,,,,2,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
44,Soins post-mortem,10  17 et 18,,,0,,,1,,,,,,,,,,,,,1,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
45,Soins post-mortem,11--Gaspésie - Îles-de-la-Madeleine,,,2,,,0,,,,,,,,,,,,,2,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
46,Soins post-mortem,12--Chaudière-Appalaches,,,10,,,0,,,,,,,,,,,,,10,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
47,Soins post-mortem,13--Laval,,,0,,,4,,,,,,,,,,,,,4,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
48,Soins post-mortem,14--Lanaudière,,,0,,,8,,,,,,,,,,,,,8,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
49,Soins post-mortem,15--Laurentides,,,0,,,10,,,,,,,,,,,,,10,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
50,Soins post-mortem,16--Montérégie,,,0,,,14,,,,,,,,,,,,,14,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
51,Soins post-mortem,Total région de traitement,,,30,,,73,,,,,,,,,,,,,103,S13-MOBILITÉ INTERRÉGIONNALE DE LA CLIENTÈLE HOSPITALIÈRE RÉPARTITION DES DÉPARTS SELON LA RÉGION DE TRAITEMENT ET LA RÉGION DE RÉSIDENCE,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
