clientele,caracteristique,valeur,nouveau_participant,participant_actif,nouvelle_participation,participation_active
Individu - clientèle sans soutien public du revenu,Groupe d'âge,36 ans et plus,24468,29469,34021,42580
Individu - clientèle sans soutien public du revenu,Famille monoparentale,Oui,3638,4315,4992,6026
Individu - clientèle sans soutien public du revenu,Famille monoparentale,Non,65656,77003,89595,108572
Individu - clientèle sans soutien public du revenu,Famille monoparentale,Inconnue,4,20,4,20
Individu - clientèle sans soutien public du revenu,Scolarité,Primaire,2268,2910,3259,4572
Individu - clientèle sans soutien public du revenu,Scolarité,Secondaire I à IV,17848,20860,23884,28966
Individu - clientèle sans soutien public du revenu,Scolarité,Secondaire V,15680,18012,20766,24637
Individu - clientèle sans soutien public du revenu,Scolarité,Collégial,9189,10623,12186,14538
Individu - clientèle sans soutien public du revenu,Scolarité,Universitaire,16576,19670,23625,28702
Individu - clientèle sans soutien public du revenu,Scolarité,Inconnue,8544,10316,10871,13203
Individu - clientèle sans soutien public du revenu,Diplôme maximum obtenu,Aucun diplôme,28108,32635,36765,44520
Individu - clientèle sans soutien public du revenu,Diplôme maximum obtenu,Secondaire - DES,6314,7584,9178,11348
Individu - clientèle sans soutien public du revenu,Diplôme maximum obtenu,Secondaire - DEP,3115,3690,4519,5494
Individu - clientèle sans soutien public du revenu,Diplôme maximum obtenu,Secondaire - ASP,178,222,251,325
Individu - clientèle sans soutien public du revenu,Diplôme maximum obtenu,Collégial - AEC,846,1017,1289,1615
Individu - clientèle sans soutien public du revenu,Diplôme maximum obtenu,Collégial - DEC général,1319,1605,2053,2544
Individu - clientèle sans soutien public du revenu,Diplôme maximum obtenu,Collégial - DEC professionnel,2441,3000,3803,4815
Individu - clientèle sans soutien public du revenu,Diplôme maximum obtenu,Universitaire - Certificat,508,627,763,964
Individu - clientèle sans soutien public du revenu,Diplôme maximum obtenu,Universitaire - Baccalauréat,2885,3560,4486,5684
Individu - clientèle sans soutien public du revenu,Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,1304,1633,2099,2642
Individu - clientèle sans soutien public du revenu,Diplôme maximum obtenu,Inconnu,23481,27330,29385,34667
Individu - clientèle sans soutien public du revenu,Personne handicapée,Oui,5571,7822,8622,13888
Individu - clientèle sans soutien public du revenu,Personne handicapée,Non,63778,73609,85969,100730
Individu - clientèle sans soutien public du revenu,Autochtone,Oui,577,674,743,871
Individu - clientèle sans soutien public du revenu,Autochtone,Non,50415,60336,71916,88751
Individu - clientèle sans soutien public du revenu,Autochtone,Inconnu,18222,20210,21932,24996
Individu - clientèle sans soutien public du revenu,Lieu de naissance,Né au Canada,42543,49779,57247,69584
Individu - clientèle sans soutien public du revenu,Lieu de naissance,Né hors Canada : arrivé depuis moins de 5 ans,9162,11433,14635,18367
Individu - clientèle sans soutien public du revenu,Lieu de naissance,Né hors Canada : arrivé depuis 5 ans et plus,6743,7889,9372,11242
Individu - clientèle sans soutien public du revenu,Lieu de naissance,Inconnu,10811,12212,13337,15425
Individu - clientèle sans soutien public du revenu,Statut au début de la participation,Sans soutien public du revenu,69214,81220,94591,114618
