NUMEROTATION,TYPE_DE_SOINS,REGION,MUNICIPALITE,  NOMBRE_DEPARTS  ,  JOURS_HOSPIT_TOTAL  ,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
14,Soins physiques et psychiatriques de courte durée,Touriste,Total Touriste, 5 320    , 31 783    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
15,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7005, 29    , 189    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
16,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7010, 83    , 342    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
17,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7018, 366    , 2 205    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
18,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7025, 37    , 353    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
19,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7030, 153    , 981    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
20,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7035, 57    , 279    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
21,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7040, 19    , 59    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
22,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7047, 889    , 4 830    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
23,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7057, 203    , 1 148    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
24,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7065, 41    , 143    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
25,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7070, 47    , 249    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
26,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7075, 53    , 193    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
27,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7080, 145    , 936    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
28,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7085, 271    , 1 754    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
29,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7090, 51    , 227    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
30,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7095, 72    , 429    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
31,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7100, 38    , 187    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
32,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7105, 70    , 298    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
33,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7902, 9    , 72    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
34,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,8005, 217    , 1 206    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
35,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,8010, 24    , 75    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
36,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,8015, 43    , 397    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
37,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,8023, 217    , 1 620    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
38,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,8030, 69    , 415    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
39,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,8035, 147    , 617    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
40,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,8040, 33    , 133    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
41,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,8053, 2 205    , 13 055    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
42,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,8065, 48    , 249    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
43,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,8073, 211    , 1 359    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
44,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,8080, 87    , 343    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
45,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9005, 52    , 273    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
46,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9010, 23    , 127    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
47,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9015, 63    , 419    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
48,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9020, 15    , 78    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
49,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9025, 120    , 808    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
50,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9030, 85    , 519    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
51,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9035, 108    , 939    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
52,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9040, 35    , 337    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
53,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9048, 72    , 360    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
54,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9055, 45    , 321    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
55,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9060, 35    , 188    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
56,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9065, 221    , 1 432    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
57,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9070, 94    , 876    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
58,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9077, 867    , 6 896    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
59,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9085, 90    , 631    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
60,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9092, 291    , 2 216    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
61,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,10005, 52    , 253    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
62,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,10010, 33    , 219    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
63,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,10015, 117    , 778    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
64,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,10025, 27    , 109    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
65,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,10030, 282    , 1 590    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
66,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,10043, 5 404    , 39 132    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
67,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,10060, 77    , 424    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
68,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,10070, 219    , 1 288    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
69,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,10075, 37    , 158    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
70,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,11005, 44    , 645    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
71,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,11010, 180    , 1 196    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
72,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,11015, 26    , 134    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
73,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,11020, 10    , 71    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
74,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,11025, 23    , 129    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
75,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,11030, 46    , 269    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
76,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,11035, 25    , 178    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
77,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,11040, 410    , 2 849    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
78,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,11045, 30    , 222    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
79,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,11050, 50    , 251    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
80,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,11055, 36    , 302    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
81,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12005, 143    , 870    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
82,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12010, 118    , 746    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
83,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12015, 362    , 1 768    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
84,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12020, 114    , 521    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
85,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12025, 30    , 439    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
86,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12030, 88    , 446    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
87,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12035, 22    , 162    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
88,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12043, 144    , 1 050    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
89,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12045, 9    , 33    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
90,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12057, 52    , 286    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
91,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12065, 147    , 620    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
92,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12072, 2 392    , 18 096    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
93,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12080, 83    , 429    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
94,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12802, 5    , 8    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
95,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12804, 129    , 760    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
96,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13005, 396    , 2 148    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
97,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13010, 47    , 304    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
98,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13015, 54    , 312    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
99,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13020, 42    , 208    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
100,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13025, 159    , 1 137    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
101,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13030, 53    , 252    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
102,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13040, 87    , 413    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
103,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13045, 40    , 255    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
104,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13050, 25    , 143    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
105,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13055, 52    , 301    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
106,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13060, 71    , 482    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
107,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13065, 188    , 783    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
108,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13073, 697    , 3 944    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
109,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13075, 17    , 51    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
110,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13080, 155    , 932    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
111,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13085, 27    , 131    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
112,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13090, 81    , 483    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
113,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13095, 284    , 1 517    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
114,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13100, 16    , 39    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
115,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,14005, 153    , 960    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
116,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,14010, 55    , 266    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
117,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,14018, 483    , 3 070    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
118,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,14025, 117    , 605    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
119,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,14030, 36    , 120    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
120,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,14035, 265    , 1 600    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
121,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,14040, 86    , 950    ,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
