NUMEROTATION,TYPE_DE_SOINS,REGION,MUNICIPALITE,NOMBRE_DE_DEPARTS,JOURS_HOSPIT_TOTAL,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
11,"Soins physiques et psychiatriques de courte durée","TOURISTE","00091 États-Unis (USA)",212,1108,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
12,"Soins physiques et psychiatriques de courte durée","TOURISTE","00092 Autre pays",3968,18729,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
13,"Soins physiques et psychiatriques de courte durée","TOURISTE","00093 Nunavut",45,340,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
14,"Soins physiques et psychiatriques de courte durée","TOURISTE","AUTRES",4,14,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
15,"Soins physiques et psychiatriques de courte durée","TOTAL TOURISTE"," ",6445,42445,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
16,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","07005 SAINTE-MARGUERITE-MARIE",21,49,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
17,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","07010 SAINTE-FLORENCE",50,297,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
18,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","07018 CAUSAPSCAL",299,1575,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
19,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","07025 ALBERTVILLE",24,120,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
20,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","07030 SAINT-LEON-LE-GRAND",111,595,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
21,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","07035 SAINT-ZENON-DU-LAC-HUMQUI",26,130,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
22,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","07040 SAINTE-IRENE",31,100,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
23,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","07047 AMQUI",869,4682,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
24,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","07057 LAC-AU-SAUMON",187,820,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
25,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","07065 SAINT-ALEXANDRE-DES-LACS",39,169,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
26,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","07070 SAINT-THARCISIUS",38,105,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
27,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","07075 SAINT-VIANNEY",73,368,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
28,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","07080 VAL-BRILLANT",107,551,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
29,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","07085 SAYABEC",266,1304,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
30,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","07090 SAINT-CLEOPHAS",32,145,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
31,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","07095 SAINT-MOISE",67,193,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
32,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","07100 SAINT-NOEL",39,154,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
33,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","07105 SAINT-DAMASE",49,258,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
34,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","08005 LES MECHINS",151,593,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
35,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","08010 SAINT-JEAN-DE-CHERBOURG",34,238,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
36,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","08015 GROSSES-ROCHES",84,363,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
37,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","08023 SAINTE-FELICITE",131,572,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
38,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","08030 SAINT-ADELME",81,322,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
39,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","08035 SAINT-RENE-DE-MATANE",100,380,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
40,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","08040 SAINTE-PAULE",29,118,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
41,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","08053 MATANE",1930,9872,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
42,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","08065 SAINT-LEANDRE",56,258,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
43,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","08073 SAINT-ULRIC",184,951,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
44,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","08080 BAIE-DES-SABLES",87,407,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
45,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","08902 RIVIERE-BONJOUR",8,64,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
46,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","09005 LA REDEMPTION",49,228,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
47,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","09010 SAINT-CHARLES-GARNIER",28,140,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
48,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","09015 LES HAUTEURS",67,258,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
49,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","09020 SAINTE-JEANNE-D'ARC",22,92,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
50,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","09025 SAINT-GABRIEL-DE-RIMOUSKI",129,754,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
51,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","09030 SAINT-DONAT",94,452,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
52,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","09035 SAINTE-ANGELE-DE-MERICI",99,480,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
53,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","09040 PADOUE",35,252,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
54,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","09048 METIS-SUR-MER",69,551,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
55,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","09055 SAINT-OCTAVE-DE-METIS",54,278,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
56,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","09060 GRAND-METIS",43,329,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
57,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","09065 PRICE",215,1459,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
58,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","09070 SAINT-JOSEPH-DE-LEPAGE",68,296,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
59,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","09077 MONT-JOLI",807,6252,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
60,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","09085 SAINTE-FLAVIE",88,596,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
61,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","09092 SAINTE-LUCE",268,1752,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
62,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","10005 ESPRIT-SAINT",43,417,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
63,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","10010 LA TRINITE-DES-MONTS",26,142,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
64,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","10015 SAINT-NARCISSE-DE-RIMOUSKI",115,653,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
65,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","10025 SAINT-MARCELLIN",26,214,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
66,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","10030 SAINT-ANACLET-DE-LESSARD",210,1016,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
67,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","10043 RIMOUSKI",4660,30734,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
68,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","10060 SAINT-VALERIEN",66,297,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
69,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","10070 SAINT-FABIEN",208,1730,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
70,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","10075 SAINT-EUGENE-DE-LADRIERE",25,148,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
71,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","11005 SAINT-CLEMENT",38,290,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
72,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","11010 SAINT-JEAN-DE-DIEU",172,1043,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
73,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","11015 SAINTE-RITA",25,185,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
74,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","11020 SAINT-GUY",10,44,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
75,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","11025 SAINT-MEDARD",31,174,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
76,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","11030 SAINTE-FRANCOISE",56,236,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
77,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","11035 SAINT-ELOI",35,217,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
78,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","11040 TROIS-PISTOLES",401,2437,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
79,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","11045 NOTRE-DAME-DES-NEIGES",53,189,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
80,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","11050 SAINT-MATHIEU-DE-RIOUX",74,404,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
81,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","11055 SAINT-SIMON",28,87,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
82,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","12005 SAINT-CYPRIEN",138,1280,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
83,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","12010 SAINT-HUBERT-DE-RIVIERE-DU-LOUP",165,855,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
84,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","12015 SAINT-ANTONIN",410,2086,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
85,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","12020 SAINT-MODESTE",106,361,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
86,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","12025 SAINT-FRANCOIS-XAVIER-DE-VIGER",16,42,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
87,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","12030 SAINT-EPIPHANE",107,766,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
88,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","12035 SAINT-PAUL-DE-LA-CROIX",38,239,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
89,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","12043 L'ISLE-VERTE",158,935,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
90,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","12057 CACOUNA",53,310,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
91,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","12065 SAINT-ARSENE",94,372,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
92,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","12072 RIVIERE-DU-LOUP",2409,16305,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
93,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","12080 NOTRE-DAME-DU-PORTAGE",113,700,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
94,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","12804 CACOUNA",153,1162,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
95,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","13005 DEGELIS",355,2364,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
96,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","13010 SAINT-JEAN-DE-LA-LANDE",29,187,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
97,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","13015 PACKINGTON",50,286,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
98,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","13020 SAINT-MARC-DU-LAC-LONG",34,141,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
99,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","13025 RIVIERE-BLEUE",168,1484,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
100,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","13030 SAINT-EUSEBE",103,542,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
101,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","13040 SAINT-JUSTE-DU-LAC",68,382,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
102,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","13045 AUCLAIR",41,341,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
103,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","13050 LEJEUNE",38,186,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
104,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","13055 BIENCOURT",47,233,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
105,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","13060 LAC-DES-AIGLES",76,406,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
106,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","13065 SAINT-MICHEL-DU-SQUATEC",124,961,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
