NUMEROTATION,TYPE_DE_SOINS,REGION,MUNICIPALITE,NOMBRE_DE_DEPARTS,JOURS_HOSPIT_TOTAL,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
75,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","11020 SAINT-GUY",16,62,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
76,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","11025 SAINT-MEDARD",26,155,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
77,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","11030 SAINTE-FRANCOISE",35,195,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
78,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","11035 SAINT-ELOI",37,181,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
79,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","11040 TROIS-PISTOLES",410,2804,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
80,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","11045 NOTRE-DAME-DES-NEIGES",43,310,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
81,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","11050 SAINT-MATHIEU-DE-RIOUX",73,469,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
82,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","11055 SAINT-SIMON",51,297,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
83,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","12005 SAINT-CYPRIEN",195,1110,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
84,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","12010 SAINT-HUBERT-DE-RIVIERE-DU-LOUP",140,614,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
85,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","12015 SAINT-ANTONIN",388,2055,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
86,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","12020 SAINT-MODESTE",107,542,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
87,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","12025 SAINT-FRANCOIS-XAVIER-DE-VIGER",31,129,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
88,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","12030 SAINT-EPIPHANE",100,623,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
89,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","12035 SAINT-PAUL-DE-LA-CROIX",37,221,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
90,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","12043 L'ISLE-VERTE",104,620,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
91,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","12057 CACOUNA",57,231,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
92,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","12065 SAINT-ARSENE",104,433,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
93,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","12072 RIVIERE-DU-LOUP",2622,17649,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
94,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","12080 NOTRE-DAME-DU-PORTAGE",126,578,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
95,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","12804 CACOUNA",124,616,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
96,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","13005 DEGELIS",357,1962,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
97,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","13010 SAINT-JEAN-DE-LA-LANDE",17,57,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
98,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","13015 PACKINGTON",61,258,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
99,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","13020 SAINT-MARC-DU-LAC-LONG",36,150,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
100,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","13025 RIVIERE-BLEUE",188,948,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
101,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","13030 SAINT-EUSEBE",69,299,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
102,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","13040 SAINT-JUSTE-DU-LAC",70,323,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
103,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","13045 AUCLAIR",47,216,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
104,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","13050 LEJEUNE",43,288,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
105,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","13055 BIENCOURT",71,408,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
106,"Soins physiques et psychiatriques de courte durée","Bas-Saint-Laurent","13060 LAC-DES-AIGLES",80,370,"Titre du rapport « S03 - Nombre de départs et jours d'hospitalisation selon le lieu de résidence des usagers »","Entre 2018/04/01 et 2019/03/31", 2019-09-05
