NUMEROTATION,TYPE_DE_SOINS,REGION,MUNICIPALITE,NOMBRE_DEPARTS,JOURS_HOSPIT_TOTAL,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
42,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,8065,58,427,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
43,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,8073,211,1193,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
44,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,8080,73,410,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
45,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9005,55,269,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
46,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9010,39,266,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
47,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9015,80,553,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
48,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9020,21,244,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
49,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9025,127,842,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
50,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9030,80,590,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
51,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9035,76,516,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
52,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9040,27,324,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
53,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9048,57,466,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
54,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9055,44,198,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
55,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9060,28,197,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
56,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9065,232,1638,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
57,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9070,116,850,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
58,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9077,839,6905,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
59,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9085,69,369,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
60,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9092,272,1703,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
61,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,10005,62,418,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
62,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,10010,51,242,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
63,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,10015,109,682,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
64,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,10025,28,193,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
65,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,10030,300,1731,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
66,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,10043,5058,40152,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
67,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,10060,36,134,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
68,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,10070,198,1595,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
69,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,10075,70,299,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
70,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,11005,36,175,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
71,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,11010,136,1216,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
72,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,11015,16,253,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
73,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,11020,5,35,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
74,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,11025,32,221,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
75,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,11030,34,398,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
76,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,11035,24,350,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
77,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,11040,367,2887,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
78,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,11045,39,362,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
79,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,11050,44,320,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
80,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,11055,36,290,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
81,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12005,135,1134,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
82,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12010,157,1094,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
83,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12015,337,1861,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
84,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12020,110,688,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
85,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12025,23,208,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
86,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12030,94,551,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
87,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12035,30,210,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
88,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12043,200,1938,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
89,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12045,13,166,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
90,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12057,42,356,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
91,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12065,133,776,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
92,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12072,2120,20181,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
93,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12080,99,535,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
94,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12804,126,1159,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
95,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13005,348,2060,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
96,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13010,31,263,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
97,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13015,42,226,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
98,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13020,50,313,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
99,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13025,158,993,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
100,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13030,60,368,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
101,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13040,50,188,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
102,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13045,25,263,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
103,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13050,36,155,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
104,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13055,77,407,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
105,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13060,52,371,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
106,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13065,127,857,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
107,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13073,552,3685,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
108,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13075,16,270,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
109,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13080,94,564,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
110,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13085,61,329,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
111,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13090,80,435,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
112,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13095,291,2026,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
113,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13100,19,120,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
114,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,14005,162,884,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
115,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,14010,51,540,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
116,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,14018,397,2941,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
117,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,14025,107,682,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
118,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,14030,33,120,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
119,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,14035,222,1315,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
120,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,14040,90,892,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
121,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,14045,31,156,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
122,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,14050,52,264,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
123,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,14055,55,255,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
124,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,14060,99,490,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
125,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,14065,158,1140,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
126,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,14070,227,1275,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
127,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,14075,124,906,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
