NUMEROTATION,TYPE DE SOINS,REGION,MUNICIPALITE,NOMBRE_DEPARTS,JOURS_HOSPIT_TOTAL,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
18,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7018,317,1744,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
19,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7025,43,181,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
20,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7030,145,767,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
21,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7035,49,214,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
22,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7040,41,103,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
23,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7047,865,4867,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
24,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7057,198,1008,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
25,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7065,31,129,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
26,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7070,52,238,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
27,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7075,67,376,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
28,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7080,128,833,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
29,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7085,258,1574,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
30,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7090,39,210,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
31,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7095,71,367,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
32,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7100,48,230,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
33,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7105,48,182,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
34,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,7902,12,78,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
35,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,8005,152,927,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
36,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,8010,29,137,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
37,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,8015,63,322,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
38,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,8023,209,1142,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
39,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,8030,79,414,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
40,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,8035,132,524,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
41,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,8040,33,177,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
42,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,8053,2309,12381,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
43,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,8065,25,147,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
44,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,8073,214,1229,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
45,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,8080,97,458,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
46,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9005,47,149,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
47,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9010,28,119,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
48,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9015,70,319,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
49,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9020,25,97,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
50,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9025,126,686,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
51,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9030,79,479,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
52,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9035,114,683,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
53,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9040,30,165,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
54,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9048,65,428,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
55,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9055,41,194,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
56,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9060,16,57,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
57,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9065,229,1563,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
58,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9070,75,511,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
59,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9077,925,9495,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
60,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9085,87,523,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
61,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,9092,316,1901,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
62,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,10005,58,313,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
63,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,10010,49,438,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
64,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,10015,94,503,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
65,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,10025,48,306,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
66,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,10030,300,1648,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
67,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,10043,5197,38901,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
68,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,10060,81,427,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
69,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,10070,210,1347,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
70,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,10075,54,337,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
71,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,11005,29,124,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
72,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,11010,155,867,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
73,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,11015,26,117,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
74,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,11020,5,28,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
75,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,11025,32,179,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
76,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,11030,49,326,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
77,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,11035,27,127,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
78,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,11040,395,3139,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
79,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,11045,27,190,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
80,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,11050,43,340,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
81,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,11055,28,121,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
82,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12005,155,1183,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
83,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12010,146,708,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
84,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12015,380,2136,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
85,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12020,106,697,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
86,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12025,35,173,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
87,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12030,103,500,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
88,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12035,44,443,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
89,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12043,137,1174,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
90,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12045,9,49,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
91,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12057,52,180,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
92,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12065,109,514,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
93,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12072,2432,17202,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
94,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12080,126,493,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
95,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,12804,129,712,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
96,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13005,357,2057,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
97,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13010,29,167,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
98,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13015,71,382,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
99,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13020,43,131,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
100,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13025,176,1445,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
101,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13030,47,186,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
102,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13040,61,266,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
103,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13045,39,319,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
104,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13050,17,154,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
105,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13055,58,321,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
106,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13060,64,429,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
107,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13065,174,928,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
108,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13073,551,3401,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
109,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13075,7,27,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
110,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13080,167,928,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
111,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13085,44,307,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
112,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13090,107,583,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
113,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13095,317,1941,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
114,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,13100,27,207,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
115,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,14005,179,1175,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
116,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,14010,51,301,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
117,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,14018,498,3006,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
118,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,14025,101,325,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
119,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,14030,40,208,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
120,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,14035,224,1144,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
121,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,14040,94,759,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
122,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,14045,28,120,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
123,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,14050,73,420,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
124,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,14055,42,148,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
125,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,14060,102,571,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
126,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,14065,95,454,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
127,Soins physiques et psychiatriques de courte durée,Bas-Saint-Laurent,14070,195,1017,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
