IdentifiantContrat,NumeroContrat,TypeContrat,AnneeContrat,NoResolution,IdentifiantArrondissement,ArrondissementCode,Arrondissement,DescriptionType,Entreprise
1281,"MHM-105","Déneigement","2021-2024","CM21 0775",21,"MHM","Mercier–Hochelaga-Maisonneuve","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","Construction Larotek"
1282,"MHM-106","Déneigement","2021-2024","CM21 0775",21,"MHM","Mercier–Hochelaga-Maisonneuve","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","Déneigement Moderne inc."
1283,"MHM-107","Déneigement","2021-2024","CM21 0775",21,"MHM","Mercier–Hochelaga-Maisonneuve","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","Déneigement Moderne inc."
1284,"MHM-108","Déneigement","2021-2024","CM21 0775",21,"MHM","Mercier–Hochelaga-Maisonneuve","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","Les Excavations Payette Ltée"
1285,"MHM-109","Déneigement","2021-2024","CM21 0775",21,"MHM","Mercier–Hochelaga-Maisonneuve","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","Sanexen Services Environnementaux Inc."
1286,"MHM-209","Transport","2021-2023","CM21 0727",21,"MHM","Mercier–Hochelaga-Maisonneuve","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","Transport H. Cordeau inc."
1287,"MHM-210","Transport","2022-2024","CM22 0926",21,"MHM","Mercier–Hochelaga-Maisonneuve","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","Transport H. Cordeau inc."
1288,"MHM-211","Transport","2022-2024","CM22 0926",21,"MHM","Mercier–Hochelaga-Maisonneuve","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","Transport H. Cordeau inc."
1289,"MHM-RE","Régie","2018-2099","",21,"MHM","Mercier–Hochelaga-Maisonneuve","Contrat exécuté par la régie","MHM - Ville de Montréal - Régie"
1290,"MTN-102","Déneigement","2022-2026","CM22 0772",14,"MTN","Montréal-Nord","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","J.M. Gagné inc."
1291,"MTN-103","Déneigement","2022-2026","CM22 0772",14,"MTN","Montréal-Nord","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","Deneigement Cyrbault Inc. - 341795"
1292,"MTN-104","Déneigement","2022-2026","CM22 0772",14,"MTN","Montréal-Nord","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","Deneigement Cyrbault Inc. - 341795"
1293,"MTN-RE","Régie","2018-2019","",14,"MTN","Montréal-Nord","Contrat exécuté par la régie","MTN - Ville de Montréal - Régie"
1294,"OUT-101","Déneigement","2021-2025","CM21 0775",7,"OUT","Outremont","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","Environnement Routier NRJ Inc."
1295,"OUT-RE","Régie","2018-2099","",7,"OUT","Outremont","Contrat exécuté par la régie","OUT - Ville de Montréal - Régie"
1296,"Pi9-101","Déneigement","2022-2024","CM22 0944",24,"VSP","Villeray–Saint-Michel–Parc-Extension","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","Les Excavations Payette Ltée"
1297,"PMR-101","Déneigement","2021-2025","CM21 0775",20,"PMR","Le Plateau-Mont-Royal","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","Les Ent. Michaudville inc"
1298,"PMR-102","Déneigement","2021-2025","CM21 0775",20,"PMR","Le Plateau-Mont-Royal","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","Les Ent. Michaudville inc"
1299,"PMR-203","Transport","2023-2024","CM23 0921",20,"PMR","Le Plateau-Mont-Royal","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","Transport H. Cordeau inc."
1300,"PMR-204","Transport","2023-2025","CM23 0921",20,"PMR","Le Plateau-Mont-Royal","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","GROUPE TMD"
1301,"PMR-RE","Régie","2018-2099","",20,"PMR","Le Plateau-Mont-Royal","Contrat exécuté par la régie","PMR - Ville de Montréal - Régie"
1302,"PRF-401","Déneigement","2022-2026","CM22 0772",11,"PRF","Pierrefonds-Roxboro","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","Pavages D'Amour inc."
1303,"PRF-RE","Régie","2017-2018","",11,"PRF","Pierrefonds-Roxboro","Contrat exécuté par la régie","PRF - Ville de Montréal - Régie"
1304,"RDP-101","Déneigement","2020-2024","CM20 0626",17,"RDP","Rivière-des-Prairies–Pointe-aux-Trembles","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","JMV Environnement Inc."
1305,"RDP-102","Déneigement","2021-2024","CM20 0626",17,"RDP","Rivière-des-Prairies–Pointe-aux-Trembles","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","JMV Environnement Inc."
1306,"RDP-103","Déneigement","2020-2024","CM20 0626",17,"RDP","Rivière-des-Prairies–Pointe-aux-Trembles","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","JMV Environnement Inc."
1307,"RDP-105","Déneigement","2020-2024","CM20 0626",17,"RDP","Rivière-des-Prairies–Pointe-aux-Trembles","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","Sanexen Services Environnementaux Inc."
1308,"RDP-106","Déneigement","2020-2024","CM20 0626",17,"RDP","Rivière-des-Prairies–Pointe-aux-Trembles","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","Déneigement Fontaine Gadbois inc"
1309,"RDP-107","Déneigement","2020-2024","CM20 0626",17,"RDP","Rivière-des-Prairies–Pointe-aux-Trembles","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","Déneigement Fontaine Gadbois inc"
1310,"RDP-201","Transport","2022-2024","CM20 0626",17,"RDP","Rivière-des-Prairies–Pointe-aux-Trembles","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","9402-5152 Québec inc. (Logistivrac)"
1311,"RDP-202","Transport","2022-2024","CM22 0728",17,"RDP","Rivière-des-Prairies–Pointe-aux-Trembles","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","9402-5152 Québec inc. (Logistivrac)"
1312,"RDP-203","Transport","2022-2024","CM22 0728",17,"RDP","Rivière-des-Prairies–Pointe-aux-Trembles","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","9402-5152 Québec inc. (Logistivrac)"
1313,"RDP-RE","Régie","2017-2018","",17,"RDP","Rivière-des-Prairies–Pointe-aux-Trembles","Contrat exécuté par la régie","RDP - Ville de Montréal - Régie"
1314,"RPP-RE","Régie","2017-2018","",23,"RPP","Rosemont–La Petite-Patrie","Contrat exécuté par la régie","RPP - Ville de Montréal - Régie"
1315,"S-O-103","Déneigement","2021-2025","CM21 0775",19,"S-O","Le Sud-Ouest","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","9055-0344 Québec Inc. (Transport DM Choquette)"
1316,"S-O-104","Déneigement","2021-2025","CM21 0775",19,"S-O","Le Sud-Ouest","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","Canbec Construction"
1317,"S-O-201","Transport","2023-2025","CM23 0921",19,"S-O","Le Sud-Ouest","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","Transport H. Cordeau inc."
1318,"S-O-RE","Régie","2017-2099","",19,"S-O","Le Sud-Ouest","Contrat exécuté par la régie","S-O - Ville de Montréal - Régie"
1319,"SLA-372","Transport","2023-2024","CM23 1281",13,"SLA","Saint-Laurent","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","Transvrac Montréal - Laval Inc"
1320,"SLA-RE","Régie","2017-2018","",13,"SLA","Saint-Laurent","Contrat exécuté par la régie","SLA- - Ville de Montréal - Régie"
1321,"SLE-RE","Régie","2017-2018","",12,"SLE","Saint-Léonard","Contrat exécuté par la régie","SLE - Ville de Montréal - Régie"
1322,"VDM","Régie","2019-2020","",28,"VDM","Ville de Montréal","Contrat exécuté par la régie","SCA - Ville de Montréal"
1323,"VER-RE","Régie","2017-2018","",10,"VER","Verdun","Contrat exécuté par la régie","VER - Ville de Montréal - Régie"
1324,"VMA-RE","Régie","2017-2018","",18,"VMA","Ville-Marie","Contrat exécuté par la régie","VMA - Ville de Montréal - Régie"
1325,"VSP-103","Déneigement","2019-2023","CM19 1026",24,"VSP","Villeray–Saint-Michel–Parc-Extension","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","Groupe Imog Inc."
1326,"VSP-104","Déneigement","2020-2023","CM20 0626",24,"VSP","Villeray–Saint-Michel–Parc-Extension","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","Les Entrepreneurs Bucaro inc."
1327,"VSP-107","Déneigement","2019-2023","CM19 1026",24,"VSP","Villeray–Saint-Michel–Parc-Extension","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","Groupe Imog Inc."
1328,"VSP-108","Déneigement","2020-2023","CM20 0626",24,"VSP","Villeray–Saint-Michel–Parc-Extension","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","A. &  O. Gendron inc."
1329,"VSP-109","Déneigement","2020-2023","CM20 0626",24,"VSP","Villeray–Saint-Michel–Parc-Extension","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","Pépinière Michel Tanguay Inc."
1330,"VSP-205","Transport","2021-2023","CM21 0727",24,"VSP","Villeray–Saint-Michel–Parc-Extension","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","Tr. en vrac St-Hyacinthe"
1331,"VSP-206","Transport","2021-2023","CM21 0727",24,"VSP","Villeray–Saint-Michel–Parc-Extension","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","Tr. en vrac St-Hyacinthe"
1332,"VSP-RE","Régie","2023-2024","",24,"VSP","Villeray–Saint-Michel–Parc-Extension","Contrat exécuté par la régie","VSP - Ville de Montréal - Régie"
1333,"VMA-113","Déneigement","2023-2027","CM23 0918",18,"VMA","Ville-Marie","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","9055-0344 Québec Inc. (Transport DM Choquette)"
1334,"ANJ-309","Transport","2023-2024","CM23 1281",9,"ANJ","Anjou","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","Transvrac Montréal - Laval Inc"
1335,"ANJ-310","Transport","2023-2024","CM23 1281",9,"ANJ","Anjou","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","Transvrac Montréal - Laval Inc"
1336,"ANJ-311","Transport","2023-2024","CM23 1281",9,"ANJ","Anjou","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","Transvrac Montréal - Laval Inc"
1337,"ANJ-312","Transport","2023-2024","CM23 1281",9,"ANJ","Anjou","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","Transvrac Montréal - Laval Inc"
1338,"IBI-301","Transport","2023-2024","Note et DA238788001",8,"IBI","L'Île-Bizard–Sainte-Geneviève","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","Camionneurs Artisans"
1339,"LAC-305","Transport","2023-2024","CM23 1281",15,"LAC","Lachine","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","Transvrac Montréal - Laval Inc"
1340,"LAC-306","Transport","2023-2024","CM23 1281",15,"LAC","Lachine","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","Transvrac Montréal - Laval Inc"
1341,"LAS-321","Transport","2023-2024","CM23 1281",16,"LAS","LaSalle","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","Transvrac Montréal - Laval Inc"
1342,"LAS-323","Transport","2023-2024","CM23 1281",16,"LAS","LaSalle","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","Transvrac Montréal - Laval Inc"
1343,"LAS-325","Transport","2023-2024","CM23 1281",16,"LAS","LaSalle","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","Transvrac Montréal - Laval Inc"
1344,"LAS-326","Transport","2023-2024","CM23 1281",16,"LAS","LaSalle","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","Transvrac Montréal - Laval Inc"
1345,"LAS-327","Transport","2023-2024","CM23 1281",16,"LAS","LaSalle","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","Transvrac Montréal - Laval Inc"
1346,"LAS-328","Transport","2023-2024","CM23 1281",16,"LAS","LaSalle","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","Transvrac Montréal - Laval Inc"
1347,"LAS-329","Transport","2023-2024","CM23 1281",16,"LAS","LaSalle","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","Transvrac Montréal - Laval Inc"
1348,"LAS-330","Transport","2023-2024","CM23 1281",16,"LAS","LaSalle","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","Transvrac Montréal - Laval Inc"
1349,"LAS-333","Transport","2023-2024","CM23 1281",16,"LAS","LaSalle","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","Transvrac Montréal - Laval Inc"
1350,"PRF-304","Transport","2023-2024","Note et DA238788001",11,"PRF","Pierrefonds-Roxboro","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","Camionneurs Artisans"
1351,"SLA-363","Transport","2023-2024","CM23 1281",13,"SLA","Saint-Laurent","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","Transvrac Montréal - Laval Inc"
1352,"SLA-364","Transport","2023-2024","CM23 1281",13,"SLA","Saint-Laurent","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","Transvrac Montréal - Laval Inc"
1353,"SLA-365","Transport","2023-2024","CM23 1281",13,"SLA","Saint-Laurent","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","Transvrac Montréal - Laval Inc"
1354,"SLA-366","Transport","2023-2024","CM23 1281",13,"SLA","Saint-Laurent","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","Transvrac Montréal - Laval Inc"
1355,"SLA-367","Transport","2023-2024","CM23 1281",13,"SLA","Saint-Laurent","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","Transvrac Montréal - Laval Inc"
1356,"SLA-368","Transport","2023-2024","CM23 1281",13,"SLA","Saint-Laurent","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","Transvrac Montréal - Laval Inc"
1357,"SLA-369","Transport","2023-2024","CM23 1281",13,"SLA","Saint-Laurent","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","Transvrac Montréal - Laval Inc"
1358,"SLA-370","Transport","2023-2024","CM23 1281",13,"SLA","Saint-Laurent","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","Transvrac Montréal - Laval Inc"
1359,"SLA-371","Transport","2023-2024","CM23 1281",13,"SLA","Saint-Laurent","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","Transvrac Montréal - Laval Inc"
1360,"SLE-303","Transport","2023-2024","CM23 1281",12,"SLE","Saint-Léonard","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","Transvrac Montréal - Laval Inc"
1361,"SLE-304","Transport","2023-2024","CM23 1281",12,"SLE","Saint-Léonard","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","Transvrac Montréal - Laval Inc"
1362,"VER-310","Transport","2023-2024","CM23 1281",10,"VER","Verdun","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","Transvrac Montréal - Laval Inc"
1363,"VMA-308","Transport","2023-2024","CM23 1281",18,"VMA","Ville-Marie","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","Transvrac Montréal - Laval Inc"
1364,"VMA-309","Transport","2023-2024","CM23 1281",18,"VMA","Ville-Marie","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","Transvrac Montréal - Laval Inc"
1365,"VMA-310","Transport","2023-2024","CM23 1281 et DA",18,"VMA","Ville-Marie","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","Camionneurs Artisans"
1366,"VMA-114","Déneigement","2023-2027","CM23 0918",18,"VMA","Ville-Marie","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","Proquip inc."
1367,"MTN-205","Transport","2023-2025","CM23 0921",14,"MTN","Montréal-Nord","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","GROUPE TMD"
1368,"MTN-207","Transport","2023-2025","CM23 0921",14,"MTN","Montréal-Nord","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","Deneigement Cyrbault Inc. - 341795"
1369,"RPP-105","Déneigement","2023-2027","CM23 0918",23,"RPP","Rosemont–La Petite-Patrie","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","Pépinière Michel Tanguay Inc."
1370,"RPP-106","Déneigement","2023-2027","CM23 0918",23,"RPP","Rosemont–La Petite-Patrie","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","Gestion Diamond PPDG inc."
1371,"RPP-204","Transport","2023-2024","CM23 0921",23,"RPP","Rosemont–La Petite-Patrie","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","Gestion Gérard Boutin inc."
1372,"RPP-205","Transport","2023-2025","CM23 0921",23,"RPP","Rosemont–La Petite-Patrie","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","Transport H. Cordeau inc."
1373,"RPP-206","Transport","2023-2025","CM23 0921",23,"RPP","Rosemont–La Petite-Patrie","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","Transport H. Cordeau inc."
1374,"SLE-109","Déneigement","2023-2027","CM23 0918",12,"SLE","Saint-Léonard","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","Pavages Chartrand inc."
1375,"SLE-110","Déneigement","2023-2027","CM23 0918",12,"SLE","Saint-Léonard","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","Pavages Chartrand inc."
1376,"SLE-111","Déneigement","2023-2027","CM23 0918",12,"SLE","Saint-Léonard","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","Les Excavations Payette Ltée"
1377,"RPP-301","Transport","2023-2024","CM23 1456 et DA",23,"RPP","Rosemont–La Petite-Patrie","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","Camionneurs Artisans"
1378,"CDN-301","Transport","2023-2024","CM23 1281",25,"CDN","Côte-des-Neiges–Notre-Dame-de-Grâce","Contrat attribué à entrepreneurs pour le transport de le neige uniquement","Transvrac Montréal - Laval Inc"
1379,"xxx","Régie","2023-2024","",32,"HOR","Hors Ville","Contrat exécuté par la régie","1A-À SAISIR"
1380,"SLA-401","Déneigement","2020-2023","CM20 0626",13,"SLA","Saint-Laurent","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","Groupe Imog Inc."
1381,"SLA-402","Déneigement","2020-2023","CM20 0626",13,"SLA","Saint-Laurent","Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée","Groupe Imog Inc."
