IdentifiantContrat,NuméroContrat,TypeContrat,AnneeContrat,IdentifiantArrondissement,ArrondissementCode,Arrondissement,DescriptionType,Entreprise
179,PMR-RE,Régie,2015-2016,20,PMR,Plateau Mont-Royal,Contrat exécuté par la régie,PMR - Ville de Montréal - Régie
180,PMR-53,Transport,2012-2017,20,PMR,Plateau Mont-Royal,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,Transport R.Boulay & fils
181,PMR-54,Transport,2012-2017,20,PMR,Plateau Mont-Royal,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,Ent. De transp. Charco Ltée
201,PRF-RE,Transport,2015-2016,11,PRF,Pierrefonds / Roxboro,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,PRF - Ville de Montréal - Régie
149,PRF-02,Régie,2015-2016,11,PRF,Pierrefonds / Roxboro,Contrat exécuté par la régie,PRF - Ville de Montréal - Régie
150,PRF-03,Transport,2015-2016,11,PRF,Pierrefonds / Roxboro,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,PRF - Ville de Montréal - Régie
151,PRF-01,Déneigement,2015-2016,11,PRF,Pierrefonds / Roxboro,"Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée",Pavages D'Amour inc.
152,PRF-04,Transport,2015-2016,11,PRF,Pierrefonds / Roxboro,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,Transvrac Montréal - Laval Inc
163,RDP-RE,Déneigement,2015-2016,17,RDP,R.D.P. /  P.A.T.,"Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée",RDP - Ville de Montréal - Régie
164,RDP-91,Déneigement,2015-2016,17,RDP,R.D.P. /  P.A.T.,"Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée",JMV Environnement Inc.
165,RDP-92,Déneigement,2015-2016,17,RDP,R.D.P. /  P.A.T.,"Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée",J.M. Gagné inc.
166,RDP-93,Transport,2015-2016,17,RDP,R.D.P. /  P.A.T.,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,Montreal Bulk Logistique inc.
167,RDP-94,Déneigement,2015-2016,17,RDP,R.D.P. /  P.A.T.,"Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée",Excavation Anjou inc.
168,RDP-95,Transport,2015-2016,17,RDP,R.D.P. /  P.A.T.,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,Montreal Bulk Logistique inc.
169,RDP-96,Déneigement,2015-2016,17,RDP,R.D.P. /  P.A.T.,"Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée",Déneigement Fontaine Gadbois
170,RDP-97,Déneigement,2015-2016,17,RDP,R.D.P. /  P.A.T.,"Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée",Déneigement Fontaine Gadbois
171,RDP-98,Déneigement,2015-2016,17,RDP,R.D.P. /  P.A.T.,"Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée",Neigexpert Ltée
172,RDP-99,Transport,2015-2016,17,RDP,R.D.P. /  P.A.T.,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,Montreal Bulk Logistique inc.
207,RPP-RE,Transport,2015-2016,23,RPP,Rosemont / Petite-Patrie,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,RPP - Ville de Montréal - Régie
113,RPP-34,Transport,2012-2019,23,RPP,Rosemont / Petite-Patrie,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,Gestion Gérard Boutin inc.
103,RPP-31,Déneigement,2012-2019,23,RPP,Rosemont / Petite-Patrie,"Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée",A. &  O. Gendron inc.
104,RPP-32,Déneigement,2012-2019,23,RPP,Rosemont / Petite-Patrie,"Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée",Transport Rosemont inc.
105,RPP-33,Déneigement,2012-2019,23,RPP,Rosemont / Petite-Patrie,"Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée",Les Entrepreneurs Bucaro inc.
124,S-O-81,Transport,2014-2015,19,S-O,Sud-Ouest,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,Déneigement Malvic Inc
125,S-O-83,Déneigement,2011-2016,19,S-O,Sud-Ouest,"Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée",Les ent. Canbec Constr. inc.
126,S-O-84,Déneigement,2011-2016,19,S-O,Sud-Ouest,"Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée",JMV Environnement Inc.
90,SLA-52,Transport,2011-2016,13,SLA,Saint-Laurent,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,Transvrac Montréal - Laval Inc
91,SLA-61,Transport,2011-2016,13,SLA,Saint-Laurent,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,Transvrac Montréal - Laval Inc
92,SLA-57,Transport,2011-2016,13,SLA,Saint-Laurent,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,Transvrac Montréal - Laval Inc
93,SLA-59,Transport,2011-2016,13,SLA,Saint-Laurent,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,Transvrac Montréal - Laval Inc
94,SLA-53,Transport,2011-2016,13,SLA,Saint-Laurent,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,Transvrac Montréal - Laval Inc
95,SLA-60,Transport,2011-2016,13,SLA,Saint-Laurent,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,Transvrac Montréal - Laval Inc
96,SLA-54,Transport,2011-2016,13,SLA,Saint-Laurent,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,Transvrac Montréal - Laval Inc
97,SLA-62,Transport,2011-2016,13,SLA,Saint-Laurent,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,Transvrac Montréal - Laval Inc
211,SLA-RE,Régie,2015-2016,13,SLA,Saint-Laurent,Contrat exécuté par la régie,SLA- - Ville de Montréal - Régie
217,SLE-RE,Régie,2015-2016,12,SLE,Saint-Léonard,Contrat exécuté par la régie,SLE - Ville de Montréal - Régie
205,SLE-08,Transport,2013-2016,12,SLE,Saint-Léonard,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,Les Excavations Payette Ltée
206,SLE-06,Transport,2013-2016,12,SLE,Saint-Léonard,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,GROUPE TMD
129,SLE-07,Transport,2013-2016,12,SLE,Saint-Léonard,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,Les Excavations Payette Ltée
142,SLE-03,Transport,2013-2016,12,SLE,Saint-Léonard,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,Déneigement Fontaine Gadbois
140,SLE-01,Transport,2014-2017,12,SLE,Saint-Léonard,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,Transvrac Montréal - Laval Inc
160,SLE-05,Transport,2013-2016,12,SLE,Saint-Léonard,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,R. RACICOT LTÉE
161,SLE-04,Transport,2013-2016,12,SLE,Saint-Léonard,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,GROUPE TMD
162,SLE-11,Régie,2015-2016,12,SLE,Saint-Léonard,Contrat exécuté par la régie,SLE - Ville Saint-Léornard
87,VER-10,Transport,2013-2016,10,VER,Verdun,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,Transvrac Montréal - Laval Inc
88,VER-RE,Régie,2015-2016,10,VER,Verdun,Contrat exécuté par la régie,VER - Ville de Montréal - Régie
72,VMA-61,Transport,2011-2016,18,VMA,Ville-Marie,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,D.F. Transport en vrac SNC
73,VMA-62,Transport,2011-2016,18,VMA,Ville-Marie,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,Tr. en vrac St-Hyacinthe
74,VMA-63,Déneigement,2011-2016,18,VMA,Ville-Marie,"Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée",Jean-Paul Trahan (1890) Ltée
75,VMA-64,Déneigement,2011-2016,18,VMA,Ville-Marie,"Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée",NMP Golf Construction Inc.
76,VMA-65,Déneigement,2011-2016,18,VMA,Ville-Marie,"Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée",Entr. Réjean Desgranges Inc.
208,VMA-RE,Régie,2015-2016,18,VMA,Ville-Marie,Contrat exécuté par la régie,VMA - Ville de Montréal - Régie
212,VSP-RE,Régie,2015-2016,24,VSP,Villeray / St-Michel / Parc-Extension,Contrat exécuté par la régie,VSP - Ville de Montréal - Régie
117,VSP-21,Déneigement,2011-2016,24,VSP,Villeray / St-Michel / Parc-Extension,"Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée",Pépinière Michel Tanguay Inc.
118,VSP-22,Déneigement,2011-2016,24,VSP,Villeray / St-Michel / Parc-Extension,"Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée",A. &  O. Gendron inc.
119,VSP-23,Déneigement,2011-2016,24,VSP,Villeray / St-Michel / Parc-Extension,"Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée",9166-6222 Québec inc.
120,VSP-24,Transport,2011-2016,24,VSP,Villeray / St-Michel / Parc-Extension,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,Gestion Gérard Boutin inc.
121,VSP-25,Transport,2014-2015,24,VSP,Villeray / St-Michel / Parc-Extension,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,VSP - Ville de Montréal - Régie - R25
122,VSP-26,Transport,2011-2016,24,VSP,Villeray / St-Michel / Parc-Extension,Contrat attribué à entrepreneurs pour le transport de le neige uniquement,Tr. en vrac St-Hyacinthe
123,VSP-27,Déneigement,2011-2016,24,VSP,Villeray / St-Michel / Parc-Extension,"Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée",JMV Environnement Inc.
