IdentifiantContrat;NumeroContrat;TypeContrat;AnneeContrat;IdentifiantArrondissement;ArrondissementCode;Arrondissement;DescriptionType;Entreprise
309;LAC-303;Transport;2016-2017;15;LAC;Lachine;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
310;LAS-301;Transport;2016-2017;16;LAS;LaSalle;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
311;LAS-303;Transport;2016-2017;16;LAS;LaSalle;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
312;LAS-305;Transport;2016-2017;16;LAS;LaSalle;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
313;LAS-306;Transport;2016-2017;16;LAS;LaSalle;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
314;LAS-307;Transport;2016-2017;16;LAS;LaSalle;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
315;LAS-308;Transport;2016-2017;16;LAS;LaSalle;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
316;LAS-309;Transport;2016-2017;16;LAS;LaSalle;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
317;LAS-310;Transport;2016-2017;16;LAS;LaSalle;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
318;LAS-313;Transport;2016-2017;16;LAS;LaSalle;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
319;LAS-360;Transport;2016-2017;16;LAS;LaSalle;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
245;LAS-RE;Régie;2016-2017;16;LAS;LaSalle;Contrat exécuté par la régie;LAS - Ville de Montréal - Régie
247;MHM-RE;Régie;2016-2017;21;MHM;Mercier / Hochelaga / Maisonneuve;Contrat exécuté par la régie;MHM - Ville de Montréal - Régie
320;MHM-101;Déneigement;2016-2021;21;MHM;Mercier / Hochelaga / Maisonneuve;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Déneigement Moderne inc.
321;MHM-102;Déneigement;2016-2021;21;MHM;Mercier / Hochelaga / Maisonneuve;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Déneigement Moderne inc.
322;MHM-103;Déneigement;2016-2021;21;MHM;Mercier / Hochelaga / Maisonneuve;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Les Excavations Payette Ltée
323;MHM-104;Déneigement;2016-2021;21;MHM;Mercier / Hochelaga / Maisonneuve;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Déneigement Moderne inc.
324;MHM-205;Transport;2016-2018;21;MHM;Mercier / Hochelaga / Maisonneuve;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Gestion Gérard Boutin inc.
325;MHM-206;Transport;2016-2018;21;MHM;Mercier / Hochelaga / Maisonneuve;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Les Entreprises K.L. Mainville Inc.
326;MHM-207;Transport;2016-2018;21;MHM;Mercier / Hochelaga / Maisonneuve;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Les Entreprises K.L. Mainville Inc.
327;MTN-303;Transport;2016-2017;14;MTN;Montréal-Nord;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
328;MTN-304;Transport;2016-2017;14;MTN;Montréal-Nord;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
249;MTN-01;Déneigement;2013-2018;14;MTN;Montréal-Nord;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Deneigement Cyberbault Inc. - 341795
250;MTN-02;Déneigement;2013-2018;14;MTN;Montréal-Nord;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;J.M. Gagné inc.
251;MTN-RE;Régie;2016-2017;14;MTN;Montréal-Nord;Contrat exécuté par la régie;MTN - Ville de Montréal - Régie
361;EXT-MTQ;Transport;2016-2017;34;MTQ;Ministère du transport du Québec;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Ministère des transports du Québec (MTQ)
253;OUT-01;Déneigement;2016-2017;7;OUT;Outremont;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Environnement Routier NRJ Inc.
254;OUT-RE;Régie;2016-2017;7;OUT;Outremont;Contrat exécuté par la régie;OUT - Ville de Montréal - Régie
256;PMR-RE;Régie;2016-2017;20;PMR;Plateau Mont-Royal;Contrat exécuté par la régie;PMR - Ville de Montréal - Régie
329;PMR-101;Déneigement;2016-2021;20;PMR;Plateau Mont-Royal;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Les Ent. Michaudville inc
330;PMR-102;Déneigement;2016-2021;20;PMR;Plateau Mont-Royal;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Les Ent. Michaudville inc
331;PMR-203;Transport;2016-2018;20;PMR;Plateau Mont-Royal;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Martin Lefebvre Transport Inc.
332;PMR-204;Transport;2016-2018;20;PMR;Plateau Mont-Royal;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Martin Lefebvre Transport Inc.
333;PRF-302;Transport;2016-2017;11;PRF;Pierrefonds / Roxboro;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
334;PRF-303;Transport;2016-2017;11;PRF;Pierrefonds / Roxboro;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
258;PRF-01;Déneigement;2014-2019;11;PRF;Pierrefonds / Roxboro;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Pavages D'Amour inc.
259;PRF-RE;Régie;2016-2017;11;PRF;Pierrefonds / Roxboro;Contrat exécuté par la régie;PRF - Ville de Montréal - Régie
261;RDP-91;Déneigement;2015-2020;17;RDP;R.D.P. /  P.A.T.;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;JMV Environnement Inc.
262;RDP-92;Déneigement;2015-2020;17;RDP;R.D.P. /  P.A.T.;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;J.M. Gagné inc.
263;RDP-93;Transport;2015-2020;17;RDP;R.D.P. /  P.A.T.;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Montreal Bulk Logistique inc.
264;RDP-94;Déneigement;2015-2020;17;RDP;R.D.P. /  P.A.T.;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Excavation Anjou inc.
265;RDP-95;Transport;2015-2020;17;RDP;R.D.P. /  P.A.T.;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Montreal Bulk Logistique inc.
266;RDP-96;Déneigement;2015-2020;17;RDP;R.D.P. /  P.A.T.;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Déneigement Fontaine Gadbois
267;RDP-97;Déneigement;2015-2020;17;RDP;R.D.P. /  P.A.T.;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Déneigement Fontaine Gadbois
268;RDP-99;Transport;2015-2020;17;RDP;R.D.P. /  P.A.T.;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Montreal Bulk Logistique inc.
269;RDP-RE;Régie;2016-2017;17;RDP;R.D.P. /  P.A.T.;Contrat exécuté par la régie;RDP - Ville de Montréal - Régie
293;RDP-99D;Déneigement;2015-2020;17;RDP;R.D.P. /  P.A.T.;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Neigexpert Ltée
271;RPP-31;Déneigement;2012-2019;23;RPP;Rosemont / Petite-Patrie;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;A. &  O. Gendron inc.
272;RPP-32;Déneigement;2012-2019;23;RPP;Rosemont / Petite-Patrie;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Transport Rosemont inc.
273;RPP-33;Déneigement;2012-2019;23;RPP;Rosemont / Petite-Patrie;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Les Entrepreneurs Bucaro inc.
274;RPP-34;Transport;2012-2019;23;RPP;Rosemont / Petite-Patrie;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Gestion Gérard Boutin inc.
275;RPP-RE;Régie;2016-2017;23;RPP;Rosemont / Petite-Patrie;Contrat exécuté par la régie;RPP - Ville de Montréal - Régie
335;S-O-401;Transport;2016-2017;19;S-O;Sud-Ouest;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;S-O - Ville de Montréal - Régie
337;S-O-RE;Régie;2016-2017;19;S-O;Sud-Ouest;Contrat exécuté par la régie;S-O - Ville de Montréal - Régie
338;S-O-103;Déneigement;2016-2021;19;S-O;Sud-Ouest;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Pavages D'Amour inc.
339;S-O-104;Déneigement;2016-2021;19;S-O;Sud-Ouest;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Pavages D'Amour inc.
366;S-O-301;Transport;2016-2017;19;S-O;Sud-Ouest;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
294;SLA-01;Déneigement;2014-2019;13;SLA;Saint-Laurent;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Groupe Imog Inc.
295;SLA-02;Déneigement;2014-2019;13;SLA;Saint-Laurent;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Ramcor Construction Inc.
353;SLA-352;Transport;2016-2017;13;SLA;Saint-Laurent;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
354;SLA-353;Transport;2016-2017;13;SLA;Saint-Laurent;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
355;SLA-354;Transport;2016-2017;13;SLA;Saint-Laurent;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
356;SLA-357;Transport;2016-2017;13;SLA;Saint-Laurent;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
357;SLA-359;Transport;2016-2017;13;SLA;Saint-Laurent;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
358;SLA-360;Transport;2016-2017;13;SLA;Saint-Laurent;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
359;SLA-361;Transport;2016-2017;13;SLA;Saint-Laurent;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
360;SLA-362;Transport;2016-2017;13;SLA;Saint-Laurent;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
277;SLA-RE;Régie;2016-2017;13;SLA;Saint-Laurent;Contrat exécuté par la régie;SLA- - Ville de Montréal - Régie
279;SLE-01;Transport;2014-2017;12;SLE;Saint-Léonard;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
280;SLE-03;Transport;2016-2017;12;SLE;Saint-Léonard;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Déneigement Fontaine Gadbois
281;SLE-04;Transport;2016-2017;12;SLE;Saint-Léonard;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;GROUPE TMD
282;SLE-05;Transport;2016-2017;12;SLE;Saint-Léonard;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;R. RACICOT LTÉE
283;SLE-06;Transport;2016-2017;12;SLE;Saint-Léonard;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;GROUPE TMD
284;SLE-07;Transport;2016-2017;12;SLE;Saint-Léonard;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Les Excavations Payette Ltée
285;SLE-08;Transport;2016-2017;12;SLE;Saint-Léonard;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Les Excavations Payette Ltée
286;SLE-RE;Régie;2016-2017;12;SLE;Saint-Léonard;Contrat exécuté par la régie;SLE - Ville de Montréal - Régie
362;EXT-SVM;Transport;2016-2017;35;SVM;Soc. de gestion des neiges Ville-Marie inc.;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Société de gestion des neiges Ville-Marie inc.
288;VER-RE;Régie;2016-2017;10;VER;Verdun;Contrat exécuté par la régie;VER - Ville de Montréal - Régie
340;VER-301;Transport;2016-2017;10;VER;Verdun;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
341;VMA-103;Déneigement;2016-2018;18;VMA;Ville-Marie;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;9055-0344 Québec Inc. (Transport DM Choquette)
342;VMA-104;Déneigement;2016-2018;18;VMA;Ville-Marie;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Les Excavations Super Inc.
343;VMA-105;Déneigement;2016-2018;18;VMA;Ville-Marie;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Les Excavations Super Inc.
344;VMA-201;Transport;2016-2018;18;VMA;Ville-Marie;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Tr. en vrac St-Hyacinthe
345;VMA-202;Transport;2016-2018;18;VMA;Ville-Marie;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;9124-4277 Québec inc. (Noël et Fils)
290;VMA-RE;Régie;2016-2017;18;VMA;Ville-Marie;Contrat exécuté par la régie;VMA - Ville de Montréal - Régie
292;VSP-RE;Régie;2016-2017;24;VSP;Villeray / St-Michel / Parc-Extension;Contrat exécuté par la régie;VSP - Ville de Montréal - Régie
346;VSP-101;Déneigement;2016-2020;24;VSP;Villeray / St-Michel / Parc-Extension;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Pépinière Michel Tanguay Inc.
347;VSP-102;Déneigement;2016-2020;24;VSP;Villeray / St-Michel / Parc-Extension;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Les Entrepreneurs Bucaro inc.
348;VSP-103;Déneigement;2016-2020;24;VSP;Villeray / St-Michel / Parc-Extension;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Transport Rosemont inc.
349;VSP-104;Déneigement;2016-2020;24;VSP;Villeray / St-Michel / Parc-Extension;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Les Excavations Payette Ltée
350;VSP-107;Déneigement;2016-2020;24;VSP;Villeray / St-Michel / Parc-Extension;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Transport Rosemont inc.
351;VSP-205;Transport;2016-2018;24;VSP;Villeray / St-Michel / Parc-Extension;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Gestion Gérard Boutin inc.
352;VSP-206;Transport;2016-2018;24;VSP;Villeray / St-Michel / Parc-Extension;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Tr. en vrac St-Hyacinthe
363;EXT-WES;Transport;2016-2017;33;WES;Ville de Westmount;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Ville de Westmount
