IdentifiantContrat;NumeroContrat;TypeContrat;AnneeContrat;NoResolution;IdentifiantArrondissement;ArrondissementCode;Arrondissement;DescriptionType;Entreprise
551;LAC-301;Transport;2018-2019;CM18 1372;15;LAC;Lachine;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
552;LAC-303;Transport;2018-2019;CM18 1372;15;LAC;Lachine;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
553;LAC-RE;Régie;2018-2019;;15;LAC;Lachine;Contrat exécuté par la régie;LAC - Ville de Montréal - Régie
555;LAS-301;Transport;2018-2019;CM18 1372;16;LAS;LaSalle;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
556;LAS-303;Transport;2018-2019;CM18 1372;16;LAS;LaSalle;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
557;LAS-305;Transport;2018-2019;CM18 1372;16;LAS;LaSalle;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
558;LAS-306;Transport;2018-2019;CM18 1372;16;LAS;LaSalle;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
559;LAS-307;Transport;2018-2019;CM18 1372;16;LAS;LaSalle;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
560;LAS-308;Transport;2018-2019;CM18 1372;16;LAS;LaSalle;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
561;LAS-309;Transport;2018-2019;CM18 1372;16;LAS;LaSalle;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
562;LAS-310;Transport;2018-2019;CM18 1372;16;LAS;LaSalle;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
563;LAS-313;Transport;2018-2019;CM18 1372;16;LAS;LaSalle;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
564;LAS-360;Transport;2018-2019;CM18 1372;16;LAS;LaSalle;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
565;LAS-RE;Régie;2018-2019;;16;LAS;LaSalle;Contrat exécuté par la régie;LAS - Ville de Montréal - Régie
567;MHM-101;Déneigement;2016-2021;CM16 0770;21;MHM;Mercier / Hochelaga / Maisonneuve;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Déneigement Moderne inc.
568;MHM-102;Déneigement;2016-2021;CM16 1072;21;MHM;Mercier / Hochelaga / Maisonneuve;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Déneigement Moderne inc.
569;MHM-103;Déneigement;2016-2021;CM16 0770;21;MHM;Mercier / Hochelaga / Maisonneuve;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Les Excavations Payette Ltée
570;MHM-104;Déneigement;2016-2021;CM16 1072;21;MHM;Mercier / Hochelaga / Maisonneuve;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Déneigement Moderne inc.
573;MHM-207;Transport;2018-2021;CM18 0999;21;MHM;Mercier / Hochelaga / Maisonneuve;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Les Entreprises K.L. Mainville Inc.
574;MHM-RE;Régie;2018-2019;;21;MHM;Mercier / Hochelaga / Maisonneuve;Contrat exécuté par la régie;MHM - Ville de Montréal - Régie
578;MTN-303;Transport;2018-2019;CM18 1372;14;MTN;Montréal-Nord;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
580;MTN-RE;Régie;2018-2019;;14;MTN;Montréal-Nord;Contrat exécuté par la régie;MTN - Ville de Montréal - Régie
582;OUT-101;Déneigement;2017-2021;CM17 1005;7;OUT;Outremont;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Environnement Routier NRJ Inc.
583;OUT-RE;Régie;2018-2019;;7;OUT;Outremont;Contrat exécuté par la régie;OUT - Ville de Montréal - Régie
585;PMR-101;Déneigement;2016-2021;CM16 0770;20;PMR;Plateau Mont-Royal;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Les Ent. Michaudville inc
586;PMR-102;Déneigement;2016-2021;CM16 0770;20;PMR;Plateau Mont-Royal;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Les Ent. Michaudville inc
589;PMR-RE;Régie;2018-2019;;20;PMR;Plateau Mont-Royal;Contrat exécuté par la régie;PMR - Ville de Montréal - Régie
591;PRF-01;Déneigement;2014-2019;CA14 290308;11;PRF;Pierrefonds / Roxboro;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Pavages D'Amour inc.
592;PRF-302;Transport;2018-2019;CM18 1372;11;PRF;Pierrefonds / Roxboro;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
593;PRF-303;Transport;2018-2019;CM18 1372;11;PRF;Pierrefonds / Roxboro;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
594;PRF-RE;Régie;2017-2018;;11;PRF;Pierrefonds / Roxboro;Contrat exécuté par la régie;PRF - Ville de Montréal - Régie
596;RDP-104;Déneigement;2017-2020;CM17 0966;17;RDP;R.D.P. /  P.A.T.;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;GROUPE TMD
597;RDP-91;Déneigement;2015-2020;CA1530090238;17;RDP;R.D.P. /  P.A.T.;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;JMV Environnement Inc.
598;RDP-92;Déneigement;2015-2020;CA1530090238;17;RDP;R.D.P. /  P.A.T.;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;J.M. Gagné inc.
599;RDP-93;Transport;2015-2020;CA1530100275;17;RDP;R.D.P. /  P.A.T.;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Montreal Bulk Logistique inc.
600;RDP-95;Transport;2015-2020;CA1530100275;17;RDP;R.D.P. /  P.A.T.;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Montreal Bulk Logistique inc.
601;RDP-96;Déneigement;2015-2020;CA1530090238;17;RDP;R.D.P. /  P.A.T.;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Déneigement Fontaine Gadbois
602;RDP-97;Déneigement;2015-2020;CA1530090238;17;RDP;R.D.P. /  P.A.T.;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Déneigement Fontaine Gadbois
603;RDP-99;Transport;2015-2020;CA1530100275;17;RDP;R.D.P. /  P.A.T.;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Montreal Bulk Logistique inc.
604;RDP-99D;Déneigement;2015-2020;CA15 3010 0276;17;RDP;R.D.P. /  P.A.T.;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Neigexpert Ltée
605;RDP-RE;Régie;2017-2018;;17;RDP;R.D.P. /  P.A.T.;Contrat exécuté par la régie;RDP - Ville de Montréal - Régie
607;RPP-31;Déneigement;2012-2019;CA12 26 0162;23;RPP;Rosemont / Petite-Patrie;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;A. &  O. Gendron inc.
608;RPP-32;Déneigement;2012-2019;CA12 26 0163;23;RPP;Rosemont / Petite-Patrie;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Transport Rosemont inc.
609;RPP-33;Déneigement;2012-2019;CA12 26 0164;23;RPP;Rosemont / Petite-Patrie;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Les Entrepreneurs Bucaro inc.
610;RPP-34;Transport;2012-2019;CA12 26 0152;23;RPP;Rosemont / Petite-Patrie;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Gestion Gérard Boutin inc.
611;RPP-RE;Régie;2017-2018;;23;RPP;Rosemont / Petite-Patrie;Contrat exécuté par la régie;RPP - Ville de Montréal - Régie
613;S-O-103;Déneigement;2017-2021;CM17 0966;19;S-O;Sud-Ouest;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Canbec Construction
614;S-O-104;Déneigement;2017-2021;CM17 0966;19;S-O;Sud-Ouest;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Canbec Construction
615;S-O-301;Transport;2018-2019;CM18 1372;19;S-O;Sud-Ouest;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
616;S-O-RE;Régie;2017-2018;;19;S-O;Sud-Ouest;Contrat exécuté par la régie;S-O - Ville de Montréal - Régie
618;SLA-01;Déneigement;2014-2019;CA14 080593;13;SLA;Saint-Laurent;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Groupe Imog Inc.
619;SLA-02;Déneigement;2014-2019;CA14 080593;13;SLA;Saint-Laurent;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Ramcor Construction Inc.
620;SLA-352;Transport;2018-2019;CM18 1372;13;SLA;Saint-Laurent;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
621;SLA-353;Transport;2018-2019;CM18 1372;13;SLA;Saint-Laurent;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
622;SLA-354;Transport;2018-2019;CM18 1372;13;SLA;Saint-Laurent;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
623;SLA-357;Transport;2018-2019;CM18 1372;13;SLA;Saint-Laurent;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
624;SLA-359;Transport;2018-2019;CM18 1372;13;SLA;Saint-Laurent;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
625;SLA-360;Transport;2018-2019;CM18 1372;13;SLA;Saint-Laurent;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
626;SLA-361;Transport;2018-2019;CM18 1372;13;SLA;Saint-Laurent;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
627;SLA-362;Transport;2018-2019;CM18 1372;13;SLA;Saint-Laurent;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
628;SLA-RE;Régie;2017-2018;;13;SLA;Saint-Laurent;Contrat exécuté par la régie;SLA- - Ville de Montréal - Régie
636;SLE-301;Transport;2018-2019;CM18 1372;12;SLE;Saint-Léonard;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
637;SLE-RE;Régie;2017-2018;;12;SLE;Saint-Léonard;Contrat exécuté par la régie;SLE - Ville de Montréal - Régie
638;VER-310;Transport;2018-2019;CM18 1372;10;VER;Verdun;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
639;VER-RE;Régie;2017-2018;;10;VER;Verdun;Contrat exécuté par la régie;VER - Ville de Montréal - Régie
646;VMA-RE;Régie;2017-2018;;18;VMA;Ville-Marie;Contrat exécuté par la régie;VMA - Ville de Montréal - Régie
648;VSP-101;Déneigement;2016-2020;CM16 0770;24;VSP;Villeray / St-Michel / Parc-Extension;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Pépinière Michel Tanguay Inc.
649;VSP-102;Déneigement;2016-2020;CM16 0770;24;VSP;Villeray / St-Michel / Parc-Extension;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Les Entrepreneurs Bucaro inc.
650;VSP-103;Déneigement;2016-2020;CM16 0770;24;VSP;Villeray / St-Michel / Parc-Extension;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Transport Rosemont inc.
651;VSP-104;Déneigement;2016-2020;CM16 0770;24;VSP;Villeray / St-Michel / Parc-Extension;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Les Excavations Payette Ltée
652;VSP-107;Déneigement;2016-2020;CM16 0770;24;VSP;Villeray / St-Michel / Parc-Extension;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Transport Rosemont inc.
653;VSP-205;Transport;2018-2020;CM18 1119;24;VSP;Villeray / St-Michel / Parc-Extension;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Tr. en vrac St-Hyacinthe
654;VSP-206;Transport;2018-2020;CM18 1119;24;VSP;Villeray / St-Michel / Parc-Extension;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Tr. en vrac St-Hyacinthe
655;VSP-RE;Régie;2017-2018;;24;VSP;Villeray / St-Michel / Parc-Extension;Contrat exécuté par la régie;VSP - Ville de Montréal - Régie
657;CDN-105;Déneigement;2018-2022;CM18 1000;25;CDN;Côte-des-Neiges / Notre-Dame-de-Grâce;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;NMP Golf Construction Inc.
658;CDN-106;Déneigement;2018-2022;CM18 1000;25;CDN;Côte-des-Neiges / Notre-Dame-de-Grâce;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;C.M.S. Ent. Généraux inc.
659;CDN-107;Déneigement;2018-2022;CM18 1000;25;CDN;Côte-des-Neiges / Notre-Dame-de-Grâce;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;C.M.S. Ent. Généraux inc.
660;CDN-108;Déneigement;2018-2022;CM18 1000;25;CDN;Côte-des-Neiges / Notre-Dame-de-Grâce;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;C.M.S. Ent. Généraux inc.
661;CDN-109;Déneigement;2018-2022;CM18 1000;25;CDN;Côte-des-Neiges / Notre-Dame-de-Grâce;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;C.M.S. Ent. Généraux inc.
662;CDN-110;Déneigement;2018-2022;CM18 1000;25;CDN;Côte-des-Neiges / Notre-Dame-de-Grâce;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;C.M.S. Ent. Généraux inc.
663;MHM-208;Transport;2018-2021;CM18 0999;21;MHM;Mercier / Hochelaga / Maisonneuve;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transport H. Cordeau inc.
664;MTN-101;Déneigement;2018-2022;CM18 1000;14;MTN;Montréal-Nord;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Deneigement Cybault Inc. - 341795
665;MTN-102;Déneigement;2018-2022;CM18 1000;14;MTN;Montréal-Nord;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;J.M. Gagné inc.
666;MTN-105;Déneigement;2018-2022;CM18 1000;14;MTN;Montréal-Nord;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Deneigement Cybault Inc. - 341795
667;PMR-205;Transport;2018-2021;CM18 0999;20;PMR;Plateau Mont-Royal;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Martin Lefebvre Transport Inc.
668;VMA-109;Déneigement;2018-2023;CM18 1000;18;VMA;Ville-Marie;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Savaria Matériaux Paysagers Ltée
669;VMA-110;Déneigement;2018-2023;CM18 1000;18;VMA;Ville-Marie;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Savaria Matériaux Paysagers Ltée
670;VMA-111;Déneigement;2018-2023;CM18 1000;18;VMA;Ville-Marie;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Canbec Construction
671;VMA-306;Transport;2018-2019;CM18 1372;18;VMA;Ville-Marie;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
672;VMA-307;Transport;2018-2019;CM18 1372;18;VMA;Ville-Marie;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
673;SLE-103;Déneigement;2018-2019;CM18 1000;12;SLE;Saint-Léonard;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Déneigement Fontaine Gadbois
674;SLE-104;Déneigement;2018-2019;CM18 1000;12;SLE;Saint-Léonard;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;GROUPE TMD
675;SLE-105;Déneigement;2018-2019;CM18 1130;12;SLE;Saint-Léonard;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;9055-0344 Québec Inc. (Transport DM Choquette)
676;SLE-106;Déneigement;2018-2019;CM18 1000;12;SLE;Saint-Léonard;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;GROUPE TMD
677;SLE-107;Déneigement;2018-2019;CM18 1130;12;SLE;Saint-Léonard;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Services Uniques J.M. Inc.
678;SLE-108;Déneigement;2018-2019;CM18 1000;12;SLE;Saint-Léonard;Contrat exécuté dans sa totalilité (Épandage, déblaiement, transport, etc..) par le privée;Les Excavations Payette Ltée
679;MTN-306;Transport;2018-2019;CM18 1372;14;MTN;Montréal-Nord;Contrat attribué à entrepreneurs pour le transport de le neige uniquement;Transvrac Montréal - Laval Inc
