PERIODE,CODE  MO,CODE  MO_RESP,MO_RESPONSABLE,MO,CATEGORIE_EMPLOI,STATUT,APLE,NB_INDIVIDUS,NB_INDIVIDUS_120,APA_ABS_120,COUTS_120,NB_INDIVIDUS_246,APA_ABS_246,COUTS_246,NB_INDIVIDUS_248,APA_ABS_248,COUTS_248,NB_INDIVIDUS_270,APA_ABS_270,NB_INDIVIDUS_249,APA_ABS_249,NB_INDIVIDUS_272,APA_ABS_272,NB_INDIVIDUS_077,APA_ABS_077
2011-2012,890,600,Ressources naturelles,890-Fonds de la réforme du cadastre québécois,Personnel de bureau,Régulier,"0,4982",2,2,"0,0498","1887,22",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,890,600,Ressources naturelles,890-Fonds de la réforme du cadastre québécois,Ouvrier,Régulier,"0,2491",1,1,"0,0021","76,56",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,896,55,Immigration et Communautés culturelles,896-Secrétariat à la politique linguistique,Haute direction et Cadres,Régulier,"0,161",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,896,55,Immigration et Communautés culturelles,896-Secrétariat à la politique linguistique,Haute direction et Cadres,Régulier,"1,0003",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,896,55,Immigration et Communautés culturelles,896-Secrétariat à la politique linguistique,Haute direction et Cadres,Régulier,"1,0003",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,896,55,Immigration et Communautés culturelles,896-Secrétariat à la politique linguistique,Professionnels et Enseignants,Régulier,"0,5749",1,0,0,0,1,"0,2032","8950,02",1,"0,0077","253,24",0,0,0,0,0,0,0,0
2011-2012,896,55,Immigration et Communautés culturelles,896-Secrétariat à la politique linguistique,Professionnels et Enseignants,Régulier,"0,5404",1,1,"0,0172","1418,26",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,896,55,Immigration et Communautés culturelles,896-Secrétariat à la politique linguistique,Professionnels et Enseignants,Régulier,"2,6955",3,2,"0,0204","1098,81",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,896,55,Immigration et Communautés culturelles,896-Secrétariat à la politique linguistique,Professionnels et Enseignants,Régulier,"1,0003",1,1,"0,0331","2149,84",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,896,55,Immigration et Communautés culturelles,896-Secrétariat à la politique linguistique,Professionnels et Enseignants,Régulier,"1,0003",1,1,"0,0038","320,35",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,896,55,Immigration et Communautés culturelles,896-Secrétariat à la politique linguistique,Techniciens,Régulier,"2,1435",2,2,"0,0934","4403,75",1,"0,1008","3171,49",0,0,0,1,"0,0156",0,0,0,0,0,0
2011-2012,896,55,Immigration et Communautés culturelles,896-Secrétariat à la politique linguistique,Personnel de bureau,Occasionnel,"0,1303",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,896,55,Immigration et Communautés culturelles,896-Secrétariat à la politique linguistique,Personnel de bureau,Régulier,"0,8701",1,1,"0,0153","570,58",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-2013,896,55,Immigration et Communautés culturelles,896-Secrétariat à la politique linguistique,Professionnels et Enseignants,Régulier,"0,9965",1,1,"0,023","1951,68",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-2013,896,55,Immigration et Communautés culturelles,896-Secrétariat à la politique linguistique,Techniciens,Régulier,"1,7329",2,2,"0,1208","5787,37",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-2013,896,55,Immigration et Communautés culturelles,896-Secrétariat à la politique linguistique,Techniciens,Régulier,"0,1839",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-2013,896,55,Immigration et Communautés culturelles,896-Secrétariat à la politique linguistique,Personnel de bureau,Occasionnel,"0,7283",1,1,"0,0192","708,31",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-2013,896,55,Immigration et Communautés culturelles,896-Secrétariat à la politique linguistique,Personnel de bureau,Régulier,"0,9008",1,1,"0,0087","333,71",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,10,10,Culture et Communications,010-Culture et des Communications,Haute direction et Cadres,Régulier,"0,0383",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,10,10,Culture et Communications,010-Culture et des Communications,Haute direction et Cadres,Régulier,"1,8435",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,10,10,Culture et Communications,010-Culture et des Communications,Haute direction et Cadres,Régulier,"12,0037",12,2,"0,0128","1187,15",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,10,10,Culture et Communications,010-Culture et des Communications,Haute direction et Cadres,Régulier,"9,5393",10,4,"0,0842","8382,67",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,10,10,Culture et Communications,010-Culture et des Communications,Haute direction et Cadres,Régulier,"2,2727",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,10,10,Culture et Communications,010-Culture et des Communications,Haute direction et Cadres,Régulier,"7,347",8,4,"0,0633","6601,63",1,"0,0192","1306,02",0,0,0,0,0,0,0,0,0,0,0
2011-2012,10,10,Culture et Communications,010-Culture et des Communications,Haute direction et Cadres,Régulier,"11,1376",12,1,"0,0057","617,41",1,"0,1303","12659,52",1,"0,7359","62532,91",0,0,0,0,0,0,0,0
2011-2012,10,10,Culture et Communications,010-Culture et des Communications,Professionnels et Enseignants,Occasionnel,"0,9927",3,3,"0,0153","589,87",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,10,10,Culture et Communications,010-Culture et des Communications,Professionnels et Enseignants,Occasionnel,"18,7155",29,18,"0,29","13427,17",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,10,10,Culture et Communications,010-Culture et des Communications,Professionnels et Enseignants,Occasionnel,"8,5162",12,10,"0,1476","7345,51",1,"0,0383","1251,12",0,0,0,1,"0,0288",0,0,0,0,0,0
2011-2012,10,10,Culture et Communications,010-Culture et des Communications,Professionnels et Enseignants,Occasionnel,"2,495",3,3,"0,0152","1049,32",1,"0,1438","6876,12",0,0,0,1,"0,0172",0,0,0,0,0,0
2011-2012,10,10,Culture et Communications,010-Culture et des Communications,Professionnels et Enseignants,Occasionnel,"2,0392",3,3,"0,142","9986,84",1,"0,5078","24277,96",0,0,0,0,0,0,0,0,0,0,0
2011-2012,10,10,Culture et Communications,010-Culture et des Communications,Professionnels et Enseignants,Régulier,"0,23",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,10,10,Culture et Communications,010-Culture et des Communications,Professionnels et Enseignants,Régulier,"34,7598",41,34,"0,7484","39568,01",1,"0,2261","7928,91",0,0,0,0,0,0,0,1,"1,0003",0,0
2011-2012,10,10,Culture et Communications,010-Culture et des Communications,Professionnels et Enseignants,Régulier,"29,3118",36,31,"0,8758","53813,5",2,"0,6746","27785,05",0,0,0,2,"0,0171",0,0,0,0,0,0
2011-2012,10,10,Culture et Communications,010-Culture et des Communications,Professionnels et Enseignants,Régulier,"37,8163",45,41,"1,1856","79971,82",4,"0,398","19639,16",0,0,0,1,"0,0041",0,0,0,0,0,0
2011-2012,10,10,Culture et Communications,010-Culture et des Communications,Professionnels et Enseignants,Régulier,"32,0035",40,25,"0,5139","36845,61",3,"0,3948","18878,88",0,0,0,0,0,0,0,0,0,0,0
2011-2012,10,10,Culture et Communications,010-Culture et des Communications,Professionnels et Enseignants,Occasionnel,"1,0196",2,1,"0,0038","154,9",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,10,10,Culture et Communications,010-Culture et des Communications,Professionnels et Enseignants,Occasionnel,"6,1629",13,7,"0,1193","4989,15",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,10,10,Culture et Communications,010-Culture et des Communications,Professionnels et Enseignants,Occasionnel,"1,0003",1,1,"0,0295","1236,09",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,10,10,Culture et Communications,010-Culture et des Communications,Professionnels et Enseignants,Occasionnel,"0,9965",3,1,"0,0038","238,53",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,10,10,Culture et Communications,010-Culture et des Communications,Professionnels et Enseignants,Occasionnel,"0,7129",1,1,"0,0022","130,06",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,10,10,Culture et Communications,010-Culture et des Communications,Professionnels et Enseignants,Régulier,"15,7965",20,14,"0,2549","12861,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,10,10,Culture et Communications,010-Culture et des Communications,Professionnels et Enseignants,Régulier,"16,0061",19,15,"0,2926","17857,83",1,"0,3795","10670,19",0,0,0,0,0,0,0,0,0,0,0
2011-2012,10,10,Culture et Communications,010-Culture et des Communications,Professionnels et Enseignants,Régulier,"19,1809",26,17,"0,1917","13752,66",0,0,0,1,"0,0038","136,23",0,0,0,0,0,0,0,0
2011-2012,10,10,Culture et Communications,010-Culture et des Communications,Professionnels et Enseignants,Régulier,"30,4548",34,26,"0,6261","44267,26",1,"0,6516","31139,75",0,0,0,1,"0,0077",0,0,0,0,0,0
2011-2012,10,10,Culture et Communications,010-Culture et des Communications,Techniciens,Occasionnel,"0,046",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,10,10,Culture et Communications,010-Culture et des Communications,Techniciens,Occasionnel,"0,9352",1,1,"0,035","1649,81",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,10,10,Culture et Communications,010-Culture et des Communications,Techniciens,Occasionnel,"0,0713",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
