Année,Nom_min,NDAT,NHAT,NHPLP
2013-2014,Tribunal administratif du travail,0,0,97.52
2013-2014,Vérificateur général du Québec,0,0,0.00
2014-2015,Affaires municipales et Occupation du territoire,0,0,1263.43
2014-2015,"Agriculture, Pêcheries et Alimentation",8,1810,5194.55
2014-2015,Bureau d'audiences publiques sur l'environnement,0,0,0.00
2014-2015,Centre de services partagés du Québec,8,3493,6903.23
2014-2015,Commissaire au lobbyisme du Québec,0,0,3.29
2014-2015,Commission d'accès à l'information,0,0,0.00
2014-2015,Commission de la fonction publique,0,0,0.00
2014-2015,Commission de protection du territoire agricole du Québec,0,0,0.00
2014-2015,Commission des droits de la personne et des droits de la jeunesse,0,0,83.83
2014-2015,Commission des transports du Québec,0,0,0.00
2014-2015,Conseil de gestion de l'assurance parentale,0,0,0.00
2014-2015,Conseil du statut de la femme,0,0,0.00
2014-2015,Conseil exécutif,0,0,536.20
2014-2015,Conseil supérieur de la langue française,0,0,0.00
2014-2015,Culture et Communications,0,0,830.97
2014-2015,Curateur public du Québec,0,0,87.48
2014-2015,"Développement durable, Environnement et Lutte contre les changements climatiques",12,6546,2938.33
2014-2015,Directeur des poursuites criminelles et pénales,1,1890,187.20
2014-2015,Directeur général des élections,0,0,549.35
2014-2015,"Économie, Science et Innovation",0,0,179.34
2014-2015,Éducation et Enseignement supérieur,0,0,1561.49
2014-2015,Énergie et Ressources naturelles,5,1120,1490.08
2014-2015,Famille,2,172,414.94
2014-2015,Finances,0,0,0.00
2014-2015,"Forêts, Faune et Parcs",6,1862,9536.94
2014-2015,"Immigration, Diversité et Inclusion",1,49,3465.04
2014-2015,Institut de la statistique du Québec,0,0,0.00
2014-2015,Institut de tourisme et d'hôtellerie du Québec,0,0,797.91
2014-2015,Justice,0,0,3222.32
2014-2015,La Financière agricole du Québec,0,0,161.08
2014-2015,Office de la protection du consommateur,0,0,21.00
2014-2015,Office des personnes handicapées du Québec,0,0,1.46
2014-2015,Office des professions du Québec,0,0,0.00
2014-2015,Office québécois de la langue française,0,0,66.66
2014-2015,Protecteur du citoyen,0,0,0.00
2014-2015,Régie de l'assurance maladie du Québec,4,820,2994.95
2014-2015,Régie du bâtiment du Québec,0,0,3244.97
2014-2015,Relations Internationales et Francophonie,0,0,202.90
2014-2015,Retraite Québec,0,0,622.40
2014-2015,Santé et Services sociaux,0,0,7.12
2014-2015,Secrétariat du Conseil du trésor et Administration gouvernementale,0,0,3.47
2014-2015,Sécurité publique,75,23856,55422.00
2014-2015,Société de l'assurance automobile du Québec,7,792,15902.14
2014-2015,Société d'habitation du Québec,0,0,0.00
2014-2015,Sûreté du Québec,44,18905,45296.99
2014-2015,Tourisme,0,0,0.00
2014-2015,"Transport, Mobilité durable et Électrification des transports",63,21259,44138.75
2014-2015,"Travail, Emploi et Solidarité sociale",3,2356,10109.30
2014-2015,Tribunal administratif du Québec,0,0,0.00
2014-2015,Tribunal administratif du travail,0,0,42.92
2014-2015,Vérificateur général du Québec,0,0,0.00
2015-2016,Affaires municipales et Occupation du territoire,0,0,0.00
2015-2016,"Agriculture, Pêcheries et Alimentation",5,675,440.00
2015-2016,Bureau d'audiences publiques sur l'environnement,0,0,0.00
2015-2016,Bureau de décision et de révision,0,0,0.00
2015-2016,Centre de services partagés du Québec,12,3834,1546.00
2015-2016,Commissaire au lobbyisme du Québec,0,0,0.00
2015-2016,Commission d'accès à l'information,0,0,0.00
2015-2016,Commission de la fonction publique,0,0,0.00
2015-2016,Commission de protection du territoire agricole du Québec,0,0,1687.00
2015-2016,Commission des droits de la personne et des droits de la jeunesse,1,238,0.00
2015-2016,Commission des transports du Québec,0,0,0.00
2015-2016,Conseil de gestion de l'assurance parentale ,0,0,0.00
2015-2016,Conseil du statut de la femme,0,0,0.00
2015-2016,Conseil exécutif,0,0,2408.00
2015-2016,Conseil supérieur de la langue française,0,0,0.00
2015-2016,Culture et Communications,0,0,85.00
2015-2016,Curateur public du Québec,0,0,7.00
2015-2016,"Développement durable, Environnement et Lutte contre les changements climatiques",6,1085,2138.00
2015-2016,Directeur des poursuites criminelles et pénales,1,21,102.00
2015-2016,Directeur général des élections,0,0,1186.00
2015-2016,"Économie, Science et Innovation",1,247,1144.00
2015-2016,Éducation et Enseignement supérieur,0,0,2161.00
2015-2016,Énergie et Ressources naturelles,1,35,186.00
2015-2016,Famille,0,0,78.00
2015-2016,Finances,0,0,658.00
2015-2016,"Forêts, Faune et Parcs",19,3556,10467.00
2015-2016,"Immigration, Diversité et Inclusion",3,1048,3860.00
2015-2016,Institut de la statistique du Québec,0,0,0.00
2015-2016,Institut de tourisme et d'hôtellerie du Québec,0,0,10.00
2015-2016,Justice,12,1717,8327.00
2015-2016,La Financière agricole du Québec,1,548,483.00
2015-2016,Office de la protection du consommateur,1,242,95.00
2015-2016,Office des personnes handicapées du Québec,0,0,0.00
2015-2016,Office des professions du Québec,0,0,0.00
2015-2016,Office québécois de la langue française,1,84,319.00
2015-2016,Protecteur du citoyen,0,0,0.00
2015-2016,Régie de l'assurance maladie du Québec,4,935,3800.00
2015-2016,"Régie des alcools, des courses et des jeux",3,43,479.00
2015-2016,Régie du bâtiment du Québec,2,2149,2695.00
2015-2016,Régie du Cinéma,0,0,0.00
2015-2016,Régie du logement,0,0,0.00
2015-2016,Relations Internationales et Francophonie,0,0,0.00
2015-2016,Retraite Québec,0,0,2740.00
2015-2016,Santé et Services sociaux,1,434,1212.00
2015-2016,Secrétariat du Conseil du trésor et Administration gouvernementale,0,0,75.00
2015-2016,Sécurité publique,92,33067,58558.00
2015-2016,Société de l'assurance automobile du Québec,5,897,17794.00
2015-2016,Société d'habitation du Québec,0,0,0.00
2015-2016,Sûreté du Québec,30,11867,52735.00
2015-2016,Tourisme,0,0,0.00
2015-2016,"Transport, Mobilité durable et Électrification des transports",74,22372,48124.00
2015-2016,"Travail, Emploi et Solidarité sociale",10,2433,9674.00
2015-2016,Tribunal administratif du Québec,0,0,0.00
2015-2016,Tribunal administratif du travail,0,0,1606.00
2015-2016,Vérificateur général du Québec,0,0,2.00
