PERIODE,MO,NTLP,NHPLP,NHRT,NHAT,NPALP
2012,Conseil exécutif,3,0,793858,0,3
2012,Conseil supérieur de la langue française,0,0,15868,0,0
2012,Culture et Communications,1,0,747228,0,2
2012,Curateur public,2,3724,1005921,0,4
2012,"Développement durable, Environnement, Faune et Parcs",13,1888,2804943,1190,44
2012,Directeur des poursuites criminelles et pénales,3,"486,88",485192,"885,5",4
2012,Directeur général des élections,1,0,449836,105,3
2012,"Éducation, Loisir et Sport",3,1384,2088224,0,7
2012,Emploi et Solidarité sociale,33,"11361,5",9586593,2030,65
2012,"Enseignement supérieur, Recherche, Science et Technologie",1,21,1235129,0,0
2012,Famille,2,4018,665456,0,4
2012,Finances et Économie,4,980,1400912,0,7
2012,Immigration et Communautés culturelles,11,4998,1776161,0,15
2012,Institut de la statistique du Québec,0,"3422,3",502900,0,0
2012,Institut de tourisme et d'hôtellerie du Québec,1,1023,421721,0,2
2012,Justice,14,"4897,59",4584550,"773,8",25
2012,La Financière agricole du Québec,5,"859,3",971265,"262,3",7
2012,Office de la protection du consommateur,0,0,159438,0,0
2012,Office des personnes handicapées du Québec,2,0,194445,0,1
2012,Office des professions du Québec,0,0,77677,0,0
2012,Office québécois de la langue française,1,49,342649,49,2
2012,Protecteur du citoyen,,0,231727,0,1
2012,Régie de l'assurance maladie du Québec,3,594,2461449,0,4
2012,Régie des rentes du Québec,12,413,1734286,77,14
2012,Régie du bâtiment du Québec,8,1932,656497,0,5
2012,"Relations internationales, Francophonie et Commerce extérieur",2,1589,533925,0,2
2012,Ressources naturelles,99,"8505,11",6705078,3430,56
2012,Santé et Services sociaux,2,0,1024258,0,1
2012,Secrétariat du Conseil du trésor,2,"391,5",830615,0,3
2012,Sécurité publique,229,53928,8699890,40424,265
2012,Société de l'assurance automobile du Québec,41,14244,5866055,1312,59
2012,Société d'habitation du Québec,1,742,572731,0,3
2012,Sûreté du Québec,378,"81905,5",15499069,19734,389
2012,Transports,198,"35910,55",10413312,19341,240
2012,Travail,2,259,183728,0,1
2012,Tribunal administratif du Québec,0,0,292122,0,0
2012,Vérificateur général,0,0,391607,0,1
2013-2014,"Affaires municipales, Régions et Occupation du territoire",6,"1931,86014","1359342,69",812,5
2013-2014,"Agriculture, Pêcheries et Alimentation",21,"4385,85945","3135102,31","1455,5",29
2013-2014,Assemblée nationale,9,"3415,54626","917098,87",7,10
2013-2014,Bureau d'audiences publiques sur l'environnement,0,0,"86599,5",0,0
2013-2014,Centre de services partagés du Québec,14,"3436,54871","4181141,43","2032,75",18
2013-2014,Commissaire au lobbyisme,0,"4,38312","56085,5",0,1
2013-2014,Commission administrative des régimes de retraite et d'assurances,1,"12,05358","1791523,66",0,1
2013-2014,Commission d'accès à l'information,0,0,103645,0,0
2013-2014,Commission de la fonction publique,0,0,"73724,5",0,0
2013-2014,Commission de l'équité salariale,0,0,"175277,67",0,0
2013-2014,Commission de protection du territoire agricole du Québec,0,0,"182239,75",0,0
2013-2014,Commission des droits de la personne et des droits de la jeunesse,2,"104,82962",264750,718,2
2013-2014,Commission des lésions professionnelles,1,"62,64209","785587,98",0,4
2013-2014,Commission des normes du travail,8,"1500,67071","889578,97",455,7
2013-2014,Commission des relations du travail,1,"34,88233","242517,08",0,1
2013-2014,Commission des transports du Québec,0,0,"225185,5",0,0
2013-2014,Conseil de gestion de l'assurance parentale,0,0,"26392,5",0,0
2013-2014,Conseil du statut de la femme,0,"11,50569","72141,83",0,1
2013-2014,Conseil exécutif,1,"91,68026","1235299,93",0,3
2013-2014,Conseil supérieur de la langue française,,0,22242,0,0
2013-2014,Culture et Communications,1,0,"855723,64",0,0
2013-2014,Curateur public,4,"107,56907","1219965,81",0,4
2013-2014,"Développement durable, Environnement, Faune et Parcs",49,"9497,67315","5249267,61",4186,64
2013-2014,Directeur des poursuites criminelles et pénales,4,"768,14178","734076,78",546,5
2013-2014,Directeur général des élections,3,"168,0196","550306,85",0,3
2013-2014,"Éducation, Loisir et Sport",3,"249,83784","1640747,09",0,4
2013-2014,Emploi et Solidarité sociale,27,"11057,15072","11670795,29",1351,43
2013-2014,"Enseignement supérieur, Recherche, Science et Technologie",1,"19,54141","1351340,25",0,3
2013-2014,Famille,3,"1478,93774","771734,86",108,4
2013-2014,Finances et Économie,1,"29,03817","2754993,06",0,2
2013-2014,Immigration et Communautés culturelles,9,"3602,01149","1969319,54",322,15
2013-2014,Institut de la statistique du Québec,1,"56,06741","558758,01",0,1
2013-2014,Institut de tourisme et d'hôtellerie du Québec,3,"140,07721","473447,41",0,3
2013-2014,Justice,17,"5599,80106","5537293,43",388,24
2013-2014,La Financière agricole du Québec,0,"423,51897","1191528,94",430,1
2013-2014,Office de la protection du consommateur,1,0,184873,0,0
2013-2014,Office des personnes handicapées du Québec,1,"544,05477",226831,13,2
2013-2014,Office des professions du Québec,0,"56,43267","98813,58",0,1
2013-2014,Office québécois de la langue française,0,"143,36455","459333,6",154,1
2013-2014,Protecteur du citoyen,0,0,"290161,66",0,0
2013-2014,Régie de l'assurance maladie du Québec,4,"666,5995","3145317,89","318,75",12
2013-2014,Régie des rentes du Québec,2,"211,30291","2144502,71",0,6
2013-2014,Régie du bâtiment du Québec,6,"1332,46848","912512,41",994,8
2013-2014,"Relations internationales, Francophonie et Commerce extérieur",0,"855,80418","844098,66",0,2
2013-2014,Ressources naturelles,66,"5139,75609","7054192,45",3378,58
2013-2014,Santé et Services sociaux,2,0,"1889888,97",0,0
2013-2014,Secrétariat du Conseil du trésor,1,"65,7468","1180348,54",0,2
2013-2014,Sécurité publique,240,"50826,11163","10108746,09",35569,270
2013-2014,Société de l'assurance automobile du Québec,46,"18070,50798","5570586,41",3015,73
2013-2014,Société d'habitation du Québec,0,0,"735718,33",0,0
2013-2014,Sûreté du Québec,317,"54099,20649","15935916,8",27499,348
2013-2014,Transports,227,"44864,33791","13128164,68",31241,290
2013-2014,Travail,1,"20,27193","230046,69","325,5",1
2013-2014,Tribunal administratif du Québec,0,0,"473163,58",0,0
2013-2014,Vérificateur général,0,0,"480218,77",0,0
