Attributs,Description courte et Format,Description longue,Domaine de valeurs
CH_DATE_IN,CH_Date inspectée (CH_DATE_IN) (Date et/ou heure),Date d’auscultation de la chaussée.,
CH_PCI_MES,CH_PCI mesuré (CH_PCI_MES) (Numérique),Indice de performance de l’état de la surface selon l’auscultation.,
CH_IRI_MES,CH_IRI mesuré (CH_IRI_MES) (Numérique),Indice de performance au roulement selon l’auscultation.,
CH_CATEGOR,CH_Catégo (CH_CATEGOR) (Liste de valeur),"Catégorisation de la chaussée A, B, C, D pour les rues artérielles et E pour les rues locales.",
CH_HIERAR,CH_Hiérarchie (Guide MAMOT) (CH_HIERAR) (Liste de valeur),"Hiérarchie correspondant à la catégorisation: I (A ou B), II (C ou D) et III €",
CH_JURIDI,CH_Juri (CH_JURIDI) (Liste de valeur),"Juridiction de la rue, soit locale (L)ou artérielle (A)",
EP,EP_Classe d'intervention intégrée (EP) (Liste de valeur),Classe d'intervention intégrée pour l’eau potable," 0 (Aucune inspection d'égouts réalisée. Aucun pronostic possible basé sur l'état.), A (aucune intervention, maintien ou entretien préventif), B (Études ou auscultations requises), C (Intervention souhaitable) ou D (Attention immédiate) selon le guide du MAMOT."
EU,EU_Classe d'intervention intégrée  (EU) (Liste de valeur),Classe d'intervention intégrée pour les eaux usées," 0 (Aucune inspection d'égouts réalisée. Aucun pronostic possible basé sur l'état.), A (aucune intervention, maintien ou entretien préventif), B (Études ou auscultations requises), C (Intervention souhaitable) ou D (Attention immédiate) selon le guide du MAMOT."
EPL,EPL_Classe d'intervention intégrée  (EPL) (Liste de valeur),Classe d'intervention intégrée pour les eaux pluviales," 0 (Aucune inspection d'égouts réalisée. Aucun pronostic possible basé sur l'état.), A (aucune intervention, maintien ou entretien préventif), B (Études ou auscultations requises), C (Intervention souhaitable) ou D (Attention immédiate) selon le guide du MAMOT."
CH,CH_Classe d'intervention intégrée  (CH) (Liste de valeur),Classe d'intervention intégrée pour les chaussées," 0 (Aucune inspection d'égouts réalisée. Aucun pronostic possible basé sur l'état.), A (aucune intervention, maintien ou entretien préventif), B (Études ou auscultations requises), C (Intervention souhaitable) ou D (Attention immédiate) selon le guide du MAMOT."
REMARQUE1,Remarques 1 (REMARQUE1) (Texte variable),,
REMARQUE2,Remarques 2 (REMARQUE2) (Texte variable),,
C1_LEGENDE,Carte 1 - Légende  (Texte variable),Informations sur le type d'intervention par tronçon unifié tel que cela apparait dans la légende de la carte 1 - Interventions Tronçons Critiques 2023-2027,"C1_LEGENDE in ( 'Aucune intervention', '3 actifs critiques dont au moins un en reconstruction', '1 ou 2 actifs critiques dont au moins un en reconstruction', 'Réhabilitation de l''eau potable ou de l''égout, avec ou sans réhabilitation de chaussée', 'Réhabilitation chaussée critique, sans réhabilitation de l''eau potable ni de l''égout')"
Longueur_M,longueur geométrique de la ligne (en mètre),,
