champ,description_question,variable_reponse,description_reponse
Q2,Quel est le diplôme d’études (équivalence québécoise) le plus élevé que vous avez obtenu?,2,Secondaire (formation générale ou professionnelle (8 à 12 ans))
Q2,Quel est le diplôme d’études (équivalence québécoise) le plus élevé que vous avez obtenu?,3,"Collégial (formation préuniversitaire, formation technique, certificats, attestations ou diplômes de perfectionnement)"
Q2,Quel est le diplôme d’études (équivalence québécoise) le plus élevé que vous avez obtenu?,4,Universitaire certificats et diplômes
Q2,Quel est le diplôme d’études (équivalence québécoise) le plus élevé que vous avez obtenu?,5,Universitaire 1er cycle Baccalauréat (incluant cours classique)
Q2,Quel est le diplôme d’études (équivalence québécoise) le plus élevé que vous avez obtenu?,6,Universitaire 2e cycle Maîtrise
Q2,Quel est le diplôme d’études (équivalence québécoise) le plus élevé que vous avez obtenu?,7,Universitaire 3e cycle Doctorat
Q3,"Est-ce que ce diplôme d’études a été obtenu au Québec ? Si non, a-t-il été reconnu par le système d’éducation québécois?",1,"Oui, il a été obtenu au Québec"
Q3,"Est-ce que ce diplôme d’études a été obtenu au Québec ? Si non, a-t-il été reconnu par le système d’éducation québécois?",2,"Non, mais il a été reconnu par le système d’éducation québécois"
Q3,"Est-ce que ce diplôme d’études a été obtenu au Québec ? Si non, a-t-il été reconnu par le système d’éducation québécois?",3,Non et il n’a pas été reconnu par le système d’éducation québécois
Q4r1,"Sur une échelle de 1 à 5, ou 1 signifie « faible » et 5 « excellent », veuillez indiquer votre niveau de maîtrise (parler, écrire, comprendre) des langues suivantes? - La langue française",1,1- Faible
Q4r1,"Sur une échelle de 1 à 5, ou 1 signifie « faible » et 5 « excellent », veuillez indiquer votre niveau de maîtrise (parler, écrire, comprendre) des langues suivantes? - La langue française",2,2
Q4r1,"Sur une échelle de 1 à 5, ou 1 signifie « faible » et 5 « excellent », veuillez indiquer votre niveau de maîtrise (parler, écrire, comprendre) des langues suivantes? - La langue française",3,3
Q4r1,"Sur une échelle de 1 à 5, ou 1 signifie « faible » et 5 « excellent », veuillez indiquer votre niveau de maîtrise (parler, écrire, comprendre) des langues suivantes? - La langue française",4,4
Q4r1,"Sur une échelle de 1 à 5, ou 1 signifie « faible » et 5 « excellent », veuillez indiquer votre niveau de maîtrise (parler, écrire, comprendre) des langues suivantes? - La langue française",5,5- Excellent
Q4r2,"Sur une échelle de 1 à 5, ou 1 signifie « faible » et 5 « excellent », veuillez indiquer votre niveau de maîtrise (parler, écrire, comprendre) des langues suivantes? - La langue anglaise",1,1- Faible
Q4r2,"Sur une échelle de 1 à 5, ou 1 signifie « faible » et 5 « excellent », veuillez indiquer votre niveau de maîtrise (parler, écrire, comprendre) des langues suivantes? - La langue anglaise",2,2
Q4r2,"Sur une échelle de 1 à 5, ou 1 signifie « faible » et 5 « excellent », veuillez indiquer votre niveau de maîtrise (parler, écrire, comprendre) des langues suivantes? - La langue anglaise",3,3
Q4r2,"Sur une échelle de 1 à 5, ou 1 signifie « faible » et 5 « excellent », veuillez indiquer votre niveau de maîtrise (parler, écrire, comprendre) des langues suivantes? - La langue anglaise",4,4
Q4r2,"Sur une échelle de 1 à 5, ou 1 signifie « faible » et 5 « excellent », veuillez indiquer votre niveau de maîtrise (parler, écrire, comprendre) des langues suivantes? - La langue anglaise",5,5- Excellent
Q5,Depuis environ combien d’années résidez-vous au Québec? Veuillez compter toutes les années où vous avez habité au Québec.,1,Moins d’un an
Q5,Depuis environ combien d’années résidez-vous au Québec? Veuillez compter toutes les années où vous avez habité au Québec.,2,1 à 2 ans
Q5,Depuis environ combien d’années résidez-vous au Québec? Veuillez compter toutes les années où vous avez habité au Québec.,3,3 à 5 ans
Q5,Depuis environ combien d’années résidez-vous au Québec? Veuillez compter toutes les années où vous avez habité au Québec.,4,6 à 10 ans
Q5,Depuis environ combien d’années résidez-vous au Québec? Veuillez compter toutes les années où vous avez habité au Québec.,5,11 à 20 ans
Q5,Depuis environ combien d’années résidez-vous au Québec? Veuillez compter toutes les années où vous avez habité au Québec.,6,21 à 30 ans
Q5,Depuis environ combien d’années résidez-vous au Québec? Veuillez compter toutes les années où vous avez habité au Québec.,7,Plus de 30 ans
Q6,"Parmi les catégories suivantes, laquelle reflète le mieux le REVENU total avant impôt de tous les membres de votre foyer pour l’année 2020?",1,14 999 $ et moins
Q6,"Parmi les catégories suivantes, laquelle reflète le mieux le REVENU total avant impôt de tous les membres de votre foyer pour l’année 2020?",2,De 15 000 $ à 19 999 $
Q6,"Parmi les catégories suivantes, laquelle reflète le mieux le REVENU total avant impôt de tous les membres de votre foyer pour l’année 2020?",3,De 20 000 $ à 29 999 $
Q6,"Parmi les catégories suivantes, laquelle reflète le mieux le REVENU total avant impôt de tous les membres de votre foyer pour l’année 2020?",4,De 30 000 $ à 39 999 $
Q6,"Parmi les catégories suivantes, laquelle reflète le mieux le REVENU total avant impôt de tous les membres de votre foyer pour l’année 2020?",5,De 40 000 $ à 49 999 $
Q6,"Parmi les catégories suivantes, laquelle reflète le mieux le REVENU total avant impôt de tous les membres de votre foyer pour l’année 2020?",6,De 50 000 $ à 59 999 $
Q6,"Parmi les catégories suivantes, laquelle reflète le mieux le REVENU total avant impôt de tous les membres de votre foyer pour l’année 2020?",7,De 60 000 $ à 79 999 $
Q6,"Parmi les catégories suivantes, laquelle reflète le mieux le REVENU total avant impôt de tous les membres de votre foyer pour l’année 2020?",8,De 80 000 $ à 99 999 $
Q6,"Parmi les catégories suivantes, laquelle reflète le mieux le REVENU total avant impôt de tous les membres de votre foyer pour l’année 2020?",9,De 100 000 $ à 119 999 $
Q6,"Parmi les catégories suivantes, laquelle reflète le mieux le REVENU total avant impôt de tous les membres de votre foyer pour l’année 2020?",10,De 120 000 $ à 149 999 $
Q6,"Parmi les catégories suivantes, laquelle reflète le mieux le REVENU total avant impôt de tous les membres de votre foyer pour l’année 2020?",11,150 000 $ et plus
Q7,"Advenant que vous souhaitiez obtenir aujourd’hui un prêt personnel d’une institution financière, que ce soit pour une automobile, une hypothèque ou l’achat d’un équipement, selon vous, quelle serait la probabilité qu’il vous soit accordé sans aucune difficulté?",1,Très probable
Q7,"Advenant que vous souhaitiez obtenir aujourd’hui un prêt personnel d’une institution financière, que ce soit pour une automobile, une hypothèque ou l’achat d’un équipement, selon vous, quelle serait la probabilité qu’il vous soit accordé sans aucune difficulté?",2,Assez probable
Q7,"Advenant que vous souhaitiez obtenir aujourd’hui un prêt personnel d’une institution financière, que ce soit pour une automobile, une hypothèque ou l’achat d’un équipement, selon vous, quelle serait la probabilité qu’il vous soit accordé sans aucune difficulté?",3,Peu probable
Q7,"Advenant que vous souhaitiez obtenir aujourd’hui un prêt personnel d’une institution financière, que ce soit pour une automobile, une hypothèque ou l’achat d’un équipement, selon vous, quelle serait la probabilité qu’il vous soit accordé sans aucune difficulté?",4,Pas du tout probable
Q8r1,"Comment qualifieriez-vous sur une échelle de 1 à 5 votre niveau de compétence personnelle dans les domaines de gestion suivants? Veuillez utiliser une échelle où 1 signifie « aucune compétence, vous avez besoin d’accompagnement et de conseils dans ce domaine» et 5 signifie « une compétence avancée, vous êtes pleinement autonome dans ce domaine ». - Comptabilité",1,1- Aucune comptence
Q8r1,"Comment qualifieriez-vous sur une échelle de 1 à 5 votre niveau de compétence personnelle dans les domaines de gestion suivants? Veuillez utiliser une échelle où 1 signifie « aucune compétence, vous avez besoin d’accompagnement et de conseils dans ce domaine» et 5 signifie « une compétence avancée, vous êtes pleinement autonome dans ce domaine ». - Comptabilité",2,2
Q8r1,"Comment qualifieriez-vous sur une échelle de 1 à 5 votre niveau de compétence personnelle dans les domaines de gestion suivants? Veuillez utiliser une échelle où 1 signifie « aucune compétence, vous avez besoin d’accompagnement et de conseils dans ce domaine» et 5 signifie « une compétence avancée, vous êtes pleinement autonome dans ce domaine ». - Comptabilité",3,3
Q8r1,"Comment qualifieriez-vous sur une échelle de 1 à 5 votre niveau de compétence personnelle dans les domaines de gestion suivants? Veuillez utiliser une échelle où 1 signifie « aucune compétence, vous avez besoin d’accompagnement et de conseils dans ce domaine» et 5 signifie « une compétence avancée, vous êtes pleinement autonome dans ce domaine ». - Comptabilité",4,4
Q8r1,"Comment qualifieriez-vous sur une échelle de 1 à 5 votre niveau de compétence personnelle dans les domaines de gestion suivants? Veuillez utiliser une échelle où 1 signifie « aucune compétence, vous avez besoin d’accompagnement et de conseils dans ce domaine» et 5 signifie « une compétence avancée, vous êtes pleinement autonome dans ce domaine ». - Comptabilité",5,5- Compétence avancée
Q8r2,"Comment qualifieriez-vous sur une échelle de 1 à 5 votre niveau de compétence personnelle dans les domaines de gestion suivants? Veuillez utiliser une échelle où 1 signifie « aucune compétence, vous avez besoin d’accompagnement et de conseils dans ce domaine» et 5 signifie « une compétence avancée, vous êtes pleinement autonome dans ce domaine ». - Marketing",1,1- Aucune comptence
Q8r2,"Comment qualifieriez-vous sur une échelle de 1 à 5 votre niveau de compétence personnelle dans les domaines de gestion suivants? Veuillez utiliser une échelle où 1 signifie « aucune compétence, vous avez besoin d’accompagnement et de conseils dans ce domaine» et 5 signifie « une compétence avancée, vous êtes pleinement autonome dans ce domaine ». - Marketing",2,2
Q8r2,"Comment qualifieriez-vous sur une échelle de 1 à 5 votre niveau de compétence personnelle dans les domaines de gestion suivants? Veuillez utiliser une échelle où 1 signifie « aucune compétence, vous avez besoin d’accompagnement et de conseils dans ce domaine» et 5 signifie « une compétence avancée, vous êtes pleinement autonome dans ce domaine ». - Marketing",3,3
Q8r2,"Comment qualifieriez-vous sur une échelle de 1 à 5 votre niveau de compétence personnelle dans les domaines de gestion suivants? Veuillez utiliser une échelle où 1 signifie « aucune compétence, vous avez besoin d’accompagnement et de conseils dans ce domaine» et 5 signifie « une compétence avancée, vous êtes pleinement autonome dans ce domaine ». - Marketing",4,4
Q8r2,"Comment qualifieriez-vous sur une échelle de 1 à 5 votre niveau de compétence personnelle dans les domaines de gestion suivants? Veuillez utiliser une échelle où 1 signifie « aucune compétence, vous avez besoin d’accompagnement et de conseils dans ce domaine» et 5 signifie « une compétence avancée, vous êtes pleinement autonome dans ce domaine ». - Marketing",5,5- Compétence avancée
Q8r3,"Comment qualifieriez-vous sur une échelle de 1 à 5 votre niveau de compétence personnelle dans les domaines de gestion suivants? Veuillez utiliser une échelle où 1 signifie « aucune compétence, vous avez besoin d’accompagnement et de conseils dans ce domaine» et 5 signifie « une compétence avancée, vous êtes pleinement autonome dans ce domaine ». - Informatique",1,1- Aucune comptence
Q8r3,"Comment qualifieriez-vous sur une échelle de 1 à 5 votre niveau de compétence personnelle dans les domaines de gestion suivants? Veuillez utiliser une échelle où 1 signifie « aucune compétence, vous avez besoin d’accompagnement et de conseils dans ce domaine» et 5 signifie « une compétence avancée, vous êtes pleinement autonome dans ce domaine ». - Informatique",2,2
Q8r3,"Comment qualifieriez-vous sur une échelle de 1 à 5 votre niveau de compétence personnelle dans les domaines de gestion suivants? Veuillez utiliser une échelle où 1 signifie « aucune compétence, vous avez besoin d’accompagnement et de conseils dans ce domaine» et 5 signifie « une compétence avancée, vous êtes pleinement autonome dans ce domaine ». - Informatique",3,3
Q8r3,"Comment qualifieriez-vous sur une échelle de 1 à 5 votre niveau de compétence personnelle dans les domaines de gestion suivants? Veuillez utiliser une échelle où 1 signifie « aucune compétence, vous avez besoin d’accompagnement et de conseils dans ce domaine» et 5 signifie « une compétence avancée, vous êtes pleinement autonome dans ce domaine ». - Informatique",4,4
Q8r3,"Comment qualifieriez-vous sur une échelle de 1 à 5 votre niveau de compétence personnelle dans les domaines de gestion suivants? Veuillez utiliser une échelle où 1 signifie « aucune compétence, vous avez besoin d’accompagnement et de conseils dans ce domaine» et 5 signifie « une compétence avancée, vous êtes pleinement autonome dans ce domaine ». - Informatique",5,5- Compétence avancée
Q8r4,"Comment qualifieriez-vous sur une échelle de 1 à 5 votre niveau de compétence personnelle dans les domaines de gestion suivants? Veuillez utiliser une échelle où 1 signifie « aucune compétence, vous avez besoin d’accompagnement et de conseils dans ce domaine» et 5 signifie « une compétence avancée, vous êtes pleinement autonome dans ce domaine ». - Entrepreneuriat et démarrage d’entreprise",1,1- Aucune comptence
Q8r4,"Comment qualifieriez-vous sur une échelle de 1 à 5 votre niveau de compétence personnelle dans les domaines de gestion suivants? Veuillez utiliser une échelle où 1 signifie « aucune compétence, vous avez besoin d’accompagnement et de conseils dans ce domaine» et 5 signifie « une compétence avancée, vous êtes pleinement autonome dans ce domaine ». - Entrepreneuriat et démarrage d’entreprise",2,2
Q8r4,"Comment qualifieriez-vous sur une échelle de 1 à 5 votre niveau de compétence personnelle dans les domaines de gestion suivants? Veuillez utiliser une échelle où 1 signifie « aucune compétence, vous avez besoin d’accompagnement et de conseils dans ce domaine» et 5 signifie « une compétence avancée, vous êtes pleinement autonome dans ce domaine ». - Entrepreneuriat et démarrage d’entreprise",3,3
Q8r4,"Comment qualifieriez-vous sur une échelle de 1 à 5 votre niveau de compétence personnelle dans les domaines de gestion suivants? Veuillez utiliser une échelle où 1 signifie « aucune compétence, vous avez besoin d’accompagnement et de conseils dans ce domaine» et 5 signifie « une compétence avancée, vous êtes pleinement autonome dans ce domaine ». - Entrepreneuriat et démarrage d’entreprise",4,4
Q8r4,"Comment qualifieriez-vous sur une échelle de 1 à 5 votre niveau de compétence personnelle dans les domaines de gestion suivants? Veuillez utiliser une échelle où 1 signifie « aucune compétence, vous avez besoin d’accompagnement et de conseils dans ce domaine» et 5 signifie « une compétence avancée, vous êtes pleinement autonome dans ce domaine ». - Entrepreneuriat et démarrage d’entreprise",5,5- Compétence avancée
Q9r1,"Êtes-vous en accord ou en désaccord avec les énoncés suivants? - Vous connaissez personnellement des entrepreneurs (propriétaire d’entreprise, travailleur autonome, travailleur indépendant) sur lesquels vous pouvez compter pour avoir des conseils d’affaires.",1,En accord
Q9r1,"Êtes-vous en accord ou en désaccord avec les énoncés suivants? - Vous connaissez personnellement des entrepreneurs (propriétaire d’entreprise, travailleur autonome, travailleur indépendant) sur lesquels vous pouvez compter pour avoir des conseils d’affaires.",2,En désaccord
Q9r2,Êtes-vous en accord ou en désaccord avec les énoncés suivants? - Vous faites partie d’un réseau ou d’une association professionnelle de gens d’affaires.,1,En accord
Q9r2,Êtes-vous en accord ou en désaccord avec les énoncés suivants? - Vous faites partie d’un réseau ou d’une association professionnelle de gens d’affaires.,2,En désaccord
Q9r3,"Êtes-vous en accord ou en désaccord avec les énoncés suivants? - Vous avez un bon réseau de contacts pour vous aider dans le développement des affaires (fournisseurs, clients, distributeurs).",1,En accord
Q9r3,"Êtes-vous en accord ou en désaccord avec les énoncés suivants? - Vous avez un bon réseau de contacts pour vous aider dans le développement des affaires (fournisseurs, clients, distributeurs).",2,En désaccord
Q9r4,Êtes-vous en accord ou en désaccord avec les énoncés suivants? - Vous connaissez les organisations qui offrent des services de soutien aux entrepreneurs sur l’île de Montréal,1,En accord
Q9r4,Êtes-vous en accord ou en désaccord avec les énoncés suivants? - Vous connaissez les organisations qui offrent des services de soutien aux entrepreneurs sur l’île de Montréal,2,En désaccord
Q9r5,Êtes-vous en accord ou en désaccord avec les énoncés suivants? - Vous connaissez les programmes gouvernementaux de soutien aux entrepreneurs montréalais,1,En accord
Q9r5,Êtes-vous en accord ou en désaccord avec les énoncés suivants? - Vous connaissez les programmes gouvernementaux de soutien aux entrepreneurs montréalais,2,En désaccord
Q9r6,Êtes-vous en accord ou en désaccord avec les énoncés suivants? - Mon entourage perçoit positivement l’entrepreneuriat,1,En accord
Q9r6,Êtes-vous en accord ou en désaccord avec les énoncés suivants? - Mon entourage perçoit positivement l’entrepreneuriat,2,En désaccord
Q10,Votre entreprise actuelle ou celle que vous envisagez (ou aviez envisagé) démarrer comptera-t-elle…?,1,Un propriétaire unique (vous)
Q10,Votre entreprise actuelle ou celle que vous envisagez (ou aviez envisagé) démarrer comptera-t-elle…?,2,Plusieurs co-propriétaires
N_BARRIERES,,,Variable calculée qui résume le nombres de barrières d’accès aux service entrepreneuriaux cummulées par le répondant - valeur numérique (0-17)
Q11,"Selon votre statut légal au Canada (du point de vue de la citoyenneté), dans quelle situation vous trouvez-vous?",1,"Citoyen(ne) canadien(ne) par naissance, né(e) de parents canadiens (ou né(e) au Canada des parents légalement établis)."
Q11,"Selon votre statut légal au Canada (du point de vue de la citoyenneté), dans quelle situation vous trouvez-vous?",2,"Citoyen(ne) canadien(ne) naturalisé(e), ayant obtenu un certificat de citoyenneté et étant citoyen(ne) d’un autre pays par la naissance (citoyen canadien de première génération)."
Q11,"Selon votre statut légal au Canada (du point de vue de la citoyenneté), dans quelle situation vous trouvez-vous?",3,"Immigrant reçu(e), avec une carte de résident et en attente d’obtention de la citoyenneté canadienne."
Q11,"Selon votre statut légal au Canada (du point de vue de la citoyenneté), dans quelle situation vous trouvez-vous?",4,"En possession d’un visa temporaire de travail ou d’études, donc pas de citoyenneté canadienne, ni statut d’immigrant reçu"
Q11,"Selon votre statut légal au Canada (du point de vue de la citoyenneté), dans quelle situation vous trouvez-vous?",5,"Autre type d’immigrant (réfugié, etc.)"
Q12r1,Comment décririez-vous vos origines ethniques? - Canadienne,0,Non
Q12r1,Comment décririez-vous vos origines ethniques? - Canadienne,1,Oui
Q12r2,Comment décririez-vous vos origines ethniques? - Africaine,0,Non
Q12r2,Comment décririez-vous vos origines ethniques? - Africaine,1,Oui
Q12r3,Comment décririez-vous vos origines ethniques? - Américaine (États-Unis),0,Non
Q12r3,Comment décririez-vous vos origines ethniques? - Américaine (États-Unis),1,Oui
Q12r4,Comment décririez-vous vos origines ethniques? - Arabe ou moyen-orientale,0,Non
Q12r4,Comment décririez-vous vos origines ethniques? - Arabe ou moyen-orientale,1,Oui
Q12r5,Comment décririez-vous vos origines ethniques? - Anglaise,0,Non
Q12r5,Comment décririez-vous vos origines ethniques? - Anglaise,1,Oui
Q12r6,Comment décririez-vous vos origines ethniques? - Caribéenne ou jamaïcaine,0,Non
Q12r6,Comment décririez-vous vos origines ethniques? - Caribéenne ou jamaïcaine,1,Oui
Q12r7,Comment décririez-vous vos origines ethniques? - Chinoise,0,Non
Q12r7,Comment décririez-vous vos origines ethniques? - Chinoise,1,Oui
Q12r8,Comment décririez-vous vos origines ethniques? - Philippines,0,Non
Q12r8,Comment décririez-vous vos origines ethniques? - Philippines,1,Oui
