NUMEROTATION,TYPE_DE_SOINS,CHAPITRES,NOMBRE_DEPARTS-FEM,NOMBRE_DEPARTS-MASC,NOMBRE_DEPARTS-TOT,SEJ_TOT-FEM,SEJ_TOT-MASC,SEJ_TOT-TOTAL,SEJ_MOY-FEM,SEJ_MOY-MASC,SEJ_MOY-TOT,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION,NOTE_1
17,Soins physiques et psychiatriques de courte durée,Malformations congénitales  déformations et anomalies chromosomiques (Q00-Q99),2279,2877,5157,12220,17005,29226,5.4,5.9,5.7,Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.
18,Soins physiques et psychiatriques de courte durée,Symptômes  signes et résultats anormaux d'examens cliniques et de laboratoire  non classés ailleurs (R00-R99),20204,18582,38786,183960,145151,329111,9.1,7.8,8.5,Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.
19,Soins physiques et psychiatriques de courte durée,Lésions traumatiques  empoisonnements et certaines autres conséquences de causes externes (S00-T98),32169,28346,60515,383461,256957,640418,11.9,9.1,10.6,Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.
20,Soins physiques et psychiatriques de courte durée,Facteurs influant sur l'état de santé et motifs de recours aux services de santé (Z00-Z99),47467,45346,92813,223183,200243,423426,4.7,4.4,4.6,Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.
21,Soins physiques et psychiatriques de courte durée,TOTAL,461469,371786,833258,3405109,3120623,6525783,7.4,8.4,7.8,Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.
22,Soins en chirurgie d'un jour,Certaines maladies infectieuses et parasitaires (A00-B99),242,323,565,242,323,565,1,1,1,Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.
23,Soins en chirurgie d'un jour,Tumeurs (C00-D48),21216,13448,34664,21216,13448,34664,1,1,1,Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.
24,Soins en chirurgie d'un jour,Maladies du sang et des organes hématopoïétiques et certains troubles du système immunitaire (D50-D89),40,33,73,40,33,73,1,1,1,Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.
25,Soins en chirurgie d'un jour,Maladies endocriniennes  nutritionnelles et métaboliques (E00-E90),698,323,1021,698,323,1021,1,1,1,Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.
26,Soins en chirurgie d'un jour,Troubles mentaux et du comportement (F00-F99),546,216,762,546,216,762,1,1,1,Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.
27,Soins en chirurgie d'un jour,Maladies du système nerveux (G00-G99),5078,4177,9255,5078,4177,9255,1,1,1,Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.
28,Soins en chirurgie d'un jour,Maladies de l'oeil et de ses annexes (H00-H59),66307,52451,118758,66307,52451,118758,1,1,1,Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.
29,Soins en chirurgie d'un jour,Maladies de l'oreille et de l'apophyse mastoïde (H60-H95),5280,7293,12573,5280,7293,12573,1,1,1,Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.
30,Soins en chirurgie d'un jour,Maladies de l'appareil circulatoire (I00-I99),1270,1505,2775,1270,1505,2775,1,1,1,Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.
31,Soins en chirurgie d'un jour,Maladies de l'appareil respiratoire (J00-J99),5687,6707,12394,5687,6707,12394,1,1,1,Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.
32,Soins en chirurgie d'un jour,Maladies de l'appareil digestif (K00-K93),17117,28060,45177,17117,28060,45177,1,1,1,Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.
33,Soins en chirurgie d'un jour,Maladies de la peau et du tissu cellulaire sous-cutané (L00-L99),2574,3054,5628,2574,3054,5628,1,1,1,Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.
34,Soins en chirurgie d'un jour,Maladies du système ostéo-articulaire  des muscles et du tissu conjonctif (M00-M99),14380,16007,30387,14380,16007,30387,1,1,1,Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.
35,Soins en chirurgie d'un jour,Maladies de l'appareil génito-urinaire (N00-N99),21864,11942,33806,21864,11942,33806,1,1,1,Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.
36,Soins en chirurgie d'un jour,Grossesse  accouchement et puerpéralité (O00-O99),3962,0,3962,3962,0,3962,1,0,1,Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.
37,Soins en chirurgie d'un jour,Certaines affections dont l'origine se situe dans la période périnatale (P00-P96),4,13,17,4,13,17,1,1,1,Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.
38,Soins en chirurgie d'un jour,Malformations congénitales  déformations et anomalies chromosomiques (Q00-Q99),1476,2276,3752,1476,2276,3752,1,1,1,Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.
39,Soins en chirurgie d'un jour,Symptômes  signes et résultats anormaux d'examens cliniques et de laboratoire  non classés ailleurs (R00-R99),953,877,1830,953,877,1830,1,1,1,Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.
40,Soins en chirurgie d'un jour,Lésions traumatiques  empoisonnements et certaines autres conséquences de causes externes (S00-T98),10031,13547,23578,10031,13547,23578,1,1,1,Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.
41,Soins en chirurgie d'un jour,Facteurs influant sur l'état de santé et motifs de recours aux services de santé (Z00-Z99),18648,14059,32707,18648,14059,32707,1,1,1,Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.
42,Soins en chirurgie d'un jour,TOTAL,197373,176311,373684,197373,176311,373684,1,1,1,Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.
43,Soins post-mortem,Facteurs influant sur l'état de santé et motifs de recours aux services de santé (Z00-Z99),53,49,102,102,92,194,1.9,1.9,1.9,Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.
44,Soins post-mortem,TOTAL,53,49,102,102,92,194,1.9,1.9,1.9,Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».,Entre 2018/04/01 et 2019/03/31, 2019-09-05,Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.
