NUMEROTATION,TYPE_SOINS,CHAPITRES,NOMBRE_DEPARTS-FEM,NOMBRE_DEPARTS-MASC,NOMBRE_DEPARTS-TOT,SEJ_TOT-FEM,SEJ_TOT-MASC,SEJ_TOT-TOTAL,SEJ_MOY-FEM,SEJ_MOY-MASC,SEJ_MOY-TOT,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION,NOTE_1
11,Soins physiques et psychiatriques de courte durée,Maladies de l'appareil digestif (K00-K93),32788,31720,64508,210265,194218,404483,6.4,6.1,6.3,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
12,Soins physiques et psychiatriques de courte durée,Maladies de la peau et du tissu cellulaire sous-cutané (L00-L99),3692,4098,7790,33968,34057,68025,9.2,8.3,8.7,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
13,Soins physiques et psychiatriques de courte durée,Maladies du système ostéo-articulaire  des muscles et du tissu conjonctif (M00-M99),22270,17657,39927,213594,144259,357853,9.6,8.2,9.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
14,Soins physiques et psychiatriques de courte durée,Maladies de l'appareil génito-urinaire (N00-N99),20365,14836,35201,98984,79829,178813,4.9,5.4,5.1,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
15,Soins physiques et psychiatriques de courte durée,Grossesse  accouchement et puerpéralité (O00-O99),94558,0,94558,242956,0,242956,2.6,0.0,2.6,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
16,Soins physiques et psychiatriques de courte durée,Certaines affections dont l'origine se situe dans la période périnatale (P00- P96),11160,13178,24339,60165,69581,129747,5.4,5.3,5.3,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
17,Soins physiques et psychiatriques de courte durée,Malformations congénitales  déformations et anomalies chromosomiques (Q00-Q99),2311,2925,5236,14320,17557,31877,6.2,6.0,6.1,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
18,Soins physiques et psychiatriques de courte durée,Symptômes  signes et résultats anormaux d'examens cliniques et de laboratoire  non classés ailleurs (R00-R99),19069,16989,36058,214184,161093,375277,11.2,9.5,10.4,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
19,Soins physiques et psychiatriques de courte durée,Lésions traumatiques  empoisonnements et certaines autres conséquences de causes externes (S00-T98),29086,27014,56100,372166,249304,621470,12.8,9.2,11.1,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
20,Soins physiques et psychiatriques de courte durée,Facteurs influant sur l'état de santé et motifs de recours aux services de santé (Z00-Z99),49550,45642,95192,233779,203875,437654,4.7,4.5,4.6,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
21,Soins physiques et psychiatriques de courte durée,TOTAL : Soins physiques et psychiatriques de courte durée,442700,341895,784596,3547629,3143834,6691464,8.0,9.2,8.5,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
22,Soins en chirurgie d'un jour ,Certaines maladies infectieuses et parasitaires (A00-B99),360,368,728,360,368,728,1.0,1.0,1.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
23,Soins en chirurgie d'un jour ,Tumeurs (C00-D48),23061,15534,38595,23061,15534,38595,1.0,1.0,1.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
24,Soins en chirurgie d'un jour ,Maladies du sang et des organes hématopoïétiques et certains troubles du système immunitaire (D50-D89),82,78,160,82,78,160,1.0,1.0,1.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
25,Soins en chirurgie d'un jour ,Maladies endocriniennes  nutritionnelles et métaboliques (E00-E90),703,380,1083,703,380,1083,1.0,1.0,1.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
26,Soins en chirurgie d'un jour ,Troubles mentaux et du comportement (F00-F99),298,176,474,298,176,474,1.0,1.0,1.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
27,Soins en chirurgie d'un jour ,Maladies du système nerveux (G00-G99),6834,4860,11694,6834,4860,11694,1.0,1.0,1.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
28,Soins en chirurgie d'un jour ,Maladies de l'oeil et de ses annexes (H00-H59),68409,51648,120057,68409,51648,120057,1.0,1.0,1.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
29,Soins en chirurgie d'un jour ,Maladies de l'oreille et de l'apophyse mastoïde (H60-H95),5344,7407,12751,5344,7407,12751,1.0,1.0,1.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
30,Soins en chirurgie d'un jour ,Maladies de l'appareil circulatoire (I00-I99),1687,1469,3156,1687,1469,3156,1.0,1.0,1.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
31,Soins en chirurgie d'un jour ,Maladies de l'appareil respiratoire (J00-J99),7306,8648,15954,7306,8648,15954,1.0,1.0,1.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
32,Soins en chirurgie d'un jour ,Maladies de l'appareil digestif (K00-K93),18001,28604,46605,18001,28604,46605,1.0,1.0,1.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
33,Soins en chirurgie d'un jour ,Maladies de la peau et du tissu cellulaire sous-cutané (L00-L99),4089,4494,8583,4089,4494,8583,1.0,1.0,1.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
34,Soins en chirurgie d'un jour ,Maladies du système ostéo-articulaire  des muscles et du tissu conjonctif (M00-M99),15472,17583,33055,15472,17583,33055,1.0,1.0,1.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
35,Soins en chirurgie d'un jour ,Maladies de l'appareil génito-urinaire (N00-N99),22592,11066,33658,22592,11066,33658,1.0,1.0,1.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
36,Soins en chirurgie d'un jour ,Grossesse  accouchement et puerpéralité (O00-O99),3724,0,3724,3724,0,3724,1.0,0.0,1.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
37,Soins en chirurgie d'un jour ,Certaines affections dont l'origine se situe dans la période périnatale (P00- P96),1,21,22,1,21,22,1.0,1.0,1.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
38,Soins en chirurgie d'un jour ,Malformations congénitales  déformations et anomalies chromosomiques (Q00-Q99),1781,2375,4156,1781,2375,4156,1.0,1.0,1.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
39,Soins en chirurgie d'un jour ,Symptômes  signes et résultats anormaux d'examens cliniques et de laboratoire  non classés ailleurs (R00-R99),1026,786,1812,1026,786,1812,1.0,1.0,1.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
40,Soins en chirurgie d'un jour ,Lésions traumatiques  empoisonnements et certaines autres conséquences de causes externes (S00-T98),7896,11580,19476,7896,11580,19476,1.0,1.0,1.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
41,Soins en chirurgie d'un jour ,Facteurs influant sur l'état de santé et motifs de recours aux services de santé (Z00-Z99),18344,14028,32372,18344,14028,32372,1.0,1.0,1.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
42,Soins en chirurgie d'un jour ,TOTAL : Soins en chirurgie d'un jour ,207010,181105,388115,207010,181105,388115,1.0,1.0,1.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
43,Soins post-mortem,Facteurs influant sur l'état de santé et motifs de recours aux services de santé (Z00-Z99),44,59,103,59,83,142,1.3,1.4,1.4,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
44,Soins post-mortem,TOTAL : Soins post-mortem,44,59,103,59,83,142,1.3,1.4,1.4,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
