NUMEROTATION,TYPE_DE_SOINS,CHAPITRES,NOMBRE_DEPARTS-FEM,NOMBRE_DEPARTS-MASC,NOMBRE_DEPARTS-TOT,SEJ_TOT-FEM,SEJ_TOT-MASC,SEJ_TOT-TOTAL,SEJ_MOY-FEM,SEJ_MOY-MASC,SEJ_MOY-TOT,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION,NOTE_1
15,"Soins physiques et psychiatriques de courte durée","Grossesse, accouchement et puerpéralité (O00-O99)",84144,0,84144,187015,0,187015,2.2,0.0,2.2,"Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
16,"Soins physiques et psychiatriques de courte durée","Certaines affections dont l'origine se situe dans la période périnatale (P00-P96)",13762,15906,29669,60529,76226,136756,4.4,4.8,4.6,"Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
17,"Soins physiques et psychiatriques de courte durée","Malformations congénitales, déformations et anomalies chromosomiques (Q00-Q99)",2262,3037,5300,12748,16706,29459,5.6,5.5,5.6,"Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
18,"Soins physiques et psychiatriques de courte durée","Symptômes, signes et résultats anormaux d'examens cliniques et de laboratoire, non classés ailleurs (R00-R99)",16536,16068,32604,173458,142224,315682,10.5,8.9,9.7,"Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
19,"Soins physiques et psychiatriques de courte durée","Lésions traumatiques, empoisonnements et certaines autres conséquences de causes externes (S00-T98)",29009,25880,54889,361814,261726,623540,12.5,10.1,11.4,"Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
20,"Soins physiques et psychiatriques de courte durée","Facteurs influant sur l'état de santé et motifs de recours aux services de santé (Z00-Z99)",42525,40803,83328,192484,175595,368079,4.5,4.3,4.4,"Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
21,"Soins physiques et psychiatriques de courte durée","Codes provisoires pour la recherche et les affectations temporaires (U00-U99)",7038,7795,14833,72010,82020,154030,10.2,10.5,10.4,"Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
22,"Soins physiques et psychiatriques de courte durée","TOTAL",414141,339968,754112,3098234,3004046,6102304,7.5,8.8,8.1,"Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
23,"Soins en chirurgie d'un jour","Certaines maladies infectieuses et parasitaires (A00-B99)",217,227,444,217,227,444,1.0,1.0,1.0,"Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
24,"Soins en chirurgie d'un jour","Tumeurs (C00-D48)",22992,13968,36960,22992,13968,36960,1.0,1.0,1.0,"Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
25,"Soins en chirurgie d'un jour","Maladies du sang et des organes hématopoïétiques et certains troubles du système immunitaire (D50-D89)",61,44,105,61,44,105,1.0,1.0,1.0,"Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
26,"Soins en chirurgie d'un jour","Maladies endocriniennes, nutritionnelles et métaboliques (E00-E90)",1410,476,1886,1410,476,1886,1.0,1.0,1.0,"Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
27,"Soins en chirurgie d'un jour","Troubles mentaux et du comportement (F00-F99)",447,255,702,447,255,702,1.0,1.0,1.0,"Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
28,"Soins en chirurgie d'un jour","Maladies du système nerveux (G00-G99)",3382,3118,6500,3382,3118,6500,1.0,1.0,1.0,"Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
29,"Soins en chirurgie d'un jour","Maladies de l'oeil et de ses annexes (H00-H59)",59713,47104,106817,59713,47104,106817,1.0,1.0,1.0,"Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
30,"Soins en chirurgie d'un jour","Maladies de l'oreille et de l'apophyse mastoïde (H60-H95)",5168,7287,12455,5168,7287,12455,1.0,1.0,1.0,"Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
31,"Soins en chirurgie d'un jour","Maladies de l'appareil circulatoire (I00-I99)",1248,1722,2970,1248,1722,2970,1.0,1.0,1.0,"Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
32,"Soins en chirurgie d'un jour","Maladies de l'appareil respiratoire (J00-J99)",4784,5736,10520,4784,5736,10520,1.0,1.0,1.0,"Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
33,"Soins en chirurgie d'un jour","Maladies de l'appareil digestif (K00-K93)",16862,27462,44324,16862,27462,44324,1.0,1.0,1.0,"Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
34,"Soins en chirurgie d'un jour","Maladies de la peau et du tissu cellulaire sous-cutané (L00-L99)",1945,2393,4338,1945,2393,4338,1.0,1.0,1.0,"Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
35,"Soins en chirurgie d'un jour","Maladies du système ostéo-articulaire, des muscles et du tissu conjonctif (M00-M99)",14282,16514,30796,14282,16514,30796,1.0,1.0,1.0,"Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
36,"Soins en chirurgie d'un jour","Maladies de l'appareil génito-urinaire (N00-N99)",19057,12990,32047,19057,12990,32047,1.0,1.0,1.0,"Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
37,"Soins en chirurgie d'un jour","Grossesse, accouchement et puerpéralité (O00-O99)",3191,0,3191,3191,0,3191,1.0,0.0,1.0,"Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
38,"Soins en chirurgie d'un jour","Certaines affections dont l'origine se situe dans la période périnatale (P00-P96)",4,18,22,4,18,22,1.0,1.0,1.0,"Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
39,"Soins en chirurgie d'un jour","Malformations congénitales, déformations et anomalies chromosomiques (Q00-Q99)",1246,2156,3402,1246,2156,3402,1.0,1.0,1.0,"Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
40,"Soins en chirurgie d'un jour","Symptômes, signes et résultats anormaux d'examens cliniques et de laboratoire, non classés ailleurs (R00-R99)",736,768,1504,736,768,1504,1.0,1.0,1.0,"Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
41,"Soins en chirurgie d'un jour","Lésions traumatiques, empoisonnements et certaines autres conséquences de causes externes (S00-T98)",10983,13707,24690,10983,13707,24690,1.0,1.0,1.0,"Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
42,"Soins en chirurgie d'un jour","Facteurs influant sur l'état de santé et motifs de recours aux services de santé (Z00-Z99)",17453,13844,31297,17453,13844,31297,1.0,1.0,1.0,"Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
43,"Soins en chirurgie d'un jour","TOTAL",185181,169789,354970,185181,169789,354970,1.0,1.0,1.0,"Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
44,"Soins post-mortem","Facteurs influant sur l'état de santé et motifs de recours aux services de santé (Z00-Z99)",45,70,115,105,207,312,2.3,3.0,2.7,"Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
45,"Soins post-mortem","TOTAL",45,70,115,105,207,312,2.3,3.0,2.7,"Titre du rapport « S06-Sommaire des départs par sexe selon le chapitre du diagnostic principal ».","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
