NUMEROTATION,TYPE_SOINS,CHAPITRES,NOMBRE_DEPARTS-FEM,NOMBRE_DEPARTS-MASC,NOMBRE_DEPARTS-TOT,SEJ_TOT-FEM,SEJ_TOT-MASC,SEJ_TOT-TOTAL,SEJ_MOY-FEM,SEJ_MOY-MASC,SEJ_MOY-TOT,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION,NOTE_1
11,Soins physiques et psychiatriques de courte durée,Maladies de l'appareil digestif (K00-K93),31904,30637,62541,209051,187995,397046,6.6,6.1,6.3,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
12,Soins physiques et psychiatriques de courte durée,Maladies de la peau et du tissu cellulaire sous-cutané (L00-L99),3650,4176,7826,36251,39337,75588,9.9,9.4,9.7,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
13,Soins physiques et psychiatriques de courte durée,Maladies du système ostéo-articulaire  des muscles et du tissu conjonctif (M00-M99),20711,17002,37713,206411,147282,353693,10.0,8.7,9.4,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
14,Soins physiques et psychiatriques de courte durée,Maladies de l'appareil génito-urinaire (N00-N99),20066,14179,34245,98604,79965,178569,4.9,5.6,5.2,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
15,Soins physiques et psychiatriques de courte durée,Grossesse  accouchement et puerpéralité (O00-O99),94405,0,94405,247471,0,247471,2.6,0.0,2.6,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
16,Soins physiques et psychiatriques de courte durée,Certaines affections dont l'origine se situe dans la période périnatale (P00- P96),10248,12437,22688,55989,68925,124917,5.5,5.5,5.5,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
17,Soins physiques et psychiatriques de courte durée,Malformations congénitales  déformations et anomalies chromosomiques (Q00-Q99),2234,2740,4974,13432,16631,30063,6.0,6.1,6.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
18,Soins physiques et psychiatriques de courte durée,Symptômes  signes et résultats anormaux d'examens cliniques et de laboratoire  non classés ailleurs (R00-R99),19043,16084,35127,218552,159895,378447,11.5,9.9,10.8,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
19,Soins physiques et psychiatriques de courte durée,Lésions traumatiques  empoisonnements et certaines autres conséquences de causes externes (S00-T98),28004,26208,54212,370458,244925,615383,13.2,9.3,11.4,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
20,Soins physiques et psychiatriques de courte durée,Facteurs influant sur l'état de santé et motifs de recours aux services de santé (Z00-Z99),50065,47575,97640,235314,214360,449674,4.7,4.5,4.6,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
21,Soins physiques et psychiatriques de courte durée,TOTAL : Soins physiques et psychiatriques de courte durée,435651,335678,771332,3552562,3095946,6648511,8.2,9.2,8.6,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
22,Soins en chirurgie d'un jour,Certaines maladies infectieuses et parasitaires (A00-B99),346,446,792,346,446,792,1.0,1.0,1.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
23,Soins en chirurgie d'un jour,Tumeurs (C00-D48),22175,14828,37003,22175,14828,37003,1.0,1.0,1.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
24,Soins en chirurgie d'un jour,Maladies du sang et des organes hématopoïétiques et certains troubles du système immunitaire (D50-D89),86,80,166,86,80,166,1.0,1.0,1.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
25,Soins en chirurgie d'un jour,Maladies endocriniennes  nutritionnelles et métaboliques (E00-E90),729,287,1016,729,287,1016,1.0,1.0,1.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
26,Soins en chirurgie d'un jour,Troubles mentaux et du comportement (F00-F99),483,283,766,483,283,766,1.0,1.0,1.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
27,Soins en chirurgie d'un jour,Maladies du système nerveux (G00-G99),6634,4486,11120,6634,4486,11120,1.0,1.0,1.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
28,Soins en chirurgie d'un jour,Maladies de l'oeil et de ses annexes (H00-H59),64413,47005,111418,64413,47005,111418,1.0,1.0,1.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
29,Soins en chirurgie d'un jour,Maladies de l'oreille et de l'apophyse mastoïde (H60-H95),5180,6930,12110,5180,6930,12110,1.0,1.0,1.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
30,Soins en chirurgie d'un jour,Maladies de l'appareil circulatoire (I00-I99),2529,3641,6170,2529,3641,6170,1.0,1.0,1.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
31,Soins en chirurgie d'un jour,Maladies de l'appareil respiratoire (J00-J99),7616,8861,16477,7616,8861,16477,1.0,1.0,1.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
32,Soins en chirurgie d'un jour,Maladies de l'appareil digestif (K00-K93),17160,26883,44043,17160,26883,44043,1.0,1.0,1.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
33,Soins en chirurgie d'un jour,Maladies de la peau et du tissu cellulaire sous-cutané (L00-L99),4177,4510,8687,4177,4510,8687,1.0,1.0,1.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
34,Soins en chirurgie d'un jour,Maladies du système ostéo-articulaire  des muscles et du tissu conjonctif (M00-M99),15369,17238,32607,15369,17238,32607,1.0,1.0,1.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
35,Soins en chirurgie d'un jour,Maladies de l'appareil génito-urinaire (N00-N99),21427,10094,31521,21427,10094,31521,1.0,1.0,1.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
36,Soins en chirurgie d'un jour,Grossesse  accouchement et puerpéralité (O00-O99),3751,0,3751,3751,0,3751,1.0,0.0,1.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
37,Soins en chirurgie d'un jour,Certaines affections dont l'origine se situe dans la période périnatale (P00- P96),1,18,19,1,18,19,1.0,1.0,1.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
38,Soins en chirurgie d'un jour,Malformations congénitales  déformations et anomalies chromosomiques (Q00-Q99),1653,2204,3857,1653,2204,3857,1.0,1.0,1.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
39,Soins en chirurgie d'un jour,Symptômes  signes et résultats anormaux d'examens cliniques et de laboratoire  non classés ailleurs (R00-R99),1196,938,2134,1196,938,2134,1.0,1.0,1.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
40,Soins en chirurgie d'un jour,Lésions traumatiques  empoisonnements et certaines autres conséquences de causes externes (S00-T98),7334,11033,18367,7334,11033,18367,1.0,1.0,1.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
41,Soins en chirurgie d'un jour,Facteurs influant sur l'état de santé et motifs de recours aux services de santé (Z00-Z99),17288,13767,31055,17288,13767,31055,1.0,1.0,1.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
42,Soins en chirurgie d'un jour,TOTAL : Soins en chirurgie d'un jour,199547,173532,373079,199547,173532,373079,1.0,1.0,1.0,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
43,Soins post-mortem,Facteurs influant sur l'état de santé et motifs de recours aux services de santé (Z00-Z99),42,57,99,53,70,123,1.3,1.2,1.2,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
44,Soins post-mortem,TOTAL : Soins post-mortem,42,57,99,53,70,123,1.3,1.2,1.2,S06-SOMMAIRE DES DÉPARTS PAR SEXE  SELON LE CHAPITRE DU DIAGNOSTIC PRINCIPAL,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT"
