"Appellation","Prénom","Nom","Fonction élective","Fonctions additionnelles","Arrondissement / Ville liée","District ","Bureau","Téléphone","Courriel officiel"
"Madame","Anne","St-Laurent","Mairesse","Membre de la Commission sur la culture, le patrimoine et les sports
Membre de la Commission sur le développement économique et urbain et l'habitation
Membre de la Commission sur le développement social et la diversité montréalaise","Ville de Montréal-Est",,"Ville de Montréal-Est 
11370, rue Notre-Dame Est 
Montréal-Est (Québec) H1B 2W6","Tél. : 514-905-2005 
Fax : 514-645-7485","anne.st-laurent@montreal-est.ca"
"Monsieur","Benny","Masella","Maire",,"Ville de Montréal-Ouest",,"Ville de Montréal-Ouest 
50, avenue Westminster Sud 
Montréal-Ouest (Québec) H4X 1Y7","Tél. : 514-481-8125 
Fax : 514-487-4554","bmasella@montreal-west.ca
beny@lmpharmacy.ca"
"Monsieur","Peter J.","Malouf","Maire","Membre de la Commission sur le Schéma d'aménagement et de développement de Montréal
Vice-président de la Commission sur la culture, le patrimoine et les sports
Vice-président de la Commission sur le développement économique et urbain et l'habitation
Vice-président de la Commission sur le développement social et la diversité montéalaise","Ville de Mont-Royal",,"Ville de Mont-Royal
90, avenue Roosevelt
Mont-Royal (Québec) H3R 1Z5","Tél. : 514-734-2914 
Fax : 514-734-3072","peter.malouf@ville.mont-royal.qc.ca"
"Monsieur","Tim","Thomas","Maire","Membre de la Commission sur l'eau, l'environnement, le développement durable et les grands parcs","Ville de Pointe-Claire",,"Ville de Pointe-Claire 
451, boulevard Saint-Jean 
Pointe-Claire (Québec) H9R 3J3","Tél. : 514-630-1207 
Fax : 514-630-1272","tim.thomas@pointe-claire.ca"
"Madame","Paola","Hawa","Mairesse","Vice-présidente de la Commission sur le Schéma d'aménagement et de développement de Montréal
Vice-présidente de la Commission sur l'examen des contrats
Membre de la Commission sur l'inspecteur général","Ville de Sainte-Anne-de-Bellevue",,"Ville de Sainte-Anne-de-Bellevue 
109, rue Sainte-Anne 
Sainte-Anne-de-Bellevue (Québec) H9X 1M2","Tél. : 514-457-7618 
Fax : 514-457-6087","phawa@sadb.qc.ca"
"Madame","Julie","Brisebois","Mairesse","Vice-présidente d'assemblée et membre du conseil d'agglomération
Membre du comité d'audit (comité de vérification de l'agglomération)
Membre de la Commission sur l'examen des contrats","Ville de Senneville",,"Ville de Senneville
35, chemin de Senneville
Senneville (Québec) H9X 1B8","Tél. : 514-457-6020 
Fax : 514-457-0447","jbrisebois@villagesenneville.qc.ca"
"Madame","Christina M.","Smith","Mairesse","Vice-présidente de la Commission de la sécurité publique","Ville de Westmount",,"Ville de Westmount 
4333, rue Sherbrooke Ouest 
Westmount (Québec) H3Z 1E2","Tél. : 514-989-5240 
Fax : 514-989-5481","csmith@westmount.org "
"Madame","Nancy","Blanchet","Maire(sse) d'arrondissement","Leader de Équipe LaSalle Team
Présidente d'assemblée et membre du conseil d'agglomération
Membre de la Commission sur le développement social et la diversité montréalaise","LaSalle",,"Arrondissement de LaSalle 
55, avenue Dupras 
LaSalle (Québec) H8R 4A8","Tél. : 514-367-6206
Fax : 514-367-6600 ","nancy.blanchet@montreal.ca"
"Monsieur","Alex","Norris","Conseiller(ère) de la Ville","Leader de la majorité 
Porte-parole d'assemblée et membre du conseil d'agglomération 
Membre de la Commission permanente de la présidence du conseil","Le Plateau-Mont-Royal","Jeanne-Mance","Arrondissement du Plateau Mont-Royal 
201, avenue Laurier Est, 5e étage 
Montréal (Québec) H2T 3E6","Tél. : 514-872-8023
514-868-5191
Fax : 514-868-4077","alex.norris@montreal.ca"
"Monsieur","Robert","Beaudry","Conseiller(ère) de la Ville","Membre du comité exécutif
Membre du conseil d'agglomération","Ville-Marie","Saint-Jacques","Arrondissement de Ville-Marie
800, boulevard De Maisonneuve Est, 17e étage
Montréal (Québec) H2L 2L8","Tél. : 514-868-5298
Fax : 514-872-8347","robert.beaudry@montreal.ca"
"Monsieur","Dimitrios (Jim)","Beis","Maire(sse) d'arrondissement","Membre du conseil d'agglomération 
Membre de la Commission sur la culture, le patrimoine et les sports 
Membre de la Commission sur le schéma d'aménagement et de dévelopement de Montréal","Pierrefonds-Roxboro",,"Arrondissement de Pierrefonds-Roxboro
13665, boulevard de Pierrefonds
Pierrefonds (Québec) H9A 2Z4","Tél. : 514-624-1400
Fax : 514-624-1415","dimitrios.beis@montreal.ca"
"Monsieur","Benoit","Dorais","Maire(sse) d'arrondissement","Vice-président du comité exécutif
Membre du conseil d'agglomération
Membre du comité d'audit (comité de vérification de l'agglomération)","Le Sud-Ouest","Sault-Saint-Louis","Arrondissement du Sud-Ouest
815, rue Bel-Air
Montréal (Québec) H4C 2K4","Tél. : 514-872-6814
Fax : 514-872-3705","benoit.dorais@montreal.ca"
"Monsieur","Sterling","Downey","Conseiller(ère) de la Ville","Membre du conseil d'agglomération 
Vice-président de la Commission permanente de la présidence du conseil 
Membre de la Commission sur le développement social et la diversité montréalaise","Verdun","Desmarchais-Crawford","Arrondissement de Verdun 
4555, rue de Verdun 
Verdun (Québec) H4G 1M4","Tél. : 514-765-7010
Fax : 514-765-7013","sterling.downey@montreal.ca"
"Monsieur","Pierre","Lessard-Blais","Maire(sse) d'arrondissement","Membre du conseil d'agglomération 
Président de la Commission sur les finances et l'administration 
Membre de la Commission sur le schéma d'aménagement et de dévelopement de Montréal","Mercier–Hochelaga-Maisonneuve",,"Arrondissement de Mercier–
Hochelaga-Maisonneuve
6854, rue Sherborooke Est
Montréal (Québec) H1N 1E1","Tél. : 514-872-8759
Fax : 514-868-4551","pierre.lessard-blais@montreal.ca"
"Madame","Sophie","Mauzerolle","Conseiller(ère) de la Ville","Membre du comité exécutif
Membre du conseil d'agglomération","Ville-Marie","Sainte-Marie","Arrondissement de Ville-Marie
800, boulevard De Maisonneuve Est, 17e étage
Montréal (Québec) H2L 2L8","Tél. : 514-868-5167
Fax : 514-872-8347","sophie.mauzerolle@montreal.ca"
"Madame","Dominique ","Ollivier","Conseiller(ère) de la Ville","Présidente du comité exécutif
Membre du conseil d'agglomération","Rosemont–La Petite-Patrie","Vieux-Rosemont","Arrondissement de Rosemont–La Petite-Patrie 
5650, rue D'Iberville, 2e étage 
Montréal (Québec) H2G 2B3","Tél. : 514-872-8234
Fax : 514-868-3932","dominique.ollivier@montreal.ca"
"Monsieur","Jocelyn","Pauzé","Conseiller(ère) de la Ville","Membre du conseil d'agglomération 
Président de la Commission sur la culture, le patrimoine et les sports 
Membre de la Commission sur le schéma d'aménagement et de dévelopement de Montréal","Rosemont–La Petite-Patrie","Marie-Victorin","Arrondissement de Rosemont–La Petite-Patrie 
5650, rue D'Iberville, 2e étage 
Montréal (Québec) H2G 2B3","Tél. : 514-868-3933
Fax : 514-868-3932","jocelyn.pauze@montreal.ca"
"Madame","Marie","Plourde","Conseiller(ère) de la Ville","Membre du conseil d'agglomération 
Mairesse suppléante 
Présidente de la Commission sur le schéma d'aménagement et de dévelopement de Montréal","Le Plateau-Mont-Royal","Mile-End","Arrondissement du Plateau Mont-Royal 
201, avenue Laurier Est, 5e étage 
Montréal (Québec) H2T 3E6","Tél. : 514-872-8023
Fax : 514-868-4077","marie.plourde@montreal.ca"
"Madame","Magda","Popeanu","Conseiller(ère) de la Ville","Membre du comité exécutif 
Membre du conseil d'agglomération 
Membre de la Commission sur le schéma d'aménagement et de dévelopement de Montréal","Côte-des-Neiges–Notre-Dame-de-Grâce","Côte-des-Neiges","Arrondissement de Côte-des-Neiges–
Notre-Dame-de-Grâce
5160, boulevard Décarie
bureau 710, 7e étage
Montréal (Québec) H3X 2H9","Tél. : 514-855-2273
Fax : 514-868-3327","magda.popeanu@montreal.ca"
"Madame","Émilie","Thuillier","Maire(sse) d'arrondissement","Membre du comité exécutif
Membre du conseil d'agglomération","Ahuntsic-Cartierville",,"Arrondissement d'Ahuntsic-Cartierville
555, rue Chabanel Ouest, 6e étage
Montréal (Québec) H2N 2H8 ","Tél. : 514-868-5241
Fax : 514-868-3324
Cell. : 514-209-5714","emilie.thuilier@montreal.ca"
"Monsieur","Alain","Vaillancourt","Conseiller(ère) de la Ville","Membre du comité exécutif
Membre du conseil d'agglomération","Le Sud-Ouest","Saint-Paul–Émard– 
Saint-Henri-Ouest","Arrondissement du Sud-Ouest
815, rue Bel-Air
Montréal (Québec) H4C 2K4","Tél. : 514-872-6814
Fax : 514-872-3705","alain.vaillancourt@montreal.ca"
"Madame","Maja","Vodanovic","Maire(sse) d'arrondissement","Membre du comité exécutif
Membre du conseil d'agglomération","Lachine",,"Arrondissement de Lachine
1800, boulevard Saint-Joseph
Lachine (Québec) H8S 2N4","Tél. : 514-634-3471 
poste 501
Fax : 514-780-7700","maja.vodanovic@montreal.ca"
