ï»¿NUMEROZONE,AFFECTATION,USAGE,MISEAJOUR,LONGITUDE,LATITUDE
H1-380,Habitation,Habitation unifamiliale,2015-06-03,-73.4308905309922,45.77697788819446
H1-111,Habitation,Habitation unifamiliale,2015-06-03,-73.47403831561459,45.74847830288042
C2-069,Commerciale,ArtÃ©riel lÃ©ger,2015-06-03,-73.46814183750031,45.73302261703496
C6-146,Commerciale,Station-service,2015-06-03,-73.45441938765492,45.74453143620578
H1-085,Habitation,Habitation unifamiliale,2015-06-03,-73.46995400053825,45.740752464815934
H1-246,Habitation,Habitation unifamiliale,2015-06-03,-73.47634312861153,45.76913850802098
P2-101,Communautaire,Communautaire,2015-06-03,-73.47740838764,45.74662083865049
C3-168,Commerciale,Commerce rÃ©gional,2015-06-03,-73.48131716843938,45.75816288119703
H1-235,Habitation,Habitation unifamiliale,2015-06-03,-73.47852045028417,45.766748663116026
C6-443,Commerciale,Station-service,2015-06-03,-73.41287664021408,45.79246870142544
H3-256,Habitation,Habitation multifamiliale,2015-06-03,-73.44243035524465,45.75450677590303
H2-322,Habitation,Habitation bifamiliale et trifamiliale,2015-06-03,-73.45954940851018,45.77408121931584
H3-082,Habitation,Habitation multifamiliale,2015-06-03,-73.45522916975958,45.732976892882846
H2-178,Habitation,Habitation bifamiliale et trifamiliale,2015-06-03,-73.46670477728387,45.75407783191464
H1-175,Habitation,Habitation unifamiliale,2015-06-03,-73.45171445412792,45.74621474599382
H2-269,Habitation,Habitation bifamiliale et trifamiliale,2015-06-03,-73.47450489814743,45.77129824787429
H1-219,Habitation,Habitation unifamiliale,2015-06-03,-73.48013061487414,45.76460478391034
H3-231,Habitation,Habitation multifamiliale,2015-06-03,-73.47635494786714,45.765502201171394
H1-264,Habitation,Habitation unifamiliale,2015-06-03,-73.47439752937719,45.76986577991341
H4-143,Habitation,Habitation collective,2015-06-03,-73.46933995638223,45.75091246993441
C2-213,Commerciale,ArtÃ©riel lÃ©ger,2015-06-03,-73.46248556522433,45.75707460721979
H1-318,Habitation,Habitation unifamiliale,2015-06-03,-73.45582214797486,45.772161532907205
C2-104,Commerciale,ArtÃ©riel lÃ©ger,2015-06-03,-73.47566647852554,45.747179957708504
C2-164,Commerciale,ArtÃ©riel lÃ©ger,2015-06-03,-73.47748779470439,45.75607007000921
P1-328,Communautaire,Ãducationnel et rÃ©crÃ©atif de voisinage,2015-06-03,-73.44862219951564,45.77035296352365
P2-331,Communautaire,Communautaire,2015-06-03,-73.43766406827172,45.76577450506464
H3-112,Habitation,Habitation multifamiliale,2015-06-03,-73.47486527038961,45.748703702199315
C2-103,Commerciale,ArtÃ©riel lÃ©ger,2015-06-03,-73.46880901674747,45.74302354022883
H3-025,Habitation,Habitation multifamiliale,2015-06-03,-73.46820410567155,45.71980563116855
H3-194,Habitation,Habitation multifamiliale,2015-06-03,-73.48496055936097,45.76359363629743
C3-145,Commerciale,Commerce rÃ©gional,2015-06-03,-73.46015975409976,45.747630261179566
H3-203,Habitation,Habitation multifamiliale,2015-06-03,-73.48311540673282,45.76373560523176
H1-311,Habitation,Habitation unifamiliale,2015-06-03,-73.45412982357152,45.77061377045584
C2-441,Commerciale,ArtÃ©riel lÃ©ger,2015-06-03,-73.40540168209981,45.78751040322386
H2-307,Habitation,Habitation bifamiliale et trifamiliale,2015-06-03,-73.45429314075909,45.76981533740892
H2-411,Habitation,Habitation bifamiliale et trifamiliale,2015-06-03,-73.41433855864483,45.77908842386143
C2-230,Commerciale,ArtÃ©riel lÃ©ger,2015-06-03,-73.46147194330236,45.75841845783209
C2-428,Commerciale,ArtÃ©riel lÃ©ger,2015-06-03,-73.41172218665372,45.78514082459017
P1-305,Communautaire,Ãducationnel et rÃ©crÃ©atif de voisinage,2015-06-03,-73.45286761091336,45.76904640592556
H1-225,Habitation,Habitation unifamiliale,2015-06-03,-73.47750963390793,45.76546247799424
C6-320,Commerciale,Station-service,2015-06-03,-73.44467606329515,45.76734129435356
C2-341,Commerciale,ArtÃ©riel lÃ©ger,2015-06-03,-73.43152924916804,45.76366497339965
C2-258,Commerciale,ArtÃ©riel lÃ©ger,2015-06-03,-73.45866722346717,45.762217418033494
C6-144,Commerciale,Station-service,2015-06-03,-73.46079923343267,45.74748180666177
H3-012,Habitation,Habitation multifamiliale,2015-06-03,-73.47309972187838,45.71428657165953
H1-250,Habitation,Habitation unifamiliale,2015-06-03,-73.47595161525469,45.7689564652363
H1-360,Habitation,Habitation unifamiliale,2015-06-03,-73.43681155388809,45.773065280504944
H1-117,Habitation,Habitation unifamiliale,2015-06-03,-73.46957671501973,45.747081349327225
C6-167,Commerciale,Station-service,2015-06-03,-73.47999042041653,45.75749844725054
C2-205,Commerciale,ArtÃ©riel lÃ©ger,2015-06-03,-73.46037106024562,45.75368721248351
C6-153,Commerciale,Station-service,2015-06-03,-73.46470093462523,45.749562485343226
C2-027,Commerciale,ArtÃ©riel lÃ©ger,2015-06-03,-73.4702818545742,45.72019713365016
C6-071,Commerciale,Station-service,2015-06-03,-73.46820335099005,45.733699790696534
H1-300,Habitation,Habitation unifamiliale,2015-06-03,-73.45574286041033,45.76982569326919
H3-325,Habitation,Habitation multifamiliale,2015-06-03,-73.45945871647689,45.77445629935279
C6-409,Commerciale,Station-service,2015-06-03,-73.41563511045982,45.77966167200759
C7-028,Commerciale,Service reliÃ© Ã  l'auto,2015-06-03,-73.46785341028236,45.71917130582667
C2-017,Commerciale,ArtÃ©riel lÃ©ger,2015-06-03,-73.47734394680948,45.71616159606523
H1-314,Habitation,Habitation unifamiliale,2015-06-03,-73.45464977148082,45.77102243006108
C1-015,Commerciale,Voisinage,2015-06-03,-73.4800517210282,45.71727126667255
H3-023,Habitation,Habitation multifamiliale,2015-06-03,-73.46782718419217,45.71780802481495
C6-398,Commerciale,Station-service,2015-06-03,-73.41848801579738,45.77650405892479
C2-166,Commerciale,ArtÃ©riel lÃ©ger,2015-06-03,-73.47928917431214,45.75715078741482
C6-224,Commerciale,Station-service,2015-06-03,-73.4761491387066,45.76425476048452
C7-180,Commerciale,Service reliÃ© Ã  l'auto,2015-06-03,-73.46919004953313,45.75419589808939
H1-271,Habitation,Habitation unifamiliale,2015-06-03,-73.43251062467237,45.752402231759646
C6-022,Commerciale,Station-service,2015-06-03,-73.47957987765616,45.72071629888515
C6-040,Commerciale,Station-service,2015-06-03,-73.46440095227668,45.721011929843364
H1-238,Habitation,Habitation unifamiliale,2015-06-03,-73.45635857872786,45.75710749249559
C2-410,Commerciale,ArtÃ©riel lÃ©ger,2015-06-03,-73.41513696882306,45.77944086249947
H1-035,Habitation,Habitation unifamiliale,2015-06-03,-73.47542819633286,45.72510933483709
H1-358,Habitation,Habitation unifamiliale,2015-06-03,-73.42390296050621,45.76620705284617
H1-372,Habitation,Habitation unifamiliale,2015-06-03,-73.42863895345144,45.7723034400395
C1-052,Commerciale,Voisinage,2015-06-03,-73.48077626880946,45.73003296003325
H1-316,Habitation,Habitation unifamiliale,2015-06-03,-73.42742520447011,45.75916855326149
C7-138,Commerciale,Service reliÃ© Ã  l'auto,2015-06-03,-73.47323309493216,45.751464735120244
H2-416,Habitation,Habitation bifamiliale et trifamiliale,2015-07-10,-73.404855411323,45.78015197321278
H1-429,Habitation,Habitation unifamiliale,2015-06-03,-73.4071365708489,45.784654240532376
P1-419,Communautaire,Ãducationnel et rÃ©crÃ©atif de voisinage,2015-06-03,-73.40154065460068,45.777910192031435
H3-405,Habitation,Habitation multifamiliale,2015-06-03,-73.41499270009966,45.78172129346278
P1-408,Communautaire,Ãducationnel et rÃ©crÃ©atif de voisinage,2015-06-03,-73.41662017799318,45.781361434548025
P2-438,Communautaire,Communautaire,2015-06-03,-73.41078630802379,45.78998134091213
H1-431,Habitation,Habitation unifamiliale,2015-06-03,-73.41876947741856,45.79036013066766
H2-432,Habitation,Habitation bifamiliale et trifamiliale,2015-06-03,-73.41763210175125,45.78990569101399
H1-422,Habitation,Habitation unifamiliale,2015-06-03,-73.4152321803934,45.78722806029257
P1-421,Communautaire,Ãducationnel et rÃ©crÃ©atif de voisinage,2015-06-03,-73.42053721642598,45.788420266926714
P1-386,Communautaire,Ãducationnel et rÃ©crÃ©atif de voisinage,2015-06-03,-73.41807213019271,45.77460438506427
H1-378,Habitation,Habitation unifamiliale,2015-06-03,-73.4173258627543,45.77301051999139
H3-359,Habitation,Habitation multifamiliale,2015-06-03,-73.41854679828361,45.765656123436614
H1-306,Habitation,Habitation unifamiliale,2015-06-03,-73.42029323703467,45.75847554640448
P1-350,Communautaire,Ãducationnel et rÃ©crÃ©atif de voisinage,2015-06-03,-73.42475613046486,45.76472276185417
H1-343,Habitation,Habitation unifamiliale,2015-06-03,-73.42407507128998,45.76638618141767
C2-315,Commerciale,ArtÃ©riel lÃ©ger,2015-06-03,-73.42495393400105,45.75960853030633
H3-304,Habitation,Habitation multifamiliale,2015-06-03,-73.42584019548893,45.759725031191856
P1-329,Communautaire,Ãducationnel et rÃ©crÃ©atif de voisinage,2015-06-03,-73.42802782964321,45.76172867023906
H1-287,Habitation,Habitation unifamiliale,2015-06-03,-73.43008647912553,45.75980048347909
P1-277,Communautaire,Ãducationnel et rÃ©crÃ©atif de voisinage,2015-06-03,-73.43779569839394,45.75798673376986
P4-280,Communautaire,Communautaire religieux,2015-06-03,-73.43950597455748,45.759050310695685
H4-281,Habitation,Habitation collective,2015-06-03,-73.44035482910209,45.759377596804875
P1-371,Communautaire,Ãducationnel et rÃ©crÃ©atif de voisinage,2015-06-03,-73.42911633533407,45.77385926055248
P1-351,Communautaire,Ãducationnel et rÃ©crÃ©atif de voisinage,2015-06-03,-73.4308653301521,45.76700894042039
H1-363,Habitation,Habitation unifamiliale,2015-06-03,-73.43385919756692,45.77337889597268
H1-355,Habitation,Habitation unifamiliale,2015-06-03,-73.43004307628968,45.77093227950979
H1-339,Habitation,Habitation unifamiliale,2015-06-03,-73.43885080536137,45.76731299414866
H3-342,Habitation,Habitation multifamiliale,2015-06-03,-73.43413585761401,45.76554021976116
H1-344,Habitation,Habitation unifamiliale,2015-06-03,-73.43401138424397,45.767758516568904
H1-303,Habitation,Habitation unifamiliale,2015-06-03,-73.4417386342212,45.76364479296143
H1-267,Habitation,Habitation unifamiliale,2015-06-03,-73.44233429363862,45.76150503988138
H1-295,Habitation,Habitation unifamiliale,2015-06-03,-73.4440443086354,45.764465078292325
H1-286,Habitation,Habitation unifamiliale,2015-06-03,-73.4474788724924,45.76569634000066
H1-261,Habitation,Habitation unifamiliale,2015-06-03,-73.45076793247222,45.761594049693706
P1-283,Communautaire,Ãducationnel et rÃ©crÃ©atif de voisinage,2015-06-03,-73.44671630793464,45.76291891291636
H1-340,Habitation,Habitation unifamiliale,2015-06-03,-73.44044873073658,45.771289762039814
H1-333,Habitation,Habitation unifamiliale,2015-06-03,-73.44198857150464,45.768716825789404
H1-387,Habitation,Habitation unifamiliale,2015-06-03,-73.43162676986056,45.77999062906391
H2-374,Habitation,Habitation bifamiliale et trifamiliale,2015-06-03,-73.4329308326048,45.77748077851417
H2-370,Habitation,Habitation bifamiliale et trifamiliale,2015-06-03,-73.43382115841106,45.77737606375554
H2-391,Habitation,Habitation bifamiliale et trifamiliale,2015-06-03,-73.4294935751548,45.781484192141065
H2-392,Habitation,Habitation bifamiliale et trifamiliale,2015-06-03,-73.4301867913719,45.78172082124163
H1-390,Habitation,Habitation unifamiliale,2015-06-03,-73.43153688527197,45.78182147208365
P1-403,Communautaire,Ãducationnel et rÃ©crÃ©atif de voisinage,2015-06-03,-73.43074336990205,45.784760366700276
H1-383,Habitation,Habitation unifamiliale,2015-06-03,-73.43705449384647,45.783481477017396
P1-389,Communautaire,Ãducationnel et rÃ©crÃ©atif de voisinage,2015-06-03,-73.43710840153821,45.78284475055156
H1-375,Habitation,Habitation unifamiliale,2015-06-03,-73.43424489150918,45.78089118912256
H1-366,Habitation,Habitation unifamiliale,2015-06-03,-73.44665623011693,45.78268054633141
P1-385,Communautaire,Ãducationnel et rÃ©crÃ©atif de voisinage,2015-06-03,-73.44165468389592,45.78363698332112
H1-376,Habitation,Habitation unifamiliale,2015-06-03,-73.4414681375643,45.78005930869711
P1-365,Communautaire,Ãducationnel et rÃ©crÃ©atif de voisinage,2015-06-03,-73.43787631157697,45.7780938236884
H1-379,Habitation,Habitation unifamiliale,2015-06-03,-73.44119490866167,45.781193665659806
H1-337,Habitation,Habitation unifamiliale,2015-06-03,-73.44918759689263,45.77629788580975
P1-357,Communautaire,Ãducationnel et rÃ©crÃ©atif de voisinage,2015-06-03,-73.44768136037803,45.776709279851076
H1-336,Habitation,Habitation unifamiliale,2015-06-03,-73.44700868601775,45.77375050555473
P1-338,Communautaire,Ãducationnel et rÃ©crÃ©atif de voisinage,2015-06-03,-73.44828111454112,45.77150990934083
H1-334,Habitation,Habitation unifamiliale,2015-06-03,-73.44150427012669,45.773005315568454
P1-353,Communautaire,Ãducationnel et rÃ©crÃ©atif de voisinage,2015-06-03,-73.44303166821466,45.77395681238182
H2-223,Habitation,Habitation bifamiliale et trifamiliale,2015-06-03,-73.42760067707924,45.74503650855498
C8-212,Commerciale,Bureau,2015-07-10,-73.4378032749231,45.74636673114752
H1-221,Habitation,Habitation unifamiliale,2015-06-03,-73.43819586326074,45.74768520555396
H3-222,Habitation,Habitation multifamiliale,2015-06-03,-73.43500156747147,45.74807783722602
H2-234,Habitation,Habitation bifamiliale et trifamiliale,2015-06-03,-73.43532523788205,45.74892479624997
P1-226,Communautaire,Ãducationnel et rÃ©crÃ©atif de voisinage,2015-06-03,-73.43903112238827,45.74840863318067
P1-217,Communautaire,Ãducationnel et rÃ©crÃ©atif de voisinage,2015-06-03,-73.44350149003243,45.748942704145826
H1-195,Habitation,Habitation unifamiliale,2015-06-03,-73.43975260283713,45.749514663019305
H1-282,Habitation,Habitation unifamiliale,2015-06-03,-73.45378449593956,45.76622274540983
H1-284,Habitation,Habitation unifamiliale,2015-06-03,-73.45399132383561,45.76730399381134
H1-259,Habitation,Habitation unifamiliale,2015-06-03,-73.45259618298061,45.76552700521201
H1-317,Habitation,Habitation unifamiliale,2015-06-03,-73.45459743293132,45.77212940578256
P1-296,Communautaire,Ãducationnel et rÃ©crÃ©atif de voisinage,2015-06-03,-73.45771379404869,45.770831018115715
H2-313,Habitation,Habitation bifamiliale et trifamiliale,2015-06-03,-73.45633629555611,45.77179491710217
H3-309,Habitation,Habitation multifamiliale,2015-06-03,-73.45562973501056,45.77080127469822
P1-279,Communautaire,Ãducationnel et rÃ©crÃ©atif de voisinage,2015-06-03,-73.46023095261961,45.767922102479574
H1-274,Habitation,Habitation unifamiliale,2015-06-03,-73.45926856735167,45.768064698573106
A1-323,Agricole,Agricole,2015-06-03,-73.45480350250575,45.775426829261484
P1-272,Communautaire,Ãducationnel et rÃ©crÃ©atif de voisinage,2015-06-03,-73.46354763097915,45.76606922530057
H1-268,Habitation,Habitation unifamiliale,2015-06-03,-73.46382923634998,45.767529666898
P1-257,Communautaire,Ãducationnel et rÃ©crÃ©atif de voisinage,2015-06-03,-73.47172499728867,45.768739772030834
H1-251,Habitation,Habitation unifamiliale,2015-06-03,-73.46982580955786,45.770900402555505
H1-211,Habitation,Habitation unifamiliale,2015-06-03,-73.47243729675968,45.76442574323324
C3-241,Commerciale,Commerce rÃ©gional,2015-06-03,-73.45258979378426,45.75700946806031
H1-255,Habitation,Habitation unifamiliale,2015-06-03,-73.45143480555298,45.758707693885825
H3-208,Habitation,Habitation multifamiliale,2015-06-03,-73.48109242023473,45.76652933388414
H3-248,Habitation,Habitation multifamiliale,2015-06-03,-73.47630678491919,45.77061104066461
H5-209,Habitation,Ãco-responsable,2015-06-03,-73.48048163063007,45.76786279768569
