,,,,,,
VILLE DE MONTRÉAL  ,,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,,
Listes des bons de commandes approuvés pour septembre 2016,,,,,,
,,,,,,
,,,,,,
Dernier Approbateur,Numéro bon ,Nom fournisseur,Date ,Montant de ,Numéro de,Description
,1122321,"CHARLES, CHRISTOPHER",09-02-16,"177,75",,Frais - Transport en commun
,1148316,DEMENAGEMENT LA CAPITALE,09-09-16,"10 493,50",,Service - Déménagement
,1151215,LES EMBALLAGES BOX PACK,09-22-16,"624,68",,Fourniture de classement et de rangement
,1148178,LES INSTALLATIONS SPORTIVES AGORA INC.,09-08-16,"580,06",,Réparation/Entretien - Porte et fenêtre
,1150426,POMPES PROVINCIALES,09-20-16,"3 563,28",,Réparation/Entretien - Pompe et compresseur
,1151080,REGROUPEMENT DES CENTRES D'ARTISTES AUTOGERES DU QC,09-22-16,"656,17",,Service - Diffusion
"GAUDREAULT, SONIA",1151096,SAKO ELECTRIQUE LTEE,09-22-16,"3 687,16",,Entrepreneur en électricité
,1126383,SOLOTECH INC,09-02-16,"36,75",,Service - Frais de transport
,1100832,UBA INC.,09-09-16,"1 365,87",,Traitement de l'eau
"GENDRON, DENIS",1148772,AQUATECHNO SPECIALISTES AQUATIQUES INC.,09-13-16,"18 740,27",,Machine et équipement pour traitement de l'eau
,1117358,CARDIN RAMIREZ JULIEN INC.,09-08-16,"2 194,24",,Ingénieur civil - Structure de bâtiment
,1112442,CENTRE DE SERVICES PARTAGES DU QUEBEC,09-06-16,"661,42",,Service - Téléphonie cellulaire
,1107679,GENIEX INC.,09-08-16,"734,91",,Ingénieur civil - Structure de bâtiment
,1113540,MBI EXPERTS-CONSEILS,09-08-16,"524,94",,Ingénieur mécanique - Matériaux
,1147139,TOSHIBA SOLUTIONS D'AFFAIRES,09-02-16,"295,34",,Location photocopieur
,1104081,"BENSACI, AMAR",09-07-16,"423,22",,Frais de kilométrage
"HOOPER, CHANTAL",1147731,3289419 CANADA (COLLINS),09-07-16,"952,40",,Bottes pour asphalte
,1147864,ACKLANDS - GRAINGER INC.,09-07-16,"81,74",,Outil manuel
,1149650,,09-15-16,"210,42",,Accessoire et pièce de remplacement pour outil
,,,09-15-16,"388,58",,Outil manuel
,1148458,APSAM ASS. PARITAIRE SANTE & SECURITE AFFAIRES MUN.,09-09-16,"750,00",,Service - Formation en santé et sécurité
,1148471,,09-09-16,"1 830,00",,Service - Formation en santé et sécurité
,1149081,CERTIFIED LABORATORIES,09-13-16,"660,45",,Produit d'entretien ménager
,1148112,CLOTURE SECUR,09-08-16,"5 065,65",,Réparation de la clôture
,1148692,CONTANT INC.,09-12-16,"212,08",,"Matériel de fixation, clou, vis"
,1149406,DANY TREMBLAY SOUDURE INC.,09-14-16,"2 246,99",,Entrepreneur en ouvrages métalliques
,1149076,EMBOUTEILLAGE CETO INC.,09-13-16,"234,14",1055943,Eau potable - Mesure d'urgence
,1149625,ENTREPRISES FORLINI-DIVISION,09-15-16,"2 414,71",,Signalisation routière
,1152586,GENFIR INC,09-29-16,"354,86",,Tuyauterie et raccord
,1152199,HERCULES SLR INC,09-28-16,"261,52",,"Corde, chaîne et câble"
,1149074,IRRIGLOBE,09-13-16,"821,15",,Réparation/Entretien - Équip. de sport et terrain de jeux
,1152198,MARTECH SIGNALISATION INC.,09-28-16,"157,48",,Accessoire et pièce de remplacement pour outil
,1147202,PHIL EXCAVATION INC.,09-22-16,"9 002,67",,Réparation de conduit d'aqueduc
,1148664,RENO-DEPOT,09-12-16,"85,92",,Accessoire et pièce de remplacement pour outil
,,,09-12-16,"135,43",,Outil électrique
,1147825,REVOLUTION ENVIRONMENTAL SOLUTIONS LP,09-07-16,"2 106,77",,Service - Collecte de matières dangereuses (DDD)
,1105156,SHRED-IT INTERNATIONAL ULC,09-14-16,"59,16",,Service - Destruction de documents
,1150518,ST-GERMAIN EGOUTS ET AQUEDUCS INC.,09-20-16,"2 385,32",,Chambre de vanne
,1152193,,09-28-16,"2 003,80",989948,Chambre de vanne
,1151130,TENAQUIP LIMITED,09-22-16,"186,77",,"Pile, batterie"
,1147143,U. CAYOUETTE INC.,09-02-16,"490,82",,"Ciment, mélange à béton ensaché"
,1148649,,09-12-16,"381,73",,Attache-câble
,1152448,,09-29-16,"226,24",,"Ciment, mélange à béton ensaché"
,1149068,TESSIER RECREO-PARC INC,09-13-16,"749,62",,Équipement et fourniture pour terrain de jeux
"OUELLET, MARIE-CLAUDE",1137197,LOCATION BENCH & TABLE INC,09-02-16,"240,68",,Location tables
,1149738,TURCOTTE DESIGN INC.,09-15-16,"2 099,75",,Service de conception graphique
,1151086,VPR IMPEX INC.,09-22-16,"6 818,94",,Appareil d'entretien
"PLANTE, STÉPHANE",1147559,ASSOCIATION DES GENS D'AFFAIRES DE COTE-DES-NEIGES,09-06-16,"6 000,00",,"Service - Recherche, étude de marché"
,,,09-06-16,"5 950,00",,Service - Organisation de festivals et spectacles
,1150318,BEC FIN INTERNATIONAL INC.,09-20-16,"1 268,25",,Service - Traiteur
,1149908,"BOUTIN, PIERRE",09-16-16,"95,21",,Bottes de sécurité
,1152087,CLOTURE SECUR,09-28-16,"787,41",,Réparation/Entretien - Porte et fenêtre
,1147446,DEVELOTECH INC.,09-06-16,"14 855,73",,Signalisation routière
,1150634,"DUPLANTIE, SYLVIA-ANNE",09-21-16,"1 558,58",,Frais - Inscription pour congrès
"POLISENO, MARTIN",1134556,CONTENANTS JOS. LE BEL,09-02-16,"131,23",,Réservoir et contenant de stockage
,1151044,GLOCO INC.,09-22-16,"1 006,76",,Graine et semence
,1148035,GRAVI T ZERO INTERNATIONAL INC.,09-08-16,"367,46",,Service - Formation en santé et sécurité
,1149078,JARDINS ZEILLINGER,09-13-16,"1 032,46",,Végétaux
,1149638,JEAN GUGLIA & FILS ENR.,09-15-16,"148,19",,Accessoire et pièce de remplacement pour outil
,1151360,LES ATELIERS D'ANTOINE,09-23-16,"325,05",,Fourniture horticole
,1151359,LES EQUIPEMENTS RAPCO INC,09-23-16,"402,82",,Accessoire et pièce de remplacement pour outil
,1151362,LES PEPINIERES JASMIN LTEE,09-23-16,"482,88",,Végétaux
,1149048,LOCATION SAUVAGEAU INC.,09-13-16,"880,81",,Location de nacelle
,1151046,MARTECH SIGNALISATION INC.,09-22-16,"53,54",,Panneaux
,1151354,MATERIAUX DE PLOMBERIE RAY-JEAN INC.,09-23-16,"8,36",,Accessoire et pièce de remplacement pour outil
,1147249,MULTI RECYCLAGE S.D. INC,09-02-16,"1 080,87",,Service - Traitement/valorisation de déchets
,1140507,PEPINIERE A. MUCCI INC.,09-13-16,"596,33",,Mélange de terre
,1149635,PPG REVETEMENTS ARCHITECTURAUX CANADA INC.,09-15-16,"748,81",,Peinture - résidentielle et industrielle
,1147227,PRODUITS SANY,09-02-16,"821,54",1048199,Produit et équipement d'entretien
,,,09-02-16,"292,57",,Produit et équipement d'entretien
,1113641,SECURITE LANDRY INC,09-13-16,"21,00",,Service - Frais de transport
,1144423,SERVICES MATREC INC.,09-09-16,"147,65",1016984,Location toilettes chimiques
,1149671,,09-15-16,"219,94",1016984,Location - Toilette chimique
,1149885,TECHSPORT INC.,09-16-16,"1 942,27",,Équipement et fourniture pour terrain de jeux
,1149062,TESSIER RECREO-PARC INC,09-13-16,"5 156,99",,Fourniture et Installation de glissoire
"REEVES, GENEVIÈVE",1149689,FOURCHETTE & CIE CUISINE COMMUNAUTAIRE,09-15-16,"360,00",,Service - Traiteur
,1148094,L'EMPREINTE IMPRIMERIE INC.,09-08-16,"141,73",,Service - Impression
,1148324,SHERBROOKE-VALOIS INC.,09-09-16,"2 099,75",,Service - Placement média d'avis public
,1149691,SISCA SOLUTIONS D'AFFAIRES CANADA INC.,09-15-16,"68,24",,Service - Impression
,1149546,TOSHIBA SOLUTIONS D'AFFAIRES,09-15-16,"110,97",,Location - Photocopieur
,1149542,WOLTERS KLUWER QUEBEC LTEE,09-15-16,"547,00",,Mise à jour de livre
"THERRIEN, MICHEL",1099732,AGENCE DOUBLE XPRESSO INC.,09-06-16,"21 522,43",,"Service - Infographie, graphisme"
,,,09-07-16,"1 304,99",,"Service - Infographie, graphisme"
,1147188,AVEC PLAISIRS,09-02-16,"519,79",,Service - Traiteur
,1148652,CNW-TELBEC INC,09-12-16,"390,55",,Service - Placement média d'avis public
,1148018,GROUPE COMMUNAUTAIRE L'ITINERAIRE (LE),09-08-16,"1 448,83",,Service - Distribution
,1139662,IMPRIMERIE REFLET LTEE,09-02-16,"7 622,09",,"Guide, brochure et affiche"
,1113544,JEAN BEAUDIN,09-23-16,"1 000,00",,"Service - Infographie, graphisme"
,1151413,JULIE BEAUVILLIERS,09-23-16,"1 500,00",,Préparation du rapport du maire
,1147363,KOPEL INC.,09-06-16,"1 864,21",,Service - Postal
,1150497,LOCATION GERVAIS (1985) INC.,09-20-16,"1 116,23",,Location - Accessoire et équipement de restauration
,1150641,MEDIAS TRANSCONTINENTAL S.E.N.C,09-21-16,"9 317,64",,Service - Placement média publicitaire
,1147650,ROULEAUX DE PAPIER & RUBANS J.L. INC.,09-07-16,"314,65",,Papier
,1129489,SERVICES GRAPHIQUES DEUX-MONTAGNES INC.,09-14-16,"2 000,01",,"Service - Infographie, graphisme"
,1146990,SOCIETE CANADIENNE DES POSTES,09-01-16,"724,41",,"Service - Postal, messagerie"
,1148644,,09-12-16,"10 185,98",,"Service - Postal, messagerie"
,1150807,TURCOTTE DESIGN INC.,09-21-16,"1 417,33",,"Concepteur graphique, infographiste"
"TROTTIER, PASCAL",1132856,SERVICES DE DISTRIBUTION AJL INC.,09-14-16,"997,38",,Réparation d'un panneau piéton clignotant
