,,,,,,
VILLE DE MONTRÉAL  ,,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,,
Listes des bons de commandes approuvés pour juin 2016,,,,,,
,,,,,,
,,,,,,
Dernier Approbateur,Nom fournisseur,Numéro bon ,Date ,Montant de ,Numéro de,Description
,GROUPE SECURITE C.L.B. INC. ,1135058,28/06/2016,"712,22",,"Service - Agence de sécurité, gardiennage"
,HONEYWELL LTEE ,1132496,16/06/2016,"1 394,02",,Réparation/Entretien - Appareil et système de climatisation
,L'EMPREINTE IMPRIMERIE INC. ,1128561,02/06/2016,"17,85",,Service - Impression
,LES TERMINAUX KENMONT INC. ,1134481,23/06/2016,"944,89",,Service - Transport de conteneur
,LOISIRS DE L'ACADIE MONTREAL ,1129027,03/06/2016,"109,5",,Service - Organisation de concours
"GENDRON, DENIS","BENSACI, AMAR ",1104081,08/06/2016,"2 094,95",,Frais de Kilométrage
,CENTAURECOM INC. ,1134849,28/06/2016,"1 549,62",,Bouteilles d'eau
,CENTRE DE SERVICES PARTAGES DU QUEBEC ,1112442,20/06/2016,"209,97",,Service - Téléphonie cellulaire
,J. RENE LAFOND INC. ,1134851,28/06/2016,"2 084,00",,Équipement - Véhicule et appareil
,LES CONSTRUCTIONS ARGOZY INC. ,1130706,10/06/2016,"3 254,61",,Entrepreneur en excavation et terrassement
,,1134366,23/06/2016,"14 969,12",,Entrepreneur en excavation et terrassement
,LES ENTREPRISES DANIEL ROBERT INC ,1129754,07/06/2016,"6 598,46",,Service - Entretien paysager
,MINISTRE DES FINANCES ,1131015,13/06/2016,"3 280,00",,"Frais - Règlement, réclamation"
,,1131017,13/06/2016,"2 895,00",,"Frais - Règlement, réclamation"
,MORNEAU SHEPELL LTD. ,1109219,13/06/2016,"5 000,00",,"Conseiller, programme d'aide aux employés"
,SAKO ELECTRIQUE LTEE ,1128499,02/06/2016,"1 224,15",,Ingénieur électrique
,,1129750,07/06/2016,"4 759,08",,Ingénieur électrique
,TAXI-CHARGE. ,1132030,15/06/2016,"262,47",,Frais - Transport en taxi
,TESSIER RECREO-PARC INC ,1128498,02/06/2016,"5 196,88",,"Service - Installation, gestion, entretien"
,VORTEX STRUCTURES AQUATIQUES INTERNATIONALES INC ,1132380,15/06/2016,"2 440,95",,"Service - Installation, gestion, entretien"
"HOOPER, CHANTAL",CONSTRUCTION DJL INC ,1111884,01/06/2016,"886,47",1076508,"Asphalte, bitume"
,LOCATION GAMMA INC. ,1104813,07/06/2016,"335,96",,Location d'outils
,PEPINIERE A. MUCCI INC. ,1117386,13/06/2016,"596,33",,"Terre, terreau, compost et engrais"
,QUINCAILLERIE NOTRE-DAME DE ST-HENRI INC. ,1096137,15/06/2016,"56,9",,"Matériel de fixation, clou, vis"
"LEGER, APRIL",MAGIC LIGHT (MC) ,1114567,03/06/2016,"20,58",,Service - Frais de transport
"LIVERNOCHE, STEPHANE",DEPREDATEUR URBAIN ,1129989,08/06/2016,"1 800,00",,Service - Extermination
"OUELLET, MARIE-CLAUDE",BIBLIO RPL LTEE ,1131244,22/06/2016,"261,42",,"Papier, article de papeterie"
,BOUTY INC ,1131238,13/06/2016,"1 332,84",,Chaise et fauteuil ergonomique
,DIANE LANDRY ,1134493,23/06/2016,450,,Service - Organisation d'expositions
,LOCATION JEAN LEGARE LTEE ,1128923,03/06/2016,"80,62",,Location - Automobile
"PLANTE, STÉPHANE",BOUTY INC ,1130124,08/06/2016,"1 072,26",,Chaise et fauteuil ergonomique
,CAFE 92 DEGRES INC. ,1128136,01/06/2016,"220,47",,Service - Traiteur
,CLOTURE SECUR ,1129128,06/06/2016,"1 023,63",,"Clôture, barricade"
,DASSYLOI 9031-1796 QUEBEC INC. ,1132116,15/06/2016,"32 128,80",,Réparation de conduit d'aqueduc
,LES TERMINAUX KENMONT INC. ,1130408,09/06/2016,"14 540,77",,Poubelle et conteneur
,ULYSSE LEMERISE ,1130121,08/06/2016,"383,2",,Service - Photographie
"POLISENO, MARTIN",ACKLANDS - GRAINGER INC. ,1128703,02/06/2016,"209,39",,Gant
,LA MAISON DU PEINTRE ,1129183,06/06/2016,"2 175,82",,Accessoire et fourniture de peinture
,,1129714,07/06/2016,"55,06",,Outil manuel
,CHEMSEARCH (TM) ,1129185,06/06/2016,"660,45",,Produit d'entretien
,CONTENANTS JOS LE BEL ,1134556,27/06/2016,"796,27",,Réservoir et contenant de stockage
,ENTREPRISE ROBERT GREEN INC ,1129187,06/06/2016,"47,24",,Service - Frais de transport
,,,06/06/2016,"144,88",,"Support, renfort et équerre"
,,,06/06/2016,"78,27",,Isolant thermique et acoustique
,ENTREPRISES FORLINI ,1129892,08/06/2016,"595,29",,Bottes de travail
,EQUIPEMENTS DE SECURITE HOTTE INC ,1132070,15/06/2016,"376,7",,Accessoire vestimentaire
,GRAFFITI X INC. ,1132045,15/06/2016,"3 813,61",,Produit industriel
,GROUPE BISSONNETTE INC. ,1129188,06/06/2016,"797,22",,Produit d'entretien
,LA MAISON DU PEINTRE ,1130811,10/06/2016,"159,12",,"Teinture, vernis et laque"
,LAROSE & FILS LTEE ,1129186,06/06/2016,"71,7",,Produit d'entretien ménager
,LEE VALLEY TOOLS LTD. ,1129190,06/06/2016,"224,62",,Outil manuel
,LES ATELIERS D'ANTOINE ,1132007,15/06/2016,"91,34",,Grillage pour composteur.
,LES ENTREPRISES DOUGLAS POWERTECH INC ,1130820,10/06/2016,"2 156,62",,Réparation de déchiqueteuses
,LES EQUIPEMENTS RAPCO INC ,1118735,10/06/2016,"359,76",,"Corde, chaîne et câble"
,LES INDUSTRIES SIMEXCO INC ,1130748,10/06/2016,"3 118,12",,"Service - Installation, gestion, entretien"
,LES PEPINIERES JASMIN LTEE ,1120677,08/06/2016,"71,39",,Service - Frais de transport
,L.L. LOZEAU LTEE. ,1132009,15/06/2016,175,,Appareil électronique
,LOCATION SAUVAGEAU INC. ,1129889,08/06/2016,"1 102,56",,"Location - Automobile, camionnette et fourgonnette"
,PPG REVETEMENTS ARCHITECTURAUX CANADA INC. ,1130808,10/06/2016,"112,87",,Accessoire et fourniture de peinture
,,1131605,14/06/2016,"582,34",1071552,Peinture - résidentielle et industrielle
,PRODUITS SANY ,1129252,06/06/2016,"1 041,18",1048199,Produit et équipement d'entretien ménager
,RENO-DEPOT-RONA ,1101451,10/06/2016,"5,26",,Équipement contre les incendies
,SECURITE LANDRY INC ,1129214,06/06/2016,"464,57",,Équipement contre les chutes
,,1132013,15/06/2016,"133,87",,Équipement de protection
,,1132060,15/06/2016,"339,88",,Équipement de protection
,,,15/06/2016,"683,03",,Outil manuel
,,,15/06/2016,"1 740,99",,Accessoire et pièce de remplacement pour outil
,,,15/06/2016,"659,77",,Équipement contre les chutes
,SERVICES MATREC INC. ,1129193,06/06/2016,"644,92",1016984,Location - Toilette chimique
,,1129198,06/06/2016,"644,92",1016984,Location - Toilette chimique
,,1129201,06/06/2016,"644,92",1016984,Location - Toilette chimique
,,1129203,06/06/2016,"644,92",1016984,Location - Toilette chimique
,,1129204,06/06/2016,"644,92",1016984,Location - Toilette chimique
,,1129206,06/06/2016,"644,92",1016984,Location - Toilette chimique
,,1129208,06/06/2016,"644,92",1016984,Location - Toilette chimique
,,1129211,06/06/2016,"644,92",1016984,Location - Toilette chimique
,,1133306,20/06/2016,"148,41",1016984,Location - Toilette chimique
,TENAQUIP LIMITED ,1132081,15/06/2016,"150,59",,Accessoire et fourniture de peinture
"REEVES, GENEVIÈVE",KERR NORTON INC. ,1134287,23/06/2016,"243,57",,Cartouches
,MEDIAS TRANSCONTINENTAL S.E.N.C ,1100674,09/06/2016,"2 624,69",,Service - Placement média d'appel d'offres
,MONTREAL STENCIL INC ,1133461,21/06/2016,"22,9",,"Article, accessoire et équipement de bureau"
,TRADUCTIONS TERRY KNOWLES INC. ,1131476,14/06/2016,"2 624,69",,"Service - Rédaction, révision"
,WOLTERS KLUWER QUEBEC LTEE ,1133460,21/06/2016,258,,Renouvellement abonnement
,,1134288,23/06/2016,"377,43",,Abonnement - internet - Accès à l'information
"THERRIEN, MICHEL",AGENCE DOUBLE XPRESSO INC. ,1099732,13/06/2016,"2 099,75",,"Service - Infographie, graphisme"
,DISTRIBUTIONS LG INC. ,1129134,06/06/2016,"209,97",,"Service - Postal, messagerie"
,,1129491,07/06/2016,"1 574,81",,Service - Distribution
,DUOSON MULTIMEDIA INC ,1128504,02/06/2016,"3 241,71",,Service - Diffusion
,ENSEIGNES LANDREVILLE ,1129133,06/06/2016,"10 393,76",,Bannière
,FOURCHETTE & CIE CUISINE COMMUNAUTAIRE ,1128501,02/06/2016,243,,Service - Traiteur
,GENEVIEVE FLAGEOL ,1129129,06/06/2016,"881,89",,"Service - Infographie, graphisme"
,LES MORDUS DE LA LANGUE INC. ,1114320,10/06/2016,"5 249,37",,"Service - Rédaction, révision"
,MARYO THOMAS ,1128507,02/06/2016,"1 601,06",,"Service - Infographie, graphisme"
,SERVICES GRAPHIQUES DEUX-MONTAGNES INC. ,1129489,07/06/2016,"1 942,27",,"Service - Infographie, graphisme"
,,1134364,23/06/2016,"4 013,67",,"Service - Infographie, graphisme"
,SHERBROOKE-VALOIS INC. ,1129858,08/06/2016,"393,7",,Service - Placement média d'avis public
,SOCIETE CANADIENNE DES POSTES ,1129487,07/06/2016,"10 181,07",,"Service - Postal, messagerie"
,UPSIDE WIRELESS ,1133462,21/06/2016,"4 724,44",,"Service - Hébergement (site web, serveur)"
"TROTTIER, PASCAL",APSAM ASS. PARITAIRE SANTE & SECURITE AFFAIRES MUNIC. ,1127378,06/06/2016,915,,Service - Formation en santé et sécurité
,ASSOCIATION QUEBECOISE DU TRANSPORT ,1131104,13/06/2016,"1 018,22",,Formation en développement organisationnel et technique
,SERVICES DE DISTRIBUTION AJL INC. ,1132856,17/06/2016,"524,94",,Service - Éclairage de rue et signalisation
,TECHNOLOGIA FORMATION INC ,1134610,27/06/2016,"761,16",,Formation en développement organisationnel et technique
