,,,,,
VILLE DE MONTRÉAL  ,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,
Listes des bons de commandes approuvés pour NOVEMBRE 2015,,,,,
,,,,,
,,,,,
Dernier Approbateur,Nom fournisseur,Numéro bon ,Date ,Montant de ,Description
,LES ENTREPRISES LE GUERRIER,1081149,04-nov.-2015,"649,45",Accessoire et pièce de remplacement pour outil
,PRODUITS SANY INC.,1086786,26-nov.-2015,"198,95","Produit de papier, papier hygiénique"
,PUROLATOR COURRIER LTEE,1078898,23-nov.-2015,"41,34","Service - Postal, messagerie"
,STE INTERNATIONALE D'ARBORICULTURE-QUEBEC,1081144,04-nov.-2015,"361,62","Frais - Inscription pour colloque, conférence."
,SOLUTIONS ALTERNATIVES ENVIRON. INC,1086537,26-nov.-2015,"519,69",Service - Formation
,TOSHIBA DU CANADA LIMITEE,1017398,17-nov.-2015,"163,07",Location - Photocopieur
"REEVES, GENEVIEVE",CFGL METAUX,1083546,13-nov.-2015,"312,34",Article promotionnel
,COMCOMTECH INC.,1085552,23-nov.-2015,"762,48","Service - Rédaction, révision"
,CPU DESIGN INC.,1082073,06-nov.-2015,"16,69",Frais de transport
,MONTREAL STENCIL INC,1080510,02-nov.-2015,"21,85","Article, accessoire et équipement de bureau"
,PGVMEDIA,1080513,02-nov.-2015,"102,89","Papier, article de papeterie"
"THERRIEN, MICHEL",AGENCE DOUBLE XPRESSO INC.,1079794,13-nov.-2015,"894,50","Service - Infographie, graphisme"
,CONCEPT AUDIO VISUEL,1084968,19-nov.-2015,"3300,39",Location - Équipement d'éclairage et de sonorisation
,,1085837,24-nov.-2015,"1862,74",Location - Équipement d'éclairage et de sonorisation
,EDITIONS INFO PRESSE INC,1084976,19-nov.-2015,"6299,25",Service - Formation
,FESTIVAL MONTREAL EN LUMIERE INC.,1084285,17-nov.-2015,"3149,62",Service - Placement média publicitaire
,GEAI BLEU GRAPHIQUE,1067649,25-nov.-2015,"245,57",Service - Impression
,IMAFIX,1085827,24-nov.-2015,"236,22",Service - Impression
,THE SUBURBAN NEWSPAPER,1085834,24-nov.-2015,"1406,83",Service - Placement média d'avis public
,TOSHIBA SOLUTIONS D'AFFAIRES,1025433,17-nov.-2015,"188,98",Service - Impression
"TROTTIER, PASCAL",ACKLANDS - GRAINGER INC.,1086559,26-nov.-2015,"98,61",Outil manuel
,CIMA +,1086519,26-nov.-2015,"7086,66",Service - Travail techn. en architecture et génie civil
,DISCOVER COMMUNICATIONS INC,1081178,04-nov.-2015,"297,10",Service - Téléphonie cellulaire
