;"LES INDUSTRIES MC ASPHALT LTEE";1044823;"05-13-15";"944,89";"Asphalte, bitume"
;"LONGUS EQUIPEMENT INC.";1048614;"05-28-15";"413,27";"Outil manuel"
;"MARCHAND ENTREPRENEUR ELECTRICIEN LTEE";1042323;"05-05-15";"8856,75";"Entrepreneur en électricité"
;;1042330;"05-05-15";"7021,56";"Entrepreneur en électricité"
;;1046106;"05-20-15";"3032,04";"Entrepreneur en électricité"
;"MULTI-PRESSIONS L.C. INC.";1044430;"05-12-15";"251,86";"Accessoire et pièce de remplacement pour outil"
;"STELEM.";1042313;"05-05-15";"430,45";"Isolant pour conduite"
;"   ";1048071;"05-27-15";"1064,57";"Puisard, chambre de vanne, trou d'homme et regard"
;"ST-GERMAIN EGOUTS ET AQUEDUCS INC.    ";1047038;"05-22-15";"7392,17";"Puisard, chambre de vanne, trou d'homme et regard"
;;1047039;"05-22-15";"2976,39";"Puisard, chambre de vanne, trou d'homme et regard"
;;1048073;"05-27-15";"286,41";"Bois de construction"
;;1048623;"05-28-15";"238,57";"Couvre-sol"
;;;;;
"BROUSSEAU, HELENE";"CEGEP MARIE-VICTORIN";1045050;"05-13-15";"181,1";"Frais - Inscription pour colloque, conférence, séminaire"
;;1047849;"05-26-15";"185,6";"Formation en développement interpersonnel/relationnel"
;;1045065;"05-13-15";"15,75";"Appareil de communication"
;"MONTREAL STENCIL INC";1048449;"05-28-15";"21,85";"Article, accessoire et équipement de bureau"
;;;;;
"CARRIER, RAYMOND";"BRODART CANADA COMPAGNY    ";1039558;"05-19-15";"10,46";"Article et accessoire de bureau"
;"CARR MCLEAN LIMITED";1029112;"05-08-15";"11,55";"Fourniture de classement et de rangement"
;;1035736;"05-27-15";"194,88";"Réservoir et contenant de stockage"
;;1045316;"05-14-15";"124,97";"Ordinateur et accessoire"
;"EYE STEEL FILM DISTRIBUTION INC.";1048010;"05-27-15";"183,73";"Location - Film-musique, vidéo, banque d'images"
;;;;;
"DESJARDINS, STEVE";"COMMISSION SCOLAIRE DE MONTREAL (CSDM)";1047788;"05-26-15";"643,24";"Formation en développement organisationnel et technique"
;"ECHAFAUDS PLUS (LAVAL) INC";1048952;"05-29-15";"200,76";"Location - Clôture, barricade"
;"L.L. LOZEAU LTEE.";1046873;"05-22-15";"191,71";"Article, accessoire et équipement de bureau"
;;;;;
"FORTIN, ALAIN";"ATELIER N. C. LAMOUREUX";1048078;"05-27-15";"1126,56";"Réparation/Entretien - Véhicule lourd"
;;1048080;"05-27-15";"1126,56";"Réparation/Entretien - Véhicule lourd"
;"CITE NISSAN - GABRIEL S.E.C.";1047442;"05-25-15";"727,21";"Réparation/Entretien - Automobile, camionnette et fourgonnette"
;"REMORQUES SYLMAR INC";1042582;"05-05-15";"341,78";"Réparation/Entretien - Véhicule utilitaire"
;;;;;
"FRAPPIER, GENEVIEVE";"AQUAM SPECIALISTE AQUATIQUE INC.";1044393;"05-12-15";"524,94";"Réparation/Entretien - Équipement de sport et terrain de jeux"
;"KELLY SANI-VAC INC";1044399;"05-12-15";"997,38";"Réparation/Entretien - Équipement de sport et terrain de jeux"
;"LOCATION SAUVAGEAU INC.";1047897;"05-26-15";"3710,25";"Location - Automobile, camionnette et fourgonnette"
;"SUPERIEUR PROPANE";1046604;"05-21-15";"286,83";"Gaz naturel"
;;;;;
"GAUDREAULT, SONIA";"AVEC PLAISIRS TRAITEUR";1046567;"05-21-15";"101,85";"Breuvage et nourriture"
;"CIMCO REFRIGERATION TOROMONT INDUSTRIE";1042370;"05-05-15";"4931,26";"Réparation/Entretien - Équipement de sport et terrain de jeux"
;"COMMISSION SCOLAIRE DE MONTREAL (CSDM)";1042368;"05-05-15";"1612,26";"Réparation/Entretien - Équipement de sport et terrain de jeux"
;;1043159;"05-07-15";"8462,34";"Location - Salle"
;"COMMISSION SPORTIVE MONTREAL CONCORDIA INC.";1046570;"05-21-15";"4337,61";"Équipement de sport"
;"REMORQUAGE MOBILE";1045608;"05-15-15";"1511,82";"Service - Transport de conteneur"
;"SERVICE D'ENTRETIEN PRO-PRET INC.";1042075;"05-04-15";"4857,5";"Service - Entretien d'immeuble"
;"VILLE MONT-ROYAL";1046568;"05-21-15";"554,4";"Frais - Contribution à des organismes"
;;;;;
"GENDRON, DENIS";"CABANON FORTIN INC.";1044202;"05-11-15";"3490,83";"Mobilier pour espace public et jardin"
;"LES CONSTRUCTIONS ARGOZY INC.";1045067;"05-13-15";"524,94";"Service - Entretien d'immeuble"
;"LES ENTREPRISES DANIEL ROBERT INC";1033608;"05-26-15";"372,71";"Service - Entretien paysager"
;"MAHEU ET MAHEU INC.";1025434;"05-14-15";"461,94";"Service - Extermination, fumigation"
;"SHELLEX GROUPE CONSEIL INC.";1046893;"05-22-15";"3674,56";"Ingénieur - Gestion de projet"
;"TECHNORM INC.";1045141;"05-14-15";"3149,62";"Ingénieur - Gestion de projet"
;"TESSIER RECREO-PARC INC";1045068;"05-15-15";"7511,85";"Réparation/Entretien - Équipement de sport et terrain de jeux"
;;;;;
"JULIEN, CHANTAL";"3289419 CANADA (COLLINS)";1048627;"05-28-15";"124,01";"Botte, soulier et couvre-chaussure"
;"ECO-GRAFFITI INC";1046132;"05-20-15";"6803,18";"Produit de décontamination, traitement des odeurs"
;"ENTREPRISES FORLINI-DIVISION EQUIP. SEC.UNIVERSEL INC.";1048628;"05-28-15";"104,99";"Botte, soulier et couvre-chaussure"
;"HEWITT EQUIPEMENT LTEE";1048615;"05-28-15";"277,42";"Huile et liquide pour matériel roulant"
;"SUPERIEUR PROPANE";1046687;"05-21-15";"524,94";"Gaz"
;"U. CAYOUETTE INC.";1046116;"05-20-15";"311,94";"Produit d'entretien ménager"
;;;;;
"LIVERNOCHE, STEPHANE";"PROJEL INSTALLATION ET GESTION DE CONCEPT";1045924;"05-19-15";"414,7";"Entrepreneur en équipements et produits spéciaux"
;;;;;
"OUELLET, MARIE-CLAUDE";"LOCATION D'OUTILS SIMPLEX S.E.C.";1047891;"05-26-15";"415,05";"Réparation/Entretien - Équipement de scène"
;"LOCATION JEAN LEGARE LTEE";1047898;"05-26-15";"184,57";"Équipement de scène"
;"OMNISON ET LUMIERES";1047894;"05-26-15";"285,51";"Équipement de scène"
;"PPG REVETEMENTS ARCHITECTURAUX CANADA INC.    ";1047885;"05-26-15";"154,92";"Peinture - résidentielle et industrielle"
;;;;;
"PLANTE, STÉPHANE";"AECOM CONSULTANTS INC";1048632;"05-28-15";"10182,74";"Ingénieur civil - Circulation et transport"
;"DISCOVER COMMUNICATIONS INC";1045061;"05-13-15";21,00;"Appareil de communication"
;;1045062;"05-13-15";"162,72";"Appareil de communication"
;"LES MORDUS DE LA LANGUE INC.";1047857;"05-26-15";"545,93";"Service - Rédaction, révision"
;"L.L. LOZEAU LTEE.";1045855;"05-19-15";"451,45";"Composante électronique"
;"LOCATION GUAY";1044162;"05-11-15";"13123,44";"Location - Appareil spécialisé"
;"MARCHAND HOULE & ASSOCIES INC";941030;"05-14-15";"1820,22";"Ingénieur - Gestion de projet"
;"PATENAUDE TREMPE VAN DALEN INC.";1000650;"05-14-15";"5144,38";"Ingénieur - Gestion de projet"
;"ROULEAUX DE PAPIER & RUBANS J.L. INC.";1045603;"05-15-15";"109,08";"Papier, article de papeterie"
;"TENAQUIP LIMITED";1044858;"05-13-15";"34,46";"Produit d'entretien ménager"
;;;;;
"POLISENO, MARTIN";"ABATTAGE D'ARBRES DES BASSE LAURENTIDES ENR. (2957-4936 QUEBEC INC.)";1044770;"05-13-15";"3173,25";"Service - Abattage, émondage, élagage"
;"ACKLANDS - GRAINGER INC.";1044778;"05-13-15";"862,27";"Accessoire et pièce de remplacement pour outil"
;;1048523;"05-28-15";"302,99";"Fournitures et matériel médical"
;"CANADIAN TIRE";1048093;"05-27-15";"3149,62";"Accessoire et pièce de remplacement pour outil"
;"DENDROTIK INC.";1044952;"05-13-15";"682,42";"Accessoire et pièce de remplacement pour outil"
;"ENTREPRISE ROBERT GREEN INC";1048086;"05-27-15";"7286,97";"Bois de construction"
;"FASTENAL CANADA LTEE";1042213;"05-04-15";"67,16";"Accessoire et pièce de remplacement pour outil"
;"   ";1042225;"05-04-15";"1736,94";"Accessoire et pièce de remplacement pour outil"
;;1044957;"05-13-15";"189,2";"Accessoire et pièce de remplacement pour outil"
;"GLOCO INC.";1044961;"05-13-15";"1523,14";"Graine, semence, bulbe et bouture"
;"INDUSTRIES DESORMEAU INC.";1048636;"05-28-15";"42,47";"Accessoire et pièce de remplacement pour outil"
;"LE GROUPE J.S.V. INC";1042221;"05-04-15";"68,25";"Outil manuel"
;"LES EQUIPEMENTS RAPCO INC";1042584;"05-05-15";"230,68";"Accessoire et pièce de remplacement pour outil"
;"MATERIAUX DE PLOMBERIE RAY-JEAN INC.";1042995;"05-06-15";"161,16";"Accessoire et pièce de remplacement pour outil"
;"PEPINIERE FRANCOIS LEMAY INC.";1048520;"05-28-15";"879,27";"Végétaux"
;"PETROLES DUPUIS & FILS INC.";1047457;"05-25-15";"345,03";"Huile et liquide pour matériel roulant"
;"PIVIN & DRAPEAU INC";1037513;"05-04-15";"187,4";"Réparation/Entretien - Système de contrôle et de surveillance"
;;1046115;"05-20-15";"178,48";"Équipement d'entretien manuel"
;"PRODUITS SANY INC.";1044922;"05-25-15";"84,25";"Accessoire et pièce de remplacement pour outil"
;"QUINCAILLERIE J. CARRIER INC";1046098;"05-20-15";"261,04";"Équipement contre les chutes"
;"SECURITE LANDRY INC    ";1042223;"05-04-15";"107,09";"Accessoire vestimentaire"
;"   ";1042230;"05-04-15";"230,55";"Accessoire vestimentaire"
;;1044965;"05-13-15";"472,45";"Équipement contre les chutes"
"POLISENO, MARTIN";;1044992;"05-13-15";"746,92";"Équipement contre les chutes"
;;1047421;"05-25-15";"167,26";"Équipement contre les chutes"
;;1048593;"05-28-15";"500,3";" Accessoire vestimentaire"
;"SECURO-VISION INC";1023663;"05-04-15";30,00;"Équipement de protection"
;"   ";1042233;"05-04-15";"209,97";"Équipement de protection"
;;1044790;"05-13-15";"209,97";"Équipement de protection"
;;1044987;"05-13-15";"209,97";"Équipement de protection"
;;1047435;"05-25-15";"209,97";"Équipement de protection"
;;1047439;"05-25-15";"209,97";"Équipement de protection"
;;1047447;"05-25-15";"209,97";"Équipement de protection"
;;1047450;"05-25-15";"209,97";"Équipement de protection"
;"SERRUMAX INC";1018679;"05-27-15";"328,19";"Service - Serrurier"
;"SERVICES MATREC INC.";1043442;"05-13-15";"653,78";"Location - Toilette chimique"
;;1043449;"05-13-15";"653,78";"Location - Toilette chimique"
;"   ";1043460;"05-13-15";"653,78";"Location - Toilette chimique"
;;1043465;"05-13-15";"653,78";"Location - Toilette chimique"
;;1043467;"05-13-15";"653,78";"Location - Toilette chimique"
;;1043468;"05-13-15";"653,78";"Location - Toilette chimique"
;;1043470;"05-13-15";"653,78";"Location - Toilette chimique"
;"SETON";1044982;"05-13-15";"964,14";"Matériel pour communication graphique"
;;1044963;"05-13-15";"78,87";"Accessoire et pièce de remplacement pour outil"
;;1046100;"05-20-15";"739,37";"Équipement de manutention"
;;1046535;"05-21-15";"63,87";"Équipement de protection"
;"TOSHIBA DU CANADA LIMITEE";1017398;"05-01-15";"152,73";"Location - Photocopieur, télécopieur, imprimante et numériseur"
;"VERMEER CANADA INC.    ";1042303;"05-05-15";"1272,21";"Accessoire et pièce de remplacement pour outil"
;;1042993;"05-06-15";"242,49";"Outil manuel"
;;1048521;"05-28-15";"1016,26";"Outil manuel"
;"WOLSELEY CANADA INC    ";1044959;"05-13-15";"247,4";"Accessoire et pièce de remplacement pour outil"
;"   ";1044973;"05-13-15";"2922,85";"Accessoire et pièce de remplacement pour outil"
;;1047423;"05-25-15";"330,04";"Tuyauterie et raccord"
;;;;;
"REEVES, GENEVIEVE";"ACTUALITES COTE-DES-NEIGES INC.";1043659;"05-08-15";8 399,00;"Service - Placement média d'avis public"
;"ALERTE COURRIER P.M.E.    ";1044607;"05-12-15";"209,97";"Service - Postal, messagerie"
;"DISCOVER COMMUNICATIONS INC";1045063;"05-29-15";"28,87";"Appareil de communication"
;;1046230;"05-20-15";"10,5";"Appareil électronique"
;"LE DEVOIR";1047910;"05-26-15";8 399,00;"Service - Placement média d'appel d'offres"
;"SHERBROOKE-VALOIS INC.";1047916;"05-26-15";"3149,62";"Service - Placement média d'avis public"
;"WOLTERS KLUWER QUEBEC LTEE";1043669;"05-08-15";417,00;"Guide, brochure et affiche"
;;;;;
"RENE, DANIELLE";"EXPERTISE NEUROSCIENCES INC.";1041842;"05-01-15";"3307,11";"Médecin"
;"SYLVIE BOUCHER";1046455;"05-21-15";500,00;"Service - Formation en santé et sécurité"
;;;;;
"TROTTIER, PASCAL";"COMPUGEN INC.";1042587;"05-05-15";"113,45";"Ordinateur et accessoire"
;"DESCHAMPS IMPRESSION INC.";1044768;"05-13-15";"18,9";"Service - Impression"
;"RICCI, TEASDALE HUISSIERS DE JUSTICE INC.";1044772;"05-13-15";"114,69";"Huissier de justice"
;"SIGNALISATION KALITEC INC.";1044774;"05-13-15";"1979,02";"Service - Éclairage de rue et signalisation"
;"TRAFFIC LOGIX";1048075;"05-27-15";"288,72";"Service - Éclairage de rue et signalisation"
;"LES JARDINS W.G. CHARLEBOIS INC.";1042180;"05-04-15";"12467,09";"Végétaux"
;"WILLY HAECK & FILS INC.";1042184;"05-04-15";"13020,8";"Végétaux"
;;;"TOTAL:";"279449,63";
