,,,,,
VILLE DE MONTRÉAL  ,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,
Listes des bons de commandes approuvés pour SEPTEMBRE 2015,,,,,
,,,,,
,,,,,
Dernier Approbateur,Nom fournisseur,Numéro bon ,Date ,Montant de ,Description
,UNIVERSAL FIELD SUPPLIES,1070061,09-15-15,"214,83",Accessoire vestimentaire
,TENAQUIP LIMITED,1070076,09-15-15,"469,44",Équipement et outillage
,SECURO-VISION INC,1070082,09-15-15,"209,97",Équipement de protection
,GENERAL BEARING SERVICE INC.,1072261,09-24-15,"110,99",Accessoire et pièce de remplacement pour outil
,GLOCO INC.,1072424,09-24-15,"1 124,66",Graine et semence
,EQUIPEMENTS DE SECURITE HOTTE INC,1072639,09-25-15,"1 306,45",Vêtement de travail
,,,,,
"REEVES, GENEVIEVE",TOSHIBA DU CANADA LIMITEE,1020042,09-11-15,"1 574,81",Location - Photocopieur.
,LE DEVOIR,1069244,09-10-15,"8 399,00",Service - Placement média d'avis public
,LE DEVOIR,1069249,09-10-15,"6 282,84",Service - Placement média d'avis public
,CPU DESIGN INC.,1070846,09-17-15,"1 438,35",Ordinateur
,COMPUGEN INC.,1070854,09-17-15,"175,14",Écran
,,,,,
"TROTTIER, PASCAL",LES EDITIONS JURIDIQUES FD INC,1061800,09-15-15,"12,6",Service - Transport de colis
,AECOM CONSULTANTS INC,1068607,09-08-15,"1 903,42",Ingénieur civil - Circulation et transport
,CANADIAN PACIFIC RAILWAY COMPANY,1069445,09-11-15,"3 149,62",Bannière publicitaire
,BOUTY INC,1070098,09-15-15,"285,15",Chaise et fauteuil ergonomique
,MARTECH SIGNALISATION INC.,1070899,09-17-15,"529,97",Panneaux de signalisation
,RENO-DEPOT,1071870,09-23-15,"190,78",Accessoire et pièce de remplacement pour outil
,CPU DESIGN INC.,1071877,09-23-15,"552,23",Logiciel
,BURO PLUS UNE DIVISION DE NOVEXCO INC,1073326,09-29-15,"555,91",Papier d'impression
,KERR NORTON INC.,1073327,09-29-15,"410,67","Encre, toner"
