,,,,,,
"VILLE DE MONTRÉAL  ",,,,,,
"Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce",,,,,,
"Listes des bons de commandes approuvés pour AVRIL 2014",,,,,,
,,,,,,
,,,,,,
,,,,,,
"Dernier Approbateur","Nom fournisseur","Numéro bon ","Date ","Montant de ",,"Description"
,,"954276",17/04/14,"145,19",,"PIÈCES ET ACCESSOIRES"
,"DUFRESNE STANDARD & SPECIAL  INC.","950597",03/04/14,"170,92",,"PIÈCES ET ACCESSOIRES"
,"EQUIPEMENT NCN LTEE","938276",17/04/14,"1 099,33",,"LOCATION - VÉH, OUTILLAGE, ÉQUIPEMENT"
,"FONDERIE LAPERLE","951336",07/04/14,"6 034,67",,"PIÈCES ET ACCESSOIRES"
,"HEWITT EQUIPEMENT LTEE","953542",15/04/14,"473,34",,"PRODUITS CHIMIQUES"
,"LES MAGASINS COLLINS","954181",16/04/14,"699,98",,"VÊTEMENT,CHAUSSURES & ACCESSOIRES"
,"LOCATION GAMMA INC.","948318",17/04/14,"67,20",,"LOCATION - VÉH, OUTILLAGE, ÉQUIPEMENT"
,"PPG REVETEMENTS ARCHITECTURAUX CANADA INC.","919257",17/04/14,"1 075,18",,"PRODUITS CHIMIQUES"
,"RENO-DEPOT","954041",16/04/14,"196,01",,"PIÈCES ET ACCESSOIRES"
,,"954378",17/04/14,"25,88",,"BIENS NON CAPITALISÉS"
,"RICCI, TEASDALE HUISSIERS DE JUSTICE INC.","954546",17/04/14,"199,64",,"SERVICES TECHNIQUES"
,"ST-GERMAIN EGOUTS ET AQUEDUCS INC.","954223",17/04/14,"4 086,70",,"PIÈCES ET ACCESSOIRES"
,,"954237",17/04/14,"3 298,39",,"PIÈCES ET ACCESSOIRES"
,,"954613",22/04/14,"1 793,85",,"PIÈCES ET ACCESSOIRES"
,,"955969",28/04/14,"186,68",,"PIÈCES ET ACCESSOIRES"
,"TENAQUIP LIMITED","954279",16/04/14,"272,14",,"BIENS NON CAPITALISÉS"
,"U. CAYOUETTE INC.","954282",17/04/14,"647,73",,"BIENS NON CAPITALISÉS"
"MERCIER, JEAN","ASSOCIATION QUEBECOISE DU TRANSPORT & DES ROUTES (AQTR)","951048",04/04/14,"933,40",,"FORMATION"
,"LES PUBLICATIONS DU QUEBEC","950584",03/04/14,"104,23",,"LIVRES, PUBLICATIONS"
,"LOCATION D'AUTOS ET CAMIONS DISCOUNT","950045",03/04/14,"181,49",,"ENT-RÉP VÉHICULE ET ÉQUIPEMENT"
,"ORDRE DES INGENIEURS DU QUEBEC","950834",04/04/14,"155,57",,"FORMATION"
"PLANTE, STÉPHANE","ANJALEC CONSTRUCTION INC.","950616",03/04/14,"7 114,26",,"SERVICES TECHNIQUES"
,"CIMA +","950624",03/04/14,"5 185,53",,"HONORAIRES PROFESSIONNELS"
,"DESCHAMPS IMPRESSION INC.","955646",25/04/14,"18,67",,"SERVICES TECHNIQUES"
,"ENTREPRISE ROBERT GREEN INC","950058",25/04/14,"14 718,52",,"BIENS NON CAPITALISÉS"
,"IMPRIMERIE NORECOB INC.","953997",17/04/14,"31 113,21",,"SERVICES TECHNIQUES"
"PLANTE, STÉPHANE","LES ENTREPRISES DE CONSTRUCTION PROFIL INC.","950853",04/04/14,"5 106,54",,"ENT.-RÉP. IMMEUBLE ET TERRAIN"
,"LOCATION HEWITT INC","944539",01/04/14,"12 266,06",,"HONORAIRES PROFESSIONNELS"
,"MLC ASSOCIES INC..","952418",10/04/14,"15 764,03",,"HONORAIRES PROFESSIONNELS"
,"REMORQUES SYLMAR INC","954053",17/04/14,"5 450,40",,"ENT-RÉP VÉHICULE ET ÉQUIPEMENT"
,"SHRED-IT INTERNATIONAL INC.","938191",14/04/14,"1 244,53",,"SERVICES TECHNIQUES"
,"SOCIETE ENVIRONNEMENTALE COTE-DES-NEIGES","954091",17/04/14,"200,00",,"SERVICES TECHNIQUES"
,"TEKNION ROY ET BRETON INC.","955653",25/04/14,"4 842,36",,"FOURNITURES DE BUREAU"
"POLISENO, MARTIN","9028-3870 QUEBEC  INC.","953398",16/04/14,"242,84",,"ENT.-RÉP. IMMEUBLE ET TERRAIN"
,"DENIS LAPRISE","951972",18/04/14,"4 290,76",,"SERVICES TECHNIQUES"
,"ENTREPRISE ROBERT GREEN INC","950643",03/04/14,"2 997,02",,"MATÉRIAUX DE CONSTRUCTION"
,"INOLEC","953298",14/04/14,"150,28",,"PIÈCES ET ACCESSOIRES"
,"JEAN GUGLIA & FILS ENR.","953274",14/04/14,"340,95",,"PIÈCES ET ACCESSOIRES"
,"MIDES PHOTOCOPIEURS & FAX","950622",03/04/14,"163,29",,"ENT. RÉP. - AMEUBLEMENT, ÉQUIP. BUREAU"
,"MINISTRE DES FINANCES","955536",24/04/14,"175,00",,"SERVICES TECHNIQUES"
,"OMEX AGRICULTURE INC.","955840",28/04/14,"180,82",,"PRODUITS CHIMIQUES"
,"RENO-DEPOT","953869",24/04/14,"1 072,19",,"FOURNITURES HORTICOLES"
,"SECURITE LANDRY INC","953308",25/04/14,"1 038,26",,"VÊTEMENT,CHAUSSURES & ACCESSOIRES"
,,"953378",16/04/14,"428,01",,"VÊTEMENT,CHAUSSURES & ACCESSOIRES"
,,"955159",24/04/14,"1 421,68",,"VÊTEMENT,CHAUSSURES & ACCESSOIRES"
,"SOCIETE INTERNATIONALE D'ARBORICULTURE-QUEBEC INC. (S.I.A.Q.)","953260",14/04/14,"3 121,69",,"FORMATION"
"REEVES, GENEVIEVE","LE DEVOIR","955601",28/04/14,"8 296,86",,"PLACEMENTS MÉDIAS"
,"LES EDITIONS YVON BLAIS INC","951739",08/04/14,"114,90",,"LIVRES, PUBLICATIONS"
,"PAPIERS EXPERTS","948072",08/04/14,"119,99",,"FOURNITURES DE BUREAU"
,"THE SUBURBAN","951463",08/04/14,"5 185,53",,"PLACEMENTS MÉDIAS"
,"TRADUCTIONS TERRY KNOWLES INC. (LES)","931218",29/04/14,"2 592,77",,"PLACEMENTS MÉDIAS"
"RENE, DANIELLE","LES EDITIONS YVON BLAIS INC","953859",16/04/14,"119,71",,"LIVRES, PUBLICATIONS"
,"MORNEAU SHEPELL LTD.","953679",16/04/14,"988,00",,"HONORAIRES PROFESSIONNELS"
,"RICCI, TEASDALE HUISSIERS DE JUSTICE INC.","954049",16/04/14,"158,37",,"HONORAIRES PROFESSIONNELS"
"THERRIEN, MICHEL","ACTUALITES COTE-DES-NEIGES INC.","955037",23/04/14,"622,26",,"SERVICES TECHNIQUES"
"THERRIEN, MICHEL","BOO! DESIGN INC.","952316",16/04/14,"285,20",,"PUBLICITÉ, COMMUNICATIONS"
,"CNW-TELBEC INC","951711",11/04/14,"13,21",,"PUBLICITÉ, COMMUNICATIONS"
,"COMMUNICATION DEMO INC.","954242",16/04/14,"47,29",,"SERVICES TECHNIQUES"
,"DENIS PERRAULT","955217",23/04/14,"1 000,00",,"FRAIS DE POSTES"
,"DESCHAMPS IMPRESSION INC.","952377",11/04/14,"565,22",,"SERVICES TECHNIQUES"
,"GROUPE LAURIER","952323",11/04/14,"907,47",,"SERVICES TECHNIQUES"
,"MONTREAL STENCIL INC","951104",11/04/14,"32,28",,"ENT. RÉP. - AMEUBLEMENT, ÉQUIP. BUREAU"
"TROTTIER, PASCAL","ASSOCIATION QUEBECOISE DU TRANSPORT & DES ROUTES (AQTR)","954381",17/04/14,"439,73",,"FORMATION"
,"AUVENTS PRO-TEC INC.","947451",22/04/14,"4 386,96",,"SERVICES TECHNIQUES"
,"DISCOVER COMMUNICATIONS INC","954045",16/04/14,"84,01",,"TÉLÉPHONIE"
,,,"TOTAL:","=SOMME(E11:E136)",,
