,,,,,,
VILLE DE MONTRÉAL  ,,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,,
Listes des bons de commandes approuvés pour juillet 2016,,,,,,
,,,,,,
,,,,,,
Dernier Approbateur,Numéro bon ,Nom fournisseur,Date ,Montant de ,Numéro de,Description
,1140456,,25/07/2016,"872,45",,Réparation/Entretien - Porte et fenêtre
,1136952,AQUATECHNO SPECIALISTES AQUATIQUES ,07/07/2016,"841,57",,Traitement de l'eau
,1140457,,25/07/2016,"4 094,51",,Équipement pour piscine et jeu d'eau
,1140458,,25/07/2016,"647,77",,Équipement pour piscine et jeu d'eau
,1130174,PRODUITS SANY ,25/07/2016,"189,77",1048199,Produit d'entretien ménager
,1131131,,19/07/2016,"640,92",1048199,Produit et équipement d'entretien
,1136058,,05/07/2016,"760,54",1048199,Produit et équipement d'entretien
,1140031,,21/07/2016,"135,96",1048199,Distributeur de produit nettoyant
,1140032,,21/07/2016,"437,01",1048199,Produit et équipement d'entretien
,1140450,ROBERT BOILEAU ,25/07/2016,"972,8",,"Service - Installation, gestion, entretien"
,1138571,SERRURERIE M. GREENE LOCKSMITH INC. ,14/07/2016,"157,48",,Service - Serrurier
,1136994,TENAQUIP LIMITED ,07/07/2016,"253,54",,Fournitures et matériel médical
"GAUDREAULT, SONIA",1140670,LES TRANSPORTS LACOMBE INC ,26/07/2016,"2 677,18",,Service - Déménagement
,1136975,LOCATION BENCH & TABLE INC ,07/07/2016,"797,38",,Location - Équipement de sport
,1137197,,08/07/2016,"556,7",,Location - Meuble
,1137906,LOISIRS SPORTIFS CDN - NDG ,12/07/2016,"2 250,00",,Service - Organisation de festivals et spectacles
,1100832,UBA INC. ,11/07/2016,"4 199,50",,Traitement de l'eau
"GENDRON, DENIS",1137319,2946-8980 QUEBEC INC. ,11/07/2016,"21 476,79",,Stationnement employés juin-décembre 2016
"HOOPER, CHANTAL",1137380,3289419 CANADA (COLLINS) ,11/07/2016,"467,07",,Bottes de sécurité
,1137383,ACKLANDS - GRAINGER INC. ,11/07/2016,"363,78",,Outil manuel
,1138418,ALBERT VIAU DIVISION EMCO CORP. ,14/07/2016,"6 139,30",,Produit de branchement
,1111884,CONSTRUCTION DJL INC,11/07/2016,"1 611,03",,"Asphalte, bitume"
,1137401,DEVELOTECH INC. ,11/07/2016,"284,67",,Outil manuel
,1137389,ENTREPRISES FORLINI-DIVISION ,11/07/2016,"4 829,43",,Signalisation routière
,1137403,HILTI CANADA LTEE ,11/07/2016,"161,71",,Outil manuel
,1137394,LOCATION GAMMA INC. ,11/07/2016,"1 899,46",,Clôture temporaire
,1125866,PEINTURES ENNIS CANADA ULC ,07/07/2016,"703,42",1117207,Peinture de marquage.
,1117386,PEPINIERE A. MUCCI INC. ,11/07/2016,"295,28",,Mélange de terre
,1135977,PRODUITS SANY ,04/07/2016,"58,06",,Équipement d'entretien manuel
,1137244,,08/07/2016,"327,56",1048199,Produit et équipement d'entretien
,1096137,QUINCAILLERIE NOTRE-DAME DE ST-HENRI ,12/07/2016,"37,5",,Tuyauterie et raccord
,1130886,RECOCHEM INC ,14/07/2016,"3 149,62",,"Huile, graisse et lubrifiant"
"HOOPER, CHANTAL",1135976,RENO-DEPOT-RONA ,04/07/2016,"312,86",,"Pile, batterie"
,1137337,,11/07/2016,"135,43",,Outil manuel
,1137420,"RICCI, TEASDALE HUISSIERS DE JUSTICE ",11/07/2016,"128,25",,Huissier de justice
,1137245,ST-GERMAIN EGOUTS ET AQUEDUCS INC.,08/07/2016,"3 272,46",989948,"Chambre de vanne, regard, béton"
,1138220,,13/07/2016,"1 133,86",,Bloc de rempart
,1141092,STORES J. FAUTEUX INC. ,28/07/2016,"2 515,50",,Toiles solaires
,1137391,SWISS ONE SAFETY INC. ,11/07/2016,"708,67",,Équipement de protection
,1137340,U. CAYOUETTE INC. ,11/07/2016,"818,68",,Béton préparé
,1137354,,11/07/2016,"198,95",,Agrégat en vrac
,1137435,,11/07/2016,"125,86",,Peinture
,1135979,WOLSELEY CANADA INC ,04/07/2016,"429,92",,Couvre-sol
"LEGER, APRIL",1140582,SERVICES ENTRETIEN ALPHANET INC. ,26/07/2016,"2 183,30",,Service - Entretien d'immeuble
"LIVERNOCHE, STEPHANE",1137905,"REGIE DU BATIMENT DU QUEBEC, DIRECTION DES LICENCES",12/07/2016,"82,61",,Frais annuel ascenseurs
"OUELLET, MARIE-CLAUDE",1137889,DARREN ELL ,12/07/2016,250,,"Service - Formation, animation d'atelier"
,1140576,GESTION ART SELECT INC ,26/07/2016,"190,07",,Meuble
,1137206,LES TERMINAUX KENMONT INC. ,08/07/2016,"1 574,81",,Réservoir et contenant de stockage
,1107464,PEAUSEIDON EAU DE SOURCE NATURELLE ,13/07/2016,"16,25",,Eau
,1138573,SAFETY-KLEEN CANADA INC. ,14/07/2016,"709,72",,Service - Collecte de matières dangereuses
"PLANTE, STÉPHANE",1139533,ASS. DES GENS D'AFFAIRES DE CDN ,20/07/2016,"15 000,00",,Service - Organisation de festivals et spectacles
,1139536,,20/07/2016,"10 000,00",,"Service - Recherche, étude de marché"
,1110794,CENTRE DE SERVICES PARTAGES DU QC ,13/07/2016,"629,92",,Service - Téléphonie cellulaire
,1140148,CONSTRUCTION RENO MARC ,22/07/2016,"2 803,17",,Entrepreneur en charpentes de bois
,1140192,GABRIELLE MATTE ,22/07/2016,"703,41",,"Service - Infographie, graphisme"
,1139530,MP REPRODUCTIONS INC. ,20/07/2016,"1 198,02",,Service - Impression
,1137900,TURCOTTE DESIGN INC. ,12/07/2016,"10 312,11",,"Concepteur graphique, infographiste"
,1104869,"VALIQUETTE, MARTIN,ET ASSOCIES INC. ",13/07/2016,"18 262,67",,Service d'évaluation de terrain
"POLISENO, MARTIN",1138891,9262-1580 QUEBEC INC. ,18/07/2016,"3 884,54",,"Produit de laboratoire, industriel"
,1125867,ACIER LACHINE INC ,19/07/2016,"31,5",,Baril
,1139544,AEROCHEM INC. ,20/07/2016,"1 833,76",,Dégraisseur
,1138178,ASS. PARITAIRE SANTE & SECURITE MUNIC. ,13/07/2016,305,,Formation en dévelop. organisationnel et technique
,1100807,CENTRE DE TELEPHONE MOBILE LTEE ,13/07/2016,"1 889,77",,Location - Appareil de communication
,1138997,CJ RUIGROK & ZONEN ,18/07/2016,"2 335,24",,Végétaux
,1139347,CREUSAGE RL ,19/07/2016,"706,78",,Service - Traitement/valorisation de mat. organiques
,1139859,FONDERIE LAPERLE ,21/07/2016,"5 674,57",,Produit de branchement
,1135765,GRAVI T ZERO INTERNATIONAL INC. ,04/07/2016,"2 099,75",,Formation en dévelop. organisationnel et technique
,1138896,HORTICULTURE INDIGO ,18/07/2016,"728,23",,Végétaux
,1139589,IMPRESSION MULTI-SOURCES INC. ,20/07/2016,"110,24",,Service - Impression
,1138406,JEAN GUGLIA & FILS ENR. ,14/07/2016,"2 678,96",,Accessoire et pièce de remplacement pour outil
,1130820,LES ENTREPRISES DOUGLAS POWERTECH ,21/07/2016,"541,88",,Réparation de déchiqueteuses
,1139842,,21/07/2016,"4 147,01",,Location - Appareil automobile spécialisé
,,,21/07/2016,"344,44",,Réparation/Entretien - Appareil automobile spécialisé
,1135759,LES PEPINIERES JASMIN LTEE ,04/07/2016,"67,69",,Terre
,1138883,,18/07/2016,"237,27",,Végétaux
"POLISENO, MARTIN",1139550,L.L. LOZEAU LTEE. ,20/07/2016,"70,3",,"Pile, batterie"
,1139361,MONTREAL STENCIL INC ,19/07/2016,"77,01",,"Article, accessoire et équipement de bureau"
,1139427,MULTI-PRESSIONS L.C. INC. ,19/07/2016,"784,27",,Réparation/Entretien - machinerie et équip. industriel
,1138992,PIVIN & DRAPEAU INC ,20/07/2016,"1 485,97",,Réparation/Entretien - Porte et fenêtre
,1128861,PPG REVETEMENTS ARCHITECT. CANADA ,21/07/2016,"173,65",1071552,Peinture - résidentielle et industrielle
,1139439,PRODUITS SANY ,19/07/2016,"641,63",1048199,Produit et équipement d'entretien manuel
,1139947,"RICCI, TEASDALE HUISSIERS DE JUSTICE ",21/07/2016,"220,02",,Service de huissier
,1138166,SANTINEL INC. ,13/07/2016,"109,19",,Formation en dévelop. organisationnel et technique
,1132060,SECURITE LANDRY INC ,19/07/2016,"48,98",,Équipement contre les chutes
,,,19/07/2016,"68,21",,Accessoire et pièce de remplacement pour outil
,1135757,,04/07/2016,"1 821,66",,Équipement contre les chutes
,1139625,,20/07/2016,"79,05",,Accessoire et pièce de remplacement pour outil
,1129198,SERVICES MATREC INC. ,12/07/2016,"62,99",1016984,Service - Frais de transport
,1138408,STINSON EQUIPMENT (QUEBEC) INC. ,14/07/2016,"4 144,03",,Peinture - résidentielle et industrielle
,1097155,TOSHIBA DU CANADA LIMITEE ,21/07/2016,"10,13",,Service d'impression du photocopieur
,1138411,VERMEER CANADA INC. ,14/07/2016,"692,9",,Accessoire vestimentaire
,1139371,,19/07/2016,"245,8",,Accessoire et pièce de remplacement pour outil
,1139357,VORTEX STRUCTURES AQUATIQUES INC ,19/07/2016,"1 624,02",,Entretien/réparation des jeux d'eau
"REEVES, GENEVIÈVE",1141052,ALERTE COURRIER P.M.E. ,28/07/2016,"209,97",,"Service - Postal, messagerie"
,1140741,COMPUGEN INC. ,27/07/2016,"73,7",,Ordinateur et accessoire
,1140742,SHARP ELECTRONIQUE DU CANADA LTEE ,27/07/2016,"4 012,62",949660,Achat de photocopieur
,1135742,THE SUBURBAN NEWSPAPER ,04/07/2016,"8 399,00",,Service - Placement média d'avis public
"THERRIEN, MICHEL",1099732,AGENCE DOUBLE XPRESSO INC. ,18/07/2016,"16 273,06",,"Service - Infographie, graphisme"
,1139009,CENTAURECOM INC. ,18/07/2016,"2 572,19",,Ordinateur et accessoire
,1139013,CONFIDENTIEL DECHIQUETAGE DE DOC. INC. ,18/07/2016,"209,97",,Service - Destruction de documents
,1137775,DIMENSION DPR INC. ,12/07/2016,"866,15",,"Service - Rédaction, révision"
,1137777,DISTRIBUTIONS LG INC. ,12/07/2016,"209,97",,Service - Distribution
,1141054,,28/07/2016,"944,89",,Service - Distribution
,1141055,,28/07/2016,"209,97",,Service - Distribution
,1137779,GENEVIEVE FLAGEOL ,12/07/2016,"1 070,87",,"Service - Infographie, graphisme"
,1139662,IMPRIMERIE REFLET LTEE ,20/07/2016,"6 629,96",,Service - Impression
,1139012,JULIE BEAUVILLIERS ,18/07/2016,"1 500,00",,"Service - Rédaction, révision"
,1137780,KOPEL INC. ,12/07/2016,"979,52",,"Importation, préparation et impression des rapports"
,1139259,LITHO EXPRESS INC. ,19/07/2016,"2 047,26",,Service - Diffusion
,1139260,LOCOMOTIVE INC. ,19/07/2016,"419,95",,"Service - Hébergement (site web, serveur)"
,1137774,ROULEAUX DE PAPIER & RUBANS J.L. INC. ,12/07/2016,"104,88",,"Papier, article de papeterie"
,1137781,S/CES GRAPHIQUES DEUX-MONTAGNES INC. ,12/07/2016,"729,66",,"Service - Infographie, graphisme"
,1140885,SUBSTANCE STRATEGIES NUMERIQUES INC. ,27/07/2016,"2 158,28",,Spécialiste des médias sociaux
,1141053,ULYSSE LEMERISE ,28/07/2016,"1 430,45",,Service - Photographie
"TROTTIER, PASCAL",1138414,LES PUBLICATIONS DU QUEBEC ,14/07/2016,"278,74",,Mise à jour des Normes ouvrages routiers
,1138413,RAYTECH ELECTRONIQUE INC. ,14/07/2016,"452,48",,Réparation/Entretien - Ordinateur et accessoire
,1138544,TRAFIC INNOVATION INC. ,14/07/2016,"8 393,75",,"Équipement de localisation, mesurage"
