,,,,,,
VILLE DE MONTRÉAL  ,,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,,
Listes des bons de commandes approuvés pour octobre 2016,,,,,,
,,,,,,
,,,,,,
Dernier Approbateur,Numéro bon ,Nom fournisseur,Date ,Montant de ,Numéro de,Description
,1156227,ORSINI ENTREPRISE,10-18-16,"2 729,67",,Service - Déneigement Bibliothèque CDN
,1153298,R.M. LEDUC & CIE INC.,10-04-16,"1 901,71",,"Article, accessoire et équipement de bureau"
,1138573,SAFETY-KLEEN CANADA INC.,10-05-16,"16,23",,"Carburant (essence, diesel, kérosène)"
,1153439,STE CANADIENNE DES AUTEURS ET EDITEURS DE MUSIQUE,10-04-16,"1 984,27",,Service - Droit d'auteur
,1096984,TOSHIBA SOLUTIONS D'AFFAIRES,10-18-16,"314,96",,Location - Photocopieur
,1096996,,10-05-16,"2 099,75",,Location - Photocopieur
"GENDRON, DENIS",1093021,CULTURAL ASSET MANAGEMENT GROUP,10-26-16,"1 576,12",,Service - Frais de transport
,1156020,LES ENTREPRISES VENTEC INC,10-18-16,"2 194,24",,Entrepreneur en bâtiments de tout genre
,1158247,LES EQUIPEMENTS D'ARPENTAGE CANSEL INC.,10-27-16,"708,67",,Logiciel et progiciel
"HOOPER, CHANTAL",1156185,3289419 CANADA (COLLINS),10-18-16,"124,01",,Bottes de sécurité
,1154509,ACKLANDS - GRAINGER INC.,10-11-16,"65,49",,Équipement de protection
,1156190,,10-18-16,"89,08",,Outil manuel
,1148458,APSAM ASS. PARITAIRE SANTE & SECURITE AFFAIRES MUNIC.,10-04-16,"75,00",,Service - Formation en santé et sécurité
,1156148,"BELANGER, PIERRE",10-18-16,"61,34",,Composante électronique
,1157717,BOUTY INC,10-25-16,"420,71",,Chaise et fauteuil ergonomique
,1143673,CONFIDENTIEL DECHIQUETAGE DE DOCUMENTS INC.,10-25-16,"341,21",819838,Service - Destruction de documents
,1153907,DILMONT INC.,10-06-16,"519,69",,Produit d'entretien ménager
,1157126,ELECTRONIQUE ADDISON,10-21-16,"94,43",,Étuis de protection pour iPhone
,1155933,GAZTEK INC,10-17-16,"1 206,73",,Réparation détecteur de gaz
,1154005,GESTION P. VENNE INC. - CANADIAN TIRE,10-06-16,"33,59",,Outil manuel
,1153123,HEWITT EQUIPEMENT LTEE,10-03-16,"803,41",,Accessoire et pièce de remplacement pour machinerie
,1158591,,10-28-16,"400,13",,Huile hydraulique
,1137403,HILTI CANADA LTEE,10-04-16,"352,51",,Outil manuel
,1157545,INOLEC,10-25-16,"3 171,97",,Réparation de manipulateur de vanne
,1153040,LAROSE & FILS LTEE,10-03-16,"62,99",,Produit d'entretien ménager
,1157246,MARTECH SIGNALISATION INC.,10-24-16,"133,07",,Signalisation routière
,1153048,MULTI-PRESSIONS L.C. INC.,10-03-16,"517,28",,Accessoire et pièce de remplacement pour outil
,1153061,PPG REVETEMENTS ARCHITECTURAUX CANADA INC.,10-07-16,"694,60",,Peinture - résidentielle et industrielle
,1153313,PRODUITS SANY,10-04-16,"140,89",1048199,Équipement et produit d'entretien
,1156906,,10-21-16,"404,20",1048199,"Produit de papier, papier hygiénique"
,1096137,QUINCAILLERIE NOTRE-DAME DE ST-HENRI INC.,10-04-16,"51,27",,Tuyauterie et raccord
,1130887,RECOCHEM INC,10-28-16,"986,88",,Huile et liquide pour matériel roulant
,1156071,SOUPAPES UNIVERSELLE VALVES,10-18-16,"1 528,09",,Reconditionnement chambre de vanne
,1156171,ST-GERMAIN EGOUTS ET AQUEDUCS INC.,10-18-16,"745,83",989948,"Puisard, chambre de vanne"
,1156955,,10-21-16,"1 212,60",,Bloc de rempart
,1153071,TENAQUIP LIMITED,10-03-16,"24,06",,Pièce de remplacement pour outil
,1154115,,10-06-16,"708,67",,Pulvérisateur universel
,1158548,,10-28-16,"334,45",,Appareil de communication
,1158560,U. CAYOUETTE INC.,10-28-16,"850,34",,Pièce de remplacement pour outil
,1153446,VERMEER CANADA INC.,10-04-16,"45,32",,Accessoire et pièce de remplacement pour outil
"LEGER, APRIL",1157812,SERVICES D'ENTRETIEN ALPHANET INC.,10-26-16,"1 091,65",,Service - Entretien d'immeuble
"LIVERNOCHE, STEPHANE",1157707,BRAULT & BOUTHILLIER LTEE,10-25-16,"881,74",,Tapis évolutif
"OUELLET, MARIE-CLAUDE",1155891,9268-3234 QUEBEC INC.,10-17-16,"997,38",,"Service - Formation, animation d'atelier"
,1157698,DESTINS CROISES,10-25-16,"209,97",,Service - Artiste de la scène
,1153464,LE GROUPE QUADRISCAN,10-04-16,"5 499,25",,Service - Impression
,1156752,LES TRANSPORTS LACOMBE INC,10-20-16,"1 028,88",,Service - Déménagement
,1157731,LOCATION BENCH & TABLE INC,10-25-16,"252,99",,Location - Accessoire et équipement de restauration
,1155140,LOCATION D'AUTOS ET CAMIONS DISCOUNT,10-13-16,"5 700,83",,Location - Automobile et camionnette
,1153437,LOCATION JEAN LEGARE LTEE,10-04-16,"5 249,37",,Location - Automobile et camionnette
,1155881,M V SONORISATION INC.,10-17-16,"288,72",,Location - Équipement de restauration
,1157693,OFFICE NATIONAL DU FILM DU CANADA,10-25-16,"104,99",,Service - Production d'élément d'exposition
,1157421,PPG REVETEMENTS ARCHITECTURAUX CANADA INC.,10-24-16,"16,37",,Matériel artistique
,1157718,SOLOTECH INC,10-25-16,"157,48",,Liquide à fumée
,1157667,TENAQUIP LIMITED,10-25-16,"55,64",,Équipement sécurité
,1155857,LA MAISON DU PEINTRE,10-17-16,"25,49",,Matériel artistique
"PLANTE, STÉPHANE",1154220,ADT DEMENAGEMENT & ENTREPOSAGE INC,10-10-16,"4 824,18",,Service - Déménagement
,1153719,ASSOCIATION DES GENS D'AFFAIRES DE COTE-DES-NEIGES,10-05-16,"2 500,00",,"Service - Recherche, étude de marché"
,1156092,FLORENCE METHOT,10-18-16,"24 725,00",,Urbaniste - Aménagement du territoire
,1157098,INSPIRATIONS DE NOEL INC.,10-21-16,"8 399,00",,Décorations de Noel
,1157085,LEBLANC ILLUMINATIONS-CANADA INC.,10-21-16,"20 710,41",,Décorations de Noel
,1109219,MORNEAU SHEPELL LTD.,10-27-16,"3 000,00",921654,"Conseiller, programme d'aide aux employés"
,1153132,OMBRAGES,10-17-16,"20 857,79",,"Éclairage, lumière"
,1154950,TESSIER RECREO-PARC INC,10-12-16,"10 305,57",,"Service - Installation, gestion, entretien"
"POLISENO, MARTIN",1154541,ABC RECREATION QUEBEC INC.,10-11-16,"146,29",,Accessoire et pièce de remplacement pour outil
,1154716,CORPORATE EXPRESS CANADA INC. (STAPLES AVANTAGE),10-11-16,"167,18",,Filtre à air
,1158522,FASTENAL CANADA LTEE,10-28-16,"39,91",,Accessoire et pièce de remplacement pour outil
,1149078,JARDINS ZEILLINGER,10-04-16,"53,23",,Végétaux
,1149048,LOCATION SAUVAGEAU INC.,10-13-16,"1 521,30",,Location de nacelle
,1153442,MARTECH SIGNALISATION INC.,10-04-16,"391,07",,Signalisation routière
,1153227,NADEAU FORESTERIE URBAINE INC.,10-03-16,"160,63",,"Service - Abattage, émondage, élagage"
,1154356,PLANTATION GABRIEL THIBAULT,10-07-16,"1 380,58",,Végétaux
,1154623,SECURITE LANDRY INC,10-11-16,"80,51",,Vêtement de travail
,1157345,,10-24-16,"43,48",,Accessoire et pièce de remplacement pour outil
,1129203,SERVICES MATREC INC.,10-18-16,"62,99",1016984,Service - Frais de transport
,1156859,SPECIALITE GRACO,10-21-16,"209,45",,Réparation/Entretien - Véhicule lourd
,1145627,STINSON EQUIPMENT (QUEBEC) INC.,10-18-16,"280,65",,Service - Frais de transport
,1155149,TENAQUIP LIMITED,10-13-16,"111,87",,Peinture - aérosol
,1135759,LES PEPINIERES JASMIN LTEE,10-24-16,"71,39",,Service - Frais de transport
"REEVES, GENEVIÈVE",1158625,BRUCE LOCHHEAD,10-28-16,"200,00",,Vétéran pour le jour du Souvenir
,1157687,COMMUNAUTE HELLENIQUE DU GRAND MONTREAL,10-25-16,"365,25",,Location - Salle
,1154414,ENVELOPPE LAURENTIDE INC,10-07-16,"145,29",,Enveloppes
,1147139,TOSHIBA SOLUTIONS D'AFFAIRES,10-25-16,"127,80",,Location – Photocopieur
"THERRIEN, MICHEL",1154652,ALERTE COURRIER P.M.E.,10-11-16,"149,62",,"Service - Postal, messagerie"
,1147994,COLLECTION DRAPEAUX DU MONDE INC.,10-04-16,"334,91",,Drapeau
,1153707,COMMUNICATION MAIN LIBRE INC.,10-05-16,"1 201,50",,Composante électronique
,1157426,DIMENSION DPR INC.,10-24-16,"173,23",,"Service - Infographie, graphisme"
,1153147,DISTRIBUTIONS LG INC.,10-03-16,"1 286,10",,Service - Distribution
,1151408,ENSEIGNES CMD INC.,10-14-16,"6 107,12",,Article promotionnel
,1158143,ENSEIGNES LANDREVILLE,10-27-16,"2 279,28",,"Service - Infographie, graphisme"
,1150996,FOURCHETTE & CIE CUISINE COMMUNAUTAIRE,10-03-16,"108,50",,Service - Traiteur
,1154656,GROUPE COMMUNAUTAIRE L'ITINERAIRE (LE),10-11-16,"304,46",,Service - Distribution
,1151887,IMPRIME-EMPLOI,10-21-16,"9 899,27",,Service - Impression
,1158499,IMPRIMERIES TRANSCONTINENTAL INC.,10-28-16,"3 259,11",,Service - Impression
,1151002,KOPEL INC.,10-07-16,"78,74",,Service - Distribution
,1150799,LE DIPLOMATE AUDIOVISUEL,10-05-16,"2 357,07",,Location - Équipement d'éclairage et de sonorisation
,1155783,LOCOMOTIVE INC.,10-17-16,"524,94",,"Service - Hébergement (site web, serveur)"
,1148293,MP REPRODUCTIONS INC.,10-07-16,"1 625,21",,Service - Impression
,1153138,,10-03-16,"65,30",,Service - Impression
,1154669,,10-11-16,"1 100,90",,Service - Impression
,1154667,PHOTO GRAPHIQUE M.F. INC,10-11-16,"1 763,79",,"Service - Infographie, graphisme"
,1149978,SOLUTIONS INFORMATIQUES INSO INC.,10-20-16,"1 737,02",,Ordinateur et accessoire
,1154661,TABASKO COMMUNICATIONS INC.,10-11-16,"167,98",,"Service - Infographie, graphisme"
,1157155,,10-21-16,"2 099,75",,"Service - Infographie, graphisme"
,,,10-21-16,"3 149,62",,Service - Impression
,1154245,XSQUAD COMMUNICATIONS INC.,10-21-16,"7 133,90",,"Service - Infographie, graphisme"
"TROTTIER, PASCAL",1154835,CENTRE DE SERVICES PARTAGES DU QUEBEC,10-12-16,"278,74",,"Guide, brochure et affiche"
,1156700,CERIU,10-20-16,"629,92",,Service - Formation en développement technique
,1156343,L & T INSTRUMENT INC,10-19-16,"304,46",,Outil manuel
,1153246,MONTREAL STENCIL INC,10-04-16,"55,37",,Article de bureau
,1154518,TRAFFIC LOGIX,10-11-16,"5 588,48",,Mobilier pour protection et sécurité
,1157200,,10-24-16,"1 840,43",,Mobilier pour protection et sécurité
,1156690,WILLIAM SCULLY LIMITEE,10-20-16,"100,37",,Étui standard.
