,,,,,,
"VILLE DE MONTRÉAL  ",,,,,,
"Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce",,,,,,
"Listes des bons de commandes approuvés pour mai 2016",,,,,,
,,,,,,
,,,,,,
"Dernier Approbateur","Nom fournisseur","Numéro bon ","Date ","Montant de ","Numéro de","Description"
,"QUINCAILLERIE J. CARRIER INC",1120956,05-05-16,"104,94",,"Outil manuel"
,"QUINCAILLERIE NOTRE-DAME DE ST-HENRI INC.",1096137,05-25-16,"37,9",,"Outil manuel"
,"REAL HUOT INC.",1125859,05-20-16,"603,68",,"Produit de branchement"
,"SHRED-IT INTERNATIONAL ULC",1105156,05-05-16,"734,91",,"Service - Destruction de documents"
,"STELEM",1127523,05-30-16,"325,46",,"Produit de branchement"
"BOUCHER, DOMINIC","ST-GERMAIN EGOUTS ET AQUEDUCS INC.",1123277,05-10-16,"6 117,62",989948,"Puisard et chambre de vanne"
,,1123280,05-10-16,"923,89",989948,"Puisard et chambre de vanne"
,,1125438,05-19-16,"625,73",989948,"Puisard et chambre de vanne"
,"TENAQUIP LIMITED",1123784,05-12-16,"195,04",,"Outil manuel"
,"WOLSELEY CANADA INC",1127526,05-30-16,"1 350,35",,"Isolant pour conduite"
"BOUTIN, PIERRE","CONSTRUCTION DJL INC",1114915,05-30-16,"8 101,63",1092608,"Asphalte, bitume"
,"DEMIX",1112266,05-20-16,"7 623,41",1109344,"Béton préparé"
,,1112267,05-20-16,"14 446,80",1109344,"Béton préparé"
,"HETEK SOLUTIONS INC",1123776,05-12-16,"9 246,25",,"Caméra à inspection les égouts."
,"HILTI CANADA LTEE",1124904,05-17-16,"614,89",,"Matériel de fixation, clou, vis"
,"LES PAVAGES DANCAR (2009) INC.",1120144,05-11-16,"21 553,93",,"Service - Travail technique en architecture et génie civil"
"CARRIER, RAYMOND","CARR MCLEAN LIMITED",1122468,05-06-16,"279,16",,"Article, accessoire et équipement de bureau"
,"COLLEGE DE BOIS-DE-BOULOGNE",1126773,05-25-16,"4 147,01",,"Service - Formation en développement interpersonnel/relationnel"
,"L'EMPREINTE IMPRIMERIE INC.",1126771,05-25-16,"236,22",,"Service - Impression"
,"LES TRANSPORTS LACOMBE INC",1126792,05-25-16,"1 842,53",,"Palette et caisson"
,"R.M. LEDUC & CIE INC.",1126787,05-25-16,"1 198,84",,"Article, accessoire et équipement de bureau"
,"ROULEAUX DE PAPIER & RUBANS J.L. INC.",1122449,05-06-16,"529,14",,"Papier, article de papeterie"
,,1122458,05-06-16,"86,04",,"Papier, article de papeterie"
"DESJARDINS, STEVE","ENVELOPPE LAURENTIDE INC",1127197,05-27-16,"72,18",,"Service - Impression"
,"L'EMPREINTE IMPRIMERIE INC.",1126894,05-26-16,"524,94",,"Service - Impression"
,"TRADUCTIONS TERRY KNOWLES INC.",1127195,05-27-16,"194,98",,"Service - Rédaction, révision"
"DUPLANTIE, S-ANNE","ENTRAC INC.",1125319,05-18-16,"389,77",,"Conseiller en ergonomie"
,"NATHALIE THIBODEAU",1125960,05-20-16,"8 970,39",,"Architecte"
"FORTIN, ALAIN","EQUIPEMENTS TWIN INC.",1124903,05-17-16,"776,91",,"Réparation/Entretien - Automobile et camionnette"
,"MICHELIN AMERIQUE DU NORD (CANADA INC.)",1108054,05-09-16,"3 518,05",,"Réparation/Entretien - Automobile et camionnette"
,"REMORQUES SYLMAR INC",1124302,05-16-16,"3 763,28",,"Réparation/Entretien - Véhicule utilitaire"
"FRAPPIER, GENEVIEVE","ENTREPRISES FORLINI",1125993,05-20-16,"157,47",,"Botte de sécurité"
,"LES INSTALLATIONS SPORTIVES AGORA INC.",1121020,05-02-16,"356,96",,"Mobilier pour protection et sécurité"
,"PRODUITS SANY",1107471,05-16-16,"10,5",,"Frais de transport"
"GAUDREAULT, SONIA","AMUSEMENT PLUS JEUX GONFLABLES",1126482,05-25-16,"987,41",,"Location - Équipement de sport"
,"CHARLES, CHRISTOPHER",1122321,05-06-16,328,,"Cartes Opus pour la saison estivale mai à août 2016"
,"COMMISSION SCOLAIRE DE MONTREAL (CSDM)",1125465,05-19-16,"7 212,62",,"Location - Salle"
,,1127585,05-30-16,"123,89",,"Location - Salle"
,"COMPUGEN INC.",1127606,05-30-16,"678,98",,"Logiciel"
,"CULTURE MONTREAL",1125971,05-20-16,"45,66",,"Frais - Adhésion et cotisation"
,"FERO TRANSPORT INC.",1121033,05-02-16,"661,42",,"Service - Déplacement de tableau"
,"JEAN GUGLIA & FILS ENR.",1125737,05-19-16,"4 876,10",,"Génératrice"
,"LES AUTOBUS LA MONTREALAISE INC",1127345,05-27-16,"314,96",,"Service - Transport autobus"
"GAUDREAULT, SONIA","LES PRODUCTIONS PASA MUSIK INC.",1127342,05-27-16,"367,46",,"Service - Artiste musical"
,"LES TERMINAUX KENMONT INC.",1126373,05-24-16,"3 388,47",,"Réparation/Entretien - Équipement de sport et terrain de jeux"
,"LOCATION JEAN LEGARE LTEE",1124080,05-13-16,"104,99",,"Service - Transport d'oeuvre d'art"
,,1125852,05-20-16,"179,14",,"Location - Automobile et camionnette"
,"SAKO ELECTRIQUE LTEE",1127352,05-27-16,"1 750,91",,"Électricité"
,"SOLOTECH INC",1126383,05-24-16,"728,78",,"Accessoire et pièce de remplacement pour machinerie"
"GENDRON, DENIS","BOUTY INC",1127564,05-30-16,"7 498,31",1013950,"Achat de chaises"
,"CLOTURE SECUR",1126587,05-25-16,"1 837,28",,"Service - Installation, gestion, entretien"
,"CONSTRUCTION ET EXCAVATION M.A.P. INC.",1126597,05-25-16,"19 895,13",,"Service - Entretien d'immeuble"
,"LES CONSTRUCTIONS ARGOZY INC.",1126907,05-26-16,"934,39",,"Service - Entretien d'immeuble"
,"SAKO ELECTRIQUE LTEE",1123351,05-11-16,"892,39",,"Ingénieur électrique"
,"SOS TECHNOLOGIES ACTION URGENCE",1104946,05-16-16,"19,95",,"Frais de transport"
,"VORTEX STRUCTURES AQUATIQUES INTERNATIONALES INC",1124837,05-17-16,"482,94",,"Équipement et fourniture pour terrain de jeux"
"LEGER, APRIL","SERVICES ENTRETIEN ALPHANET INC.",1122336,05-06-16,"986,66",,"Service - Entretien d'immeuble"
"LIVERNOCHE, STEPHANE","ASCENSEURS INNOVATEC INC.",1121921,05-05-16,"377,95",,"Entrepreneur en ascenseurs et monte-charges"
,"(OMHM) OFFICE MUNICIPAL D'HABITATION DE MTL",1121436,05-03-16,"3 438,34",,"Frais - Permis, frais gouvernemantal"
,"REMORQUAGE MOBILE",1125980,05-20-16,"1 795,29",,"Déplacements des conteneurs 2016"
"OUELLET, MARIE-CLAUDE","AUDIO CINE FILMS INC",1123001,05-10-16,"236,22",,"Location - Film-musique"
,,1123003,05-10-16,"236,22",,"Location - Film-musique"
,"INSTALLATION D.L.",1122345,05-06-16,"776,91",,"Concepteur graphique, infographiste"
,"LATITUDE 45/ ARTS PROMOTION INC.",1122958,05-10-16,"2 992,14",,"Service - Artiste musical"
,"LOCATION D'OUTILS SIMPLEX S.E.C.",1125984,05-20-16,"340,79",,"Réparation - Système hydraulique"
,"LOCATION JEAN LEGARE LTEE",1127609,05-30-16,"1 151,76",,"Location - Automobile et camionnette"
,"MARIE-ANDREE COTE",1122444,05-06-16,250,,"Service - Transport d'oeuvre d'art"
,"MARIE LAVOREL",1127142,05-26-16,100,,"Service - Artiste de la scène"
,"OFFICE NATIONAL DU FILM DU CANADA",1126794,05-25-16,"77,64",,"Service - Artiste visuel"
"PLANTE, STÉPHANE","BIRKS & MAYORS INC.",1125310,05-18-16,"493,78",,"Objet souvenir - Partie des retraités"
,"CAFE 92 DEGRES INC.",1121349,05-03-16,"2 006,61",,"Service - Traiteur"
,,1121352,05-03-16,"4 392,57",,"Service - Traiteur"
,"CONCEPTION RENO",1124818,05-17-16,"1 459,33",,"Service - Scénographie, éclairage et sonorisation"
,"DE BONS PETITS PLATS... PRET A MANGER CUISINE",1125003,05-18-16,"1 090,56",,"Service - Traiteur"
,"DUOSON MULTIMEDIA INC",1125015,05-18-16,"2 727,61",,"Service - Production multimédia"
,"LOCOMOTIVE INC.",1122422,05-06-16,"9 448,87",,"Spécialiste Internet/Web"
,"NATURE-ACTION QUEBEC INC",1121770,05-04-16,"23 625,00",,"Architectes-paysagistes"
,"PLANTE, STÉPHANE",1122418,05-06-16,"2 116,12",,"Frais - Dépenses de fonction"
,"SISCA SOLUTIONS D'AFFAIRES CANADA INC.",1125008,05-18-16,"1 039,38",,"Service - Impression"
,"TEKNION ROY ET BRETON INC.",1126221,05-24-16,"34 116,92",854079,"Bureau (Mobilier système)"
,"ULYSSE LEMERISE",1124823,05-17-16,"293,96",,"Service – Photographie"
"POLISENO, MARTIN","ACKLANDS - GRAINGER INC.",1121456,05-03-16,"31,33",,"Équipement de protection"
,,1123825,05-12-16,"852,79",,"Matériel et outillage pour Graffiti"
,"ARBORECO",1123071,05-10-16,"892,39",,"Service d'excavation à l'air comprimé"
,"VERMEER CANADA INC.",1124308,05-16-16,"191,8",,"Accessoire et pièce de remplacement pour outil"
,"ARBO-DESIGN INC.",1124313,05-16-16,"1 259,85",,"Service d'abattage, essouchement et nettoyage de Parc"
,"BOUTY INC",1126908,05-26-16,"1 206,31",1013950,"Chaise et fauteuil ergonomique"
,"CHAUSSURES BELMONT INC",1126913,05-26-16,"472,34",,"Botte de sécurité"
,"DISTRIBUTION SPORTS LOISIRS G.P. INC.",1126917,05-26-16,"230,56",,"Accessoire de sport"
,"ENTREPRISE ROBERT GREEN INC",1123829,05-12-16,"557,48",,"Clôture, barricade"
,"ENTREPRISES FORLINI",1123832,05-12-16,"123,89",,"Bottes de sécurité"
,"EQUIPEMENTS DE SECURITE HOTTE INC",1124306,05-16-16,"157,47",,"Accessoire vestimentaire"
,"JEAN GUGLIA & FILS ENR.",1121461,05-03-16,608,,"Accessoire et pièce de remplacement pour outil"
,"LA MAISON DU PEINTRE",1114321,05-25-16,"458,75",,"Équipement d'entretien manuel"
,,1124296,05-16-16,"231,64",,"Peinture - résidentielle et industrielle"
,,,05-16-16,"284,21",,"Accessoire et fourniture de peinture"
,"LES DECORATEURS DE MONTREAL INC.",1121466,05-03-16,"409,25",,"Teinture et vernis"
,,1126909,05-26-16,"934,22",,"Teinture et vernis"
,,1127374,05-27-16,"123,84",,"Matière plastique"
,"LES EQUIPEMENTS RAPCO INC",1123827,05-12-16,"327,81",,"Accessoire et pièce de remplacement pour outil"
,"LES PEPINIERES JASMIN LTEE",1118740,05-03-16,"66,14",,"Frais de transport"
,"MATERIAUX DE PLOMBERIE RAY-JEAN INC.",1123826,05-12-16,"1 884,52",,"Accessoire et pièce de remplacement pour outil"
,"PEPINIERE A. MUCCI INC.",1126904,05-26-16,"3 490,83",1074486,"Terre, terreau, compost et engrais"
,"PEPINIERE AUCLAIR ET FRERES (1991) INC.",1123834,05-12-16,700,,"Graine, semence, bulbe et bouture"
,"PLANT PRODUCTS",1123069,05-10-16,"1 368,51",,"Produit d'extermination et de fumigation"
,"PPG REVETEMENTS ARCHITECTURAUX CANADA",1114317,05-25-16,"1 135,48",,"Peinture - résidentielle et industrielle"
,,1123882,05-16-16,"2 075,13",1071552,"Peinture - résidentielle et industrielle"
,,1127586,05-30-16,"1 216,36",1071552,"Peinture - résidentielle et industrielle"
,"PRODUITS SANY",1126605,05-26-16,"371,91",1048199,"Produit d'entretien ménager"
,"QUALITE RIPE INC.",1127207,05-27-16,"1 721,79",,"Service - Abattage, émondage, élagage"
,"SECURITE LANDRY INC",1121446,05-03-16,"414,33",,"Botte de sécurité"
,,1124311,05-16-16,"420,89",,"Outils manuels"
,"SERRUMAX INC",1111162,05-20-16,"2 311,19",,"Service - Serrurier"
,"SERVICES MATREC INC.",1126476,05-25-16,"99,74",,"Location - Toilette chimique"
,,1127054,05-26-16,"99,74",,"Location - Toilette chimique"
,,1127190,05-27-16,"99,74",,"Location - Toilette chimique"
,"STINSON EQUIPMENT (QUEBEC) INC.",1127317,05-27-16,"4 371,20",,"Peinture - résidentielle et industrielle"
,"TENAQUIP LIMITED",1126918,05-26-16,"324,87",,"Accessoire et pièce de remplacement pour outil"
,"TESSIER RECREO-PARC INC",1127377,05-27-16,"1 606,31",,"Équipement et fourniture pour terrain de jeux"
,"TOSHIBA DU CANADA LIMITEE",1097155,05-16-16,"127,06",,"Location - Photocopieur"
"REEVES, GENEVIÈVE","FOURCHETTE & CIE CUISINE COMMUNAUTAIRE",1121323,05-03-16,"167,5",,"Service - Traiteur"
,"LES EDITIONS YVON BLAIS INC",1124166,05-13-16,"68,6",,"Guide, brochure et affiche"
,"SOLUTIONS DOCUMENTAIRES GESTAR INC.",1121322,05-03-16,"1 145,41",,"Logiciel et progiciel"
"THERRIEN, MICHEL","ACTIVE MEDIA INC.",1122652,05-09-16,"19 125,84",,"Ordinateur et accessoire"
,"AZIUS",1125782,05-20-16,"2 536,49",,"Article promotionnel"
,"BOO! DESIGN INC.",1118650,05-03-16,"26,25",,"Frais de transport"
,,1121318,05-03-16,"425,2",,"Service - Sérigraphie"
,"COMPUGEN INC.",1121315,05-03-16,"140,55",888370,"Ordinateur et accessoire"
,"DUOSON MULTIMEDIA INC",1124847,05-17-16,"2 622,06",,"Service - Diffusion"
,"FREDERIC BRUNET",1127203,05-27-16,"1 837,28",,"Service - Artiste musical"
,"IMPRIMERIE F.L. WEB INC.",1122220,05-05-16,"22 581,34",,"Service - Impression"
,"KOPEL INC.",1112112,05-16-16,"979,52",,"Service - Postal, messagerie"
,"LE DIPLOMATE AUDIOVISUEL",1121741,05-04-16,"477,69",,"Location - Équipement d'éclairage et de sonorisation"
,"MEDIAS TRANSCONTINENTAL S.E.N.C",1127204,05-27-16,"748,75",,"Service - Placement média publicitaire"
,"MIDES PHOTOCOPIEURS & FAX",1127196,05-27-16,"398,95",,"Réparation/Entretien - Photocopieur"
,"SOCIETE CANADIENNE DES POSTES",1124843,05-17-16,"10 181,07",,"Service - Postal, messagerie"
"TROTTIER, PASCAL","REMORQUAGE METEOR INC.",1123823,05-12-16,"68,24",,"Service - Remorquage"
