,,,,,
VILLE DE MONTRÉAL  ,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,
Listes des bons de commandes approuvés pour JUIN 2015,,,,,
,,,,,
,,,,,
Dernier Approbateur,Nom fournisseur,Numéro bon de,Date d'approbation,Montant,Description
,SYSTEMES ELECTRO MECANIQUE S.E.M. INC,1050104,03-juin-15,"238,32",Réparation/Entretien - Ordinateur et accessoire
"DESJARDINS, STEVE",ECHAFAUDS PLUS (LAVAL) INC,1054930,23-juin-15,"40,06","Location - Clôture, barricade"
,GROUPE SANTE PHYSIMED INC.,1050274,04-juin-15,"188,98",Formation en développement interpersonnel/relationnel
,L.L. LOZEAU LTEE.,1054916,23-juin-15,"194,13",Appareil Photo
,ROCH SAVARD STRUCTURE-EXPERT INC.,1050597,05-juin-15,"1 522,32",Ingénieur civil - Structure de bâtiment
,SISCA SOLUTIONS D'AFFAIRES CANADA INC.,1051462,09-juin-15,"419,95",Service - Impression
"DUPLANTIE, SYLVIA-ANNE","HELENE DOYON, URBANISTE-CONSEIL INC.",1053957,18-juin-15,"1 606,31",Formation en développement organisationnel et technique
"FORTIN, ALAIN",EQUIPEMENTS TWIN INC.,1054327,19-juin-15,"3 190,89",Réparation/Entretien - Camionnette et fourgonnette
"FRAPPIER, GENEVIEVE",DUBO ELECTRIQUE LTEE,1050106,03-juin-15,"395,77","Éclairage, lumière"
,PRODUITS SANY INC.,1055119,23-juin-15,"288,18",Service - Nettoyage industriel
,SYLPROTEC INC.,1055116,23-juin-15,"535,18",Fournitures et matériel médical
"GAUDREAULT, SONIA",COMMISSION SCOLAIRE DE MONTREAL (CSDM),1055689,26-juin-15,"6 214,23",Location - Salle
,PLOMBERIE DENIS PARADIS INC,1049646,02-juin-15,"251,97",Entrepreneur en plomberie
,TENAQUIP LIMITED,1050187,04-juin-15,"1 330,28",Accessoire et fourniture de décoration
,VITRERIE LEON CHARLEBOIS INC.,1049644,02-juin-15,"930,89",Accessoire et fourniture de décoration
"GENDRON, DENIS",2946-8980 QUEBEC INC.,1053844,17-juin-15,"706,30",Service - Aménagement de bureau
,ADONIS CONSTRUCTION ET DEMOLITION,1055560,26-juin-15,"12 063,06",Construction d'un mur de soutènement
,CLAUDE B. PLANTE,1052488,12-juin-15,"10 000,00",Comptable professionnel agréé
,LE DEVOIR,1054018,18-juin-15,"8 399,00",Service - Placement média d'appel d'offres
,LES SERVICES D'EXTERMINATION MONT-ROYAL INC.,1055551,26-juin-15,"89,24","Service - Extermination, fumigation"
,MAHEU ET MAHEU INC.,1054506,22-juin-15,"346,46","Service - Extermination, fumigation"
,NORD OUVERT INC.,1052462,12-juin-15,"7 349,12","Service - Hébergement (site web, serveur)"
,POMPES & MOTEURS REAL JEAN LTEE,1052481,12-juin-15,"7 649,56","Réparation/Entretien - Bassin d'eau,"
,SOLUTIONS DOCUMENTAIRES GESTAR INC.,1048935,19-juin-15,"1 145,41",Logiciel et progiciel
,TAXI-CHARGE.L'ASSOCIATION DE TAXI DIAMOND DE MONTREAL,1052439,12-juin-15,"524,94",Service - Transport automobile
,TRADUCTIONS TERRY KNOWLES INC.,1021043,22-juin-15,"3 674,56","Service - Rédaction, révision"
"JULIEN, CHANTAL",3289419 CANADA (COLLINS),1049907,03-juin-15,"188,49",Bottes de sécurité
,9262-1580 QUEBEC INC.,1053446,16-juin-15,"2 079,89",Produit d'entretien
,CENTRE PATRONAL DE SANTE ET SECURITE DU TRAVAIL DU QC,1053458,16-juin-15,"607,48",Formation en développement organisationnel et technique
,LA MAISON DU PEINTRE,1028878,02-juin-15,"1 209,64",Accessoire et pièce de remplacement pour outil
,LOCATION GAMMA INC.,1049239,01-juin-15,"90,95",Gaz comprimé
,PPG REVETEMENTS ARCHITECTURAUX CANADA INC.,1028918,01-juin-15,"191,18",Peinture
,SECURMAX,1052835,15-juin-15,"845,15",Appareil électronique
"OUELLET, MARIE-CLAUDE",CANUPEASE INC.,1053671,17-juin-15,"1 522,32","Garage en toile, serre et abris temporaires"
,LOCATION JEAN LEGARE LTEE,1052602,12-juin-15,"76,36","Location - Automobile, camionnette et fourgon"
"PLANTE, STÉPHANE",ACTUALITES COTE-DES-NEIGES INC.,1051092,22-juin-15,"6 614,21",Service - Placement média d'avis public
,ANDRE THIBAULT,1010258,02-juin-15,"800,00",Conseiller en gestion
,BOO! DESIGN INC.,1040301,25-juin-15,"5 249,37","Service - Infographie, graphisme"
,COMMUNICATION MAIN LIBRE INC.,1055547,26-juin-15,"388,45","Pile, batterie"
,CONCEPT AUDIO VISUEL,1050577,05-juin-15,"1 220,91",Service - Conférence
,DISCOVER COMMUNICATIONS INC,1048501,08-juin-15,"754,86",Appareil électronique
,ECOLE DES HAUTES ETUDES COMMERCIALES (HEC),1008318,04-juin-15,"3 189,98",Conseiller en gestion
,ENVELOPPE LAURENTIDE INC,1050669,05-juin-15,"363,03",Service - Impression
,FOURCHETTE & CIE CUISINE COMMUNAUTAIRE,1051084,08-juin-15,"178,00",Breuvage et nourriture
,LES MORDUS DE LA LANGUE INC.,1047857,05-juin-15,"34,12","Service - Rédaction, révision"
,LOCOMOTIVE INC.,1052454,12-juin-15,"524,93","Service - Hébergement (site web, serveur)"
,MONTREAL STENCIL INC,1050558,05-juin-15,"25,46","Article, accessoire et équipement de bureau"
,SHERBROOKE-VALOIS INC.,1050565,05-juin-15,"467,19","Service - Agence de publicité, promotion"
,SOCIETE CANADIENNE DES POSTES,1052823,15-juin-15,"9 230,24","Service - Postal, messagerie"
,SYLVIE DROUIN,1055420,25-juin-15,"11 288,52",Avocat
,ULYSSE LEMERISE,1040302,18-juin-15,"288,71",Service - Photographie
"POLISENO, MARTIN",9028-3870 QUEBEC INC.,1054837,23-juin-15,"1 279,81",Édifice
,ACKLANDS - GRAINGER INC.,1049633,02-juin-15,"150,80",Huile et liquide pour matériel roulant
,,1049634,02-juin-15,"53,65",Accessoire et pièce de remplacement pour outil
,ARBO-DESIGN INC.,1053472,16-juin-15,"1 417,33","Service - Abattage, émondage, élagage"
,BARIL INTERNATIONAL LTEE,1052946,15-juin-15,"91,34",Réservoir et contenant de stockage
,CENTRAL IRRIGATION SUPPLY INC.,1049631,02-juin-15,"415,65",Système d'irrigation et d'arrosage
,CHAUSSURES BELMONT INC,1051405,09-juin-15,"144,34",Soulier de sécurité
,,1054924,23-juin-15,"7,87",Frais de livraison
,DISTRIBUTION SPORTS LOISIRS G.P. INC.,1052948,15-juin-15,"368,25",Accessoire de sport
,EQUIPEMENTS DE SECURITE HOTTE INC,1051365,09-juin-15,"40,95",Équipement de protection
,EQUIPEMENTS ESF INC.,1052862,15-juin-15,"326,93",Outil manuel
,FASTENAL CANADA LTEE,1052944,15-juin-15,"56,80",Accessoire et pièce de remplacement pour outil
,GIVESCO INC.,1052957,15-juin-15,"1 774,28",Couvre-sol
,INDUSTRIES DESORMEAU INC.,1049629,02-juin-15,"1 045,34",Accessoire et pièce de remplacement pour outil
,INOLEC,1052850,15-juin-15,"103,66",Réparation/Entretien - Outil à batterie
,,1052853,15-juin-15,"54,00",Réparation/Entretien - Outil à batterie
,INSTALLATIONS TECHNI-PRO-VAC,1052956,15-juin-15,"288,72",Réparation/Entretien - Outil électrique
,IRRIGLOBE,1053637,17-juin-15,"530,34",Réparation/Entretien - Équipement de sport et terrain de jeux
,LES EQUIPEMENTS RAPCO INC,1040260,15-juin-15,"92,67",Accessoire et pièce de remplacement pour outil
,LES JARDINS W.G. CHARLEBOIS INC.,1053459,16-juin-15,"1 547,94",Végétaux
,LES PEPINIERES JASMIN LTEE,1053468,16-juin-15,"166,93",Végétaux
,LES SERRES VAN MORELL INC.,1053461,16-juin-15,"1 259,85",Végétaux
,LOCATION SAUVAGEAU INC.,1054828,23-juin-15,"330,84",Location - Appareil automobile spécialisé
,O.J. COMPAGNIE,1049635,02-juin-15,"185,83",Équipement pour piscine et jeu d'eau
,PEPINIERE A. MUCCI INC.,1040730,16-juin-15,"4 327,48","Terre, terreau, compost et engrais"
,PUROLATOR COURRIER LTEE,1053444,16-juin-15,"34,54","Service - Postal, messagerie"
,QUINCAILLERIE J. CARRIER INC,1052950,15-juin-15,"381,08",Accessoire et pièce de remplacement pour outil
,SECURITE LANDRY INC,1052844,15-juin-15,"1 608,93",Accessoire vestimentaire
,,1052847,15-juin-15,"304,47",Accessoire et pièce de remplacement pour outil
,SERRUMAX INC,1018679,16-juin-15,"249,26",Service - Serrurier
,STINSON EQUIPMENT (QUEBEC) INC. ,1051402,09-juin-15,"4 095,27",Peinture
,TENAQUIP LIMITED,1052951,15-juin-15,"182,21",Matériel pour communication graphique
,,1053465,16-juin-15,"494,37",
,TOSHIBA DU CANADA LIMITEE,1017398,08-juin-15,"166,51","Photocopieur, télécopieur, imprimante et numériseur"
,VERMEER CANADA INC.,1042303,09-juin-15,"27,92",Service - Transport de colis (Frais de transport)
,,1042993,09-juin-15,"19,04",Service - Transport de colis (Frais de transport)
,,1048521,23-juin-15,"18,35",Service - Transport de colis (Frais de transport)
,,1052949,15-juin-15,"387,19",Accessoire et pièce de remplacement pour outil
,WOLSELEY CANADA INC,1049630,02-juin-15,"126,92",Accessoire et pièce de remplacement pour outil
,,1052953,15-juin-15,"398,09",Accessoire et pièce de remplacement pour outil
"RENE, DANIELLE",ALERTE COURRIER P.M.E.,1052473,12-juin-15,"157,48","Service - Postal, messagerie"
,APSAM ASS. PARITAIRE SANTE & SECURITE AFFAIRES MUN.,1049834,03-juin-15,"150,00",Formation en développement organisationnel et technique
,DESCHAMPS IMPRESSION INC.,1052468,12-juin-15,"21,00",Service - Impression
,EDUMICRO INC,1054011,18-juin-15,"237,27",Service - Formation en informatique
,MONTREAL STENCIL INC,1049842,03-juin-15,"54,85","Article, accessoire et équipement de bureau"
,PGVMEDIA,1053972,18-juin-15,"438,85",Service - Impression
"TROTTIER, PASCAL",DIFFUSION MARKETING,1051891,23-juin-15,"167,98",Signalisation routière
,G. DAVIAULT LTEE,1055390,25-juin-15,"1 312,34",Clôture
,SERVICES DE DISTRIBUTION AJL INC.,1052841,15-juin-15,"5 058,30",Signalisation routière
,TRAFIC INNOVATION INC.,1055045,23-juin-15,"7 519,73",Signalisation routière
,,TOTAL:,,"214 977,56 $",
