,,,,,,
VILLE DE MONTRÉAL  ,,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,,
Listes des bons de commandes approuvés pour août 2016,,,,,,
,,,,,,
,,,,,,
Dernier Approbateur,Numéro bon ,Nom fournisseur,Date ,Montant de ,Numéro de,Description
,1142557,PPG REVETEMENTS ARCHITECTURAUX CANADA INC.,08-05-16,"535,52",,Teinture pour bois
,1142153,PRODUITS SANY,08-03-16,"186,25",1048199,Produit et équipement d'entretien
,1143693,,08-12-16,"457,32",,Produit d'entretien
,1145329,,08-23-16,"166,20",1048199,Produits d'entretien
,1096137,QUINCAILLERIE NOTRE-DAME DE ST-HENRI INC.,08-02-16,"058,14",,Tuyauterie et raccord
,1145377,RECOCHEM INC,08-24-16,"734,91",,Huile et liquide pour matériel roulant
,1137420,"RICCI, TEASDALE HUISSIERS DE JUSTICE INC.",08-24-16,"128,25",,Huissier de justice
,1143660,,08-12-16,"104,37",,Huissier de justice
,1143714,ST-GERMAIN EGOUTS ET AQUEDUCS INC.,08-12-16,"747,51",989948,Dalle de fond pour chambre de vanne
,1141849,STINSON EQUIPMENT (QUEBEC) INC.,08-02-16,"305,03",,Réparation/Entretien - Équipement de sport et terrain de jeux
,1145367,U. CAYOUETTE INC.,08-24-16,"377,58",,"Graine, semence, bulbe et bouture"
,,,08-24-16,"309,80",,"Ciment, mélange à béton ensaché"
"OUELLET, MARIE-CLAUDE",1142609,FUNFILM DISTRIBUTION INC.,08-05-16,"262,47",,"Film, musique, vidéo, banque d'images"
,1141780,GIARD INC.,08-02-16,"3 665,74",,Service - Impression
,1141775,LES FILMS CRITERION PICTURES,08-02-16,"986,87",,"Film, musique, vidéo, banque d'images"
,1141766,LOCATION HEWITT INC,08-02-16,"734,83",,Location - Pompe et compresseur
,1143382,PASTA BAR,08-11-16,"1 732,29",,Service - Traiteur
,1141785,PLOMBERIE F. DUSSAULT INC.,08-02-16,"624,68",,Tuyauterie et raccord
,1142601,SERVICES ENTRETIEN ALPHANET INC.,08-05-16,"1 091,64",,Service - Entretien d'immeuble
,1141783,SIMPLEVU INC.,08-02-16,"991,08",,"Service - Installation, gestion, entretien"
,1141772,TEKNION ROY ET BRETON INC.,08-02-16,"2 893,25",,Meuble
"PLANTE, STÉPHANE",1142348,CARREFOUR JEUNESSE-EMPLOI DE CDN,08-04-16,"240,00",,Service - Signalement
,1110794,CENTRE DE SERVICES PARTAGES DU QUEBEC,08-05-16,"724,41",,Service - Téléphonie cellulaire
,1143513,"DUPLANTIE, SYLVIA-ANNE",08-12-16,"1 380,37",,Frais - Dépenses de fonction
,1141721,LES ENTREPRISES PNH INC,08-02-16,"1 822,58",,Service - impression
"POLISENO, MARTIN",1144432,ACKLANDS - GRAINGER INC.,08-18-16,"345,01",,Machine et équipement de construction
,1145103,GROUPE CAMERON,08-23-16,"608,93",,"Service - Extermination, fumigation"
,1145102,LOCATION D'AUTOS ET CAMIONS DISCOUNT,08-23-16,"866,15",,Location - Fourgonnette
,1141108,LOCATION SAUVAGEAU INC.,08-25-16,"1 438,33",,Location - Fourgonnette
,1140161,PRODUITS SANY,08-18-16,"426,61",1048199,Produit et équipement d'entretien
,1140198,SECURITE LANDRY INC,08-18-16,"500,53",,Accessoire et pièce de remplacement pour outil
,1145624,SERRUMAX INC,08-25-16,"045,83",,Service - Serrurier
,1144423,SERVICES MATREC INC.,08-18-16,"295,34",1016984,Location - Toilette chimique
,1145627,STINSON EQUIPMENT (QUEBEC) INC.,08-25-16,"4 144,03",,Peinture - résidentielle et industrielle
,1097155,TOSHIBA DU CANADA LIMITEE,08-22-16,"011,07",,Service d'impression du photocopieur
,1140200,VERMEER CANADA INC.,08-25-16,"5 018,40",,Accessoire et pièce de remplacement pour outil
"REEVES, GENEVIÈVE",1108968,CENTRE DE SERVICES PARTAGES DU QUEBEC,08-05-16,"1 889,77",,Service - Téléphonie cellulaire
,1143512,COMPUGEN INC.,08-12-16,"073,70",,Ordinateur et accessoire
,1143631,"COPEMAN, RUSSELL",08-12-16,"579,03",,Frais - Inscription congrès
,1142560,MP REPRODUCTIONS INC.,08-05-16,"524,94",,Service - Impression
,1143610,ROGERS AT&T***,08-12-16,"2 099,75",,Service - Téléphonie cellulaire
"THERRIEN, MICHEL",1144122,DISTRIBUTIONS LG INC.,08-17-16,"708,67",,Service - Distribution
,1140369,DUOSON MULTIMEDIA INC,08-24-16,"10 538,73",,Services de webdiffusion des séances du Conseil
,1144120,GENEVIEVE FLAGEOL,08-17-16,"377,95",,"Service - Infographie, graphisme"
,1145579,LAMCOM TECHNOLOGIES INC.,08-24-16,"2 540,70",,"Service - Infographie, graphisme"
,1141507,LITHO EXPRESS INC.,08-01-16,"167,98",,Service - Impression
,1145617,LOCATION GERVAIS (1985) INC.,08-25-16,"933,76",,Location - Accessoire et équipement de restauration
,1144124,LOCOMOTIVE INC.,08-17-16,"1 049,87",,"Service - Hébergement (site web, serveur)"
,1144119,MONTREAL STENCIL INC,08-17-16,"022,90",,Article de bureau
,1143594,ROGERS AT&T***,08-12-16,"1 364,84",,Service - Téléphonie cellulaire
,1145620,SERVICES GRAPHIQUES DEUX-MONTAGNES INC.,08-25-16,"393,70",,"Service - Infographie, graphisme"
"TROTTIER, PASCAL",1144458,BOUTY INC,08-22-16,"2 157,88",,Chaise ergonomique
,1145074,LES EDITIONS JURIDIQUES FD INC,08-22-16,"090,29",,"Guide, brochure et affiche"
,1144296,LES PUBLICATIONS DU QUEBEC,08-17-16,"033,96",,"Guide, brochure et affiche"
