,,,,,,
"VILLE DE MONTRÉAL  ",,,,,,
"Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce",,,,,,
"Listes des bons de commandes approuvés pour NOVEMBRE 2014",,,,,,
,,,,,,
,,,,,,
,,,,,,
"Dernier Approbateur","Nom fournisseur","Numéro bon ","Date ","Montant de ",,"Description"
,"LES PEPINIERES JASMIN LTEE","1002205",11/06/14,"18 667,93",,"BIENS NON CAPITALISÉS"
,"PEPINIERE A. MUCCI INC.","964578",11/21/14,"1 962,07",,"AGRÉGATS ET MAT. DE CONSTRUCTION"
,"PPG REVETEMENTS ARCHITECTURAUX CANADA INC.","1003668",11/12/14,"31,42",,"PRODUITS CHIMIQUES"
,"PREVENTION COTE-DES-NEIGES NOTRE-DAME-DE-GRACE","1003700",11/12/14,"963,50",,"SERVICES TECHNIQUES"
,"PRO SOLAIRE","1004782",11/18/14,"10 785,91",,"BIENS NON CAPITALISÉS"
,"SOCIETE ENVIRONNEMENTALE COTE-DES-NEIGES","1003687",11/12/14,"1 276,00",,"SERVICES TECHNIQUES"
"DESJARDINS, STEVE","GLOBAL UPHOLSTERY CO. INC./GROUPE GLOBAL INC.","1007989",11/28/14,"8 698,73",,"BIENS NON CAPITALISÉS"
,"TRADUCTIONS TERRY KNOWLES INC.","1007991",11/28/14,"101,12",,"SERVICES TECHNIQUES"
"DULIEPRE, JEAN-FRANCOIS","AQUAM SPECIALISTE AQUATIQUE INC.","1007893",11/28/14,"2 379,55",,"PRODUITS CHIMIQUES"
,"DISTRIBUTION SPORTS LOISIRS G.P. INC.","1007887",11/28/14,"378,34",,"PRODUITS CHIMIQUES"
,"GROUPE TRIUM INC.","1007283",11/26/14,"1 782,57",,"VÊTEMENT, CHAUSSURES ET ACC."
,"LOCATION SAUVAGEAU INC.","1005887",11/20/14,"1 221,71",,"BIENS NON DURABLES"
,"PRODUITS SANY INC.","1001716",11/06/14,"172,99",,"BIENS NON DURABLES"
,,"1001737",11/05/14,"278,71",,"BIENS NON DURABLES"
,,"1004546",11/17/14,"260,52",,"BIENS NON DURABLES"
"DUPLANTIE, SYLVIA-ANNE","IDS INTELLIGENT DATA SYSTEMS INC.","1001902",11/05/14,"155,57",,"ENT. RÉP. - AMEUBLEMENT, ÉQUIP. BUREAU"
"FORTIN, ALAIN","REMORQUES SYLMAR INC","1001958",11/06/14,"1 320,76",,"ENT. RÉP. - VÉHICULES, OUT. ET ÉQUIP."
"GAUDREAULT, SONIA","BOUGE DE LA INC.","1007075",11/26/14,"115,90",,"FORMATION"
,"CANADIAN TIRE","1003740",11/12/14,"62,21",,"BIENS NON DURABLES"
,,"996863",11/26/14,"217,77",,"BIENS NON DURABLES"
,"COMITÉ JEUNESSE DE NOTRE-DAME-DE-GRÂCE","1007894",11/28/14,"2 300,00",,"BIENS NON DURABLES"
,"COMMISSION SCOLAIRE DE MONTREAL (CSDM)","1004463",11/17/14,"3 210,18",,"LOCATION D'IMMEUBLES"
,"COMPUMEDIA DESIGN ( CMD )  INC","1007646",11/27/14,"340,18",,"BIENS NON CAPITALISÉS"
,"GROUPE  CONSARTIUM","1007316",11/26/14,"2 572,02",,"BIENS NON CAPITALISÉS"
,"LOISIRS SPORTIFS COTE-DES-NEIGES - NOTRE-DAME-DE-GRACE","1003742",11/12/14,"998,60",,"SERVICES TECHNIQUES"
"GAUDREAULT, SONIA","OMNISON ET LUMIERES","1006458",11/24/14,"2 197,92",,"BIENS NON CAPITALISÉS"
,"ROBERT BOILEAU INC","1003979",11/13/14,"404,53",,"BIENS NON DURABLES"
,,"999993",11/27/14,"207,42",,"BIENS NON DURABLES"
,"STORES J. FAUTEUX INC.","1007312",11/26/14,"5 487,33",,"BIENS NON CAPITALISÉS"
"GENDRON, DENIS","COMAQ, CORPORATION DES OFFICIERS MUNICIPAUX AGREES DU QUEBEC","1007395",11/27/14,"471,88",,"COTISATION PROFESSIONNELLE"
"GERVAIS, ROBERT","BRAULT DRAIN","1007298",11/26/14,"798,57",,"SERVICES TECHNIQUES"
,"CREUSAGE RL","1007303",11/26/14,"396,69",,"SERVICES TECHNIQUES"
,"GIVESCO INC.","1005474",11/19/14,"174,86",,"PIECES & ACCESSOIRES"
,"LES INDUSTRIES MC ASPHALT LTEE","1001588",11/04/14,"974,88",,"PRODUITS CHIMIQUES"
,"MONTREAL STENCIL INC","998373",11/07/14,"29,60",,"FOURNITURES DE  BUREAU"
,"SERVICES MATREC INC.","1006154",11/21/14,"580,78",,"LOC.- VÉHICULES-OUTILLAGE-ÉQUIPEMENT"
,"ST-GERMAIN EGOUTS ET AQUEDUCS INC.","1002126",11/06/14,"329,80",,"PIECES & ACCESSOIRES"
,"TECHNOLOGIES METEOROLOGIQUES MET-TECH INC.","919280",11/26/14,"917,84",,"SERVICES TECHNIQUES"
,"U. CAYOUETTE INC.","1001378",11/04/14,"124,33",,"FOURNITURES HORTICOLES"
,,"1001960",11/05/14,"2 929,00",,"PIECES & ACCESSOIRES"
"PLANTE, STÉPHANE","C.F.H. SECURITE INC","1005248",11/19/14,"1 360,68",,"ENT. RÉP. - IMMEUBLES ET TERRAINS"
,"EXCAVATION KEVIN LUSSIER INC.","1004123",11/13/14,"9 852,52",,"ENT. RÉP. - IMMEUBLES ET TERRAINS"
,"MONTREAL STENCIL INC","1002588",11/07/14,"75,05",,"FOURNITURES DE  BUREAU"
,"MP REPRODUCTIONS INC.","1006745",11/25/14,"33,77",,"FOURNITURES DE  BUREAU"
,"REMORQUAGE BURSTALL CONRAD","930231",11/12/14,"3 059,47",,"SERVICES TECHNIQUES"
,"SERRURIER ONTARIO","1002343",11/06/14,"171,13",,"FOURNITURES DE  BUREAU"
"POLISENO, MARTIN","9048-3173 QUEBEC INC.","994074",11/05/14,"985,25",,"FOURNITURES HORTICOLES"
,"ACE ACCENT CONTROLES ELECTRONIQUES INC","1003194",11/11/14,"2 411,27",,"BIENS NON DURABLES"
,"APSAM ASSOCIATION PARITAIRE SANTE & SECURITE AFFAIRES MUNICIPALES","1006188",11/21/14,"306,00",,"FORMATION"
,"CANADIAN TIRE","1004124",11/13/14,"31,08",,"BIENS NON DURABLES"
,"CHAS GENTMANTEL & FILS LTEE","1001056",11/03/14,"5 133,68",,"BIENS NON CAPITALISÉS"
,,"1001078",11/03/14,"4 666,98",,"BIENS NON CAPITALISÉS"
,,"1001087",11/03/14,"5 021,67",,"BIENS NON CAPITALISÉS"
,"DUBO ELECTRIQUE LTEE","1007426",11/27/14,"25,74",,"BIENS NON CAPITALISÉS"
"POLISENO, MARTIN","ENTREPRISE ROBERT GREEN INC","1007440",11/27/14,"931,32",,"BIENS NON DURABLES"
,"EXTERMINATION TRANS METROPOLE LTEE","960380",11/07/14,"1 068,22",,"SERVICES TECHNIQUES"
,"FASTENAL CANADA LTEE","1004139",11/13/14,"299,06",,"AGRÉGATS ET MAT. DE CONSTRUCTION"
,,"1004144",11/13/14,"189,19",,"BIENS NON CAPITALISÉS"
,"GODBOUT, FREDERIC","1005560",11/20/14,"375,00",,"FORMATION"
,"GRAVI T ZERO INTERNATIONAL INC.","1007471",11/27/14,"5 870,03",,"FORMATION"
,"LAFARGE CANADA INC","1003536",11/12/14,"1 210,11",,"AGRÉGATS ET MAT. DE CONSTRUCTION"
,"LEE VALLEY TOOLS LTD.","1003548",11/12/14,"309,00",,"BIENS NON CAPITALISÉS"
,"PLANTATION GABRIEL THIBAULT","1002510",11/07/14,"1 363,80",,"FOURNITURES HORTICOLES"
,"SERRUMAX INC","937116",11/03/14,"13,97",,"BIENS NON DURABLES"
,"SOCIETE INTERNATIONALE D'ARBORICULTURE-QUEBEC INC. (S.I.A.Q.)","1003258",11/11/14,"133,79",,"FORMATION"
,,"1003280",11/11/14,"308,02",,"FORMATION"
,"TENAQUIP LIMITED","1005435",11/19/14,"47,54",,"BIENS NON DURABLES"
,,"1007445",11/27/14,"1 119,64",,"BIENS NON DURABLES"
,"TOSHIBA SOLUTION D'AFFAIRES","933754",11/27/14,"61,49",,"SERVICES TECHNIQUES"
"REEVES, GENEVIEVE","ACTUALITES COTE-DES-NEIGES INC.","1006019",11/21/14,"2 094,96",,"PLACEMENTS MÉDIAS"
,"BERLINGUETTE, MONIQUE","1001904",11/05/14,"128,78",,"FRAIS DE RÉCEPTION"
,"LE DEVOIR","1006018",11/21/14,"711,02",,"PLACEMENTS MÉDIAS"
,,"990918",11/27/14,"1 866,80",,"PLACEMENTS MÉDIAS"
,"PROVOST, MANON","1002279",11/06/14,"60,59",,"FRAIS DE POSTES"
,"TOSHIBA SOLUTION D'AFFAIRES","931890",11/05/14,"1 140,81",,"LOC.- AMEUBLEMENT, ÉQUIP. DE BUREAU"
"RENE, DANIELLE","ARBITRAMEDIA INC.","1004153",11/13/14,"342,25",,"HONORAIRES PROFESSIONNELS"
,"CENTRE PATRONAL DE SANTE ET SECURITE DU TRAVAIL DU QUEBEC (C P S S T Q )","1005357",11/19/14,"518,55",,"FORMATION"
,"DISCOVER COMMUNICATIONS INC","994727",11/04/14,"10,37",,"TÉLÉPHONIE"
,"EXPERTISE NEUROSCIENCES INC.","1005271",11/19/14,"2 955,75",,"HONORAIRES PROFESSIONNELS"
,"MARC GUERIN ,MD","1001765",11/05/14,"1 763,08",,"HONORAIRES PROFESSIONNELS"
,"RICCI, TEASDALE HUISSIERS DE JUSTICE INC.","1001731",11/05/14,"622,26",,"SERVICES TECHNIQUES"
"THERRIEN, MICHEL","ACTUALITES COTE-DES-NEIGES INC.","1006743",11/25/14,"466,70",,"SERVICES TECHNIQUES"
,"BOO! DESIGN INC.","1002003",11/05/14,"803,76",,"SERVICES TECHNIQUES"
"THERRIEN, MICHEL","BOO! DESIGN INC.","1006741",11/25/14,"1 731,97",,"PLACEMENTS MÉDIAS"
,,"991930",11/19/14,"700,05",,"PLACEMENTS MÉDIAS"
," LE MAGASIN DES COMMERCANTS S&P LTEE","991159",11/21/14,"6,22",,"BIENS NON CAPITALISÉS"
"TROTTIER, PASCAL","APSAM ASSOCIATION PARITAIRE SANTE & SECURITE AFFAIRES MUNICIPALES","1001016",11/03/14,"305,00",,"FORMATION"
,"LOCATION D'AUTOS ET CAMIONS DISCOUNT","975909",11/27/14,"736,35",,"LOC.- VÉHICULES-OUTILLAGE-ÉQUIPEMENT"
,"MP REPRODUCTIONS INC.","940279",11/13/14,"15,56",,"FOURNITURES DE  BUREAU"
,,,"TOTAL:","240 242,51",,
