,,,,,,
VILLE DE MONTRÉAL  ,,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,,
Listes des bons de commandes approuvés pour AVRIL 2015,,,,,,
,,,,,,
,,,,,,
Dernier Approbateur,Nom fournisseur,Numéro bon ,Date ,Montant de ,,Description
"POLISENO, MARTIN",CEGEP MARIE-VICTORIN,1039472,21/04/15,"185,60",,Formation
,CHAS GENTMANTEL & FILS LTEE,1037916,14/04/15,"7 605,29",,Outil électrique
,,1039006,17/04/15,"52,49",,Outils
,CHAUSSURES BELMONT INC,1039003,17/04/15,"146,93",,Botte
,DENDROTIK INC.,1039001,17/04/15,"686,36",,Outils
,EQUIPEMENTS ESF INC.,1038831,17/04/15,"417,31",,Outils
,EXTERMINATION TRANS METROPOLE LTEE,1036305,02/04/15,"5 249,37",,Service - Extermination
,FASTENAL CANADA LTEE,1026163,21/04/15,"21,73",,Frais de transport
,,1038834,17/04/15,"524,85",,Gant
,FERTILEC LTEE,1038830,17/04/15,"1 640,43",,Couvre-sol
,JEAN GUGLIA & FILS ENR.,1038734,16/04/15,"1 494,29",,Outils
,,1038748,16/04/15,"1 248,22",,Machine et équipement d'aménagement paysager
,LEE VALLEY TOOLS LTD.,1038740,16/04/15,"425,66",,Fourniture horticole
,LES EQUIPEMENTS RAPCO INC,1040260,23/04/15,"757,39",,Outils
,MATERIAUX DE PLOMBERIE RAY-JEAN INC.,1041090,28/04/15,"24,93",,Outils
,RCI ENVIRONNEMENT,860019,08/04/15,"239,78",,Location - Toilette chimique
"POLISENO, MARTIN",SECURITE LANDRY INC,1036311,02/04/15,"456,70",,Accessoire vestimentaire
,,1038728,16/04/15,"85,48",,Équipement contre les chutes
,,1038732,16/04/15,"587,93",,Équipement contre les chutes
,,1038762,16/04/15,"114,70",,Outils
,,1038835,17/04/15,"469,42",,Accessoire vestimentaire
,,1039008,28/04/15,"200,03",,Équipement contre les chutes
,,1041092,28/04/15,"467,20",,Accessoire vestimentaire
,,1041095,28/04/15,"472,45",,Accessoire vestimentaire
,SECURO-VISION INC,1039007,17/04/15,"209,97",,Équipement de protection individuelle
,"SIMARD, DANIELE",1036761,08/04/15,"150,00",,Frais - Déplacement
,STINSON EQUIPMENT (QUEBEC) INC.,1039004,17/04/15,"4 095,27",,Peinture - résidentielle et industrielle
,TENAQUIP LIMITED,1038829,17/04/15,"640,17",,Outils
,,1039466,21/04/15,"348,10",,Produit d'hygiène corporelle
,TOSHIBA DU CANADA LIMITEE,1017398,02/04/15,"93,03",,Location - Photocopieur
,TRAFFIC LOGIX,1036115,01/04/15,"20 519,81",,Signalisation lumineuse
,,,,,,
"REEVES, GENEVIEVE",2946-8980 QUEBEC INC.,1038847,17/04/15,"201,63",,Réparation de serrures
,ACTUALITES COTE-DES-NEIGES INC.,1040306,23/04/15,"2 813,66",,Placement média d'avis public
,"GAUTHIER, VIVIANE",1034758,03/04/15,"701,00",,Café pour les élus
,KERR NORTON INC.,1037006,09/04/15,"534,62",,Papeterie
,LE DEVOIR,1036994,09/04/15,"5 249,37",,Placement média d'appel d'offres
,LES EDITIONS YVON BLAIS INC,1037003,09/04/15,"115,95",,Frais de port et manutention
,MONTREAL STENCIL INC,1037009,09/04/15,"32,66",,Article de bureau
,"TCHITACOV, AKI",1002259,24/04/15,"24,00",,Dépenses de fonction
,WOLTERS KLUWER QUEBEC LTEE,1037000,09/04/15,"447,00",,Article de bureau
,,,,,,
"RENE, DANIELLE",EXPERTISE NEUROSCIENCES INC.,1040574,24/04/15,"2 771,67",,Médecin
,PIERRE LAPLANTE ET ASSOCIES INC.,1032126,23/04/15,"209,97",,Avocat
,PIERRE LEGENDRE,1037116,09/04/15,"1 364,84",,Médecin
,"VALENTINE, EGAN",1037104,09/04/15,"170,00",,Traducteur
,,,,,,
"TROTTIER, PASCAL",BENTLEY SYSTEMS INC.,1035955,01/04/15,"6 632,86",,Soutien informatique
,LES PUBLICATIONS DU QUEBEC,1037537,13/04/15,"72,39",,Livre
,,1037540,13/04/15,"62,46",,Livre
,LOCATION D'AUTOS ET CAMIONS DISCOUNT,975909,01/04/15,"745,41",,Location - Automobile
,,975921,01/04/15,"1 534,01",,Location - Automobile
,TENAQUIP LIMITED,1037413,10/04/15,"188,37",,Outil manuel
,CPU DESIGN INC.,1041249,29/04/15,"52,49",,Logiciel et progiciel
,PEPINIERE AUCLAIR ET FRERES (1991) INC.,1041215,29/04/15,"19 241,00",,Arbres
,PETITE CAISSE VILLE DE MONTREAL,1040178,23/04/15,"334,19",,Petite caisse
,,,,,,
,,,TOTAL:,"222 518,31",,
