,,,,,,
VILLE DE MONTRÉAL  ,,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,,
Listes des bons de commandes approuvés pour décembre 2016,,,,,,
,,,,,,
,,,,,,
Dernier Approbateur,Numéro bon ,Nom fournisseur,Date ,Montant de ,Numéro de,Description
,1171281,CORP. DES OFFICIERS MUNIC. AGREES DU QC,12-20-16,"519,69",,Frais - Adhésion et cotisation
,1168346,ENGLOBE CORP.,12-08-16,"5 564,34",,Conseiller - Protection et contrôle de la qualité du sol
,1166354,GROUPE SANYVAN INC.,12-01-16,"3 807,58",,Service - Vidange de puisards
,1166355,,12-01-16,"755,91",,Service - Vidange de puisards
,1170046,L'AIDE A L'AUTONOMIE PHYSIQUE ET PROFESSIONNELLE INC.,12-15-16,"6 299,25",,Conseiller en ergonomie
,1169707,LES TERRASSEMENTS MULTI-PAYSAGES INC.,12-14-16,"5 963,10",,Travaux d'excavation et de remblayage
,1154950,TESSIER RECREO-PARC INC,12-14-16,"215,22",,Service - Transport de valeurs
"HOOPER, CHANTAL",1167069,ACKLANDS - GRAINGER INC.,12-05-16,"181,06",,Outil manuel
,1167043,AEROCHEM INC.,12-05-16,"1 833,76",,"Huile, graisse et lubrifiant"
,1166307,ALBERT VIAU DIVISION EMCO CORPORATION,12-01-16,"297,01",,Hors entente Produit de branchement
,1163736,CIE DE CHEMIN DE FER DU CANADIEN PACIFIQUE,12-16-16,"984,26",,Service - Signalement
,1171341,E/SES FORLINI-DIVISION EQUIP. DE SECURITE UNIVERSEL INC.,12-20-16,"81,89",,Hors entente Accessoire vestimentaire
,1171892,,12-22-16,"125,98",,Hors entente Botte de travail
"HOOPER, CHANTAL",1167105,GAZTEK INC,12-05-16,"289,77",,Bombonne pour les capteurs de gaz
,1166788,GESTION P. VENNE INC. - CANADIAN TIRE,12-02-16,"83,95",,Équipement - Véhicule et appareil
,1170835,GUAY INC.,12-19-16,"2 431,25",,Location de grue.
,1166796,HERCULES SLR INC,12-02-16,"190,12",,"Corde, chaîne et câble"
,1168166,,12-07-16,"176,38",,Crochet et goupille
,1170194,HETEK SOLUTIONS INC,12-15-16,"220,47",,Réparation de conduit d'aqueduc
,1166382,IMPRESSION MULTI-SOURCES,12-01-16,"182,57",,Service - Impression
,1168857,,12-09-16,"83,99",,Formulaire
,1153040,LAROSE & FILS LTEE,12-16-16,"8,71",,Service - Frais de transport
,1171706,"LES DISTRIBUTIONS B.M.B. (1985), S.E.C.",12-21-16,"2 905,01",,Bois de construction
,1171729,LINDE CANADA LIMITEE,12-21-16,"988,66",,Hors entente Gants
,1141076,LOCATION D'AUTOS ET CAMIONS DISCOUNT,12-02-16,"745,41",,Location - Automobile
,1145102,,12-02-16,"1 364,13",,Location - Camionnette
,1166704,,12-02-16,"104,99",,Location - Fourgonnette
,1171356,,12-20-16,"209,98",,Location - Fourgonnette
,1171748,LONGUS EQUIPEMENT INC.,12-21-16,"80,31",,"Hors entente Matériel de fixation, clou, vis"
,1168153,ONOMAT CANADA INC.,12-07-16,"781,48",,Outil manuel
,1140507,PEPINIERE A. MUCCI INC.,12-19-16,"465,88",1074486,Mélange de terre
,1138992,PIVIN & DRAPEAU INC,12-07-16,"178,48",,Réparation - Barrière
,1167965,PRODUITS SANY,12-07-16,"302,15",1048199,Équipement et produit d'entretien
,,,12-07-16,"308,03",,Hors entente Produit d'entretien ménager
,1096137,QUINCAILLERIE NOTRE-DAME DE ST-HENRI INC.,12-15-16,"81,74",,Tuyauterie et raccord
,1161983,RENE JUILLET,12-16-16,"78,74",,Frais de kilométrage - Formateur
,1147825,REVOLUTION ENVIRONMENTAL SOLUTIONS LP,12-02-16,"1 108,90",,Hors entente Service - Collecte de matières dangereuses
,1169962,SECURITE LANDRY INC,12-15-16,"442,48",,Hors entente Bottes thermique monteur et élagueur
,1170774,,12-19-16,"442,48",,Hors entente Bottes thermique monteur et élagueur
,1171944,,12-22-16,"374,61",,Hors entente Bottes de travail
,1129211,SERVICES MATREC INC.,12-13-16,"62,99",1016984,Transport de toilettes chimiques
,1149671,,12-13-16,"93,96",1016984,Location - Toilette chimique
,1169317,SOUPAPES UNIVERSELLE VALVES,12-13-16,"1 423,11",,Hors entente Puisard et chambre de vanne
,1167858,U. CAYOUETTE INC.,12-07-16,"62,74",,Calfeutrage et scellant
,1168848,,12-09-16,"226,73",,Équipement de détection
,1171738,VERMEER CANADA INC.,12-21-16,"692,90",,Hors entente Vêtements de travail
"LIVERNOCHE, STEPHANE",1157707,BRAULT & BOUTHILLIER LTEE,12-08-16,"5,25",,Service - Frais de transport
,1166633,TENAQUIP LIMITED,12-02-16,"279,48",,Système d'irrigation et d'arrosage
"OUELLET, M.-CLAUDE",1171630,BAOBAB FAMILIAL,12-21-16,"240,00",,Service - Traiteur
,1166347,BUREAU EN GROS,12-01-16,"329,81",,Fourniture de classement et de rangement
,1166735,LES COUVRE-PLANCHERS SOLATHEQUE INC.,12-02-16,"1 758,54",,Tapis amovible
,1170662,LES FILMS CRITERION PICTURES,12-16-16,"750,65",,Location - Film
,1141766,LOCATION HEWITT INC,12-20-16,"115,49",,Équipement de manutention
,1171788,MP REPRODUCTIONS INC.,12-22-16,"298,43",,Service - Impression
,1168253,M V SONORISATION INC.,12-08-16,"2 350,01",,Équipement d'éclairage et de sonorisation
,1157718,SOLOTECH INC,12-08-16,"15,75",,Service - Frais de transport
,1170740,,12-19-16,"2 290,59",,Fil et câble électrique
,1105266,QUINCAILLERIE COTE DES NEIGES,12-02-16,"23,90",,Accessoire et pièce de remplacement pour outil
"PLANTE, STÉPHANE",1171479,CATHERINE PLANET,12-21-16,"3 050,00",,Service - Artiste musical
,1169039,CUISINE-ATOUT ENTREPRISE D'INSERTION INC.,12-19-16,"3 208,25",,Service traiteur
,1170930,"GAUDREAULT, SONIA",12-19-16,"1 470,00",,"Frais - Déplacement, hébergement et repas"
,1169766,LEBLANC ILLUMINATIONS-CANADA INC.,12-14-16,"2 519,70",,Décorations de Noël
,1167412,LES ENTREPRISES MARSOLAIS INC.,12-08-16,"541,23",,Décorations de Noël
,1102579,REMORQUAGE BURSTALL CONRAD,12-21-16,"11 890,88",,Service - Remorquage
,1163930,RESTAURANT KARAVAN INC.,12-19-16,"188,80",,Service - Traiteur
,1096134,TRANSVRAC MONTREAL LAVAL INC.,12-16-16,"3 958,03",,Service - Collecte de matières organiques
,1164021,XSQUAD COMMUNICATIONS INC.,12-09-16,"587,93",,"Service - Infographie, graphisme"
"REEVES, GENEVIÈVE",1168319,ALERTE COURRIER P.M.E.,12-08-16,"49,92",,"Service - Postal, messagerie"
,1108968,CENTRE DE SERVICES PARTAGES DU QUEBEC,12-05-16,"1 574,81",,Service - Téléphonie cellulaire
,1166350,ELIZABETH JUTRAS-TARAKDJIAN,12-01-16,"3 638,11",,"Service - Rédaction, révision"
,1166351,THE SUBURBAN NEWSPAPER,12-01-16,"1 777,33",,Service - Placement média d'avis public
"THERRIEN, MICHEL",1169458,ALERTE COURRIER P.M.E.,12-13-16,"42,08",,"Service - Postal, messagerie"
,1169453,ASSOCIATION POUR LA SANTE PUBLIQUE DU QC,12-13-16,"656,17",,Frais - Inscription pour colloque
,1171114,AVEC PLAISIRS,12-20-16,"402,10",,Service - Traiteur
,1166958,CAMILLE GELINAS,12-05-16,"250,00",,Service - Artiste musical
,1162622,COMMUNICATION MAIN LIBRE INC.,12-21-16,"162,00",,Batteries
,1168456,ENSEIGNES LANDREVILLE,12-08-16,"4 262,49",,"Service - Infographie, graphisme"
,1166965,FOURCHETTE & CIE CUISINE COMMUNAUTAIRE,12-05-16,"206,75",,Service traiteur
,1169511,,12-13-16,"110,50",,Service traiteur
,1170553,GROUPE COMMUNAUTAIRE L'ITINERAIRE (LE),12-16-16,"157,48",,Service - Distribution
,1166977,GROUPE DE SECURITE GARDA SENC,12-05-16,"674,21",,"Service - Agence de sécurité, gardiennage"
,1166160,IMPRIME-EMPLOI,12-01-16,"759,06",,Service - Impression
,1168450,,12-08-16,"713,74",,Service - Impression
,1114320,LES MORDUS DE LA LANGUE INC.,12-13-16,"23,62",,"Service - Rédaction, révision"
,1170547,LOCATION BENCH & TABLE INC,12-16-16,"335,44",,Location - Meuble
,1169504,LOCATION GERVAIS (1985) INC.,12-13-16,"1 116,23",,Location - Accessoire et équipement de restauration
,1166939,LOCOMOTIVE INC.,12-05-16,"1 049,87",,"Service - Hébergement (site web, serveur)"
,1166718,MIDES PHOTOCOPIEURS & FAX,12-02-16,"132,18",,Réparation/Entretien - Imprimante
,1170856,SERVICES PROFESSIONNELS BRIO INC.,12-19-16,"226,99",,Fourniture et installation de câble
,1170552,SHERBROOKE-VALOIS INC.,12-16-16,"939,64",,Service - Placement média d'avis public
,1171115,SIGNATURE DESIGN COMMUNICATION,12-20-16,"1 275,60",,"Concepteur graphique, infographiste"
,1166980,SOCIETE CANADIENNE DES POSTES,12-05-16,"15,35",,"Service - Postal, messagerie"
,1157155,TABASKO COMMUNICATIONS INC.,12-13-16,"2 099,75",,"Service - Infographie, graphisme"
,1170556,THE SUBURBAN NEWSPAPER,12-16-16,"703,42",,Service - Placement média publicitaire
,1140369,DUOSON MULTIMEDIA INC,12-21-16,"2 863,01",,Services de webdiffusion
,1113544,JEAN BEAUDIN,12-08-16,"1 800,24",,"Service - Infographie, graphisme"
,1103910,ROBERT DEVOST GRAPHISTE INC.,12-13-16,"197,38",,"Service - Infographie, graphisme"
,1103399,TRADUCTIONS TOM DONOVAN INC.,12-20-16,"1 679,80",,"Service - Rédaction, révision"
"TROTTIER, PASCAL",1168051,ASSOCIATION QUEBECOISE DES TRANSPORTS,12-07-16,"355,28",,Formation en développement organisationnel et technique
,1170629,,12-16-16,"567,56",,Formation en développement organisationnel et technique
