,,,,,,
VILLE DE MONTRÉAL  ,,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,,
Listes des bons de commandes approuvés pour avril 2016,,,,,,
,,,,,,
,,,,,,
Dernier Approbateur,Nom fournisseur,Numéro bon ,Date ,Montant de ,Numéro de,Description
,TESSIER RECREO-PARC INC,1120892,04-29-16,"9 927,62",,Équipement et fourniture pour terrain de jeux
"CARRIER, RAYMOND",BRAULT & BOUTHILLIER LTEE,1098765,04-21-16,"1,15",,"Papier, article de papeterie"
,COMPUGEN INC.,1120637,04-28-16,"183,73",,Ordinateur et accessoire
,LES DISTRIBUTRICES SYBCO LTEE,1113204,04-21-16,"1 049,87",,"Service - Installation, gestion, entretien"
"DESJARDINS, STEVE",DESCHAMPS IMPRESSION INC.,1118557,04-19-16,"524,94",,Service - Impression
,IMPRIMERIE MULTI-FORMAT,1119529,04-22-16,"209,97",,Service - Numérisation de documents
,INGETEC EXPERTS-CONSEILS EN BATIMENTS INC,1118556,04-19-16,"1 574,81",,Ingénieur civil - Structure de bâtiment
"DUPLANTIE, S-ANNE",COMPUGEN INC.,1117473,04-14-16,"0,00",,Logiciel et progiciel
,NISSAN CANADA FINANCE,1117472,04-14-16,"8 775,56",,Achat Automobile.
"FRAPPIER, GENEVIEVE",CIMCO REFRIGERATION TOROMONT INDUSTRIE,1119496,04-22-16,"755,91",,"Service - Installation, gestion, entretien"
,HUSS SPORTS LTEE,1115377,04-06-16,"55,64",,Accessoire de sport
,LES AUTOBUS LA MONTREALAISE INC,1114712,04-01-16,"913,39",,Service - Transport autobus
,LES INSTALLATIONS SPORTIVES AGORA INC.,1115794,04-07-16,"624,68",,Réparation/Entretien - Porte et fenêtre
,PRODUITS SANY,1116026,04-07-16,"548,51",1048199,Équipement et produit d'entretien
,,1119074,04-21-16,"156,43",1048199,Équipement et produit d'entretien
,,1120830,04-29-16,"722,08",,Produit d'entretien ménager
"GAUDREAULT, SONIA",ALLIANCE QUEBECOISE DU LOISIR PUBLIC,1119579,04-25-16,"2 446,21",,Formation en développement interpersonnel/relationnel
,ASS. PARITAIRE SANTE & SECUR. AFFAIRES MUNIC.,1119251,04-22-16,"200,00",,Formation en santé et sécurité
,CAFE 92 DEGRES INC.,1115379,04-06-16,"149,22",,Breuvage et nourriture
,CHAUSSURES BELMONT INC,1115848,04-07-16,"257,19",,Chaussure de sécurité
,COMMISSION SCOLAIRE DE MONTREAL (CSDM),1119499,04-22-16,"4 827,87",,Location - Salle
,COMMISSION SPORTIVE MONTREAL CONCORDIA,1117103,04-13-16,"34,32",,Vêtement de travail
,,1117106,04-13-16,"1 044,20",,Vêtement de travail
,,1117108,04-13-16,"2 088,35",,Vêtement de travail
"GAUDREAULT, SONIA",COMPUGEN INC.,1119488,04-22-16,"617,55",,Logiciel et progiciel
,FOURCHETTE & CIE CUISINE COMMUNAUTAIRE,1116290,04-08-16,"360,00",,Service - Traiteur
,HONEYWELL LTEE,1115380,04-22-16,"14 349,75",,Réparation/Entretien - Appareil et système de climatisation
,OVIZION INC.,1115168,04-05-16,"157,48",,"Location - Film-musique, vidéo, banque d'images"
,"RICHARD, CAROLINE",1120024,04-26-16,"1 183,82",,"Frais - Déplacement, hébergement et repas"
,"ROBILLARD, MYLENE",1120022,04-26-16,"1 532,66",,"Frais - Déplacement, hébergement et repas"
,SISCA SOLUTIONS D'AFFAIRES CANADA INC.,1117113,04-13-16,"309,71",,Service - Impression
,,1117121,04-13-16,"288,72",,Service - Impression
,,1117125,04-13-16,"68,24",,Service - Impression
,,1117126,04-13-16,"803,15",,Service - Impression
,"THIBAULT, YANICK",1120018,04-26-16,"1 330,45",,"Frais - Déplacement, hébergement et repas"
"GENDRON, DENIS",CARDIN RAMIREZ JULIEN INC.,1117358,04-13-16,"6 482,98",,Ingénieur civil - Structure de bâtiment
,CORP. DES OFFICIERS MUNIC. AGREES DU QC,1115299,04-05-16,"713,91",,Frais - Inscription pour colloque et congrès
,DIMENSION DPR INC.,1115490,04-06-16,"173,23",,Service - Photographie
,L'AIDE A L'AUTONOMIE PHYSIQUE ET PROF.,1118405,04-19-16,"5 479,04",,Conseiller en ergonomie
,LES E/SES DE CONSTRUCTION PROFIL INC.,1117079,04-13-16,"475,59",,"Service - Décontamination, contrôle des odeurs"
,TEKNION ROY ET BRETON INC.,1120232,04-27-16,"8 586,23",854079,Bureau (Mobilier système)
,"TYCO FEU ET SECURITE INTEGRES CANADA, INC.",1105075,04-13-16,"28,35",,"Service - Agence de sécurité, gardiennage"
"OUELLET, MARIE-CLAUDE",ANDRE LAVOIE,1115328,04-05-16,"209,97",,"Service - Formation, animation d'atelier"
,,1115384,04-06-16,"419,95",,"Service - Formation, animation d'atelier"
,AUDIO CINE FILMS INC,1115325,04-05-16,"236,22",,"Location - Film-musique, vidéo, banque d'images"
,CAPSANA INC.,1120662,04-28-16,"136,95",,Service - Traiteur
,CRE CONSEIL REG. DE L'ENVIRONNEMENT DE MTL,1120671,04-28-16,"400,00",,Achat de billet
,DESCHAMPS IMPRESSION INC.,1119571,04-25-16,"21,00",,Service - Impression
,DESPRES LAPORTE INC,1117145,04-13-16,"3 196,91",,Accessoire et équipement de restauration
,FESTIVAL INTERNATIONAL DU FILM POUR ENFANTS,1115326,04-05-16,"472,44",,"Location - Film-musique, vidéo, banque d'images"
,JULIEN LEBLOND,1115072,04-05-16,"425,20",,Déménagement et entretien de piano
,LES COUVRE-PLANCHERS SOLATHEQUE INC.,1115167,04-05-16,"367,46",,Tapis amovible
,LOCATION D'OUTILS SIMPLEX S.E.C.,1117154,04-13-16,"1 317,91",,Entrepreneur en autres types d'appareils élévateurs
,LVP.CA,1115327,04-05-16,"566,93",,Service - Impression
,,1117138,04-13-16,"131,23",,Service - Impression
,,1120640,04-28-16,"2 624,69",,Service - Impression
,MINISTRE DES FINANCES,1115163,04-05-16,"60,75",,Frais - Permis
,,1115164,04-05-16,"60,75",,Frais - Permis
,PPG REVETEMENTS ARCHITECT. CANADA INC.,1115976,04-07-16,"243,59",,Peinture - résidentielle et industrielle
,,1120826,04-29-16,"243,59",,Peinture - résidentielle et industrielle
,ROULEAUX DE PAPIER & RUBANS J.L. INC.,1115797,04-07-16,"344,15",,"Papier, article de papeterie"
"PLANTE, STÉPHANE","GENDRON, DENIS",1115918,04-07-16,"2 300,63",,Frais - Dépenses de fonction
,LE DIPLOMATE AUDIOVISUEL,1118648,04-20-16,"7 007,97",,Location - Équipement d'éclairage et de sonorisation
,MLC ASSOCIES INC.,1118406,04-19-16,"11 832,09",,Ingénieur civil - Structure de bâtiment
,SOLUTIONS GRAFFITI,1117789,04-15-16,"12 901,17",,Service - Nettoyage de graffiti
,"THERRIEN, MICHEL",1117655,04-14-16,"920,25",,Frais - Dépenses de fonction
,TKNL INC.,1118653,04-20-16,"204,73",,Réparation/Entretien - Appareil électronique
"POLISENO, MARTIN",9028-3870 QUEBEC INC.,1118197,04-20-16,"1 142,16",,Installation de prises électriques
,9297-6646 QUEBEC INC.,1115196,04-05-16,"10 498,75",,Location de rétrocaveuse
,ABC ENVIRONNEMENT INC.,1115222,04-05-16,"20 997,50",,Service - Vidange de puisards et regards (délégation)
,ACIER LACHINE INC,1118445,04-19-16,"1 639,51",,"Matériel de fixation, clou, vis"
,ACKLANDS - GRAINGER INC.,1117909,04-15-16,"172,31",,Outil manuel
,,1120623,04-28-16,"213,09",,Accessoire et pièce de remplacement pour outil
,,,04-28-16,"140,10",,Huile et liquide pour matériel roulant
,ACTI-SOL INC,1118751,04-20-16,"238,79",,"Terre, terreau, compost et engrais"
,CERIU,1117896,04-15-16,"1 049,87",,Formation en développement organisationnel et technique
,CHAS GENTMANTEL & FILS LTEE,1120851,04-29-16,"68,24",,Accessoire et pièce de remplacement pour équipement
,CHAUSSURES BELMONT INC,1119402,04-22-16,"188,93",,Chaussure de sécurité
,,1120638,04-28-16,"167,93",,Vêtement de sécurité
,DUFRESNE STANDARD & SPECIAL INC.,1119395,04-22-16,"439,27",,Outil manuel
,ENTREPRISES FORLINI,1117901,04-15-16,"89,24",,Chaussure de sécurité
,,1118804,04-20-16,"598,42",,Accessoire vestimentaire
,EQUIPEMENTS DE SECURITE HOTTE INC,1120699,04-28-16,"312,44",,Vêtements de travail
,EQUIPEMENTS TWIN INC.,1117905,04-15-16,"1 081,37",,Réparation/Entretien - Appareil automobile spécialisé
,FERTILEC LTEE,1119403,04-22-16,"1 172,19",,Couvre-sol
,FONDERIE LAPERLE,1117704,04-14-16,"3 078,95",1005686,Accessoires - Aqueduc
,GENFIR INC,1118808,04-20-16,"1 325,99",,Tuyau d'aqueduc
,GLOCO INC.,1120688,04-28-16,"1 653,66",,"Graine, semence, bulbe et bouture"
,HERCULES SLR INC,1117911,04-15-16,"2 704,09",,Machine et équipement d'aménagement paysager
,HEWITT EQUIPEMENT LTEE,1115215,04-05-16,"15 748,12",,Location de rétrocaveuse
,HORTICULTURE INDIGO,1120509,04-28-16,"777,48",,Végétaux
,INDUSTRIES DESORMEAU INC.,1120656,04-28-16,"75,71",,"Matériel de fixation, clou, vis"
,INOLEC,1117903,04-15-16,"225,62",,Outil manuel
,JEAN GUGLIA & FILS ENR.,1119398,04-22-16,"1 079,71",,Outil manuel
,,1119404,04-22-16,"491,58",,"Corde, chaîne et câble"
,LAFARGE CANADA INC,1112268,04-15-16,"529,38",,Béton préparé
,LA MAISON DU PEINTRE,1114321,04-22-16,"271,14",,Accessoires pour graffitis
,LE GROUPE J.S.V. INC,1120785,04-29-16,"1 243,90",,Outil et accessoires - Parcs
,LES EQUIPEMENTS RAPCO INC,1118735,04-20-16,"220,94",,"Corde, chaîne et câble"
,LES INDUSTRIES POLY INC.,1120200,04-27-16,"276,64",,Service - Impression
,LES JARDINS MICHEL CORBEIL INC.,1119084,04-21-16,"1 606,31",,Fourniture horticole
,LES PEPINIERES JASMIN LTEE,1118740,04-20-16,"787,14",,Fourniture horticole
,,1120677,04-28-16,"343,84",,Végétaux
,LOCATION GAMMA INC.,1104813,04-26-16,"512,51",,Location d'outils
,LOCATION SAUVAGEAU INC.,1119485,04-22-16,"917,59",,Location - Appareil automobile spécialisé
,MONTREAL STENCIL INC,1118133,04-18-16,"55,37",,Article et accessoire de bureau
"POLISENO, MARTIN",PRIMO INSTRUMENT INC.,1114049,04-15-16,"13,65",,Fourniture et accessoire scientifique
,QUINCAILLERIE NOTRE-DAME DE ST-HENRI INC.,1119400,04-22-16,"44,49",,"Corde, chaîne et câble"
,REAL HUOT INC.,1118460,04-19-16,"582,68",,Produit de branchement
,RENO-DEPOT,1118783,04-20-16,"235,83",,Outil manuel
,SABIC POLYMERSHAPES TM,1117906,04-15-16,"244,62",,Matière plastique
,SCIAGE DE BETON 2000 INC.,1118180,04-18-16,"7 007,39",,Location de scie à béton
,SECURITE LANDRY INC,1119406,04-22-16,"1 147,00",,"Corde, chaîne et câble"
,,,04-22-16,"1 003,30",,Vêtement de travail
,,1120584,04-28-16,"1 092,93",,Vêtement de travail
,STE INTERNATIONALE D'ARBORICULTURE-QC,1119463,04-22-16,"1 301,85",,Formation en développement organisationnel et technique
,ST-GERMAIN EGOUTS ET AQUEDUCS INC.,1119394,04-22-16,"1 587,41",989948,"Puisard, chambre de vanne et regard"
,TENAQUIP LIMITED,1117893,04-15-16,"581,93",,Outil manuel
,,1117913,04-15-16,"167,26",,Outil manuel
,,,04-15-16,"196,60",,Produit d'hygiène corporelle
,,1120613,04-28-16,"77,94",,Outil manuel
,TOSHIBA DU CANADA LIMITEE,1097155,04-22-16,"231,37",,Service - Impression
,U. CAYOUETTE INC.,1118789,04-20-16,"25,13",,Accessoire et pièce de remplacement pour machinerie
,,,04-20-16,"1 417,75",,Bois de construction
,VERMEER CANADA INC.,1117916,04-15-16,"1 907,97",,Outil manuel
,,1120795,04-29-16,"1 496,96",,Équipement contre les chutes
"REEVES, GENEVIÈVE",ENVELOPPE LAURENTIDE INC,1117075,04-13-16,"206,80",,Service - Impression
,FOURCHETTE & CIE CUISINE COMMUNAUTAIRE,1119528,04-22-16,"201,70",,Service - Traiteur
,LE DEVOIR,1119527,04-22-16,"8 399,00",,Service - Placement média d'avis public
,LES EDITIONS YVON BLAIS INC,1114753,04-01-16,"154,95",,"Guide, brochure et affiche"
,WOLTERS KLUWER QUEBEC LTEE,1120879,04-29-16,"517,00",,"Guide, brochure et affiche"
"THERRIEN, MICHEL",BOO! DESIGN INC.,1118650,04-20-16,"356,96",,"Service - Infographie, graphisme"
,CONCEPTION RENO,1118996,04-21-16,"1 049,87",,Location - Équipement d'éclairage et de sonorisation
,CORPORATE EXPRESS CANADA INC.,1115550,04-06-16,"776,95",,"Papier, article de papeterie"
,UNISOURCE CANADA INC.,1109617,04-06-16,"64,36",,Frais de transport
"TROTTIER, PASCAL",COMPUGEN INC.,1120572,04-28-16,"144,88",,Composante électronique
,L.L. LOZEAU LTEE.,1120364,04-27-16,"1 033,13",,Appareil électronique
