,,,,,,
VILLE DE MONTRÉAL  ,,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,,
Listes des bons de commandes approuvés pour JUILLET 2014,,,,,,
,,,,,,
,,,,,,
,,,,,,
Dernier Approbateur,Nom fournisseur,Numéro bon ,Date ,Montant de ,,Description
,,976039,10/07/14,"1 122,15",,BIENS NON DURABLES
"FORTIN, ALAIN",CITE NISSAN - GABRIEL,974530,04/07/14,"586,10",,"ENT. RÉP. - VÉHICULES, OUT. ET ÉQUIP."
,MICHELIN AMERIQUE DU NORD (CANADA INC.),973576,16/07/14,"2 305,20",,"ENT. RÉP. - VÉHICULES, OUT. ET ÉQUIP."
"GAUDREAULT, SONIA",AQUATECHNO SPECIALISTES AQUATIQUES INC.,974283,03/07/14,"6 844,91",,PRODUITS CHIMIQUES
,,974284,03/07/14,"6 844,91",,PRODUITS CHIMIQUES
,CANADIAN TIRE,977547,16/07/14,"319,37",,BIENS NON DURABLES
,DEMENAGEMENT MONTREAL EXPRESS INC.,974750,07/07/14,"2 509,80",,FRAIS DE TRANSPORT
,INTELCOM EXPRESS,975111,08/07/14,"12,18",,FRAIS DE POSTES
,PALASON BILLARD (ST-LAURENT) INC.,976690,14/07/14,"714,57",,BIENS NON DURABLES
,PRODUITS SANY INC.,980395,30/07/14,"205,21",,BIENS NON DURABLES
,,980590,31/07/14,"40,07",,BIENS NON DURABLES
,SYLPROTEC INC.,972178,08/07/14,"114,08",,BIENS NON DURABLES
,TENAQUIP LIMITED,975630,09/07/14,"310,09",,BIENS NON DURABLES
,,975646,09/07/14,"1 716,18",,BIENS NON DURABLES
,,977516,16/07/14,"334,04",,BIENS NON DURABLES
"GENDRON, DENIS",CENTRE DE SERVICES PARTAGES DU QUEBEC,973672,02/07/14,"6 103,38",,TÉLÉPHONIE
"GERVAIS, ROBERT",BETON BRUNET LTEE,978574,22/07/14,"788,72",,PIÈCES ET ACCESSOIRES
,CANADIAN TIRE,973546,02/07/14,"87,10",,PIÈCES ET ACCESSOIRES
,CLEAN HARBORS QUEBEC INC,975004,08/07/14,"1 129,69",,SERVICES TECHNIQUES
"GERVAIS, ROBERT",COLE INFORMATION SERVICES,980103,29/07/14,"356,77",,FOURNITURES DE BUREAU
,COLLEGE DE BOIS-DE-BOULOGNE,976546,14/07/14,"3 235,77",,FORMATION
,CREUSAGE RL,974018,03/07/14,"984,68",,SERVICES TECHNIQUES
,DEMIX,979666,25/07/14,"389,95",,AGRÉGATS ET MATÉRIAUX DE CONSTRUCTION
,DISCOVER COMMUNICATIONS INC,979974,29/07/14,"71,56",,TÉLÉPHONIE
,DIV EQUIPEMENT DE SECURITE UNIVERSEL INC.,978361,21/07/14,"150,38",,"VÊTEMENTS, CHAUSSURES ET ACC."
,,978660,22/07/14,"150,38",,"VÊTEMENTS, CHAUSSURES ET ACC."
,,979825,28/07/14,"99,56",,"VÊTEMENTS, CHAUSSURES ET ACC."
,ECO-QUARTIER NDG,979545,25/07/14,"200,00",,SERVICES TECHNIQUES
,ENTRAC INC.,974549,04/07/14,"1 302,09",,FORMATION
,ENVIROSERVICES INC,957549,25/07/14,"773,12",,SERVICES TECHNIQUES
,FONDERIE LAPERLE,973556,02/07/14,"1 219,85",,PIÈCES ET ACCESSOIRES
,GIVESCO INC.,973573,02/07/14,"336,37",,PRODUITS CHIMIQUES
,HILTI CANADA LTEE,979992,29/07/14,"355,42",,PIÈCES ET ACCESSOIRES
,INDUSTRIES DESORMEAU INC.,979967,29/07/14,"663,71",,PIÈCES ET ACCESSOIRES
,INOLEC,980003,29/07/14,"708,34",,BIENS NON CAPITALISÉS
,,980022,29/07/14,"413,19",,BIENS NON CAPITALISÉS
,,980056,29/07/14,"1 829,33",,BIENS NON CAPITALISÉS
,JEAN GUGLIA & FILS ENR.,980244,29/07/14,"398,86",,BIENS NON CAPITALISÉS
,LA MAISON DU PEINTRE,919258,21/07/14,"150,30",,BIENS NON DURABLES
,LES MAGASINS COLLINS,973540,02/07/14,"116,66",,"VÊTEMENTS, CHAUSSURES ET ACC."
,,978105,18/07/14,"349,98",,"VÊTEMENTS, CHAUSSURES ET ACC."
,,978619,22/07/14,"120,40",,"VÊTEMENTS, CHAUSSURES ET ACC."
,L.L. LOZEAU LTEE.,980387,30/07/14,"422,80",,BIENS NON DURABLES
,LOCATION GAMMA INC.,975464,22/07/14,"341,91",,"ENT. RÉP. - VÉHICULES, OUT. ET ÉQUIP."
,MULTI-PRESSIONS L.C. INC.,978715,22/07/14,"317,66",,PIÈCES ET ACCESSOIRES
,PPG REVETEMENTS ARCHITECTURAUX CANADA INC.,919257,16/07/14,"3 413,94",,PRODUITS CHIMIQUES
,RENO-DEPOT,976182,11/07/14,"119,95",,PIÈCES ET ACCESSOIRES
,SECURITE LANDRY INC,980147,29/07/14,"1 031,46",,"VÊTEMENTS, CHAUSSURES ET ACC."
"GERVAIS, ROBERT",SOCIETE XYLEM CANADA,980574,31/07/14,"281,06",,PIÈCES ET ACCESSOIRES
,ST-GERMAIN EGOUTS ET AQUEDUCS INC.,973566,02/07/14,"3 294,06",,PIÈCES ET ACCESSOIRES
,STINSON EQUIPMENT (QUEBEC) INC.,978681,22/07/14,"582,34",,PIÈCES ET ACCESSOIRES
,TENAQUIP LIMITED,979620,25/07/14,"265,50",,PIÈCES ET ACCESSOIRES
,VERMEER CANADA INC.,980104,29/07/14,"628,59",,BIENS NON CAPITALISÉS
"MARKARIAN, MORIS-ALEX",BRAULT DRAIN,940510,04/07/14,"1 432,87",,SERVICES TECHNIQUES
,DESCHAMPS IMPRESSION INC.,973991,03/07/14,"18,67",,SERVICES TECHNIQUES
,ECO-GRAFFITI INC,973998,03/07/14,"4 812,18",,PRODUITS CHIMIQUES
,ECO-QUARTIER NDG,974142,03/07/14,"160,00",,SERVICES TECHNIQUES
,GENFIR INC,976601,14/07/14,"1 694,11",,PIÈCES ET ACCESSOIRES
,LABRADOR LAURENTIENNE,976618,14/07/14,"335,11",,EAU POTABLE
,LES ENSEIGNES BROMAR INC.,975414,15/07/14,"248,91",,BIENS NON DURABLES
,LES MAGASINS COLLINS,974988,08/07/14,"116,66",,"VÊTEMENTS, CHAUSSURES ET ACC."
,LOCATION GAMMA INC.,974006,03/07/14,"2 720,04",,PIÈCES ET ACCESSOIRES
,MARTECH SIGNALISATION INC.,976628,14/07/14,"2 183,11",,BIENS NON DURABLES
,RENO-DEPOT,967488,11/07/14,"512,33",,BIENS NON DURABLES
,,974555,04/07/14,"84,83",,PIÈCES ET ACCESSOIRES
,ST-GERMAIN EGOUTS ET AQUEDUCS INC.,976581,14/07/14,"1 018,46",,PIÈCES ET ACCESSOIRES
,U. CAYOUETTE INC.,974997,08/07/14,"372,99",,PIÈCES ET ACCESSOIRES
"PLANTE, STÉPHANE",BOO! DESIGN INC.,971858,07/07/14,"46,67",,AFFICHES
,,974046,07/07/14,"388,92",,AFFICHES
,COMPUGEN INC.,975697,09/07/14,"138,84",,FOURNITURES DE BUREAU
,CONSTRUCTION EMCON INC.,973786,02/07/14,"11 200,76",,HONORAIRES PROFESSIONNELS
,"LAROSE, MANNON",974540,04/07/14,"232,95",,BIENS NON DURABLES
,MLC  ASSOCIES INC.,952418,16/07/14,"15 764,03",,HONORAIRES PROFESSIONNELS
,PEINTRES PROFESSIONNELS INC.,968348,09/07/14,"5 704,09",,ENT. RÉP. - IMMEUBLES ET TERRAINS
,ROULEAUX DE PAPIER & RUBANS J.L. INC.,973752,02/07/14,"155,57",,FOURNITURES DE BUREAU
,SYNDICAT DE COPROPRIETE DES TERRAINS BENNY FARM,968860,30/07/14,"22 022,92",,HONORAIRES PROFESSIONNELS
"POLISENO, MARTIN",ABC RECREATION QUEBEC INC.,976010,10/07/14,"449,81",,ENT. RÉP. - IMMEUBLES ET TERRAINS
"POLISENO, MARTIN",CHAUSSURES BELMONT INC,965750,17/07/14,"192,85",,"VÊTEMENTS, CHAUSSURES ET ACC."
,FASTENAL CANADA LTEE,974097,03/07/14,"1 397,24",,AGRÉGATS ET MATÉRIAUX DE CONSTRUCTION
,FERTILEC LTEE,973822,02/07/14,"4 770,69",,FOURNITURES HORTICOLES
,INOLEC,965191,04/07/14,"10,37",,PIÈCES ET ACCESSOIRES
,,974465,04/07/14,"387,32",,PIÈCES ET ACCESSOIRES
,LE GROUPE SPORTS-INTER PLUS INC,973876,02/07/14,"303,82",,BIENS NON DURABLES
,LES PEPINIERES JASMIN LTEE,976119,18/07/14,"217,79",,FOURNITURES HORTICOLES
,LOCATION D'AUTOS ET CAMIONS DISCOUNT,979033,23/07/14,"1 139,78",,LOC.- VÉHICULES-OUTILLAGE-ÉQUIPEMENT
,,979052,23/07/14,"1 139,78",,LOC.- VÉHICULES-OUTILLAGE-ÉQUIPEMENT
,MPB EXCAVATION,965146,23/07/14,"1 114,89",,SERVICES TECHNIQUES
,SECURITE LANDRY INC,974910,08/07/14,"1 511,46",,"VÊTEMENTS, CHAUSSURES ET ACC."
,STINSON EQUIPMENT (QUEBEC) INC.,972449,14/07/14,"155,57",,BIENS NON DURABLES
,,976488,18/07/14,"69,25",,BIENS NON DURABLES
,TENAQUIP LIMITED,973661,02/07/14,"83,65",,BIENS NON CAPITALISÉS
,,973710,02/07/14,"144,16",,BIENS NON CAPITALISÉS
"REEVES, GENEVIEVE",LES PUBLICATIONS DU QUEBEC,978133,18/07/14,"202,24",,"LIVRES, PUBLICATIONS"
"RENE, DANIELLE",CENTRE PATRONAL DE SANTE ET SECURITE DU TRAVAIL DU QUEBEC (C P S S T Q ),976689,14/07/14,"1 037,11",,FORMATION
,DISCOVER COMMUNICATIONS INC,968441,08/07/14,"124,43",,TÉLÉPHONIE
,"HARDY, DANIELLE",976399,11/07/14,"120,00",,FRAIS DE TRANSPORT
,MORNEAU SHEPELL LTD.,974922,07/07/14,"2 508,00",,HONORAIRES PROFESSIONNELS
,TOSHIBA SOLUTION D'AFFAIRES,928508,14/07/14,"518,55",,"LOC.- AMEUBLEMENT, ÉQUIPEMENT DE BUREAU"
"THERRIEN, MICHEL",BOO! DESIGN INC.,971859,07/07/14,"679,31",,AFFICHES
,,973265,09/07/14,"233,35",,SERVICES TECHNIQUES
,,977301,16/07/14,"648,19",,AFFICHES
,DENIS BEAUMONT,974877,07/07/14,"622,26",,SERVICES TECHNIQUES
,DISTRIBUTION T.I.M.,979823,28/07/14,"2 460,43",,SERVICES TECHNIQUES
,IMPRESSION PARAGRAPH INC,975970,10/07/14,"93,34",,SERVICES TECHNIQUES
,L.L. LOZEAU LTEE.,980346,30/07/14,"369,83",,SERVICES TECHNIQUES
,LOCATION GERVAIS (1985) INC.,976586,14/07/14,"389,37",,FRAIS DE RECEPTION
"THERRIEN, MICHEL",OPTIMUM GRAPHIQUES INC.,976568,14/07/14,"456,33",,SERVICES TECHNIQUES
,SOLUTIONS LINGUISTIQUES ROULEAU,978815,22/07/14,"414,84",,SERVICES TECHNIQUES
"TROTTIER, PASCAL",ASSOCIATION QUEBECOISE DU TRANSPORT & DES ROUTES (AQTR),977352,16/07/14,"933,40",,FORMATION
,COMPUGEN INC.,973835,02/07/14,"410,07",,FOURNITURES DE BUREAU
,"GUELMAMI, CHOUAIB",977584,16/07/14,"459,05",,FRAIS DE DÉPLACEMENT
,L.L. LOZEAU LTEE.,973986,03/07/14,"239,77",,FOURNITURES DE BUREAU
,LOCATION D'AUTOS ET CAMIONS DISCOUNT,948267,09/07/14,"736,36",,LOC.- VÉHICULES-OUTILLAGE-ÉQUIPEMENT
,,975909,10/07/14,"736,35",,LOC.- VÉHICULES-OUTILLAGE-ÉQUIPEMENT
,,975921,10/07/14,"736,35",,LOC.- VÉHICULES-OUTILLAGE-ÉQUIPEMENT
,,,TOTAL:,"271 164,59",,
