NUMEROTATION,TYPE_DE_SOINS,REGION_RESIDENCE,NB_JRS_HOSPIT--REG_TRAITEMENT_01,NB_JRS_HOSPIT--REG_TRAITEMENT_02,NB_JRS_HOSPIT--REG_TRAITEMENT_03,NB_JRS_HOSPIT--REG_TRAITEMENT_04,NB_JRS_HOSPIT--REG_TRAITEMENT_05,NB_JRS_HOSPIT--REG_TRAITEMENT_06,NB_JRS_HOSPIT--REG_TRAITEMENT_07,NB_JRS_HOSPIT--REG_TRAITEMENT_08,NB_JRS_HOSPIT--REG_TRAITEMENT_09,NB_JRS_HOSPIT--REG_TRAITEMENT_10,NB_JRS_HOSPIT--REG_TRAITEMENT_11,NB_JRS_HOSPIT--REG_TRAITEMENT_12,NB_JRS_HOSPIT--REG_TRAITEMENT_13,NB_JRS_HOSPIT--REG_TRAITEMENT_14,NB_JRS_HOSPIT--REG_TRAITEMENT_15,NB_JRS_HOSPIT--REG_TRAITEMENT_16,NB_JRS_HOSPIT--REG_TRAITEMENT_17,NB_JRS_HOSPIT--REG_TRAITEMENT_18,NB_JRS_HOSPIT--TOT_ REG_RESIDENCE,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
11,"Soins physiques et psychiatriques de courte durée","11 Gaspésie-Îles-de-la-Madele",2259,1,13739,29,49,1299,2,8,27,0,63494,171,1,153,17,70,2,0,81321,"Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
12,"Soins physiques et psychiatriques de courte durée","12 Chaudière-Appalaches",673,73,44704,557,1671,1710,1,11,71,11,20,191413,59,16,23,182,0,0,241195,"Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
13,"Soins physiques et psychiatriques de courte durée","13 Laval",22,8,250,56,512,118537,65,29,6,0,22,4,206664,973,6067,383,2,0,333600,"Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
14,"Soins physiques et psychiatriques de courte durée","14 Lanaudière",42,41,513,1616,190,62702,40,30,28,0,70,33,7871,227773,9090,993,3,0,311035,"Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
15,"Soins physiques et psychiatriques de courte durée","15 Laurentides",45,121,287,131,426,76493,677,127,76,7,69,92,17362,2827,297936,867,2,0,397545,"Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
16,"Soins physiques et psychiatriques de courte durée","16 Montérégie",151,119,922,2310,8924,211331,114,53,34,2,70,189,742,788,858,694001,3,0,920611,"Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
17,"Soins physiques et psychiatriques de courte durée","NON-ATTRIBUÉE ",355,354,5570,879,1049,27975,1138,337,177,8,274,498,695,427,540,2168,1,0,42445,"Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
18,"Soins physiques et psychiatriques de courte durée","TOTAL RÉGION DE TRAITEMENT",119524,185795,687395,346455,364293,2222993,208868,97622,71294,7817,64288,197570,246400,242347,318544,711871,6880,2348,6102304,"Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
19,"Soins en chirurgie d'un jour","01 Bas-Saint-Laurent",8357,2,895,6,8,60,17,0,2,0,12,286,0,4,3,12,0,0,9664,"Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
20,"Soins en chirurgie d'un jour","02 Saguenay-Lac-Saint-Jean",0,14723,681,3,16,65,2,5,14,1,3,26,4,2,4,5,0,0,15554,"Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
21,"Soins en chirurgie d'un jour","03 Capitale-Nationale",29,101,27535,96,26,212,3,4,34,0,8,933,4,6,17,38,0,0,29046,"Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
22,"Soins en chirurgie d'un jour","04 Mauricie et Centre-du-Québ",4,259,1041,20823,1037,935,2,3,1,0,2,197,12,75,37,760,0,0,25188,"Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
23,"Soins en chirurgie d'un jour","05 Estrie",4,5,89,363,22120,917,6,4,1,0,2,265,12,18,17,680,0,0,24503,"Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
24,"Soins en chirurgie d'un jour","06 Montréal",5,9,85,33,102,64283,22,6,4,1,7,8,595,709,358,1333,1,0,67561,"Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
25,"Soins en chirurgie d'un jour","07 Outaouais",1,4,27,10,14,667,14857,16,1,1,0,8,14,11,136,36,0,0,15803,"Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
26,"Soins en chirurgie d'un jour","08 Abitibi-Témiscamingue",0,4,14,8,5,478,79,6851,0,0,2,2,3,6,13,10,0,0,7475,"Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
27,"Soins en chirurgie d'un jour","09 Côte-Nord",28,234,457,3,5,31,0,0,4168,0,2,31,3,0,0,1,0,0,4963,"Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
28,"Soins en chirurgie d'un jour","10-17 ET 18",0,227,21,2,3,674,9,588,0,394,0,0,0,2,1,3,469,0,2393,"Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
29,"Soins en chirurgie d'un jour","11 Gaspésie-Îles-de-la-Madele",542,1,378,5,4,52,1,0,2,0,4097,26,0,4,2,10,0,0,5124,"Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
30,"Soins en chirurgie d'un jour","12 Chaudière-Appalaches",47,12,3347,91,199,122,1,1,1,0,3,17076,5,8,12,31,0,0,20956,"Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
31,"Soins en chirurgie d'un jour","13 Laval",1,1,16,7,18,8297,4,1,0,0,1,0,7620,130,647,171,0,0,16914,"Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
32,"Soins en chirurgie d'un jour","14 Lanaudière",1,6,50,105,24,6101,3,2,2,1,2,13,971,11918,1665,215,0,0,21079,"Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
33,"Soins en chirurgie d'un jour","15 Laurentides",2,4,39,16,28,6499,353,14,1,0,3,9,1744,347,17732,205,0,0,26996,"Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
34,"Soins en chirurgie d'un jour","16 Montérégie",7,17,78,339,1039,17374,16,3,2,0,4,20,104,102,178,41395,0,0,60678,"Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
35,"Soins en chirurgie d'un jour","NON-ATTRIBUÉE ",56,14,187,18,43,610,27,6,3,0,28,16,11,3,13,37,1,0,1073,"Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
36,"Soins en chirurgie d'un jour","TOTAL RÉGION DE TRAITEMENT",9084,15623,34940,21928,24691,107377,15402,7504,4236,398,4176,18916,11102,13345,20835,44942,471,0,354970,"Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
37,"Soins post-mortem","01 Bas-Saint-Laurent",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,"Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
38,"Soins post-mortem","02 Saguenay-Lac-Saint-Jean",0,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,"Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
39,"Soins post-mortem","03 Capitale-Nationale",0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,"Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
40,"Soins post-mortem","04 Mauricie et Centre-du-Québ",0,0,2,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,43,"Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
41,"Soins post-mortem","06 Montréal",0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,56,"Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
42,"Soins post-mortem","07 Outaouais",0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,11,"Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
43,"Soins post-mortem","08 Abitibi-Témiscamingue",0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,"Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
44,"Soins post-mortem","09 Côte-Nord",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
45,"Soins post-mortem","10-17 ET 18",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,"Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
46,"Soins post-mortem","11 Gaspésie-Îles-de-la-Madele",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
47,"Soins post-mortem","12 Chaudière-Appalaches",0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,"Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
48,"Soins post-mortem","13 Laval",0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,15,"Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
49,"Soins post-mortem","14 Lanaudière",0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,12,"Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
50,"Soins post-mortem","15 Laurentides",0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,41,"Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
51,"Soins post-mortem","16 Montérégie",0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,43,"Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
52,"Soins post-mortem","NON-ATTRIBUÉE ",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
53,"Soins post-mortem","TOTAL RÉGION DE TRAITEMENT",0,25,54,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,312,"Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »","Entre 2022/04/01 et 2023/03/31", 2023-08-29
