NUMEROTATION,TYPE_SOINS,REGION_RESIDENCE,NB_JRS_HOSPIT--REG_TRAITEMENT_01,NB_JRS_HOSPIT--REG_TRAITEMENT_02,NB_JRS_HOSPIT--REG_TRAITEMENT_03,NB_JRS_HOSPIT--REG_TRAITEMENT_04,NB_JRS_HOSPIT--REG_TRAITEMENT_05,NB_JRS_HOSPIT--REG_TRAITEMENT_06,NB_JRS_HOSPIT--REG_TRAITEMENT_07,NB_JRS_HOSPIT--REG_TRAITEMENT_08,NB_JRS_HOSPIT--REG_TRAITEMENT_09,NB_JRS_HOSPIT--REG_TRAITEMENT_10,NB_JRS_HOSPIT--REG_TRAITEMENT_11,NB_JRS_HOSPIT--REG_TRAITEMENT_12,NB_JRS_HOSPIT--REG_TRAITEMENT_13,NB_JRS_HOSPIT--REG_TRAITEMENT_14,NB_JRS_HOSPIT--REG_TRAITEMENT_15,NB_JRS_HOSPIT--REG_TRAITEMENT_16,NB_JRS_HOSPIT--REG_TRAITEMENT_17,NB_JRS_HOSPIT--REG_TRAITEMENT_18,NB_JRS_HOSPIT--TOT_ REG_RESIDENCE,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
11,Soins physiques et psychiatriques de courte durée,11 Gaspésie-Îles-de-la-Madele,3027,31,16266,40,51,2418,4,1,20,0,66800,220,17,29,101,67,0,0,89092,Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
12,Soins physiques et psychiatriques de courte durée,12 Chaudière-Appalaches,578,288,47430,484,1697,2687,9,63,124,1,23,192045,24,14,24,219,0,0,245710,Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
13,Soins physiques et psychiatriques de courte durée,13 Laval,50,99,91,72,103,134225,182,8,4,4,4,46,188279,1254,6646,542,0,3,331612,Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
14,Soins physiques et psychiatriques de courte durée,14 Lanaudière,97,274,438,1832,212,62427,24,12,23,0,103,55,9221,248016,12781,1131,0,0,336646,Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
15,Soins physiques et psychiatriques de courte durée,15 Laurentides,72,285,424,209,363,79589,1059,124,9,6,34,92,18382,3260,299696,1365,0,2,404971,Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
16,Soins physiques et psychiatriques de courte durée,16 Montérégie,175,886,1000,3833,10006,213844,307,35,30,0,93,138,789,681,889,749393,0,0,982099,Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
17,Soins physiques et psychiatriques de courte durée,NON-ATTRIBUÉE ,443,371,6178,516,1070,26580,1200,197,212,4,112,263,451,305,388,1472,6,6,39774,Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
18,Soins physiques et psychiatriques de courte durée,TOTAL RÉGION DE TRAITEMENT,124355,220847,760512,358601,364023,2414656,231747,105434,73842,7904,67589,198893,229862,264065,324678,769349,6326,3100,6525783,Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
19,Soins en chirurgie d'un jour,01 Bas-Saint-Laurent,9812,2,696,0,9,49,1,1,1,0,95,214,1,3,0,7,0,0,10891,Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
20,Soins en chirurgie d'un jour,02 Saguenay-Lac-Saint-Jean,3,14976,826,6,8,96,0,3,0,0,0,45,0,2,4,15,0,0,15984,Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
21,Soins en chirurgie d'un jour,03 Capitale-Nationale,29,99,30539,145,46,174,7,3,7,1,6,1119,10,10,6,32,0,0,32233,Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
22,Soins en chirurgie d'un jour,04 Mauricie et Centre-du-Québ,8,290,1086,23486,924,866,8,1,2,0,1,219,15,150,21,425,0,0,27502,Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
23,Soins en chirurgie d'un jour,05 Estrie,3,3,105,648,22165,795,2,4,0,1,1,324,7,11,11,549,0,0,24629,Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
24,Soins en chirurgie d'un jour,06 Montréal,2,9,76,34,90,70206,12,2,0,2,4,17,628,1001,399,1467,0,0,73949,Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
25,Soins en chirurgie d'un jour,07 Outaouais,2,0,28,5,18,607,14750,17,0,1,0,9,21,4,90,36,0,0,15588,Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
26,Soins en chirurgie d'un jour,08 Abitibi-Témiscamingue,0,1,11,3,6,413,253,7556,1,1,0,3,5,3,6,26,0,0,8288,Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
27,Soins en chirurgie d'un jour,09 Côte-Nord,20,198,673,3,3,44,2,2,4329,0,0,27,0,0,1,9,0,0,5311,Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
28,Soins en chirurgie d'un jour,10-17 ET 18,0,281,47,0,0,612,12,689,0,433,0,2,0,0,3,1,240,0,2320,Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
29,Soins en chirurgie d'un jour,11 Gaspésie-Îles-de-la-Madele,663,5,369,2,10,45,0,0,2,0,4372,27,3,1,1,13,0,0,5513,Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
30,Soins en chirurgie d'un jour,12 Chaudière-Appalaches,56,8,3863,176,305,71,1,4,3,0,1,15237,5,6,6,34,0,0,19776,Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
31,Soins en chirurgie d'un jour,13 Laval,2,1,18,6,10,8901,8,2,0,0,3,1,6613,208,711,151,0,0,16635,Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
32,Soins en chirurgie d'un jour,14 Lanaudière,6,12,55,213,32,6293,5,2,1,0,1,11,1047,14187,1249,274,0,0,23388,Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
33,Soins en chirurgie d'un jour,15 Laurentides,6,3,34,16,30,6564,264,12,2,0,2,5,1712,441,17106,196,0,0,26393,Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
34,Soins en chirurgie d'un jour,16 Montérégie,8,7,107,536,1241,17121,9,6,2,1,2,22,103,127,146,44809,0,0,64247,Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
35,Soins en chirurgie d'un jour,NON-ATTRIBUÉE ,80,13,250,7,33,484,62,8,2,0,29,16,5,5,14,29,0,0,1037,Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
36,Soins en chirurgie d'un jour,TOTAL RÉGION DE TRAITEMENT,10700,15908,38783,25286,24930,113341,15396,8312,4352,440,4517,17298,10175,16159,19774,48073,240,0,373684,Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
37,Soins post-mortem,01 Bas-Saint-Laurent,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
38,Soins post-mortem,02 Saguenay-Lac-Saint-Jean,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
39,Soins post-mortem,03 Capitale-Nationale,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
40,Soins post-mortem,04 Mauricie et Centre-du-Québ,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,22,Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
41,Soins post-mortem,06 Montréal,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,31,Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
42,Soins post-mortem,07 Outaouais,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
43,Soins post-mortem,08 Abitibi-Témiscamingue,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
44,Soins post-mortem,09 Côte-Nord,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
45,Soins post-mortem,12 Chaudière-Appalaches,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
46,Soins post-mortem,13 Laval,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,12,Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
47,Soins post-mortem,14 Lanaudière,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,11,Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
48,Soins post-mortem,15 Laurentides,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,14,Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
49,Soins post-mortem,16 Montérégie,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,36,Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
50,Soins post-mortem,NON-ATTRIBUÉE ,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,14,Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
51,Soins post-mortem,TOTAL RÉGION DE TRAITEMENT,0,19,31,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,194,Titre du rapport « S14--Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
