NUMEROTATION,TYPE_SOINS,REGION_RESIDENCE,NB_JRS_HOSPIT--REG_TRAITEMENT_01,NB_JRS_HOSPIT--REG_TRAITEMENT_02,NB_JRS_HOSPIT--REG_TRAITEMENT_03,NB_JRS_HOSPIT--REG_TRAITEMENT_04,NB_JRS_HOSPIT--REG_TRAITEMENT_05,NB_JRS_HOSPIT--REG_TRAITEMENT_06,NB_JRS_HOSPIT--REG_TRAITEMENT_07,NB_JRS_HOSPIT--REG_TRAITEMENT_08,NB_JRS_HOSPIT--REG_TRAITEMENT_09,NB_JRS_HOSPIT--REG_TRAITEMENT_10,NB_JRS_HOSPIT--REG_TRAITEMENT_11,NB_JRS_HOSPIT--REG_TRAITEMENT_12,NB_JRS_HOSPIT--REG_TRAITEMENT_13,NB_JRS_HOSPIT--REG_TRAITEMENT_14,NB_JRS_HOSPIT--REG_TRAITEMENT_15,NB_JRS_HOSPIT--REG_TRAITEMENT_16,NB_JRS_HOSPIT--REG_TRAITEMENT_17,NB_JRS_HOSPIT--REG_TRAITEMENT_18,NB_JRS_HOSPIT--TOT_ REG_RESIDENCE,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
24,Soins en chirurgie d'un jour,06--Montréal,6,11,81,51,105,67500,33,8,2,2,2,21,684,1105,354,1478,,,71443,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
25,Soins en chirurgie d'un jour,07--Outaouais,1,1,15,11,22,574,17661,19,1,,1,15,13,12,136,34,,,18516,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
26,Soins en chirurgie d'un jour,08--Abitibi-Témiscamingue,3,,24,13,5,461,80,7517,,3,,1,7,5,8,7,,,8134,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
27,Soins en chirurgie d'un jour,09--Côte-Nord,12,266,573,4,10,42,2,1,4529,,1,23,1,,1,6,,,5471,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
28,Soins en chirurgie d'un jour,10  17 et 18,,261,29,3,3,524,3,599,1,454,,3,,1,2,1,339,,2223,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
29,Soins en chirurgie d'un jour,11--Gaspésie - Îles-de-la-Madeleine,640,1,330,4,15,57,,1,,,4058,34,2,1,3,10,,,5156,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
30,Soins en chirurgie d'un jour,12--Chaudière-Appalaches,78,7,3946,152,279,96,2,2,3,,1,17243,2,1,7,41,,,21860,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
31,Soins en chirurgie d'un jour,13--Laval,3,2,13,10,25,8827,1,1,,,1,2,5740,229,865,151,,,15870,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
32,Soins en chirurgie d'un jour,14--Lanaudière,4,7,47,252,37,6119,3,1,1,,1,18,1209,14209,1312,355,,,23575,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
33,Soins en chirurgie d'un jour,15--Laurentides,3,8,57,19,33,5985,223,10,1,,3,11,1772,384,15788,202,,,24499,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
34,Soins en chirurgie d'un jour,16--Montérégie,7,10,124,586,1440,16608,22,5,1,,2,24,102,171,147,43951,,,63200,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
35,Soins en chirurgie d'un jour,Non-Attribuée,87,9,227,8,33,466,80,4,4,,14,21,8,4,14,37,,,1016,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
36,Soins en chirurgie d'un jour,Total région de traitement,10651,17134,38681,26837,24964,109121,18131,8181,4565,465,4199,19627,9574,16232,18676,47319,339,,374696,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
37,Soins post-mortem,01--Bas-Saint-Laurent,,,3,,,,,,,,,,,,,,,,3,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
38,Soins post-mortem,02--Saguenay - Lac-Saint-Jean,,14,1,,,,,,,,,,,,,,,,15,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
39,Soins post-mortem,03--Capitale-Nationale,,,13,,,,,,,,,,,,,,,,13,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
40,Soins post-mortem,04--Mauricie et Centre-du-Québec,,,3,,,20,,,,,,,,,,,,,23,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
41,Soins post-mortem,06--Montréal,,,,,,44,,,,,,,,,,,,,44,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
42,Soins post-mortem,07--Outaouais,,,,,,17,,,,,,,,,,,,,17,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
43,Soins post-mortem,08--Abitibi-Témiscamingue,,,1,,,2,,,,,,,,,,,,,3,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
44,Soins post-mortem,09--Côte-Nord,,,3,,,,,,,,,,,,,,,,3,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
45,Soins post-mortem,11--Gaspésie - Îles-de-la-Madeleine,,,2,,,,,,,,,,,,,,,,2,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
46,Soins post-mortem,12--Chaudière-Appalaches,,,10,,,,,,,,,,,,,,,,10,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
47,Soins post-mortem,13--Laval,,,,,,15,,,,,,,,,,,,,15,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
48,Soins post-mortem,14--Lanaudière,,,,,,12,,,,,,,,,,,,,12,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
49,Soins post-mortem,15--Laurentides,,,,,,29,,,,,,,,,,,,,29,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
50,Soins post-mortem,16--Montérégie,,,,,,15,,,,,,,,,,,,,15,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
51,Soins post-mortem,Total région de traitement,,14,36,,,154,,,,,,,,,,,,,204,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
