NUMEROTATION,TYPE_SOINS,REGION_RESIDENCE,NB_JRS_HOSPIT--REG_TRAITEMENT_01,NB_JRS_HOSPIT--REG_TRAITEMENT_02,NB_JRS_HOSPIT--REG_TRAITEMENT_03,NB_JRS_HOSPIT--REG_TRAITEMENT_04,NB_JRS_HOSPIT--REG_TRAITEMENT_05,NB_JRS_HOSPIT--REG_TRAITEMENT_06,NB_JRS_HOSPIT--REG_TRAITEMENT_07,NB_JRS_HOSPIT--REG_TRAITEMENT_08,NB_JRS_HOSPIT--REG_TRAITEMENT_09,NB_JRS_HOSPIT--REG_TRAITEMENT_10,NB_JRS_HOSPIT--REG_TRAITEMENT_11,NB_JRS_HOSPIT--REG_TRAITEMENT_12,NB_JRS_HOSPIT--REG_TRAITEMENT_13,NB_JRS_HOSPIT--REG_TRAITEMENT_14,NB_JRS_HOSPIT--REG_TRAITEMENT_15,NB_JRS_HOSPIT--REG_TRAITEMENT_16,NB_JRS_HOSPIT--REG_TRAITEMENT_17,NB_JRS_HOSPIT--REG_TRAITEMENT_18,NB_JRS_HOSPIT--TOT_ REG_RESIDENCE,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
12,Soins physiques et psychiatriques de courte durée,12--Chaudière-Appalaches,674,172,51908,534,2393,3724,21,29,25,2,122,197246,9,31,35,191,0,0,257116,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
13,Soins physiques et psychiatriques de courte durée,13--Laval,37,190,179,102,40,137590,27,0,9,0,11,24,182617,992,7464,956,0,0,330238,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
14,Soins physiques et psychiatriques de courte durée,14--Lanaudière,23,285,450,2270,171,68815,22,28,16,1,36,41,13164,223641,13698,1203,0,0,323864,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
15,Soins physiques et psychiatriques de courte durée,15--Laurentides,33,365,468,64,149,84334,1103,72,6,9,51,74,20662,2496,283628,1216,0,0,394730,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
16,Soins physiques et psychiatriques de courte durée,16--Montérégie,134,717,1074,2770,18571,212188,100,43,36,3,110,349,1149,676,882,815248,0,0,1054050,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
17,Soins physiques et psychiatriques de courte durée,Non-Attribuée,474,333,5112,221,711,19011,1195,313,182,2,131,242,493,161,362,1032,6,8,29989,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
18,Soins physiques et psychiatriques de courte durée,Total région de traitement,142548,260501,778838,364947,275616,2523623,238536,126269,72673,8918,69588,206968,232308,237850,309874,833497,6578,2332,6691464,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
19,Soins en chirurgie d'un jour,01--Bas-Saint-Laurent,10358,4,537,8,8,68,0,1,11,0,32,253,2,2,8,14,0,,11306,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
20,Soins en chirurgie d'un jour,02--Saguenay - Lac-Saint-Jean,1,17400,820,8,14,102,2,1,3,2,0,32,6,0,6,8,0,,18405,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
21,Soins en chirurgie d'un jour,03--Capitale-Nationale,38,56,33514,129,27,141,5,2,8,2,2,1427,9,5,9,28,0,,35402,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
22,Soins en chirurgie d'un jour,04--Mauricie et Centre-du-Québec,6,243,1329,25026,506,768,4,5,1,0,3,247,15,95,20,452,0,,28720,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
23,Soins en chirurgie d'un jour,05--Estrie,5,6,82,720,13647,391,0,1,1,2,0,450,3,4,5,411,0,,15728,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
24,Soins en chirurgie d'un jour,06--Montréal,10,9,93,64,55,71009,18,4,1,0,1,24,814,1071,467,1509,0,,75149,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
25,Soins en chirurgie d'un jour,07--Outaouais,3,4,28,21,9,608,18415,14,0,0,0,57,11,7,134,36,0,,19347,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
26,Soins en chirurgie d'un jour,08--Abitibi-Témiscamingue,1,0,27,5,12,404,67,7893,0,1,0,1,5,7,33,14,0,,8470,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
27,Soins en chirurgie d'un jour,09--Côte-Nord,35,299,636,8,9,58,1,1,4562,0,2,57,0,1,0,6,0,,5675,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
28,Soins en chirurgie d'un jour,10  17 et 18,1,280,39,1,1,492,3,566,1,502,0,4,1,0,0,1,329,,2221,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
29,Soins en chirurgie d'un jour,11--Gaspésie - Îles-de-la-Madeleine,549,0,320,8,6,77,1,0,3,0,3548,15,4,2,3,10,0,,4546,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
30,Soins en chirurgie d'un jour,12--Chaudière-Appalaches,164,12,4525,153,185,76,2,1,1,0,0,17700,3,4,7,13,0,,22846,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
31,Soins en chirurgie d'un jour,13--Laval,2,4,18,14,12,9286,2,1,0,0,1,2,6418,199,1369,146,0,,17474,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
32,Soins en chirurgie d'un jour,14--Lanaudière,10,3,49,195,17,6479,8,3,0,0,1,10,1615,12327,1426,360,0,,22503,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
33,Soins en chirurgie d'un jour,15--Laurentides,4,6,42,24,23,6101,208,17,0,1,2,15,2318,370,18904,189,0,,28224,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
34,Soins en chirurgie d'un jour,16--Montérégie,6,11,130,565,796,19502,26,5,0,0,4,43,175,175,166,49452,0,,71056,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
35,Soins en chirurgie d'un jour,Non-Attribuée,48,8,166,8,45,489,185,11,1,0,7,24,7,0,13,31,0,,1043,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
36,Soins en chirurgie d'un jour,Total région de traitement,11241,18345,42355,26957,15372,116051,18947,8526,4593,510,3603,20361,11406,14269,22570,52680,329,,388115,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
37,Soins post-mortem,01--Bas-Saint-Laurent,,,7,,,0,,,,,,,,,,,,,7,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
38,Soins post-mortem,02--Saguenay - Lac-Saint-Jean,,,3,,,0,,,,,,,,,,,,,3,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
39,Soins post-mortem,03--Capitale-Nationale,,,15,,,0,,,,,,,,,,,,,15,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
40,Soins post-mortem,04--Mauricie et Centre-du-Québec,,,5,,,23,,,,,,,,,,,,,28,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
41,Soins post-mortem,06--Montréal,,,0,,,15,,,,,,,,,,,,,15,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
42,Soins post-mortem,07--Outaouais,,,0,,,8,,,,,,,,,,,,,8,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
43,Soins post-mortem,08--Abitibi-Témiscamingue,,,0,,,2,,,,,,,,,,,,,2,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
44,Soins post-mortem,10  17 et 18,,,0,,,1,,,,,,,,,,,,,1,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
45,Soins post-mortem,11--Gaspésie - Îles-de-la-Madeleine,,,4,,,0,,,,,,,,,,,,,4,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
46,Soins post-mortem,12--Chaudière-Appalaches,,,14,,,0,,,,,,,,,,,,,14,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
47,Soins post-mortem,13--Laval,,,0,,,4,,,,,,,,,,,,,4,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
48,Soins post-mortem,14--Lanaudière,,,0,,,13,,,,,,,,,,,,,13,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
49,Soins post-mortem,15--Laurentides,,,0,,,11,,,,,,,,,,,,,11,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
50,Soins post-mortem,16--Montérégie,,,0,,,17,,,,,,,,,,,,,17,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
51,Soins post-mortem,Total région de traitement,,,48,,,94,,,,,,,,,,,,,142,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
