NUMEROTATION,TYPE_SOINS,REGION_RESIDENCE,NB_JRS_HOSPIT--REG_TRAITEMENT_01,NB_JRS_HOSPIT--REG_TRAITEMENT_02,NB_JRS_HOSPIT--REG_TRAITEMENT_03,NB_JRS_HOSPIT--REG_TRAITEMENT_04,NB_JRS_HOSPIT--REG_TRAITEMENT_05,NB_JRS_HOSPIT--REG_TRAITEMENT_06,NB_JRS_HOSPIT--REG_TRAITEMENT_07,NB_JRS_HOSPIT--REG_TRAITEMENT_08,NB_JRS_HOSPIT--REG_TRAITEMENT_09,NB_JRS_HOSPIT--REG_TRAITEMENT_10,NB_JRS_HOSPIT--REG_TRAITEMENT_11,NB_JRS_HOSPIT--REG_TRAITEMENT_12,NB_JRS_HOSPIT--REG_TRAITEMENT_13,NB_JRS_HOSPIT--REG_TRAITEMENT_14,NB_JRS_HOSPIT--REG_TRAITEMENT_15,NB_JRS_HOSPIT--REG_TRAITEMENT_16,NB_JRS_HOSPIT--REG_TRAITEMENT_17,NB_JRS_HOSPIT--REG_TRAITEMENT_18,NB_JRS_HOSPIT--TOT_ REG_RESIDENCE,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
11,Soins physiques et psychiatriques de courte durée,11--Gaspésie - Îles-de-la-Madeleine,4520,48,14172,23,115,1680,31,0,81,0,70830,361,134,116,19,129,0,0,92259,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence.,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
12,Soins physiques et psychiatriques de courte durée,12--Chaudière-Appalaches,857,194,54017,629,2062,2320,8,8,18,3,26,209551,20,49,8,264,0,0,270034,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence.,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
13,Soins physiques et psychiatriques de courte durée,13--Laval,51,105,227,103,218,147081,64,8,9,0,28,28,182790,1244,8191,775,0,0,340922,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence.,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
14,Soins physiques et psychiatriques de courte durée,14--Lanaudière,60,216,365,1973,216,69079,21,33,25,0,47,59,12758,213973,12860,1331,0,0,313016,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence.,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
15,Soins physiques et psychiatriques de courte durée,15--Laurentides,54,451,310,178,156,89962,1339,113,25,15,24,35,21163,2315,276971,1287,0,1,394399,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence.,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
16,Soins physiques et psychiatriques de courte durée,16--Montérégie,115,534,1681,3310,20306,214581,206,36,110,1,126,319,879,1101,756,817583,0,0,1061644,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence.,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
17,Soins physiques et psychiatriques de courte durée,Non-Attribuée,255,238,5459,364,825,18847,1177,392,166,12,155,276,293,301,473,1056,10,1,30300,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence.,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
18,Soins physiques et psychiatriques de courte durée,Total région de traitement,146697,252080,768144,365886,275160,2465544,252407,134268,74978,9519,71676,219068,233140,229837,303860,837238,6562,2447,6648511,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence.,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
19,Soins en chirurgie d'un jour,01--Bas-Saint-Laurent,10528,4,552,11,17,52,0,0,3,0,44,258,2,2,4,5,0,,11482,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence.,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
20,Soins en chirurgie d'un jour,02--Saguenay - Lac-Saint-Jean,1,16521,890,7,8,123,4,3,3,0,0,19,2,0,4,11,0,,17596,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence.,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
21,Soins en chirurgie d'un jour,03--Capitale-Nationale,50,40,33630,116,27,132,6,2,12,1,6,1252,3,2,4,31,0,,35314,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence.,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
22,Soins en chirurgie d'un jour,04--Mauricie et Centre-du-Québec,10,156,1325,24594,430,1775,15,3,0,1,0,262,17,57,20,491,0,,29156,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence.,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
23,Soins en chirurgie d'un jour,05--Estrie,4,6,103,672,13238,354,2,1,0,0,0,435,7,6,8,376,0,,15212,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence.,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
24,Soins en chirurgie d'un jour,06--Montréal,9,9,65,44,81,68626,27,5,0,2,3,21,741,1060,344,1613,0,,72650,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence.,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
25,Soins en chirurgie d'un jour,07--Outaouais,2,2,20,22,12,590,17718,21,0,0,0,92,7,13,124,29,0,,18652,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence.,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
26,Soins en chirurgie d'un jour,08--Abitibi-Témiscamingue,0,0,38,3,5,379,61,7299,0,0,0,1,9,0,21,14,0,,7830,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence.,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
27,Soins en chirurgie d'un jour,09--Côte-Nord,37,280,581,3,7,62,2,0,4218,0,2,54,1,2,0,7,0,,5256,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence.,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
28,Soins en chirurgie d'un jour,10  17 et 18,1,246,43,1,5,510,4,439,0,457,0,8,0,1,0,2,312,,2029,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence.,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
29,Soins en chirurgie d'un jour,11--Gaspésie - Îles-de-la-Madeleine,610,0,348,0,10,99,0,1,2,0,3387,33,2,1,2,7,0,,4502,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence.,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
30,Soins en chirurgie d'un jour,12--Chaudière-Appalaches,172,5,4566,163,192,83,2,3,2,0,2,17445,2,2,5,11,0,,22655,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence.,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
31,Soins en chirurgie d'un jour,13--Laval,1,5,9,11,12,9042,3,0,0,0,1,5,5938,207,1126,176,0,,16536,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence.,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
32,Soins en chirurgie d'un jour,14--Lanaudière,8,9,36,191,18,6805,3,3,1,1,3,15,1476,11569,1223,329,0,,21690,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence.,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
33,Soins en chirurgie d'un jour,15--Laurentides,5,8,37,27,38,5994,151,15,1,0,1,14,2042,287,14903,205,0,,23728,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence.,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
34,Soins en chirurgie d'un jour,16--Montérégie,19,12,130,479,774,18666,16,2,2,0,2,38,126,159,166,47174,0,,67765,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence.,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
35,Soins en chirurgie d'un jour,Non-Attribuée,54,9,148,3,38,499,173,22,3,0,5,19,4,3,12,34,0,,1026,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence.,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
36,Soins en chirurgie d'un jour,Total région de traitement,11511,17312,42521,26347,14912,113791,18187,7819,4247,462,3456,19971,10379,13371,17966,50515,312,,373079,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence.,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
37,Soins post-mortem,01--Bas-Saint-Laurent,,,4,,,0,,,,,,,,,,,,,4,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence.,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
38,Soins post-mortem,02--Saguenay - Lac-Saint-Jean,,,4,,,0,,,,,,,,,,,,,4,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence.,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
39,Soins post-mortem,03--Capitale-Nationale,,,11,,,0,,,,,,,,,,,,,11,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence.,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
40,Soins post-mortem,04--Mauricie et Centre-du-Québec,,,2,,,4,,,,,,,,,,,,,6,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence.,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
41,Soins post-mortem,06--Montréal,,,0,,,21,,,,,,,,,,,,,21,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence.,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
42,Soins post-mortem,07--Outaouais,,,0,,,14,,,,,,,,,,,,,14,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence.,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
43,Soins post-mortem,08--Abitibi-Témiscamingue,,,0,,,1,,,,,,,,,,,,,1,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence.,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
44,Soins post-mortem,12--Chaudière-Appalaches,,,11,,,0,,,,,,,,,,,,,11,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence.,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
45,Soins post-mortem,13--Laval,,,0,,,8,,,,,,,,,,,,,8,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence.,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
46,Soins post-mortem,14--Lanaudière,,,0,,,8,,,,,,,,,,,,,8,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence.,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
47,Soins post-mortem,15--Laurentides,,,0,,,12,,,,,,,,,,,,,12,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence.,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
48,Soins post-mortem,16--Montérégie,,,0,,,23,,,,,,,,,,,,,23,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence.,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
49,Soins post-mortem,Total région de traitement,,,32,,,91,,,,,,,,,,,,,123,S14 — Mobilité interrégionale de la clientèle hospitalière. Répartition des jours d'hospitalisation selon la région de traitement et la région de résidence.,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
