Code de postes,Sous-section,Sujet,Facettes (exercice - type de données - consolidation - compétences - spécifique)
CPALX02137,S56,Analyse des revenus - Compensations tenant lieu de taxes - Gouvernement du Québec et ses entreprises - Immeubles de la Société québécoise d'infrastructures,Exercice en cours - Prévisionnel - Administration municipale - Nature locale
CPALX02138,S56,Analyse des revenus - Compensations tenant lieu de taxes - Gouvernement du Québec et ses entreprises - Immeubles et établissement d'entreprises du gouvernement,Exercice en cours - Prévisionnel - Administration municipale - Nature locale
CPAAX00045,S56-A,Analyse des revenus - Compensations tenant lieu de taxes,Exercice en cours - Prévisionnel - Administration municipale - Agglomération
CPAAX00046,S56-A,Analyse des revenus - Compensations tenant lieu de taxes - Gouvernement du Québec et ses entreprises,Exercice en cours - Prévisionnel - Administration municipale - Agglomération
CPAAX00052,S56-A,Analyse des revenus - Compensations tenant lieu de taxes - Gouvernement du Québec et ses entreprises - Compensations pour les terres publiques,Exercice en cours - Prévisionnel - Administration municipale - Agglomération
CPAAX00054,S56-A,Analyse des revenus - Compensations tenant lieu de taxes - Gouvernement du Québec et ses entreprises - Immeubles des réseaux - Santé et services sociaux,Exercice en cours - Prévisionnel - Administration municipale - Agglomération
CPAAX00055,S56-A,Analyse des revenus - Compensations tenant lieu de taxes - Gouvernement du Québec et ses entreprises - Immeubles des réseaux - Cégeps et universités,Exercice en cours - Prévisionnel - Administration municipale - Agglomération
CPAAX00056,S56-A,Analyse des revenus - Compensations tenant lieu de taxes - Gouvernement du Québec et ses entreprises - Immeubles des réseaux - Écoles primaires et secondaires,Exercice en cours - Prévisionnel - Administration municipale - Agglomération
CPAAX00058,S56-A,Analyse des revenus - Compensations tenant lieu de taxes - Gouvernement du Québec et ses entreprises - Immeubles de certains gouvernements et d'organismes internationaux,Exercice en cours - Prévisionnel - Administration municipale - Agglomération
CPAAX00063,S56-A,Analyse des revenus - Compensations tenant lieu de taxes - Gouvernement du Canada et ses entreprises,Exercice en cours - Prévisionnel - Administration municipale - Agglomération
CPAAX00064,S56-A,Analyse des revenus - Compensations tenant lieu de taxes - Gouvernement du Canada et ses entreprises - Taxes sur la valeur foncière,Exercice en cours - Prévisionnel - Administration municipale - Agglomération
CPAAX00066,S56-A,"Analyse des revenus - Compensations tenant lieu de taxes - Gouvernement du Canada et ses entreprises - Taxes sur une autre base - Taxes, compensations et tarification",Exercice en cours - Prévisionnel - Administration municipale - Agglomération
CPAAX00067,S56-A,Analyse des revenus - Compensations tenant lieu de taxes - Gouvernement du Canada et ses entreprises - Taxes sur une autre base - Taxes d'affaires,Exercice en cours - Prévisionnel - Administration municipale - Agglomération
CPAAX00068,S56-A,Analyse des revenus - Compensations tenant lieu de taxes - Organismes municipaux,Exercice en cours - Prévisionnel - Administration municipale - Agglomération
CPAAX00069,S56-A,Analyse des revenus - Compensations tenant lieu de taxes - Organismes municipaux - Taxes sur la valeur foncière,Exercice en cours - Prévisionnel - Administration municipale - Agglomération
CPAAX00071,S56-A,"Analyse des revenus - Compensations tenant lieu de taxes - Organismes municipaux - Taxes sur une autre base - Taxes, compensations et tarification",Exercice en cours - Prévisionnel - Administration municipale - Agglomération
CPAAX00072,S56-A,Analyse des revenus - Compensations tenant lieu de taxes - Autres,Exercice en cours - Prévisionnel - Administration municipale - Agglomération
CPAAX00074,S56-A,Analyse des revenus - Compensations tenant lieu de taxes - Autres - Autres,Exercice en cours - Prévisionnel - Administration municipale - Agglomération
CPAAX02137,S56-A,Analyse des revenus - Compensations tenant lieu de taxes - Gouvernement du Québec et ses entreprises - Immeubles de la Société québécoise d'infrastructures,Exercice en cours - Prévisionnel - Administration municipale - Agglomération
CPAAX02138,S56-A,Analyse des revenus - Compensations tenant lieu de taxes - Gouvernement du Québec et ses entreprises - Immeubles et établissement d'entreprises du gouvernement,Exercice en cours - Prévisionnel - Administration municipale - Agglomération
CPALA01724,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxe foncière générale - Taux unique,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Assiette d'application imposable
CPALA01726,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxe foncière générale - Taux variés - Résiduelle (résidentielle et autres),Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Assiette d'application imposable
CPALA01727,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxe foncière générale - Taux variés - Immeubles de 6 logements ou plus,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Assiette d'application imposable
CPALA01728,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxe foncière générale - Taux variés - Immeubles non résidentiels,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Assiette d'application imposable
CPALA01729,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxe foncière générale - Taux variés - Immeubles industriels,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Assiette d'application imposable
CPALA01731,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxe foncière générale - Taux variés - Terrains vagues desservis - Immeubles non résidentiels,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Assiette d'application imposable
CPALA01732,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxe foncière générale - Taux variés - Terrains vagues desservis - Autres,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Assiette d'application imposable
CPALA01733,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxe foncière générale - Taux variés - Immeubles agricoles,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Assiette d'application imposable
CPALA01736,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Service de la dette - Taux unique,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Assiette d'application imposable
CPALA01738,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Service de la dette - Taux variés - Résiduelle (résidentielle et autres),Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Assiette d'application imposable
CPALA01739,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Service de la dette - Taux variés - Immeubles de 6 logements ou plus,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Assiette d'application imposable
CPALA01740,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Service de la dette - Taux variés - Immeubles non résidentiels,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Assiette d'application imposable
CPALA01741,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Service de la dette - Taux variés - Immeubles industriels,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Assiette d'application imposable
CPALA01743,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Service de la dette - Taux variés - Terrains vagues desservis - Immeubles non résidentiels,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Assiette d'application imposable
CPALA01744,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Service de la dette - Taux variés - Terrains vagues desservis - Autres,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Assiette d'application imposable
CPALA01745,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Service de la dette - Taux variés - Immeubles agricoles,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Assiette d'application imposable
CPALA01747,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités de fonctionnement - Taux unique,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Assiette d'application imposable
CPALA01749,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités de fonctionnement - Taux variés - Résiduelle (résidentielle et autres),Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Assiette d'application imposable
CPALA01750,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités de fonctionnement - Taux variés - Immeubles de 6 logements ou plus,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Assiette d'application imposable
CPALA01751,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités de fonctionnement - Taux variés - Immeubles non résidentiels,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Assiette d'application imposable
CPALA01752,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités de fonctionnement - Taux variés - Immeubles industriels,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Assiette d'application imposable
CPALA01754,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités de fonctionnement - Taux variés - Terrains vagues desservis - Immeubles non résidentiels,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Assiette d'application imposable
CPALA01755,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités de fonctionnement - Taux variés - Terrains vagues desservis - Autres,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Assiette d'application imposable
CPALA01756,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités de fonctionnement - Taux variés - Immeubles agricoles,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Assiette d'application imposable
CPALA01758,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités d'investissement - Taux unique,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Assiette d'application imposable
CPALA01760,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités d'investissement - Taux variés - Résiduelle (résidentielle et autres),Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Assiette d'application imposable
CPALA01761,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités d'investissement - Taux variés - Immeubles de 6 logements ou plus,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Assiette d'application imposable
CPALA01762,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités d'investissement - Taux variés - Immeubles non résidentiels,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Assiette d'application imposable
CPALA01763,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités d'investissement - Taux variés - Immeubles industriels,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Assiette d'application imposable
CPALA01765,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités d'investissement - Taux variés - Terrains vagues desservis - Immeubles non résidentiels,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Assiette d'application imposable
CPALA01766,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités d'investissement - Taux variés - Terrains vagues desservis - Autres,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Assiette d'application imposable
CPALA01767,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités d'investissement - Taux variés - Immeubles agricoles,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Assiette d'application imposable
CPALA01768,S57,Calcul de certains revenus de taxes - Taxe d'affaires sur la valeur locative,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Valeur locative imposable
CPALA01904,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxe foncière générale - Taux variés - Immeubles forestiers,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Assiette d'application imposable
CPALA01905,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Service de la dette - Taux variés - Immeubles forestiers,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Assiette d'application imposable
CPALA01906,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités de fonctionnement - Taux variés - Immeubles forestiers,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Assiette d'application imposable
CPALA01907,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités d'investissement - Taux variés - Immeubles forestiers,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Assiette d'application imposable
CPALB01724,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxe foncière générale - Taux unique,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Taux adopté
CPALB01726,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxe foncière générale - Taux variés - Résiduelle (résidentielle et autres),Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Taux adopté
CPALB01727,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxe foncière générale - Taux variés - Immeubles de 6 logements ou plus,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Taux adopté
CPALB01728,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxe foncière générale - Taux variés - Immeubles non résidentiels,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Taux adopté
CPALB01729,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxe foncière générale - Taux variés - Immeubles industriels,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Taux adopté
CPALB01731,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxe foncière générale - Taux variés - Terrains vagues desservis - Immeubles non résidentiels,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Taux adopté
CPALB01732,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxe foncière générale - Taux variés - Terrains vagues desservis - Autres,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Taux adopté
