cod_geo,nom_organisme,desi_abr,population
29045,Saint-Martin,P,2645
30095,Lambton,M,1717
31008,Beaulac-Garthby,M,948
31030,Saint-Fortunat,M,272
31045,Saint-Joseph-de-Coleraine,M,1893
31122,East Broughton,M,2279
32023,Sainte-Sophie-d'Halifax,M,603
33025,Saint-Patrice-de-Beaurivage,M,1092
33035,Saint-Gilles,M,3185
33095,Saint-Antoine-de-Tilly,M,1752
33115,Lotbinière,M,865
34007,Neuville,V,4575
34030,Cap-Santé,V,3750
34048,Portneuf,V,3461
34065,Saint-Marc-des-Carrières,V,2875
34085,Saint-Thuribe,P,316
34135,Rivière-à-Pierre,M,625
35010,Lac-aux-Sables,P,1409
35015,Saint-Adelphe,P,941
35020,Saint-Séverin,P,792
35035,Hérouxville,P,1492
35040,Grandes-Piles,VL,588
35045,Saint-Roch-de-Mékinac,P,323
35050,Sainte-Thècle,M,2453
35055,Trois-Rives,M,460
37225,Saint-Luc-de-Vincennes,M,553
37245,Saint-Stanislas,M,1027
37250,Saint-Prosper-de-Champlain,M,474
38020,Lemieux,M,281
38028,Manseau,M,873
38065,Saint-Pierre-les-Becquets,M,1187
39005,Saints-Martyrs-Canadiens,P,293
39020,Saint-Rémi-de-Tingwick,M,476
39035,Sainte-Hélène-de-Chester,M,400
39135,Saint-Valère,M,1185
39165,Maddington Falls,M,436
39170,Saint-Louis-de-Blandford,M,1095
40047,Danville,V,3925
41065,Westbury,CT,1129
41070,Bury,M,1259
41080,Scotstown,V,477
42070,Kingsbury,VL,135
45050,North Hatley,VL,691
45080,Saint-Benoît-du-Lac,M,42
45095,Bolton-Est,M,1208
46005,Abercorn,VL,345
46017,Saint-Armand,M,1222
46070,Brome,VL,355
47025,Waterloo,V,5333
47030,Warden,VL,390
49005,Saint-Félix-de-Kingsey,M,1525
49070,Saint-Cyrille-de-Wendover,M,5042
49105,Saint-Eugène,M,1191
50023,Saint-Wenceslas,M,1227
50042,Saint-Léonard-d'Aston,M,2621
50050,Sainte-Perpétue,P,950
50057,Sainte-Monique,M,531
50065,Grand-Saint-Esprit,M,481
51008,Maskinongé,M,2408
51020,Yamachiche,M,2759
51025,Saint-Barnabé,P,1208
51030,Saint-Sévère,P,361
51035,Saint-Léon-le-Grand,P,889
51040,Sainte-Ursule,M,1343
51045,Saint-Justin,M,957
51055,Sainte-Angèle-de-Prémont,M,640
51060,Saint-Paulin,M,1590
51065,Saint-Alexis-des-Monts,P,3082
51070,Saint-Mathieu-du-Parc,M,1554
51075,Saint-Élie-de-Caxton,M,2020
51085,Saint-Boniface,M,5329
52030,Sainte-Élisabeth,M,1446
52055,Saint-Barthélemy,P,2083
53010,Massueville,VL,543
53025,Sainte-Victoire-de-Sorel,M,2525
53085,Saint-Gérard-Majella,P,236
54035,La Présentation,M,2684
54065,Saint-Valérien-de-Milton,M,1782
56042,Henryville,M,1558
60020,Saint-Sulpice,P,3396
61025,Joliette,V,21919
61045,Notre-Dame-de-Lourdes,M,3232
61050,Sainte-Mélanie,M,3387
62015,Saint-Jean-de-Matha,M,5053
62020,Sainte-Béatrix,M,2314
62047,Chertsey,M,5478
62055,Notre-Dame-de-la-Merci,M,1084
62065,Saint-Côme,M,2718
62070,Sainte-Émélie-de-l'Énergie,M,1784
66023,Montréal,V,1895211
67035,Saint-Constant,V,31311
67055,Léry,V,2515
69010,Franklin,M,1707
69025,Howick,M,884
69037,Ormstown,M,4121
69050,Elgin,M,383
69055,Huntingdon,V,2778
69060,Godmanchester,CT,1480
69065,Sainte-Barbe,M,1893
70005,Saint-Urbain-Premier,M,1325
70040,Saint-Stanislas-de-Kostka,M,2091
71045,Saint-Clet,M,1734
71070,Pincourt,V,15095
71090,Vaudreuil-sur-le-Lac,VL,1363
71095,L'Île-Cadieux,V,125
71100,Hudson,V,5542
71110,Sainte-Marthe,M,1023
71115,Sainte-Justine-de-Newton,M,978
72032,Oka,M,6059
72043,Saint-Placide,M,1776
74005,Mirabel,V,64973
75045,Saint-Hippolyte,M,11650
76043,Brownsburg-Chatham,V,7764
76052,Grenville-sur-la-Rouge,M,3006
78100,Val-des-Lacs,M,735
78127,Lac-Tremblant-Nord,M,76
79005,Notre-Dame-du-Laus,M,1828
79010,Notre-Dame-de-Pontmain,M,813
79078,Lac-des-Écorces,M,3029
79115,Sainte-Anne-du-Lac,M,562
80078,Ripon,M,1767
80110,Namur,M,612
82030,Pontiac,M,6328
82035,La Pêche,M,9100
83040,Cayamant,M,944
83055,Sainte-Thérèse-de-la-Gatineau,M,567
83070,Déléage,M,1955
83088,Montcerf-Lytton,M,655
84005,Bristol,M,1133
84010,Shawville,M,1707
84015,Clarendon,M,1432
84020,Portage-du-Fort,VL,231
84025,Bryson,M,652
84030,Campbell's Bay,M,706
84040,Litchfield,M,500
84045,Thorne,M,542
84050,Alleyn-et-Cawood,M,227
84055,Otter Lake,M,964
84060,Fort-Coulonge,VL,1251
84065,Mansfield-et-Pontefract,M,2317
84070,Waltham,M,400
84082,L'Isle-aux-Allumettes,M,1398
84095,Sheenboro,M,130
84100,Rapides-des-Joachims,M,147
85025,Ville-Marie,V,2409
85070,Laforce,M,552
87020,Gallichan,M,480
88045,La Motte,M,504
88075,Trécesson,CT,1261
90017,La Bostonnais,M,586
90027,Lac-Édouard,M,218
91010,Saint-André-du-Lac-Saint-Jean,VL,477
91015,Saint-François-de-Sales,M,629
91020,Chambord,M,1800
92005,Saint-Augustin,P,330
92010,Péribonka,M,535
92045,Saint-Thomas-Didyme,M,740
92060,Notre-Dame-de-Lorette,M,161
93005,Desbiens,V,1008
93020,Hébertville,M,2518
93030,Saint-Bruno,M,2888
93035,Saint-Gédéon,M,2320
93060,Lamarche,M,498
93080,Saint-Ludger-de-Milot,M,642
94210,L'Anse-Saint-Jean,M,1332
94235,Saint-Fulgence,M,2166
94255,Saint-Ambroise,M,4153
94260,Saint-Charles-de-Bourget,M,806
95005,Tadoussac,VL,804
95025,Les Escoumins,M,1800
95045,Forestville,V,2842
96005,Baie-Trinité,VL,426
96015,Franquelin,M,294
96025,Pointe-Lebel,VL,1831
96035,Chute-aux-Outardes,VL,1413
97035,Fermont,V,2181
98010,Bonne-Espérance,M,679
98012,Saint-Augustin,M,680
98014,Gros-Mécatina,M,358
98015,Côte-Nord-du-Golfe-du-Saint-Laurent,M,790
98035,Baie-Johan-Beetz,M,79
NR020,Le Rocher-Percé,TR,0
NR030,La Côte-de-Gaspé,TR,0
NR060,Avignon,TR,0
NR790,Antoine-Labelle,TR,5
NR910,Le Domaine-du-Roy,TR,41
NR920,Maria-Chapdelaine,TR,235
NR930,Lac-Saint-Jean-Est,TR,10
NR982,Le Golfe-du-Saint-Laurent,TR,0
