Code de postes,Sous-section,Sujet,Facettes (exercice - type de données - consolidation - compétences - spécifique)
PRIIX00500,S10,État des flux de trésorerie - Activités de fonctionnement - Éléments sans effet sur la trésorerie -  Amortissement des immobilisations corporelles,Exercice précédent - Réalisations - Intégral - Intégral
PRIIX00501,S10,État des flux de trésorerie - Activités de fonctionnement - Éléments sans effet sur la trésorerie - Autres (1 à x),Exercice précédent - Réalisations - Intégral - Intégral
PRIIX00503,S10,État des flux de trésorerie - Activités de fonctionnement - Excédent (déficit) de l'exercice et éléments sans effet sur la trésorerie,Exercice précédent - Réalisations - Intégral - Intégral
PRIIX00505,S10,État des flux de trésorerie - Activités de fonctionnement - Variation nette des éléments hors caisse - Débiteurs,Exercice précédent - Réalisations - Intégral - Intégral
PRIIX00506,S10,État des flux de trésorerie - Activités de fonctionnement - Variation nette des éléments hors caisse - Autres actifs financiers,Exercice précédent - Réalisations - Intégral - Intégral
PRIIX00507,S10,État des flux de trésorerie - Activités de fonctionnement - Variation nette des éléments hors caisse - Créditeurs et charges à payer / Autres passifs,Exercice précédent - Réalisations - Intégral - Intégral
PRIIX00508,S10,État des flux de trésorerie - Activités de fonctionnement - Variation nette des éléments hors caisse - Revenus reportés,Exercice précédent - Réalisations - Intégral - Intégral
PRIIX00509,S10,État des flux de trésorerie - Activités de fonctionnement - Variation nette des éléments hors caisse - Actif / passif au titre des avantages sociaux futurs,Exercice précédent - Réalisations - Intégral - Intégral
PRIIX00510,S10,État des flux de trésorerie - Activités de fonctionnement - Variation nette des éléments hors caisse - Propriétés destinées à la revente,Exercice précédent - Réalisations - Intégral - Intégral
PRIIX00511,S10,État des flux de trésorerie - Activités de fonctionnement - Variation nette des éléments hors caisse - Stocks de fournitures,Exercice précédent - Réalisations - Intégral - Intégral
PRIIX00512,S10,État des flux de trésorerie - Activités de fonctionnement - Variation nette des éléments hors caisse - Autres actifs non financiers,Exercice précédent - Réalisations - Intégral - Intégral
PRIIX00513,S10,État des flux de trésorerie - Activités d'investissement ,Exercice précédent - Réalisations - Intégral - Intégral
PRIIX00514,S10,État des flux de trésorerie - Activités d'investissement  - Acquisition d'immobilisations corporelles,Exercice précédent - Réalisations - Intégral - Intégral
PRIIX00515,S10,État des flux de trésorerie - Activités d'investissement  - Produit de cession des immobilisations corporelles,Exercice précédent - Réalisations - Intégral - Intégral
PRIIX00516,S10,État des flux de trésorerie - Activités de placement,Exercice précédent - Réalisations - Intégral - Intégral
PRIIX00518,S10,"État des flux de trésorerie - Activités de placement - Prêts, placements de portefeuille à titre d'investissement et participations dans des entreprises municipales et des partenariats commerciaux - Émission ou acquisition",Exercice précédent - Réalisations - Intégral - Intégral
PRIIX00519,S10,"État des flux de trésorerie - Activités de placement - Prêts, placements de portefeuille à titre d'investissement et participations dans des entreprises municipales et des partenariats commerciaux - Remboursement ou cession",Exercice précédent - Réalisations - Intégral - Intégral
PRIIX00521,S10,État des flux de trésorerie - Activités de placement - Autres placements de portefeuille - Acquisition,Exercice précédent - Réalisations - Intégral - Intégral
PRIIX00522,S10,État des flux de trésorerie - Activités de placement - Autres placements de portefeuille - Cession,Exercice précédent - Réalisations - Intégral - Intégral
PRIIX00523,S10,État des flux de trésorerie - Activités de financement,Exercice précédent - Réalisations - Intégral - Intégral
PRIIX00524,S10,État des flux de trésorerie - Activités de financement - Émission de dettes à long terme,Exercice précédent - Réalisations - Intégral - Intégral
PRIIX00525,S10,État des flux de trésorerie - Activités de financement - Remboursement de la dette à long terme,Exercice précédent - Réalisations - Intégral - Intégral
PRIIX00526,S10,État des flux de trésorerie - Activités de financement - Variation nette des emprunts temporaires,Exercice précédent - Réalisations - Intégral - Intégral
PRIIX00527,S10,État des flux de trésorerie - Activités de financement - Variation nette des frais reportés liés à la dette à long terme,Exercice précédent - Réalisations - Intégral - Intégral
PRIIX00528,S10,État des flux de trésorerie - Activités de financement - Autres (1 à x),Exercice précédent - Réalisations - Intégral - Intégral
PRIIX00530,S10,État des flux de trésorerie - Augmentation (diminution) de la trésorerie et des équivalents de trésorerie,Exercice précédent - Réalisations - Intégral - Intégral
PRIIX00532,S10,État des flux de trésorerie - Trésorerie et équivalents de trésorerie (insuffisance) au début de l'exercice - Solde déjà établi,Exercice précédent - Réalisations - Intégral - Intégral
PRIIX00533,S10,État des flux de trésorerie - Trésorerie et équivalents de trésorerie (insuffisance) au début de l'exercice - Redressement aux exercices antérieurs,Exercice précédent - Réalisations - Intégral - Intégral
PRIIX00534,S10,État des flux de trésorerie - Trésorerie et équivalents de trésorerie (insuffisance) au début de l'exercice - Solde redressé,Exercice précédent - Réalisations - Intégral - Intégral
PRIIX00535,S10,État des flux de trésorerie - Trésorerie et équivalents de trésorerie (insuffisance) à la fin de l'exercice,Exercice précédent - Réalisations - Intégral - Intégral
PRIIX01857,S10,État des flux de trésorerie - Activités d'investissement  - Acquisition d'actifs incorporels achetés,Exercice précédent - Réalisations - Intégral - Intégral
PRIIX01858,S10,État des flux de trésorerie - Activités d'investissement  - Produit de cession des actifs incorporels achetés,Exercice précédent - Réalisations - Intégral - Intégral
CRIIA01164,S11,Notes complémentaires aux états financiers - Dette à long terme - Obligations et billets en monnaie canadienne,Exercice en cours - Réalisations - Intégral - Intégral - Taux d'intérêt - de
CRIIA01165,S11,Notes complémentaires aux états financiers - Dette à long terme - Obligations et billets en monnaies étrangères,Exercice en cours - Réalisations - Intégral - Intégral - Taux d'intérêt - de
CRIIA01169,S11,Notes complémentaires aux états financiers - Dette à long terme - Autres dettes à long terme - Gouvernement du Québec et ses entreprises,Exercice en cours - Réalisations - Intégral - Intégral - Taux d'intérêt - de
CRIIA01170,S11,Notes complémentaires aux états financiers - Dette à long terme - Autres dettes à long terme - Organismes municipaux,Exercice en cours - Réalisations - Intégral - Intégral - Taux d'intérêt - de
CRIIA01171,S11,Notes complémentaires aux états financiers - Dette à long terme - Autres dettes à long terme - Obligations découlant de contrats de location-acquisition,Exercice en cours - Réalisations - Intégral - Intégral - Taux d'intérêt - de
CRIIA01172,S11,Notes complémentaires aux états financiers - Dette à long terme - Autres dettes à long terme - Autres,Exercice en cours - Réalisations - Intégral - Intégral - Taux d'intérêt - de
CRIIA01188,S11,Notes complémentaires aux états financiers - Immobilisations corporelles - Coût,Exercice en cours - Réalisations - Intégral - Intégral - Solde au début
CRIIA01190,S11,Notes complémentaires aux états financiers - Immobilisations corporelles - Coût - Infrastructures - Eau potable,Exercice en cours - Réalisations - Intégral - Intégral - Solde au début
CRIIA01191,S11,Notes complémentaires aux états financiers - Immobilisations corporelles - Coût - Infrastructures - Eaux usées,Exercice en cours - Réalisations - Intégral - Intégral - Solde au début
CRIIA01192,S11,"Notes complémentaires aux états financiers - Immobilisations corporelles - Coût - Infrastructures - Chemins, rues, routes, trottoirs, ponts, tunnels et viaducs",Exercice en cours - Réalisations - Intégral - Intégral - Solde au début
CRIIA01193,S11,Notes complémentaires aux états financiers - Immobilisations corporelles - Coût - Infrastructures - Autres (1 à x),Exercice en cours - Réalisations - Intégral - Intégral - Solde au début
CRIIA01194,S11,Notes complémentaires aux états financiers - Immobilisations corporelles - Coût - Réseau d'électricité,Exercice en cours - Réalisations - Intégral - Intégral - Solde au début
CRIIA01195,S11,Notes complémentaires aux états financiers - Immobilisations corporelles - Coût - Bâtiments,Exercice en cours - Réalisations - Intégral - Intégral - Solde au début
CRIIA01196,S11,Notes complémentaires aux états financiers - Immobilisations corporelles - Coût - Améliorations locatives,Exercice en cours - Réalisations - Intégral - Intégral - Solde au début
CRIIA01197,S11,Notes complémentaires aux états financiers - Immobilisations corporelles - Coût - Véhicules,Exercice en cours - Réalisations - Intégral - Intégral - Solde au début
CRIIA01198,S11,Notes complémentaires aux états financiers - Immobilisations corporelles - Coût - Ameublement et équipement de bureau,Exercice en cours - Réalisations - Intégral - Intégral - Solde au début
CRIIA01199,S11,"Notes complémentaires aux états financiers - Immobilisations corporelles - Coût - Machinerie, outillage et équipement divers",Exercice en cours - Réalisations - Intégral - Intégral - Solde au début
CRIIA01200,S11,Notes complémentaires aux états financiers - Immobilisations corporelles - Coût - Terrains,Exercice en cours - Réalisations - Intégral - Intégral - Solde au début
CRIIA01201,S11,Notes complémentaires aux états financiers - Immobilisations corporelles - Coût - Autres,Exercice en cours - Réalisations - Intégral - Intégral - Solde au début
CRIIA01202,S11,Notes complémentaires aux états financiers - Immobilisations corporelles - Coût - Coût avant immobilisations en cours,Exercice en cours - Réalisations - Intégral - Intégral - Solde au début
CRIIA01203,S11,Notes complémentaires aux états financiers - Immobilisations corporelles - Coût - Immobilisations en cours,Exercice en cours - Réalisations - Intégral - Intégral - Solde au début
CRIIA01204,S11,Notes complémentaires aux états financiers - Immobilisations corporelles - Amortissement cumulé,Exercice en cours - Réalisations - Intégral - Intégral - Solde au début
CRIIA01206,S11,Notes complémentaires aux états financiers - Immobilisations corporelles - Amortissement cumulé - Infrastructures - Eau potable,Exercice en cours - Réalisations - Intégral - Intégral - Solde au début
CRIIA01207,S11,Notes complémentaires aux états financiers - Immobilisations corporelles - Amortissement cumulé - Infrastructures - Eaux usées,Exercice en cours - Réalisations - Intégral - Intégral - Solde au début
CRIIA01208,S11,"Notes complémentaires aux états financiers - Immobilisations corporelles - Amortissement cumulé - Infrastructures - Chemins, rues, routes, trottoirs, ponts, tunnels et viaducs",Exercice en cours - Réalisations - Intégral - Intégral - Solde au début
CRIIA01209,S11,Notes complémentaires aux états financiers - Immobilisations corporelles - Amortissement cumulé - Infrastructures - Autres (1 à x),Exercice en cours - Réalisations - Intégral - Intégral - Solde au début
CRIIA01210,S11,Notes complémentaires aux états financiers - Immobilisations corporelles - Amortissement cumulé - Réseau d'électricité,Exercice en cours - Réalisations - Intégral - Intégral - Solde au début
CRIIA01211,S11,Notes complémentaires aux états financiers - Immobilisations corporelles - Amortissement cumulé - Bâtiments,Exercice en cours - Réalisations - Intégral - Intégral - Solde au début
CRIIA01212,S11,Notes complémentaires aux états financiers - Immobilisations corporelles - Amortissement cumulé - Améliorations locatives,Exercice en cours - Réalisations - Intégral - Intégral - Solde au début
CRIIA01213,S11,Notes complémentaires aux états financiers - Immobilisations corporelles - Amortissement cumulé - Véhicules,Exercice en cours - Réalisations - Intégral - Intégral - Solde au début
CRIIA01214,S11,Notes complémentaires aux états financiers - Immobilisations corporelles - Amortissement cumulé - Ameublement et équipement de bureau,Exercice en cours - Réalisations - Intégral - Intégral - Solde au début
CRIIA01215,S11,"Notes complémentaires aux états financiers - Immobilisations corporelles - Amortissement cumulé - Machinerie, outillage et équipement divers",Exercice en cours - Réalisations - Intégral - Intégral - Solde au début
CRIIA01216,S11,Notes complémentaires aux états financiers - Immobilisations corporelles - Amortissement cumulé - Autres,Exercice en cours - Réalisations - Intégral - Intégral - Solde au début
CRIIA01217,S11,Notes complémentaires aux états financiers - Immobilisations corporelles - Valeur comptable nette,Exercice en cours - Réalisations - Intégral - Intégral - Solde au début
CRIIA01219,S11,Notes complémentaires aux états financiers - Immobilisations corporelles - Biens loués en vertu de contrats de location-acquisition inclus dans les immobilisations corporelles - Coût,Exercice en cours - Réalisations - Intégral - Intégral - Solde au début
CRIIA01220,S11,Notes complémentaires aux états financiers - Immobilisations corporelles - Biens loués en vertu de contrats de location-acquisition inclus dans les immobilisations corporelles - Amortissement cumulé,Exercice en cours - Réalisations - Intégral - Intégral - Solde au début
CRIIA01221,S11,Notes complémentaires aux états financiers - Immobilisations corporelles - Biens loués en vertu de contrats de location-acquisition inclus dans les immobilisations corporelles - Valeur comptable nette,Exercice en cours - Réalisations - Intégral - Intégral - Solde au début
CRIIA01240,S11,Notes complémentaires aux états financiers - Passifs éventuels - Cautionnements et garanties,Exercice en cours - Réalisations - Intégral - Intégral - Montant initial des cautions
CRIIA01865,S11,Notes complémentaires aux états financiers - Actifs incorporels achetés - Coût - Coût (1 à x),Exercice en cours - Réalisations - Intégral - Intégral - Solde au début
CRIIA01866,S11,Notes complémentaires aux états financiers - Actifs incorporels achetés - Amortissement cumulé - Amortissement cumulé (1 à x),Exercice en cours - Réalisations - Intégral - Intégral - Solde au début
CRIIA01868,S11,Notes complémentaires aux états financiers - Actifs incorporels achetés - Valeur comptable nette,Exercice en cours - Réalisations - Intégral - Intégral - Solde au début
CRIIA01878,S11,Notes complémentaires aux états financiers - Actifs incorporels achetés - Coût,Exercice en cours - Réalisations - Intégral - Intégral - Solde au début
CRIIA01880,S11,Notes complémentaires aux états financiers - Actifs incorporels achetés - Amortissement cumulé,Exercice en cours - Réalisations - Intégral - Intégral - Solde au début
CRIIA02110,S11,Notes complémentaires aux états financiers - Passifs éventuels - Cautionnements et garanties - Emprunts temporaires,Exercice en cours - Réalisations - Intégral - Intégral - Montant initial des cautions
CRIIA02111,S11,Notes complémentaires aux états financiers - Passifs éventuels - Cautionnements et garanties - Emprunts temporaires - 1 à x,Exercice en cours - Réalisations - Intégral - Intégral - Montant initial des cautions
CRIIA02112,S11,Notes complémentaires aux états financiers - Passifs éventuels - Cautionnements et garanties - Dettes à long terme,Exercice en cours - Réalisations - Intégral - Intégral - Montant initial des cautions
CRIIA02113,S11,Notes complémentaires aux états financiers - Passifs éventuels - Cautionnements et garanties - Dettes à long terme - 1 à x,Exercice en cours - Réalisations - Intégral - Intégral - Montant initial des cautions
CRIIB01164,S11,Notes complémentaires aux états financiers - Dette à long terme - Obligations et billets en monnaie canadienne,Exercice en cours - Réalisations - Intégral - Intégral - Taux d'intérêt - à
CRIIB01165,S11,Notes complémentaires aux états financiers - Dette à long terme - Obligations et billets en monnaies étrangères,Exercice en cours - Réalisations - Intégral - Intégral - Taux d'intérêt - à
CRIIB01169,S11,Notes complémentaires aux états financiers - Dette à long terme - Autres dettes à long terme - Gouvernement du Québec et ses entreprises,Exercice en cours - Réalisations - Intégral - Intégral - Taux d'intérêt - à
CRIIB01170,S11,Notes complémentaires aux états financiers - Dette à long terme - Autres dettes à long terme - Organismes municipaux,Exercice en cours - Réalisations - Intégral - Intégral - Taux d'intérêt - à
CRIIB01171,S11,Notes complémentaires aux états financiers - Dette à long terme - Autres dettes à long terme - Obligations découlant de contrats de location-acquisition,Exercice en cours - Réalisations - Intégral - Intégral - Taux d'intérêt - à
CRIIB01172,S11,Notes complémentaires aux états financiers - Dette à long terme - Autres dettes à long terme - Autres,Exercice en cours - Réalisations - Intégral - Intégral - Taux d'intérêt - à
CRIIB01188,S11,Notes complémentaires aux états financiers - Immobilisations corporelles - Coût,Exercice en cours - Réalisations - Intégral - Intégral - Addition
CRIIB01190,S11,Notes complémentaires aux états financiers - Immobilisations corporelles - Coût - Infrastructures - Eau potable,Exercice en cours - Réalisations - Intégral - Intégral - Addition
CRIIB01191,S11,Notes complémentaires aux états financiers - Immobilisations corporelles - Coût - Infrastructures - Eaux usées,Exercice en cours - Réalisations - Intégral - Intégral - Addition
CRIIB01192,S11,"Notes complémentaires aux états financiers - Immobilisations corporelles - Coût - Infrastructures - Chemins, rues, routes, trottoirs, ponts, tunnels et viaducs",Exercice en cours - Réalisations - Intégral - Intégral - Addition
CRIIB01193,S11,Notes complémentaires aux états financiers - Immobilisations corporelles - Coût - Infrastructures - Autres (1 à x),Exercice en cours - Réalisations - Intégral - Intégral - Addition
CRIIB01194,S11,Notes complémentaires aux états financiers - Immobilisations corporelles - Coût - Réseau d'électricité,Exercice en cours - Réalisations - Intégral - Intégral - Addition
CRIIB01195,S11,Notes complémentaires aux états financiers - Immobilisations corporelles - Coût - Bâtiments,Exercice en cours - Réalisations - Intégral - Intégral - Addition
CRIIB01196,S11,Notes complémentaires aux états financiers - Immobilisations corporelles - Coût - Améliorations locatives,Exercice en cours - Réalisations - Intégral - Intégral - Addition
CRIIB01197,S11,Notes complémentaires aux états financiers - Immobilisations corporelles - Coût - Véhicules,Exercice en cours - Réalisations - Intégral - Intégral - Addition
CRIIB01198,S11,Notes complémentaires aux états financiers - Immobilisations corporelles - Coût - Ameublement et équipement de bureau,Exercice en cours - Réalisations - Intégral - Intégral - Addition
CRIIB01199,S11,"Notes complémentaires aux états financiers - Immobilisations corporelles - Coût - Machinerie, outillage et équipement divers",Exercice en cours - Réalisations - Intégral - Intégral - Addition
CRIIB01200,S11,Notes complémentaires aux états financiers - Immobilisations corporelles - Coût - Terrains,Exercice en cours - Réalisations - Intégral - Intégral - Addition
CRIIB01201,S11,Notes complémentaires aux états financiers - Immobilisations corporelles - Coût - Autres,Exercice en cours - Réalisations - Intégral - Intégral - Addition
CRIIB01202,S11,Notes complémentaires aux états financiers - Immobilisations corporelles - Coût - Coût avant immobilisations en cours,Exercice en cours - Réalisations - Intégral - Intégral - Addition
CRIIB01203,S11,Notes complémentaires aux états financiers - Immobilisations corporelles - Coût - Immobilisations en cours,Exercice en cours - Réalisations - Intégral - Intégral - Addition
CRIIB01204,S11,Notes complémentaires aux états financiers - Immobilisations corporelles - Amortissement cumulé,Exercice en cours - Réalisations - Intégral - Intégral - Addition
CRIIB01206,S11,Notes complémentaires aux états financiers - Immobilisations corporelles - Amortissement cumulé - Infrastructures - Eau potable,Exercice en cours - Réalisations - Intégral - Intégral - Addition
CRIIB01207,S11,Notes complémentaires aux états financiers - Immobilisations corporelles - Amortissement cumulé - Infrastructures - Eaux usées,Exercice en cours - Réalisations - Intégral - Intégral - Addition
CRIIB01208,S11,"Notes complémentaires aux états financiers - Immobilisations corporelles - Amortissement cumulé - Infrastructures - Chemins, rues, routes, trottoirs, ponts, tunnels et viaducs",Exercice en cours - Réalisations - Intégral - Intégral - Addition
CRIIB01209,S11,Notes complémentaires aux états financiers - Immobilisations corporelles - Amortissement cumulé - Infrastructures - Autres (1 à x),Exercice en cours - Réalisations - Intégral - Intégral - Addition
CRIIB01210,S11,Notes complémentaires aux états financiers - Immobilisations corporelles - Amortissement cumulé - Réseau d'électricité,Exercice en cours - Réalisations - Intégral - Intégral - Addition
CRIIB01211,S11,Notes complémentaires aux états financiers - Immobilisations corporelles - Amortissement cumulé - Bâtiments,Exercice en cours - Réalisations - Intégral - Intégral - Addition
CRIIB01212,S11,Notes complémentaires aux états financiers - Immobilisations corporelles - Amortissement cumulé - Améliorations locatives,Exercice en cours - Réalisations - Intégral - Intégral - Addition
CRIIB01213,S11,Notes complémentaires aux états financiers - Immobilisations corporelles - Amortissement cumulé - Véhicules,Exercice en cours - Réalisations - Intégral - Intégral - Addition
CRIIB01214,S11,Notes complémentaires aux états financiers - Immobilisations corporelles - Amortissement cumulé - Ameublement et équipement de bureau,Exercice en cours - Réalisations - Intégral - Intégral - Addition
CRIIB01215,S11,"Notes complémentaires aux états financiers - Immobilisations corporelles - Amortissement cumulé - Machinerie, outillage et équipement divers",Exercice en cours - Réalisations - Intégral - Intégral - Addition
CRIIB01216,S11,Notes complémentaires aux états financiers - Immobilisations corporelles - Amortissement cumulé - Autres,Exercice en cours - Réalisations - Intégral - Intégral - Addition
CRIIB01219,S11,Notes complémentaires aux états financiers - Immobilisations corporelles - Biens loués en vertu de contrats de location-acquisition inclus dans les immobilisations corporelles - Coût,Exercice en cours - Réalisations - Intégral - Intégral - Addition
CRIIB01220,S11,Notes complémentaires aux états financiers - Immobilisations corporelles - Biens loués en vertu de contrats de location-acquisition inclus dans les immobilisations corporelles - Amortissement cumulé,Exercice en cours - Réalisations - Intégral - Intégral - Addition
CRIIB01240,S11,Notes complémentaires aux états financiers - Passifs éventuels - Cautionnements et garanties,Exercice en cours - Réalisations - Intégral - Intégral - Solde des cautionnements
CRIIB01865,S11,Notes complémentaires aux états financiers - Actifs incorporels achetés - Coût - Coût (1 à x),Exercice en cours - Réalisations - Intégral - Intégral - Addition
CRIIB01866,S11,Notes complémentaires aux états financiers - Actifs incorporels achetés - Amortissement cumulé - Amortissement cumulé (1 à x),Exercice en cours - Réalisations - Intégral - Intégral - Addition
CRIIB01868,S11,Notes complémentaires aux états financiers - Actifs incorporels achetés - Valeur comptable nette,Exercice en cours - Réalisations - Intégral - Intégral - Addition
CRIIB01878,S11,Notes complémentaires aux états financiers - Actifs incorporels achetés - Coût,Exercice en cours - Réalisations - Intégral - Intégral - Addition
CRIIB01880,S11,Notes complémentaires aux états financiers - Actifs incorporels achetés - Amortissement cumulé,Exercice en cours - Réalisations - Intégral - Intégral - Addition
CRIIB02110,S11,Notes complémentaires aux états financiers - Passifs éventuels - Cautionnements et garanties - Emprunts temporaires,Exercice en cours - Réalisations - Intégral - Intégral - Solde des cautionnements
CRIIB02111,S11,Notes complémentaires aux états financiers - Passifs éventuels - Cautionnements et garanties - Emprunts temporaires - 1 à x,Exercice en cours - Réalisations - Intégral - Intégral - Solde des cautionnements
CRIIB02112,S11,Notes complémentaires aux états financiers - Passifs éventuels - Cautionnements et garanties - Dettes à long terme,Exercice en cours - Réalisations - Intégral - Intégral - Solde des cautionnements
CRIIB02113,S11,Notes complémentaires aux états financiers - Passifs éventuels - Cautionnements et garanties - Dettes à long terme - 1 à x,Exercice en cours - Réalisations - Intégral - Intégral - Solde des cautionnements
CRIIC01164,S11,Notes complémentaires aux états financiers - Dette à long terme - Obligations et billets en monnaie canadienne,Exercice en cours - Réalisations - Intégral - Intégral - Échéance - de
CRIIC01165,S11,Notes complémentaires aux états financiers - Dette à long terme - Obligations et billets en monnaies étrangères,Exercice en cours - Réalisations - Intégral - Intégral - Échéance - de
CRIIC01169,S11,Notes complémentaires aux états financiers - Dette à long terme - Autres dettes à long terme - Gouvernement du Québec et ses entreprises,Exercice en cours - Réalisations - Intégral - Intégral - Échéance - de
CRIIC01170,S11,Notes complémentaires aux états financiers - Dette à long terme - Autres dettes à long terme - Organismes municipaux,Exercice en cours - Réalisations - Intégral - Intégral - Échéance - de
