"NoLicence","CategorieLicence","StatutLicence","DebutLicence","FinLicence","ReceptionDemande","NoTitulaire","NomTitulaire","AdresseTitulaire","VilleTitulaire","ProvinceTitulaire","CodePostalTitulaire"
"7903-12","Exploitant","Valide","2023-08-01","2024-07-31","","7903","PLAYER ONE AMUSEMENT GROUP INC.","1200, RUE BÃGIN","SAINT-LAURENT","QC","H4R1X1"
"7997-9","Exploitant","Valide","2024-03-01","2025-02-28","","7997","8258171 Canada Inc.","5050, BOUL WILFRID-HAMEL, SUITE 200","QUEBEC","QC","G2E5X5"
"8050-10","Exploitant","Valide","2024-03-01","2025-02-28","","8050","PELLETIER, PASCAL","","SAINTE-SOPHIE","QC",""
"8057-10","Exploitant","Valide","2024-04-01","2025-03-31","","8057","BOISVERT, ÃRIC","","DOLBEAU-MISTASSINI","QC",""
"8081-8","Exploitant","Valide","2023-09-01","2024-08-31","","8081","9326-5254 QUÃBEC INC.","020-6560 AVENUE DE L'ESPLANADE","MONTREAL","QC","H2V4L5"
"8137-4","Exploitant","Valide","2023-08-01","2024-07-31","","8137","9337-1896 QuÃ©bec inc.","11749 boul. de Pierrefonds","PIERREFONDS","QC","H9A1A1"
"8141-8","Exploitant","Valide","2024-05-01","2025-04-30","","8141","9340-4978 QUÃBEC INC.","165, RUE NOTRE-DAME","L'EPIPHANIE","QC","J5X2W1"
"8215-6","Exploitant","Valide","2024-02-01","2025-01-31","","8215","9349-6834 QUÃBEC INC.","3655, BOULEVARD DU TRICENTENAIRE","MONTREAL","QC","H1B5X4"
"8221-6","Exploitant","Valide","2024-04-01","2025-03-31","","8221","9329-0898 QUÃBEC INC.","154, RUE THOMAS-DUPERRÃ","CHICOUTIMI","QC","G7J2G2"
"8223-6","Exploitant","Valide","2024-04-01","2025-03-31","","8223","BEAUCE CARNAVAL INC.","2004, BOUL. DIONNE","SAINT-GEORGES","QC","G5Y3W9"
"8249-4","Exploitant","Valide","2024-06-01","2025-05-31","","8249","LASER JEUX 2021 INC.","17275 AVENUE BOURQUE","SAINT-HYACINTHE","QC","J2T5B6"
"8250-5","Exploitant","Valide","2024-06-01","2024-10-27","","8250","GLOBAL MIND INC.","6749, BOULEVARD SAINT-LAURENT","MONTREAL","QC","H2S3C8"
"8251-3","Exploitant","Valide","2024-04-01","2025-03-31","","8251","PLACEMENTS S.T. INC.","705, Rue du Pont Nord","ALMA","QC","G8B6T5"
"8252-2","Exploitant","Valide","2023-11-22","2024-10-31","","8252","AWAKIM ROBI","","VAL-DES-MONTS","QC",""
"8253-3","Exploitant","Valide","2024-05-01","2024-09-30","","8253","AMUSEMENT FUN SHOW 2006 INC.","299, RUE ROSKI","ROXTON FALLS","QC","J0H1E0"
"8254-3","Exploitant","Valide","2024-05-01","2025-04-30","","8254","DUFOUR JEAN-YVES","","SAINT-OCTAVE-DE-METIS","QC",""
"8255-2","Exploitant","Valide","2023-10-01","2024-09-30","","8255","LES DISTRIBUTEURS DAN INC.","71, RUE VALLIÃRES","PONT-ROUGE","QC","G3H2T8"
"8256-2","Exploitant","Valide","2023-11-01","2024-10-31","","8256","9346-6282 QUÃBEC INC.","1800, RUE ONTARIO E.","MONTREAL","QC","H2K1T4"
"8257-2","Exploitant","Valide","2024-02-01","2025-01-31","","8257","LE GROUPE NEXT INC.","12454, RUE RANGER","MONTREAL","QC","H4J2L6"
"8258-2","Exploitant","Valide","2024-02-01","2025-01-31","","8258","9364-3401 QUÃBEC INC.","352, RUE CALIXA-LAVALLÃE","GRANBY","QC","J2G1C2"
"8259-2","Exploitant","Valide","2024-03-01","2025-02-28","","8259","9462-0986 QUÃBEC INC.","632, 6e RUE EST","LA GUADELOUPE","QC","G0M1G0"
"8260-2","Exploitant","Valide","2024-07-01","2025-06-30","","8260","ADRENALINE AMUSEMENTS INC.","2273 RUE ANTONIO HÃROUX","TERREBONNE","QC","J6X4R3"
"8263-2","Exploitant","Valide","2024-05-01","2025-04-30","","8263","9416-3847 QUÃBEC INC.","101-7209 BOULEVARD TASCHEREAU","BROSSARD","QC","J4Y1A1"
"8264-2","Exploitant","Valide","2024-06-01","2025-05-31","","8264","9100-9282 QUÃBEC INC.","1400 AVENUE DU PONT SUD","ALMA","QC","G8B0G7"
"8265-2","Exploitant","Valide","2024-06-01","2025-05-31","","8265","JOSÃE CHABOT","","SHANNON","QC",""
"8266-2","Exploitant","Valide","2024-08-02","2024-08-04","","8266","OTAKUTHON CULTURAL SOCIETY","5115 AVENUE TRANS ISLAND - SUITE #205Â ","MONTREAL","QC","H3W2Z9"
"8268-1","Exploitant","Valide","2024-01-16","2024-12-31","","8268","9487-7487 QUÃBEC INC.","830 AUTOROUTE CHOMEDEY","LAVAL","QC","H7X3S9"
"8269-1","Exploitant","Valide","2024-01-15","2024-12-31","","8269","9502-2349 QUÃBEC INC","780 CHEMIN MARKHAM","MONT-ROYAL","QC","H3P3A5"
"8270-1","Exploitant","Valide","2023-12-10","2024-11-30","","8270","SHUYI TEA GREENFIELD PARK INC","7100 RUE TURENNE","BROSSARD","QC","J4W2X4"
"8271-1","Exploitant","Valide","2023-12-08","2024-11-30","","8271","CLAW SUR'PRIZE CANADA LIMITED","1181 RUE SAINT-CATHERINE OUEST","MONTREAL","QC","H3B1K4"
"8272-1","Exploitant","Valide","2024-01-03","2024-12-31","","8272","9123-7503 QUÃBEC INC","78 RUE ST-PATRICE EST","MAGOG","QC","J1X1T4"
"8273-1","Exploitant","Valide","2024-01-03","2024-12-31","","8273","9305-7412 QUÃBEC INC","","HUDSON","QC",""
"8275-1","Exploitant","Valide","2024-02-14","2025-02-13","","8275","9491-0411 QUÃBEC INC","6890 BOULEVARD NEWMAN, SUITE B","LASALLE","QC","H8N2S3"
"8276-1","Exploitant","Valide","2024-02-29","2025-01-31","","8276","9400-2458 QUÃBEC INC","","MONTREAL","QC",""
"8277-1","Exploitant","Valide","2024-03-06","2025-02-28","","8277","9485-3645 QUÃBEC INC","21 RUE LANCASTER","DOLLARD-DES-ORMEAUX","QC","H9B1K1"
"8278-1","Exploitant","Valide","2024-03-12","2025-02-28","","8278","KARTING CHÃTEAU-RICHER INC","164 RTE ST-ACHILLÃE","CHATEAU-RICHER","QC","G0A1N0"
"8279-1","Exploitant","Valide","2024-05-15","2025-04-30","","8279","SHI, XIAO YI","","MONTREAL","QC",""
"8280-1","Exploitant","Valide","2024-05-01","2024-11-01","","8280","DESNOYERS, AKIM","","WATERLOO","QC",""
"8282-1","Exploitant","Valide","2024-06-26","2025-05-31","","8282","ACTION 500 DORVAL INC.","","DORVAL","QC",""
"8284-1","Exploitant","Valide","2024-06-14","2025-05-31","","8284","ACTION AMUSEMENT","","MONT-ROYAL","QC",""
"8285-1","Exploitant","Valide","2024-07-01","2025-06-30","","8285","AMUSEMENT RAINBOW CLAW INC","3257 rue Achim","SAINT-LAURENT","QC","H4K1V5"
"856-35","Exploitant","Valide","2024-04-01","2025-03-31","","856","TECHNO-JEUX INC.","1380, RUE DE LA POINTE-AUX-LIÃVRES","QUEBEC","QC","G1L4M5"
"","Exploitant","Demande","2024-02-28","2025-01-31","2024-02-27","5847","9016-8063 QUÃBEC INC.","3925, BOUL. CURÃ-LABELLE","LAVAL","QC","H7P0A5"
"","Exploitant","Demande","2024-05-15","2025-04-30","2024-03-28","8279","SHI, XIAO YI","","MONTREAL","QC",""
"","Exploitant","Demande","2024-04-27","2025-03-31","2024-04-27","8281","9485-6127 QUÃBEC INC.","401, RUE DES ORCHIDÃES","TERREBONNE","QC","J6V1G5"
"","Exploitant","Demande","2024-07-16","2025-06-30","2024-07-09","8286","4205367 CANADA INC","1455, RUE PEEL #200","MONTREAL","QC","H3A1T5"
